Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
1387315,-9.222268,3.244783,0.148360,12.600000,7.490000,-7.280000,-58.462646,69.559608,-44.333443
1387335,-9.181588,3.072494,0.002393,9.310000,6.580000,-5.530000,-54.954353,68.198311,-41.794537
1387355,-9.176803,3.062922,-0.067001,6.650000,5.040000,-3.290000,-55.672913,67.522812,-42.049652
1387375,-9.205518,3.218461,-0.047858,3.780000,3.710000,-1.330000,-54.783993,65.235336,-43.302216
1387395,-9.179195,3.168210,-0.050251,0.350000,2.380000,0.350000,-58.882683,71.508446,-42.583305
1387415,-9.131337,3.357250,-0.016750,-1.190000,1.050000,1.680000,-56.135761,69.182854,-42.733582
1387435,-9.205518,3.433823,0.040679,-2.940000,0.000000,2.030000,-58.317940,68.750717,-43.496498
1387455,-9.164838,3.472110,0.138789,-3.150000,-0.630000,1.820000,-54.718380,69.489342,-41.286892
1387475,-9.179195,3.553468,0.220148,-2.940000,-1.050000,1.400000,-57.549751,67.556953,-43.713261
1387495,-9.172017,3.584576,0.282363,-2.590000,-0.840000,0.700000,-58.822746,70.681717,-44.272301
1387515,-9.160052,3.429037,0.351757,-1.820000,-0.560000,-0.140000,-56.383686,69.769012,-41.646717
1387535,-9.109801,3.498432,0.335007,0.350000,-0.140000,-0.560000,-58.155247,67.386047,-44.440430
1387555,-9.152873,3.543897,0.308685,1.890000,0.350000,-1.120000,-56.750244,69.289841,-42.570316
1387575,-9.162445,3.474503,0.265613,1.750000,0.630000,-1.330000,-54.804047,68.430962,-42.315048
1387595,-9.205518,3.340500,0.210576,1.540000,0.840000,-1.260000,-56.590084,69.804344,-41.639069
1387615,-9.179195,3.292642,0.229719,1.960000,1.050000,-0.560000,-56.253967,68.397408,-43.572952
1387635,-9.119372,3.464931,0.129217,2.660000,0.770000,0.000000,-56.453903,70.034012,-42.580570
1387655,-9.131337,3.496039,0.205790,1.960000,0.490000,-0.070000,-55.545719,68.030373,-42.100719
1387675,-9.138516,3.505610,0.174682,2.170000,0.210000,-0.210000,-56.006500,67.050583,-41.990944
1387695,-9.116980,3.543897,0.167504,3.010000,-0.210000,-0.560000,-55.954231,67.822159,-43.116192
1387715,-9.116980,3.596541,0.143574,3.360000,-0.840000,-1.260000,-55.475929,67.485497,-42.337959
1387735,-9.128944,3.546290,0.160325,3.500000,-1.330000,-1.750000,-56.055237,69.960381,-43.016850
1387755,-9.174410,3.369215,0.210576,3.640000,-1.820000,-1.890000,-55.103344,69.286079,-41.600716
1387775,-9.150480,3.421859,0.208183,3.430000,-2.170000,-1.540000,-54.574100,68.400581,-41.621044
1387795,-9.136123,3.498432,0.220148,2.870000,-2.520000,-1.400000,-54.299236,66.499954,-41.539242
1387815,-9.066729,3.402715,0.277577,1.960000,-2.940000,-1.260000,-54.992035,68.190384,-42.917179
1387835,-9.028442,3.378786,0.380472,1.820000,-2.590000,-1.120000,-56.439774,70.036987,-42.159580
1387855,-9.107409,3.500824,0.406794,1.820000,-1.890000,-0.630000,-55.622288,71.214104,-42.797508
1387875,-9.210303,3.541504,0.442688,1.120000,-1.330000,-0.350000,-57.813877,70.779976,-43.841084
1387895,-9.155267,3.519968,0.402009,0.910000,-0.840000,-0.420000,-52.840755,65.975739,-42.342869
1387915,-9.097836,3.613291,0.413973,1.330000,-0.210000,-0.420000,-56.840191,68.510338,-42.567707
1387935,-9.095444,3.551076,0.531226,1.610000,0.420000,-0.840000,-55.370110,69.868271,-41.075165
1387955,-9.100229,3.543897,0.581477,2.730000,0.840000,-1.050000,-55.061821,68.735260,-42.679935
1387975,-9.148088,3.543897,0.550369,3.990000,1.400000,-1.120000,-53.593060,68.772766,-40.860710
1387995,-9.160052,3.618077,0.464224,4.270000,2.100000,-1.190000,-57.234573,68.305092,-43.162193
1388015,-9.227054,3.701829,0.452260,3.640000,2.730000,-1.610000,-55.577370,69.343857,-43.409714
1388035,-9.231839,3.481681,0.392437,1.750000,3.360000,-2.030000,-55.510113,70.678146,-41.771782
1388055,-9.212696,3.275891,0.263220,1.610000,3.430000,-1.680000,-56.217148,67.845589,-44.792507
1388075,-9.128944,3.385965,0.083752,3.430000,3.220000,-0.910000,-56.908653,70.375626,-42.657154
1388095,-9.059550,3.496039,0.011965,3.220000,2.800000,-0.560000,-55.615932,68.295380,-43.034573
1388115,-9.097836,3.476896,-0.136396,1.960000,1.680000,-0.840000,-55.271606,70.090012,-43.139309
