Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
1359325,-5.798016,4.469952,6.748001,16.730000,17.639999,-20.650000,-57.032501,80.193565,-63.906422
1359345,-5.845874,4.333557,6.690571,17.080000,18.340000,-21.210001,-57.511688,79.489670,-63.186871
1359365,-5.920054,4.319199,6.546997,17.639999,18.830000,-21.350000,-56.340134,78.223267,-63.699581
1359385,-6.039700,4.213911,6.475209,17.360001,19.389999,-21.000000,-58.270561,76.165413,-63.911251
1359405,-6.111487,4.156481,6.331635,17.570000,19.600000,-20.370001,-57.831150,79.020409,-62.707172
1359425,-6.238311,4.149302,6.233526,17.500000,19.670000,-19.809999,-58.828846,80.524422,-62.013321
1359445,-6.343599,4.142124,6.128238,16.730000,19.460001,-19.110001,-55.915421,75.794617,-61.469414
1359465,-6.405815,4.127767,6.066022,15.610000,19.180000,-18.410000,-57.586754,74.752884,-61.642879
1359485,-6.503924,4.103837,6.018164,15.190001,19.040001,-17.639999,-58.555302,77.303383,-61.604832
1359505,-6.530246,4.127767,5.817160,15.540000,18.620001,-16.940001,-59.466557,76.386322,-62.602409
1359525,-6.594855,4.158874,5.754944,15.190001,18.059999,-16.100000,-61.383606,78.291702,-63.513477
1359545,-6.692964,4.101444,5.630513,14.700000,17.290001,-15.260000,-60.319546,77.081444,-61.071613
1359565,-6.731250,4.111016,5.503689,14.280000,16.379999,-14.280000,-60.491653,78.444130,-60.408344
1359585,-6.850896,4.120588,5.434294,13.300000,15.400000,-13.860000,-61.416603,77.803970,-60.655811
1359605,-6.874825,4.146910,5.434294,12.530000,14.280000,-13.160000,-59.188656,76.925606,-58.162910
1359625,-6.951398,4.051193,5.403186,12.460000,13.230000,-12.390000,-59.882771,77.295609,-59.214157
1359645,-6.927469,4.156481,5.436687,13.160000,12.390000,-11.900000,-59.436230,73.752426,-60.966721
1359665,-6.920290,4.302449,5.496510,12.530000,11.900000,-11.690000,-58.841366,77.120934,-58.971725
1359685,-6.905933,4.199553,5.537189,11.550000,11.970000,-11.830000,-58.369526,75.182999,-59.178230
