Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
1408267,-4.314413,4.824103,7.427587,4.060000,-0.140000,-1.400000,-35.283901,81.666443,-93.510429
1408287,-4.326378,4.824103,7.367764,3.150000,-0.280000,-1.260000,-35.366928,83.248894,-95.191956
1408307,-4.319199,4.773852,7.461087,2.100000,-0.350000,-1.330000,-34.450535,84.446823,-92.882957
1408327,-4.321592,4.714029,7.535267,1.470000,-0.420000,-1.470000,-35.290253,84.585175,-93.273369
1408347,-4.352700,4.670957,7.571161,1.190000,-0.490000,-1.610000,-35.949764,82.042397,-93.719696
1408367,-4.297663,4.582419,7.597483,1.190000,-0.210000,-1.470000,-35.304382,84.582199,-93.694359
1408387,-4.321592,4.615920,7.635770,1.470000,-0.420000,-1.610000,-34.427418,84.171906,-93.352402
1408407,-4.331164,4.553704,7.664485,1.470000,-0.840000,-1.820000,-34.316994,82.035660,-93.171082
1408427,-4.319199,4.501060,7.664485,1.470000,-1.050000,-1.960000,-39.039661,84.374580,-97.631340
1408447,-4.314413,4.491488,7.697985,1.820000,-0.980000,-1.960000,-36.555683,81.591621,-95.617958
1408467,-4.292877,4.527382,7.662092,1.960000,-0.770000,-1.890000,-34.314354,84.676491,-93.824455
1408487,-4.288091,4.489096,7.678842,2.030000,-0.700000,-1.820000,-34.318634,84.955376,-92.793694
1408507,-4.343128,4.414916,7.678842,2.030000,-0.490000,-1.680000,-36.172470,80.194595,-96.148544
1408527,-4.338342,4.484310,7.674056,2.380000,-0.280000,-1.680000,-35.427296,83.795753,-94.674057
1408547,-4.343128,4.441237,7.688414,2.730000,-0.280000,-1.610000,-36.970119,84.582001,-95.225273
1408567,-4.319199,4.460381,7.702771,3.290000,0.070000,-1.610000,-35.212799,82.441986,-94.074356
1408587,-4.352700,4.472345,7.674056,3.640000,0.140000,-1.330000,-36.392563,80.506828,-95.390793
1408607,-4.359879,4.484310,7.669271,3.920000,0.420000,-1.190000,-36.575733,84.787247,-94.630791
1408627,-4.369450,4.486702,7.654913,4.130000,0.350000,-1.260000,-38.646595,83.259399,-96.710167
1408647,-4.355093,4.532168,7.587912,4.130000,0.420000,-1.190000,-34.587147,83.937279,-93.112556
1408667,-4.414916,4.503453,7.623805,4.060000,0.490000,-1.050000,-35.640930,85.709267,-92.931564
1408687,-4.357486,4.529775,7.607055,4.060000,0.350000,-0.910000,-35.847439,81.224594,-94.145721
1408707,-4.321592,4.515418,7.628591,3.990000,0.350000,-0.700000,-36.398373,88.225426,-92.760834
1408727,-4.300056,4.584812,7.599876,3.990000,0.490000,-0.490000,-35.352798,83.251869,-94.770966
1408747,-4.314413,4.630277,7.575947,3.780000,0.420000,-0.700000,-35.469254,84.066704,-94.765930
1408767,-4.280912,4.663778,7.580733,3.710000,0.350000,-0.840000,-36.734146,85.873032,-94.717628
1408787,-4.237840,4.685314,7.580733,3.430000,0.280000,-0.910000,-35.110363,86.144180,-93.278580
1408807,-4.259377,4.642241,7.537661,3.290000,0.350000,-1.120000,-37.435608,83.601219,-95.255829
1408827,-4.254591,4.673349,7.568769,3.010000,0.280000,-1.400000,-36.786949,80.301582,-95.985275
1408847,-4.261769,4.644635,7.530482,3.010000,0.000000,-1.610000,-33.322254,82.130943,-93.160858
1408867,-4.302449,4.618313,7.575947,2.660000,-0.280000,-1.750000,-35.141693,83.217529,-94.638283
1408887,-4.388594,4.572847,7.614233,2.450000,-0.350000,-1.890000,-34.523823,81.791115,-94.334534
1408907,-4.333557,4.575240,7.590304,2.240000,-0.560000,-2.100000,-34.218060,82.537270,-94.064125
1408927,-4.328771,4.587205,7.650127,2.450000,-0.630000,-2.100000,-34.734039,82.866005,-95.965004
1408947,-4.359879,4.565669,7.609448,2.520000,-0.630000,-1.890000,-36.344578,81.557281,-95.485275
1408967,-4.347914,4.536954,7.571161,2.590000,-0.630000,-1.750000,-34.245888,82.811203,-93.735016
1408987,-4.400558,4.462774,7.635770,2.380000,-0.700000,-1.540000,-36.847313,80.848442,-95.467377
1409007,-4.338342,4.513025,7.640555,2.590000,-0.630000,-1.540000,-35.197350,83.765381,-93.980049
1409027,-4.316806,4.498667,7.669271,2.590000,-0.560000,-1.610000,-34.516041,84.712814,-93.676483
1409047,-4.326378,4.522596,7.630984,2.520000,-0.560000,-1.680000,-34.503662,83.115501,-94.099899
1409067,-4.343128,4.496274,7.628591,2.730000,-0.560000,-1.680000,-36.886204,84.040100,-95.041527
1409087,-4.249805,4.491488,7.662092,2.870000,-0.560000,-1.820000,-35.785751,81.998146,-94.990311
1409107,-4.285698,4.520204,7.645341,3.010000,-0.560000,-1.750000,-33.406170,82.672852,-93.344604
1409127,-4.304842,4.582419,7.657306,2.940000,-0.490000,-1.610000,-36.019978,82.307404,-94.653549
1409147,-4.292877,4.539347,7.654913,2.800000,-0.420000,-1.610000,-32.519783,82.264534,-92.721992
1409167,-4.300056,4.515418,7.666878,2.800000,-0.350000,-1.540000,-34.509693,81.794090,-93.913544
1409187,-4.273734,4.479524,7.650127,3.150000,-0.350000,-1.750000,-36.015701,82.028519,-95.684319
1409207,-4.331164,4.486702,7.688414,3.290000,-0.210000,-1.680000,-35.415695,85.677895,-92.377892
1409227,-4.304842,4.477131,7.676449,3.360000,-0.140000,-1.540000,-36.173679,83.394188,-94.600060
1409247,-4.304842,4.517810,7.662092,3.640000,-0.070000,-1.330000,-38.154594,82.645844,-96.682045
1409267,-4.292877,4.517810,7.664485,3.850000,0.210000,-1.260000,-39.213520,84.136978,-97.812485
1409287,-4.316806,4.508239,7.647734,3.780000,0.210000,-1.050000,-35.231640,82.438019,-94.635674
1409307,-4.288091,4.524989,7.659699,3.710000,0.280000,-0.910000,-34.804714,82.370331,-94.229980
1409327,-4.256983,4.587205,7.633377,3.710000,0.350000,-1.050000,-34.335835,82.031693,-93.732407
1409347,-4.237840,4.572847,7.595090,3.640000,0.420000,-1.120000,-34.486141,81.799049,-93.211891
1409367,-4.312020,4.589598,7.635770,3.360000,0.350000,-1.190000,-37.012184,80.332947,-96.538956
1409387,-4.254591,4.591990,7.650127,3.220000,0.280000,-1.190000,-37.410744,84.926590,-94.880867
1409407,-4.295270,4.568061,7.616626,3.220000,0.280000,-1.260000,-33.838692,81.698997,-92.392853
1409427,-4.283306,4.529775,7.630984,2.800000,0.280000,-1.260000,-33.527332,83.486694,-93.479897
1409447,-4.245019,4.546525,7.645341,2.800000,0.280000,-1.400000,-38.491573,83.493042,-97.090355
1409467,-4.264162,4.505846,7.628591,2.730000,0.280000,-1.540000,-34.785873,82.374298,-93.668655
1409487,-4.273734,4.522596,7.609448,2.590000,0.210000,-1.540000,-34.995663,83.729057,-94.128029
1409507,-4.295270,4.565669,7.592697,2.450000,0.140000,-1.400000,-34.157265,82.270287,-93.410934
1409527,-4.256983,4.556097,7.630984,2.450000,0.140000,-1.540000,-36.547909,84.513321,-94.959908
1409547,-4.292877,4.560883,7.619020,2.380000,0.000000,-1.540000,-37.309738,82.788361,-94.980209
1409567,-4.297663,4.584812,7.623805,2.310000,0.070000,-1.680000,-35.709938,82.774673,-95.413910
1409587,-4.314413,4.520204,7.647734,2.100000,0.000000,-1.750000,-34.877029,84.794380,-92.117561
1409607,-4.326378,4.539347,7.638163,1.960000,-0.140000,-1.750000,-36.926521,81.391335,-95.510796
