Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
1374040,-3.718579,5.675978,9.219875,17.920000,11.690000,-25.690001,-41.901051,86.029579,-68.580688
1374060,-4.288091,5.630513,8.659934,23.520000,20.370001,-33.740002,-41.873653,85.475777,-70.080902
1374080,-4.460381,4.941355,8.095208,28.139999,26.180000,-36.959999,-41.951218,83.098953,-70.501717
1374100,-4.658992,4.479524,7.339049,30.799999,29.680000,-38.290001,-45.228703,84.989632,-70.004417
1374120,-5.388829,4.060765,6.542211,31.430000,30.799999,-36.330002,-43.146782,83.599739,-68.021774
1374140,-5.173467,3.247176,5.817160,28.000000,28.630001,-29.680000,-44.041294,84.845688,-65.411758
1374160,-5.520439,3.457752,5.027500,25.760000,24.080000,-21.559999,-46.163101,83.866684,-66.692574
1374180,-5.692729,3.292642,4.675743,18.620001,16.870001,-12.460000,-44.784286,83.124695,-64.870735
1374200,-6.051664,3.634827,4.503453,4.690000,10.990000,-0.770000,-45.553791,82.998039,-64.327293
1374220,-6.001413,4.168446,4.833674,-5.670000,5.180000,8.050000,-46.764774,82.656227,-65.781631
1374240,-5.817160,5.233290,5.367293,-12.250000,1.540000,11.830000,-45.339722,81.364403,-64.898682
1374260,-5.754944,5.568297,6.089951,-17.430000,0.070000,12.390000,-48.691246,84.559631,-66.973358
1374280,-5.537189,5.738194,6.582890,-19.250000,0.350000,10.710000,-46.640541,84.763084,-65.128616
1374300,-5.474974,5.647263,7.092579,-13.860000,2.660000,7.630000,-46.280872,83.361107,-66.360847
1374320,-5.314649,5.695121,7.279226,-3.500000,6.160000,2.800000,-44.891750,83.661636,-65.756134
1374340,-5.309863,5.723836,7.240940,6.720000,9.800000,-2.800000,-46.631985,84.205322,-67.190147
1374360,-5.369686,5.580262,7.226583,13.720000,13.370000,-7.980000,-46.849121,82.918259,-67.136475
1374380,-5.381650,5.352935,7.181117,16.940001,16.590000,-12.110000,-47.826660,85.746658,-66.207993
1374400,-5.477366,4.962892,6.946612,19.250000,20.020000,-14.700000,-47.487148,83.020287,-67.674858
1374420,-5.635299,4.699671,6.508710,21.629999,22.680000,-14.910000,-44.971066,79.684532,-67.021355
1374440,-5.800409,4.620706,5.991842,21.420000,23.799999,-13.090000,-47.273861,84.866104,-65.526665
1374460,-5.963127,4.422094,5.381650,19.389999,22.820000,-9.800000,-47.276501,82.225281,-64.873291
1374480,-6.080379,4.553704,4.915033,16.030001,19.809999,-5.600000,-47.287239,80.902885,-64.827263
1374500,-6.202418,4.781030,4.637456,10.080000,15.400000,-1.750000,-46.093773,82.561142,-64.260933
1374520,-6.286170,5.005964,4.486702,4.480000,10.220000,0.700000,-50.508183,83.286240,-66.485985
1374540,-6.353171,5.135181,4.529775,0.980000,4.690000,1.890000,-47.021255,83.800148,-62.633228
1374560,-6.271812,5.372079,4.900676,1.050000,-0.420000,1.680000,-45.626213,80.902084,-63.436676
1374580,-6.070808,5.489331,5.352935,1.260000,-4.060000,0.420000,-48.157745,82.914452,-64.184479
1374600,-5.869803,5.405580,5.939198,1.820000,-5.740000,-1.470000,-47.329197,81.173836,-64.919144
1374620,-5.752551,5.214147,6.379493,5.320000,-4.410000,-3.220000,-46.537464,79.985031,-64.434250
1374640,-5.687943,4.917426,6.819788,8.820000,-1.540000,-4.830000,-48.334564,84.276146,-63.661541
1374660,-5.745372,5.034678,6.855682,14.700000,2.380000,-5.740000,-47.330944,79.573547,-65.763550
1374680,-5.814767,5.154324,6.728858,16.940001,6.510000,-6.790000,-49.366978,84.172920,-64.794411
1374700,-5.905697,5.053822,6.458459,16.660000,9.450000,-7.280000,-48.873661,84.879784,-65.092964
1374720,-5.946377,4.886318,6.123452,15.400000,10.920000,-6.930000,-46.708260,82.668129,-64.097672
1374740,-6.063629,4.910247,5.886554,15.400000,11.410000,-6.090000,-48.731586,81.430069,-63.602650
