Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z,gesture_id
0,-5.934412,-6.728858,11.115058,-336.839996,-87.5,-40.040001,-36.270222,33.480244,-41.625496,0.0,0,,,,,,,1
20,-13.357213,-11.813787,11.191631,-291.899994,-129.5,-27.09,-36.305828,30.832476,-41.95443,0.02,1,-7.422801,-5.084929,0.07657299999999978,-9.6458125,-9.2713225,11.1533445,1
40,-10.236861,-17.76495,13.663506,-223.300003,-185.990005,-19.67,-33.921562,31.02737,-36.328419,0.04,2,3.1203520000000005,-5.951162999999999,2.4718750000000007,-11.797037,-14.7893685,12.4275685,1
60,-8.968619,-21.488316,12.47423,-121.590004,-228.550003,-15.4,-30.652636,29.694466,-34.764179,0.06,3,1.268241999999999,-3.723366000000002,-1.1892759999999996,-9.60274,-19.626632999999998,13.068868,1
80,-8.092815,-22.239687,9.15048,5.67,-268.309998,-15.82,-29.017256,31.847757,-31.028967,0.08,4,0.8758040000000005,-0.7513709999999989,-3.3237500000000004,-8.530717,-21.8640015,10.812355,1
100,-6.843717,-21.579245,4.534561,112.840004,-292.390015,-20.860001,-27.391834,29.199196,-29.967314,0.1,5,1.249098,0.6604419999999998,-4.615919,-7.468266,-21.909466000000002,6.8425205,1
120,-7.413229,-21.399776,0.380472,203.350006,-306.179993,-21.42,-25.162563,29.641251,-27.801098,0.12,6,-0.5695120000000005,0.179469000000001,-4.154089,-7.128473,-21.4895105,2.4575165,1
140,-3.290249,-21.505066,-1.430959,316.890015,-323.329987,-7.07,-21.770723,29.094788,-25.257156,0.14,7,4.12298,-0.1052900000000001,-1.811431,-5.351739,-21.452421,-0.5252435000000001,1
160,-3.711401,-23.661076,-2.433588,462.910004,-338.730011,15.26,-22.616041,28.191605,-24.29011,0.16,8,-0.42115199999999975,-2.156010000000002,-1.0026289999999998,-3.500825,-22.583071,-1.9322735,1
180,-2.806881,-24.400484,-1.96697,626.150024,-344.75,43.610001,-21.526648,29.067387,-24.142162,0.18,9,0.9045199999999998,-0.7394079999999974,0.46661799999999976,-3.259141,-24.03078,-2.200279,1
200,-4.658992,-19.425629,-0.933234,754.320007,-360.5,92.610001,-21.859348,29.635698,-25.581234,0.2,10,-1.8521109999999994,4.974854999999998,1.0337360000000002,-3.7329365,-21.9130565,-1.450102,1
220,0.402009,-8.88726,3.706615,775.530029,-394.660004,145.600006,-20.818375,29.181154,-26.509899,0.22,11,5.061000999999999,10.538369000000001,4.639849,-2.1284915,-14.1564445,1.3866905000000003,1
240,-3.761652,-0.07418,6.020557,648.340027,-396.059998,204.539993,-17.758776,29.963673,-28.073912,0.24,12,-4.163661,8.81308,2.313942,-1.6798215,-4.48072,4.863586000000001,1
260,-5.063394,2.656128,8.930333,458.570007,-396.549988,248.080002,-16.848732,34.080322,-25.527847,0.26,13,-1.3017419999999995,2.730308,2.909775999999999,-4.412523,1.2909739999999998,7.475445000000001,1
280,-5.618548,-0.122038,8.525931,270.76001,-401.100006,267.679993,-19.547775,32.936363,-26.693853,0.28,14,-0.5551539999999999,-2.7781659999999997,-0.40440199999999926,-5.340971,1.267045,8.728131999999999,1
300,-5.080144,-4.321592,5.836303,128.380005,-405.720001,263.269989,-23.588842,31.501783,-27.061272,0.3,15,0.5384039999999999,-4.199554,-2.689628,-5.349345999999999,-2.221815,7.181117,1
320,-3.022243,-10.30147,2.474267,49.700001,-409.5,230.300003,-21.243685,25.84833,-23.453014,0.32,16,2.0579009999999998,-5.979878,-3.362036,-4.051193499999999,-7.3115310000000004,4.155285,1
340,-0.540797,-15.599368,0.050251,44.799999,-403.269989,181.580002,-19.405436,24.284918,-17.574289,0.34,17,2.481446,-5.297898,-2.4240160000000004,-1.7815199999999995,-12.950419,1.262259,1
360,2.555626,-17.185865,-2.00765,120.260002,-377.860016,135.520004,-24.383406,24.087366,-16.59466,0.36,18,3.096423,-1.5864969999999996,-2.0579009999999998,1.0074145000000005,-16.3926165,-0.9786995000000001,1
380,3.144281,-17.288761,-3.409894,248.080002,-344.190002,97.93,-27.076447,23.784018,-14.107047,0.38,19,0.5886549999999997,-0.10289600000000121,-1.402244,2.8499535000000007,-17.237313,-2.7087719999999997,1
400,4.919819,-13.912368,-3.921976,360.149994,-315.209991,75.739998,-25.815403,22.536444,-11.953488,0.4,20,1.7755380000000005,3.376393,-0.5120819999999999,4.032050000000001,-15.6005645,-3.665935,1
420,2.498196,-7.200261,-2.924134,412.579987,-290.149994,75.040001,-26.02573,19.091326,-14.805757,0.42,21,-2.4216230000000003,6.7121070000000005,0.9978419999999999,3.709007500000001,-10.556314500000001,-3.4230549999999997,1
440,3.651578,0.48576,-1.014593,340.200012,-273.980011,83.300003,-31.229336,19.12606,-19.390875,0.44,22,1.1533820000000001,7.686021,1.909541,3.0748870000000013,-3.3572505,-1.9693635,1
460,3.567826,2.837989,0.067001,161.279999,-266.0,73.779999,-28.565014,18.66279,-20.051588,0.46,23,-0.08375200000000005,2.352229,1.0815940000000002,3.6097020000000013,1.6618745,-0.47379600000000005,1
480,3.153853,0.440295,-1.387887,-25.129999,-258.299988,64.120003,-28.676758,19.478619,-19.906221,0.48,24,-0.41397300000000037,-2.397694,-1.4548880000000002,3.360839500000001,1.6391419999999999,-0.6604430000000001,1
500,2.038758,-2.017221,-4.276127,-164.220001,-242.619995,49.420002,-30.823002,17.454117,-20.390905,0.5,25,-1.1150949999999997,-2.457516,-2.8882399999999997,2.5963055000000006,-0.7884630000000001,-2.832007,1
520,1.337636,-4.785816,-7.573554,-247.520004,-222.880005,21.210001,-32.845795,21.015936,-17.502991,0.52,26,-0.701122,-2.7685949999999995,-3.297427,1.688197000000001,-3.4015185,-5.9248405,1
540,-0.914091,-8.729329,-10.52401,-276.5,-211.75,-13.72,-31.299179,18.709343,-11.473682,0.54,27,-2.251727,-3.9435130000000003,-2.950456000000001,0.21177250000000092,-6.7575725,-9.048782000000001,1
559,0.985878,-12.146401,-15.987019,-216.160004,-200.130005,-37.799999,-33.933495,20.778849,-9.126578,0.559,28,1.899969,-3.417071999999999,-5.463009,0.03589350000000091,-10.437864999999999,-13.2555145,1
579,2.584341,-10.973877,-22.366512,-97.720001,-157.080002,-35.84,-33.761414,18.935364,-5.949871,0.579,29,1.5984630000000002,1.1725239999999992,-6.379493,1.785109500000001,-11.560139,-19.176765500000002,1
599,3.924369,-5.580262,-24.845564,26.950001,-90.160004,-6.93,-35.517014,22.194868,-2.416408,0.599,30,1.3400279999999998,5.393615,-2.4790519999999994,3.254355000000001,-8.2770695,-23.606037999999998,1
619,2.189511,-2.479053,-16.283739,107.239998,-25.76,21.35,-34.860146,22.096806,-1.316703,0.619,31,-1.734858,3.1012090000000003,8.561824999999999,3.056940000000001,-4.0296575,-20.5646515,1
639,2.23019,-0.296721,-11.837716,83.650002,45.709999,43.119999,-33.998627,20.363121,-1.069056,0.639,32,0.04067899999999991,2.1823319999999997,4.446023,2.209850500000001,-1.387887,-14.0607275,1
659,1.672643,-3.852582,-13.357213,-43.049999,113.470001,54.740002,-34.079582,19.305727,-1.956882,0.659,33,-0.5575469999999998,-3.555861,-1.5194969999999994,1.951416500000001,-2.0746515,-12.597464500000001,1
