Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z,gesture_id
9174,0.923663,1.088773,9.822887,-147.070007,-175.210007,5.18,-60.963432,13.22073,-70.004494,9.174,487,2.053116,-1.641535,-1.4094230000000003,-0.10289500000000179,1.9095404999999999,10.527598499999998,69
9189,1.050487,-0.406794,9.02605,-155.259995,-183.680008,-15.82,-57.390465,11.514489,-72.854233,9.189,488,0.12682399999999994,-1.4955669999999999,-0.796837,0.9870749999999981,0.3409895,9.424468499999998,69
9209,2.876276,-1.768359,8.645576,-140.279999,-178.919998,-38.57,-55.060619,9.538445,-71.958458,9.209,489,1.8257889999999999,-1.3615650000000001,-0.38047399999999953,1.9633814999999981,-1.0875765,8.835812999999998,69
9229,3.220854,-1.938256,8.564219,-107.800003,-165.619995,-57.959999,-55.674644,10.406099,-74.464066,9.229,490,0.3445780000000003,-0.16989699999999996,-0.08135700000000057,3.048564999999998,-1.8533075,8.604897499999998,69
9249,3.582183,-1.940648,8.602505,-70.910004,-151.970001,-72.309998,-54.90218,8.933455,-75.711594,9.249,491,0.361329,-0.0023919999999999497,0.03828600000000115,3.401518499999998,-1.9394520000000002,8.583361999999997,69
9265,3.594148,-1.694179,8.511574,-37.310001,-140.0,-82.389999,-51.066757,6.443109,-74.216141,9.265,492,0.011965000000000003,0.24646899999999983,-0.0909310000000012,3.5881654999999983,-1.8174135000000002,8.557039499999998,69
9285,3.955477,-1.024165,8.470895,-8.12,-129.850006,-89.18,-47.216316,4.996278,-73.797478,9.285,493,0.361329,0.6700140000000001,-0.04067899999999902,3.7748124999999986,-1.359172,8.491234499999997,69
9305,3.807117,-0.945199,8.387143,9.52,-118.370003,-94.010002,-51.181114,5.098901,-77.25737,9.305,494,-0.14836000000000027,0.07896599999999998,-0.08375200000000049,3.881296999999998,-0.9846820000000001,8.429018999999998,69
9325,3.342893,-1.385494,8.403893,25.969999,-103.809998,-96.809998,-49.62669,6.1948,-74.409988,9.325,495,-0.46422399999999975,-0.440295,0.016750000000000043,3.575004999999998,-1.1653465,8.395518,69
9340,2.780559,-1.476424,8.387143,48.16,-86.940002,-97.370003,-47.669323,6.938181,-73.029648,9.34,496,-0.5623340000000003,-0.09092999999999996,-0.016750000000000043,3.0617259999999984,-1.430959,8.395518,69
9360,2.318728,-1.040915,8.760436,75.879997,-67.620003,-95.620003,-47.973763,7.51244,-73.626747,9.36,497,-0.46183099999999966,0.4355089999999999,0.3732930000000003,2.5496434999999984,-1.2586694999999999,8.573789499999998,69
9380,2.194297,-0.232112,8.971012,100.940002,-48.509998,-91.910004,-47.344723,7.688303,-72.197922,9.38,498,-0.12443099999999996,0.808803,0.21057599999999965,2.2565124999999986,-0.6365135000000001,8.865723999999998,69
9400,1.564962,1.057665,9.195946,115.080002,-30.799999,-86.940002,-48.153542,10.473433,-72.399727,9.4,499,-0.6293350000000002,1.2897770000000002,0.2249339999999993,1.8796294999999983,0.4127765,9.083478999999997,69
9415,1.060058,1.586498,9.643419,111.370003,-14.42,-84.279999,-50.048363,11.063354,-72.282455,9.415,500,-0.504904,0.5288329999999999,0.44747300000000045,1.3125099999999983,1.3220815,9.419682499999997,69
9435,0.784874,1.734858,10.246432,103.32,-0.77,-83.230003,-47.08466,13.784166,-68.595734,9.435,501,-0.275184,0.14836000000000005,0.6030130000000007,0.9224659999999982,1.6606779999999999,9.944925499999998,69
9455,-0.344579,1.935863,10.693906,95.269997,10.29,-82.040001,-52.665913,15.776666,-70.16774,9.455,502,-1.129453,0.20100499999999988,0.4474739999999997,0.2201474999999982,1.8353605,10.470168999999999,69
9475,-0.95477,2.062687,10.966698,85.75,16.309999,-78.120003,-50.336067,13.800623,-69.271965,9.475,503,-0.6101909999999999,0.12682400000000005,0.27279199999999904,-0.6496745000000018,1.999275,10.830301999999998,69
9490,-1.993292,2.531697,11.143773,76.440002,18.27,-73.220001,-50.276478,16.733223,-67.070274,9.49,504,-1.038522,0.4690099999999999,0.17707500000000032,-1.4740310000000019,2.297192,11.055235499999998,69
9510,-2.589127,2.976778,11.356742,65.940002,15.47,-70.07,-51.429306,13.483594,-67.218048,9.51,505,-0.5958349999999999,0.44508100000000006,0.21296900000000107,-2.2912095000000017,2.7542375,11.250257499999998,69
9530,-2.692022,3.129924,11.62714,46.900002,10.5,-68.949997,-53.477829,15.160294,-67.047287,9.53,506,-0.10289500000000018,0.153146,0.27039800000000014,-2.6405745000000014,3.053351,11.491940999999999,69
9550,-2.431195,3.26632,11.902325,33.810001,2.73,-64.260002,-54.804836,15.913192,-67.325493,9.55,507,0.2608269999999999,0.13639599999999996,0.2751849999999987,-2.561608500000002,3.1981219999999997,11.764732499999997,69
9566,-2.684843,4.060765,12.366549,25.129999,-7.0,-57.049999,-54.337597,18.494267,-66.450523,9.566,508,-0.25364799999999965,0.7944450000000001,0.46422399999999975,-2.5580190000000016,3.6635424999999997,12.134436999999998,69
9586,-3.184961,4.7236,13.14903,13.3,-16.24,-49.279999,-56.905628,16.818317,-66.029488,9.586,509,-0.5001180000000001,0.6628350000000003,0.7824810000000006,-2.934902000000002,4.3921825000000005,12.757789499999998,69
9606,-2.744666,4.788209,13.687434,3.22,-28.0,-40.25,-56.568218,16.250998,-64.450081,9.606,510,0.4402949999999999,0.06460899999999992,0.5384039999999999,-2.9648135000000018,4.7559045,13.418231999999998,69
9626,-2.591519,4.687707,14.21866,-0.14,-39.900002,-31.219999,-54.43314,16.673227,-65.090462,9.626,511,0.15314700000000014,-0.10050200000000054,0.5312260000000002,-2.668092500000002,4.737958,13.953046999999998,69
9641,-2.299585,3.902833,14.185159,1.26,-54.18,-22.469999,-55.388882,17.906286,-64.304741,9.641,512,0.2919339999999999,-0.7848739999999994,-0.03350099999999934,-2.445552000000002,4.29527,14.2019095,69
9661,-2.275656,2.87149,14.125337,10.22,-69.230003,-14.21,-57.811741,16.182119,-65.71563,9.661,513,0.023928999999999867,-1.0313430000000001,-0.059822000000000486,-2.287620500000002,3.3871615000000004,14.155247999999998,69
9681,-1.548212,2.00765,13.720935,33.670002,-85.68,-6.65,-56.55748,17.573395,-64.496109,9.681,514,0.7274440000000002,-0.8638400000000002,-0.40440199999999926,-1.9119340000000018,2.43957,13.923136,69
9701,-0.772909,1.765966,12.699163,66.290001,-101.290001,2.52,-56.736046,17.334803,-64.817574,9.701,515,0.775303,-0.241684,-1.0217720000000003,-1.1605605000000017,1.8868079999999998,13.210048999999998,69
9716,-0.351757,1.938256,11.086343,94.989998,-114.029999,12.32,-55.918556,18.511911,-65.455505,9.716,516,0.42115199999999997,0.17229000000000005,-1.612820000000001,-0.5623330000000017,1.8521109999999998,11.892752999999999,69
9736,0.349365,2.273263,9.459166,117.459999,-123.480003,20.790001,-55.119934,19.204258,-62.814781,9.736,517,0.701122,0.33500700000000005,-1.6271769999999997,-0.001196000000001779,2.1057595,10.272754499999998,69
9756,1.203633,2.794917,7.910954,130.899994,-129.919998,28.84,-52.966911,18.589909,-61.396065,9.756,518,0.854268,0.5216539999999998,-1.5482119999999995,0.7764989999999982,2.53409,8.685059999999998,69
9776,1.418995,3.429037,6.721679,137.199997,-132.229996,34.580002,-51.796562,20.523087,-60.360287,9.776,519,0.21536200000000005,0.6341200000000002,-1.1892750000000003,1.311313999999998,3.111977,7.316316499999998,69
9791,1.904755,3.555861,4.922212,127.610001,-131.460007,39.830002,-51.707508,20.262049,-58.865112,9.791,520,0.48575999999999997,0.12682400000000005,-1.799467,1.6618749999999982,3.492449,5.821945499999998,69
9811,2.002864,2.486232,4.522596,115.639999,-127.889999,35.349998,-49.589657,17.279802,-56.604233,9.811,521,0.09810900000000022,-1.069629,-0.39961599999999997,1.9538094999999984,3.0210465,4.722403999999998,69
9831,2.227798,1.732466,4.027264,113.540001,-122.779999,24.360001,-49.379761,20.445049,-54.923061,9.831,522,0.22493399999999975,-0.7537660000000002,-0.4953320000000003,2.1153309999999985,2.109349,4.274929999999998,69
9851,2.249334,1.115095,3.017457,116.690002,-113.050003,10.78,-50.99194,22.056046,-54.065945,9.851,523,0.02153600000000022,-0.6173710000000001,-1.009807,2.238565999999998,1.4237805,3.522360499999998,69
9867,2.033972,1.399851,2.0244,127.050003,-104.790001,-0.28,-46.688847,22.426645,-50.524426,9.867,524,-0.21536200000000028,0.284756,-0.9930569999999999,2.141652999999998,1.257473,2.5209284999999984,69
9887,2.110545,2.88824,1.002628,124.879997,-98.489998,-11.06,-47.016407,23.27582,-50.652073,9.887,525,0.07657300000000022,1.4883890000000002,-1.021772,2.072258499999998,2.1440455,1.5135139999999982,69
9907,2.026793,4.127767,0.497725,100.940002,-93.870003,-23.17,-45.451706,24.933447,-45.181835,9.907,526,-0.08375200000000005,1.2395270000000003,-0.5049030000000001,2.068668999999998,3.5080035,0.7501764999999982,69
9927,2.337871,5.29072,0.457045,64.260002,-83.650002,-34.650002,-47.241241,23.106262,-46.194675,9.927,527,0.31107799999999974,1.162953,-0.040679999999999994,2.182331999999998,4.7092435,0.47738499999999817,69
9943,2.663307,5.429509,0.356543,30.66,-76.019997,-45.57,-48.681309,23.35457,-46.000828,9.943,528,0.3254360000000003,0.13878900000000005,-0.10050199999999998,2.500588999999998,5.3601145,0.4067939999999982,69
9963,2.90499,5.659228,0.562333,8.89,-64.68,-54.599998,-47.168846,24.72142,-43.245316,9.963,529,0.2416830000000001,0.22971899999999934,0.20578999999999997,2.784148499999998,5.5443685,0.45943799999999824,69
9983,3.615684,6.628356,-0.20579,-16.73,-52.990002,-63.77,-50.037037,23.340851,-44.452129,9.983,530,0.7106939999999997,0.9691280000000004,-0.768123,3.260336999999998,6.1437919999999995,0.1782714999999982,69
10003,4.407737,6.762358,0.18904,-55.09,-32.970001,-77.840004,-49.647789,23.265232,-45.169075,10.003,531,0.7920530000000001,0.13400199999999973,0.39483,4.011710499999998,6.695357,-0.00837500000000177,69
10018,4.189982,5.831517,0.701122,-80.360001,-9.45,-92.260002,-48.655151,25.519562,-42.112572,10.018,532,-0.21775500000000036,-0.930841,0.512082,4.298859499999998,6.2969375,0.44508099999999823,69
10038,4.524989,5.869803,0.150753,-91.559998,15.05,-105.0,-51.374783,22.771351,-44.684311,10.038,533,0.33500700000000005,0.038286000000000264,-0.550369,4.3574854999999975,5.8506599999999995,0.42593749999999825,69
10058,4.302449,6.207203,1.107916,-99.330002,39.549999,-119.349998,-53.23365,22.24971,-48.128788,10.058,534,-0.22253999999999952,0.3373999999999997,0.9571629999999999,4.413718999999999,6.038503,0.6293344999999981,69
10078,4.742744,5.530011,2.223012,-105.349998,67.550003,-134.330002,-51.816269,22.55619,-46.682095,10.078,535,0.4402949999999999,-0.6771919999999998,1.1150960000000003,4.522596499999999,5.868607,1.6654639999999983,69
10093,4.759494,5.900911,3.146674,-102.410004,93.449997,-146.720001,-55.873535,23.758478,-48.264206,10.093,536,0.016750000000000043,0.3708999999999998,0.9236619999999998,4.751118999999998,5.7154609999999995,2.684842999999998,69
10113,3.105995,6.92029,5.132788,-105.699997,110.389999,-155.75,-56.184437,22.731457,-49.846039,10.113,537,-1.653499,1.0193789999999998,1.9861139999999997,3.9327444999999983,6.410600499999999,4.139730999999998,69
10133,1.476424,6.690571,7.647734,-107.870003,113.959999,-161.0,-58.878769,21.58849,-50.871712,10.133,538,-1.629571,-0.22971899999999934,2.514946,2.291209499999998,6.8054305,6.390260999999997,69
10153,-0.483367,6.511103,10.074143,-102.129997,99.889999,-160.300003,-58.600834,22.608572,-50.272194,10.153,539,-1.959791,-0.17946799999999996,2.4264089999999996,0.4965284999999982,6.600837,8.860938499999996,69
10168,-1.694179,7.071043,11.088737,-93.309998,67.340004,-150.990005,-66.546654,24.969887,-54.566704,10.168,540,-1.2108120000000002,0.5599400000000001,1.0145940000000007,-1.0887730000000018,6.791073000000001,10.581439999999997,69
10188,-3.632434,7.958812,12.246903,-94.010002,26.18,-135.240005,-67.251503,24.017494,-55.571922,10.188,541,-1.9382549999999998,0.8877689999999996,1.1581659999999996,-2.663306500000002,7.514927500000001,11.667819999999997,69
10208,-4.383808,7.82481,12.988705,-95.059998,-15.4,-115.57,-68.189835,19.414099,-55.119991,10.208,542,-0.7513740000000002,-0.13400199999999973,0.7418019999999999,-4.008121000000002,7.891811000000001,12.617803999999996,69
10228,-4.08948,6.810216,13.551039,-82.32,-48.299999,-94.43,-73.512856,21.862968,-58.995991,10.228,543,0.29432800000000015,-1.0145940000000007,0.5623339999999999,-4.236644000000002,7.317513,13.269871999999996,69
10243,-3.938727,6.389065,13.854938,-52.150002,-74.129997,-70.769997,-68.950783,18.729683,-56.638077,10.243,544,0.15075299999999991,-0.42115099999999916,0.30389900000000125,-4.014103500000002,6.5996405,13.702988499999996,69
10263,-3.034207,6.561354,13.419429,-16.940001,-92.400002,-45.779999,-67.223465,14.983437,-57.173546,10.263,545,0.9045200000000002,0.17228899999999925,-0.4355090000000015,-3.486467000000002,6.4752095,13.637183499999997,69
10283,-1.864075,6.80543,12.677627,8.68,-102.830002,-21.77,-71.268677,18.828539,-59.128368,10.283,546,1.170132,0.24407600000000063,-0.7418019999999999,-2.449141000000002,6.6833919999999996,13.048527999999997,69
10303,-0.763338,6.637927,12.139223,24.92,-105.279999,-2.1,-73.818619,21.116814,-59.266399,10.303,547,1.100737,-0.16750299999999996,-0.5384039999999999,-1.3137065000000017,6.7216785,12.408424999999998,69
10319,0.442688,6.223954,11.713285,38.57,-101.43,12.88,-70.608849,17.13118,-58.732746,10.319,548,1.206026,-0.41397300000000037,-0.4259379999999986,-0.16032500000000174,6.4309405,11.926253999999997,69
10339,1.280206,6.05645,11.237097,50.119999,-94.150002,23.1,-69.63295,17.2225,-59.283836,10.339,549,0.837518,-0.1675040000000001,-0.4761880000000005,0.8614469999999982,6.140202,11.475190999999999,69
10359,1.584105,5.967913,10.43308,60.060001,-85.050003,30.24,-70.067085,19.649166,-61.79467,10.359,550,0.30389900000000014,-0.08853699999999964,-0.804017,1.4321554999999981,6.0121815000000005,10.835088499999998,69
10379,1.588891,6.042093,9.461558,68.599998,-76.019997,35.630001,-66.623436,19.113607,-57.707096,10.379,551,0.004785999999999957,0.07418000000000013,-0.9715220000000002,1.5864979999999984,6.005003,9.947318999999997,69
10394,1.734858,6.324456,8.133494,71.610001,-67.269997,40.459999,-66.656403,19.106668,-58.689407,10.394,552,0.14596699999999996,0.28236299999999925,-1.3280639999999995,1.6618744999999984,6.1832745,8.797525999999998,69
10414,1.895183,6.676214,6.925076,65.239998,-58.029999,44.939999,-66.826759,22.069641,-57.181732,10.414,553,0.16032500000000005,0.35175800000000024,-1.2084180000000009,1.8150204999999984,6.500335,7.529284999999998,69
