Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z,gesture_id
144328,3.223247,0.571905,5.829124,332.5,-48.299999,57.119999,-49.521408,3.777692,-75.540092,144.328,7665,-0.3924369999999997,1.076809,0.04785800000000062,3.4194654999999976,0.03350050000000265,5.805194999999985,32
144348,3.206497,1.452495,5.640084,305.619995,-41.02,78.120003,-50.924549,7.994188,-75.343994,144.348,7666,-0.016750000000000043,0.8805900000000001,-0.18904000000000032,3.2148719999999975,1.0122000000000027,5.734603999999985,32
144368,1.96697,1.524282,6.274205,273.48999,-30.1,98.699997,-50.660748,9.011295,-75.165466,144.368,7667,-1.239527,0.07178699999999982,0.6341210000000004,2.5867334999999976,1.4883885000000028,5.957144499999985,32
144383,2.49341,2.321121,7.3893,240.309998,-22.889999,114.870003,-49.028328,12.763887,-70.726173,144.383,7668,0.5264399999999998,0.7968390000000003,1.1150950000000002,2.2301899999999977,1.9227015000000027,6.831752499999985,32
144403,1.543426,2.431195,7.997099,201.880005,-17.99,126.629997,-46.438961,12.083833,-68.621094,144.403,7669,-0.9499839999999999,0.110074,0.607799,2.0184179999999974,2.376158000000003,7.693199499999985,32
144423,0.837518,2.644163,8.418251,163.380005,-17.360001,134.889999,-45.472046,12.453045,-68.281754,144.423,7670,-0.705908,0.2129679999999996,0.4211519999999993,1.1904719999999975,2.5376790000000025,8.207674999999984,32
144443,0.203397,2.471874,9.296448,123.900002,-19.110001,139.089996,-44.443481,13.115018,-64.947021,144.443,7671,-0.6341209999999999,-0.1722889999999997,0.8781970000000001,0.5204574999999976,2.558018500000003,8.857349499999984,32
144458,0.023929,1.868861,9.763065,92.190002,-26.25,140.699997,-43.086464,13.968356,-62.982426,144.458,7672,-0.179468,-0.603013,0.4666169999999994,0.11366299999999756,2.170367500000003,9.529756499999984,32
144478,-0.260827,1.273027,9.629062,74.129997,-37.170002,141.259995,-41.173233,13.102527,-63.709469,144.478,7673,-0.28475599999999995,-0.5958340000000002,-0.13400299999999987,-0.11844900000000243,1.5709440000000026,9.696063499999983,32
144498,-0.366115,1.524282,9.286877,61.599998,-47.740002,140.350006,-39.781044,16.323765,-62.587036,144.498,7674,-0.10528800000000005,0.251255,-0.34218499999999885,-0.31347100000000244,1.3986545000000026,9.457969499999985,32
144518,-0.332614,1.993292,8.619255,38.080002,-58.73,135.029999,-36.4282,14.448956,-60.839046,144.518,7675,0.033501,0.46901000000000015,-0.6676219999999997,-0.34936450000000246,1.7587870000000025,8.953065999999986,32
144533,-0.011965,1.689393,8.408679,8.68,-67.269997,125.860001,-37.571499,15.721312,-59.484356,144.533,7676,0.320649,-0.30389900000000014,-0.21057600000000143,-0.17228950000000245,1.8413425000000028,8.513966999999985,32
144553,0.737016,0.957163,8.083243,-13.72,-74.129997,115.360001,-36.786228,12.931225,-59.984203,144.553,7677,0.748981,-0.7322299999999999,-0.32543599999999984,0.36252549999999756,1.3232780000000026,8.245960999999983,32
