Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z,gesture_id
1168969,-0.655657,-7.671663,7.607055,10.29,-6.16,-3.36,-68.77227,-20.190401,-72.650574,1168.969,62081,0.153146,-0.11725199999999969,0.33500700000000005,-0.7322300000000027,-7.613036999999995,7.439551499999993,52
1168989,-0.229719,-7.039936,7.621412,18.059999,-12.46,-6.51,-64.416702,-27.808359,-71.506813,1168.989,62082,0.42593800000000004,0.6317269999999997,0.014357000000000397,-0.4426880000000027,-7.355799499999995,7.614233499999994,52
1169009,-0.607799,-6.59964,7.133259,18.76,-14.98,-4.48,-68.384453,-26.10644,-74.262627,1169.009,62083,-0.37807999999999997,0.440296,-0.4881530000000005,-0.41875900000000266,-6.8197879999999955,7.377335499999994,52
1169025,-0.447474,-6.520675,6.908326,14.84,-14.77,-2.45,-67.802086,-25.660618,-73.066017,1169.025,62084,0.160325,0.07896500000000017,-0.22493300000000005,-0.5276365000000026,-6.560157499999995,7.0207924999999936,52
1169045,-0.768124,-6.436923,6.781502,3.43,-13.65,-2.87,-70.271927,-22.874695,-74.658409,1169.045,62085,-0.32065000000000005,0.0837519999999996,-0.12682400000000005,-0.6077990000000026,-6.478798999999995,6.844913999999994,52
1169065,-0.923663,-7.238547,6.680999,-3.99,-12.04,-2.87,-71.706825,-21.864725,-76.993111,1169.065,62086,-0.15553899999999998,-0.8016239999999994,-0.10050299999999979,-0.8458935000000027,-6.837734999999995,6.731250499999994,52
1169085,-0.138789,-7.394086,7.25769,4.2,-9.94,-2.03,-65.946579,-23.338757,-73.928535,1169.085,62087,0.7848740000000001,-0.1555390000000001,0.5766910000000003,-0.5312260000000026,-7.316316499999996,6.969344499999994,52
1169100,-0.720265,-7.506553,7.171546,5.95,-11.06,-3.29,-68.146271,-22.454449,-75.579453,1169.1,62088,-0.5814760000000001,-0.11246700000000054,-0.086144,-0.4295270000000027,-7.4503194999999955,7.214617999999994,52
1169120,-0.272792,-7.059079,6.748001,7.84,-11.34,-2.59,-67.682098,-22.794079,-75.222214,1169.12,62089,0.44747300000000007,0.4474740000000006,-0.42354499999999984,-0.4965285000000027,-7.282815999999995,6.959773499999994,52
1169140,-0.480975,-7.016006,6.82936,6.23,-9.8,-2.73,-67.964745,-23.815151,-75.962059,1169.14,62090,-0.208183,0.043072999999999695,0.08135899999999996,-0.37688350000000265,-7.037542499999995,6.788680499999995,52
1169160,-0.430723,-7.111723,6.853289,5.18,-8.54,-2.66,-68.902504,-23.137873,-76.957207,1169.16,62091,0.05025199999999996,-0.09571699999999961,0.023928999999999867,-0.45584900000000267,-7.063864499999996,6.841324499999994,52
1169175,-0.500118,-7.090187,6.958577,5.95,-7.98,-1.96,-66.781586,-23.199413,-74.178604,1169.175,62092,-0.06939499999999993,0.021535999999999333,0.10528799999999983,-0.4654205000000027,-7.1009549999999955,6.905932999999994,52
1169195,-0.490546,-6.93704,6.922683,5.74,-8.26,-1.33,-68.622932,-25.037506,-76.735077,1169.195,62093,0.00957199999999997,0.1531470000000006,-0.03589399999999987,-0.49533200000000266,-7.0136134999999955,6.940629999999993,52
