Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z,gesture_id
913048,6.889183,-4.309628,1.49796,86.590004,84.279999,-30.450001,-56.910988,-10.302686,-73.500626,913.048,48491,-2.0914010000000003,0.9786989999999998,1.225168,7.9348835,-4.798977499999969,0.885375999999952,68
913064,5.326613,-3.407501,1.031343,61.040001,92.190002,-34.509998,-56.346134,-8.540414,-73.192009,913.064,48492,-1.56257,0.9021270000000001,-0.46661700000000006,6.1078980000000005,-3.8585644999999698,1.2646514999999519,68
913084,3.28307,-1.794681,3.732937,44.66,98.489998,-18.690001,-57.144325,-8.952887,-74.661644,913.084,48493,-2.043543,1.61282,2.701594,4.3048415,-2.6010909999999696,2.382139999999952,68
913104,0.303899,1.131845,5.671192,34.93,104.860001,4.9,-61.571541,-6.910347,-77.634369,913.104,48494,-2.979171,2.926526,1.9382549999999994,1.7934845,-0.3314179999999698,4.702064499999953,68
913124,0.387651,4.663778,6.190453,5.25,105.489998,38.360001,-61.252972,-7.481631,-76.616287,913.124,48495,0.08375200000000005,3.5319329999999995,0.5192610000000002,0.345775,2.89781150000003,5.930822499999952,68
913139,-2.924134,5.876982,7.243333,-22.049999,105.699997,75.669998,-58.768532,-9.503911,-77.271782,913.139,48496,-3.311785,1.2132040000000002,1.05288,-1.2682415,5.27038000000003,6.716892999999952,68
913159,-5.025107,7.080615,8.145459,-52.709999,100.099998,109.900002,-61.446987,-9.043615,-77.032066,913.159,48497,-2.100973,1.203633,0.9021260000000009,-3.9746205000000003,6.47879850000003,7.694395999999952,68
913179,-6.695357,6.556568,8.784366,-94.220001,89.32,137.339996,-63.648891,-10.520266,-76.858513,913.179,48498,-1.6702499999999993,-0.5240469999999995,0.6389069999999997,-5.860232,6.81859150000003,8.464912499999953,68
913199,-7.537661,6.82936,9.332341,-134.680008,74.410004,159.389999,-64.923195,-8.715921,-77.090874,913.199,48499,-0.8423040000000004,0.2727919999999999,0.5479749999999992,-7.116509,6.69296400000003,9.058353499999953,68
913215,-8.229211,6.334028,9.167231,-161.910004,57.119999,171.639999,-66.319237,-11.378404,-76.011444,913.215,48500,-0.6915499999999994,-0.4953320000000003,-0.1651100000000003,-7.883436,6.581694000000031,9.24978599999995,68
913235,-8.961441,4.161267,9.987998,-188.369995,37.52,165.690002,-67.690414,-12.715514,-74.557053,913.235,48501,-0.7322300000000013,-2.1727610000000004,0.820767,-8.595326,5.2476475000000296,9.577614499999951,68
913255,-7.587912,4.213911,10.567082,-214.759995,17.57,146.509995,-71.000977,-15.351787,-76.26387,913.255,48502,1.3735290000000004,0.0526440000000008,0.5790839999999999,-8.2746765,4.18758900000003,10.277539999999952,68
913275,-5.503689,2.881061,13.409857,-245.139999,-5.74,124.18,-70.636627,-17.233576,-73.5158,913.275,48503,2.0842230000000006,-1.3328500000000005,2.8427750000000014,-6.5458005,3.5474860000000303,11.988469499999951,68
913290,-4.314413,-0.433116,16.501493,-228.410004,-26.18,112.910004,-73.602898,-18.556013,-71.487373,913.29,48504,1.1892759999999996,-3.314177,3.0916359999999994,-4.909051,1.22397250000003,14.955674999999953,68
913310,-3.103602,-1.493175,18.765184,-181.440002,-34.23,112.489998,-74.450844,-22.100029,-69.866959,913.31,48505,1.210811,-1.0600589999999999,2.2636910000000015,-3.7090075000000002,-0.9631454999999698,17.63333849999995,68
913330,-3.819081,-3.965049,21.045628,-138.949997,-45.360001,120.540001,-75.104782,-24.082062,-67.830765,913.33,48506,-0.7154790000000002,-2.471874,2.2804439999999992,-3.4613415,-2.7291119999999696,19.905405999999957,68
913350,-4.513025,-6.573318,22.122435,-99.050003,-65.590004,123.059998,-76.141045,-23.626524,-66.761772,913.35,48507,-0.6939439999999997,-2.6082690000000004,1.0768069999999987,-4.166053,-5.26918349999997,21.584031499999952,68
913365,-4.513025,-8.296212,22.007576,-90.860001,-98.699997,98.629997,-77.641487,-22.831354,-66.050018,913.365,48508,0.0,-1.7228940000000001,-0.11485899999999916,-4.513025,-7.43476499999997,22.065005499999955,68
913385,-4.144517,-13.213638,22.888166,-83.230003,-141.470001,49.0,-79.717834,-20.880732,-65.55014,913.385,48509,0.3685080000000003,-4.917425999999999,0.880589999999998,-4.328771,-10.75492499999997,22.447870999999953,68
913405,-4.623098,-14.87671,21.758713,-41.860001,-175.910004,1.05,-77.884811,-26.764214,-66.044624,913.405,48510,-0.47858100000000015,-1.6630719999999997,-1.129452999999998,-4.3838075,-14.04517399999997,22.323439499999953,68
913425,-5.254826,-13.397892,19.093014,-7.91,-200.199997,-29.610001,-75.660683,-26.603018,-65.189835,913.425,48511,-0.6317280000000007,1.4788179999999986,-2.665699,-4.938962,-14.137300999999969,20.425863499999956,68
913440,-5.053822,-12.450301,16.219131,-4.55,-219.869995,-52.920002,-75.204613,-25.624218,-65.439934,913.44,48512,0.20100400000000018,0.947591000000001,-2.8738829999999993,-5.154324000000001,-12.924096499999969,17.656072499999954,68
913460,-4.950927,-13.211246,13.831009,-10.08,-233.100006,-75.809998,-73.798393,-26.920008,-65.118317,913.46,48513,0.10289500000000018,-0.7609449999999995,-2.388122000000001,-5.0023745,-12.83077349999997,15.025069999999953,68
913480,-4.508239,-12.517303,11.131808,2.38,-238.699997,-98.910004,-71.142174,-26.064846,-66.386375,913.48,48514,0.4426880000000004,0.6939429999999991,-2.6992010000000004,-4.729583,-12.864274499999969,12.481408499999954,68
913500,-4.393379,-11.366313,8.76283,28.77,-237.440002,-118.300003,-69.301682,-24.786503,-66.172096,913.5,48515,0.1148599999999993,1.1509900000000002,-2.3689780000000003,-4.4508090000000005,-11.94180799999997,9.947318999999954,68
913515,-3.967442,-10.002356,5.831517,48.23,-233.660004,-132.020004,-68.021347,-25.26944,-66.126099,913.515,48516,0.42593700000000023,1.3639569999999992,-2.9313129999999994,-4.180410500000001,-10.68433449999997,7.297173499999953,68
913535,-3.306999,-7.913347,2.823632,58.869999,-228.619995,-142.869995,-64.334457,-25.911346,-67.105698,913.535,48517,0.6604430000000003,2.089009000000001,-3.007885,-3.6372205000000006,-8.95785149999997,4.327574499999954,68
913555,-2.321121,-6.568533,0.533619,48.369999,-220.850006,-153.860001,-59.240032,-26.528629,-68.090363,913.555,48518,0.9858779999999996,1.3448139999999995,-2.290013,-2.8140600000000004,-7.24093999999997,1.6786254999999537,68
