Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z,gesture_id
0,2.744666,-3.646792,-2.09858,18.969999,-196.630005,76.790001,-15.877269,22.036846,40.18071,0.0,0,,,,,,,14
20,2.091402,-2.613056,-4.300056,14.56,-243.180008,70.279999,-16.335091,19.457756,39.586407,0.02,1,-0.6532640000000001,1.0337360000000002,-2.2014759999999995,2.418034,-3.129924,-3.199318,14
40,0.82316,-0.433116,-4.225876,9.52,-277.339996,50.400002,-18.611055,18.804863,41.027962,0.04,2,-1.2682419999999999,2.1799399999999998,0.07417999999999925,1.457281,-1.523086,-4.2629660000000005,14
60,1.246705,1.428566,-6.740822,0.07,-305.130005,32.200001,-19.102222,19.497368,47.182003,0.06,3,0.42354499999999995,1.861682,-2.5149459999999992,1.0349325,0.497725,-5.4833490000000005,14
75,2.170368,3.034207,-7.884632,-2.24,-311.850006,4.76,-17.966732,14.822519,49.009235,0.075,4,0.9236629999999999,1.6056409999999999,-1.1438100000000002,1.7085365,2.2313865,-7.312727,14
95,3.196925,2.500589,-8.820259,-5.25,-277.690002,-19.040001,-24.09182,16.936871,49.705441,0.095,5,1.026557,-0.5336179999999997,-0.9356270000000002,2.6836465,2.767398,-8.3524455,14
115,4.154088,1.847325,-9.708028,9.94,-249.130005,-12.81,-24.860029,17.649839,53.762177,0.115,6,0.957163,-0.6532640000000001,-0.8877690000000005,3.6755065,2.173957,-9.2641435,14
135,5.573083,0.949984,-10.224896,25.690001,-215.880005,-0.21,-27.284557,18.36459,56.568653,0.135,7,1.4189949999999998,-0.897341,-0.5168679999999988,4.863585499999999,1.3986545000000001,-9.966462,14
150,6.489567,0.356543,-10.813552,4.69,-169.889999,-6.86,-28.876257,17.059835,57.609699,0.15,8,0.9164840000000005,-0.5934410000000001,-0.5886560000000003,6.031325,0.6532635,-10.519224,14
170,7.059079,-1.619999,-11.12463,-21.77,-122.43,-29.190001,-33.453381,18.668808,60.168552,0.17,9,0.5695119999999996,-1.976542,-0.3110780000000002,6.774323,-0.6317280000000001,-10.969090999999999,14
190,7.999492,-4.008121,-11.794644,-39.689999,-82.32,-48.439999,-32.619263,17.488922,61.916412,0.19,10,0.9404130000000004,-2.388122,-0.6700140000000001,7.5292855,-2.81406,-11.459637,14
210,9.7176,-8.57379,-13.256711,-48.02,-42.0,-65.379997,-33.9604,18.238846,61.217216,0.21,11,1.718107999999999,-4.565669000000001,-1.4620669999999993,8.858545999999999,-6.290955500000001,-12.5256775,14
225,10.658012,-12.660876,-13.787936,-48.790001,0.98,-102.480003,-35.478355,20.350464,61.040958,0.225,12,0.9404120000000002,-4.087085999999999,-0.531225000000001,10.187805999999998,-10.617333,-13.522323499999999,14
245,10.612547,-15.328969,-14.051156,-46.900002,38.009998,-158.130005,-33.856323,19.021324,61.635597,0.245,13,-0.04546500000000009,-2.6680930000000007,-0.26322000000000045,10.6352795,-13.9949225,-13.919546,14
265,9.095444,-15.30504,-13.582147,-36.68,57.189999,-225.399994,-37.915665,22.863453,59.259781,0.265,14,-1.5171029999999988,0.023929000000000755,0.4690089999999998,9.8539955,-15.3170045,-13.8166515,14
285,7.717129,-13.022206,-15.108822,1.61,47.810001,-277.480011,-37.032669,23.774567,59.415375,0.285,15,-1.3783150000000006,2.2828339999999994,-1.5266749999999991,8.4062865,-14.163623,-14.345484500000001,14
300,7.212225,-6.52546,-17.413193,39.689999,23.24,-326.059998,-38.194916,20.522957,58.98695,0.3,16,-0.5049039999999998,6.496746000000001,-2.3043709999999997,7.464676999999999,-9.773833,-16.2610075,14
320,12.751807,5.486938,-23.953011,67.199997,2.73,-313.25,-39.734241,24.509779,60.124546,0.32,17,5.539581999999999,12.012398000000001,-6.539818,9.982015999999998,-0.5192609999999989,-20.683102,14
340,25.975018,21.476351,-32.443047,93.870003,37.310001,-190.119995,-43.763248,25.718014,59.384415,0.34,18,13.223211,15.989413,-8.490036,19.363412499999995,13.481644500000002,-28.198029000000002,14
360,22.273188,9.353878,-27.405977,54.880001,169.539993,-36.889999,-47.483433,30.593113,59.432411,0.36,19,-3.7018299999999975,-12.122473000000001,5.03707,24.124102999999998,15.415114500000001,-29.924512000000004,14
374,16.286133,-5.314649,-22.086542,60.130001,207.690002,17.360001,-42.47263,25.796804,62.053268,0.374,20,-5.987055000000002,-14.668527000000001,5.319434999999999,19.2796605,2.0196145,-24.7462595,14
394,15.498866,-1.095952,-23.213602,64.050003,200.339996,-33.810001,-41.838417,26.734329,60.953537,0.394,21,-0.7872669999999999,4.218697000000001,-1.1270600000000002,15.892499499999998,-3.2053005,-22.650072,14
414,15.797979,7.126081,-25.465328,-5.88,229.809998,-114.800003,-39.757359,24.784695,60.593994,0.414,22,0.2991130000000002,8.222033,-2.251725999999998,15.648422499999999,3.0150645,-24.339465,14
434,12.273226,8.123923,-24.173157,-82.809998,292.809998,-146.300003,-38.090733,25.825436,60.627129,0.434,23,-3.5247530000000005,0.9978419999999995,1.2921709999999997,14.035602499999998,7.625001999999999,-24.8192425,14
449,6.721679,7.123687,-21.581638,-125.300003,336.070007,-143.850006,-34.671036,25.485847,59.00198,0.449,24,-5.551546999999999,-1.0002359999999992,2.591518999999998,9.497452499999998,7.623805,-22.8773975,14
