Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z,gesture_id
4136,-5.673585,-8.166995,-17.729055,65.449997,206.009995,-55.720001,-95.350929,54.233063,67.308105,4.136,221,1.4668529999999995,-1.98372,-4.099049999999998,-6.407011499999999,-7.175135,-15.679529999999998,22
4156,-1.457281,-8.123923,-21.447636,79.940002,243.600006,-75.599998,-95.453705,54.290203,70.403008,4.156,222,4.216304,0.04307200000000044,-3.7185810000000004,-3.565433,-8.145458999999999,-19.588345499999996,22
4176,-0.385258,-5.920054,-22.995848,55.299999,282.869995,-67.550003,-94.472839,49.18079,77.62149,4.176,223,1.0720230000000002,2.203868999999999,-1.5482119999999995,-0.9212695,-7.0219885,-22.221742,22
4191,2.47666,-5.489331,-24.44595,-71.120003,302.75,-53.830002,-91.509293,46.42001,87.766373,4.191,224,2.8619179999999997,0.4307230000000004,-1.4501020000000011,1.045701,-5.7046925,-23.720898999999996,22
4211,3.802331,-6.307706,-25.616081,-218.680008,332.360016,-58.52,-80.21077,37.183086,96.427048,4.211,225,1.3256710000000003,-0.8183749999999996,-1.1701310000000014,3.1394954999999998,-5.8985185,-25.0310155,22
4231,5.747765,-5.692729,-29.99271,-297.149994,426.160004,-32.34,-68.475044,25.84339,91.534569,4.231,226,1.945434,0.6149769999999997,-4.376628999999998,4.775048,-6.0002175,-27.8043955,22
4251,5.106466,-6.898754,-32.737377,-318.079987,599.549988,5.46,-60.782288,21.190552,79.022812,4.251,227,-0.6412990000000001,-1.2060250000000003,-2.7446670000000033,5.4271155,-6.2957415,-31.3650435,22
4266,2.998314,1.280206,-28.422962,-195.089996,838.25,105.629997,-53.48518,18.570461,75.145012,4.266,228,-2.108152,8.17896,4.314415000000004,4.052390000000001,-2.8092740000000003,-30.580169499999997,22
4286,-0.514475,8.77958,-19.61706,-34.439999,980.630005,260.679993,-47.769306,21.169739,64.632988,4.286,229,-3.512789,7.4993739999999995,8.805902,1.2419195000000005,5.0298929999999995,-24.020010999999997,22
4306,-2.005257,10.847053,-5.297898,46.689999,919.660034,364.140015,-39.679901,22.641512,59.793003,4.306,230,-1.4907819999999998,2.0674730000000014,14.319161999999999,-1.2598659999999995,9.813316499999999,-12.457479,22
4326,0.686765,10.914054,5.42233,74.760002,683.059998,347.059998,-30.787571,25.007549,52.723,4.326,231,2.6920219999999997,0.06700099999999942,10.720227999999999,-0.6592459999999996,10.880553500000001,0.06221599999999983,22
4341,4.448416,11.725249,4.70685,74.340004,454.580017,281.679993,-23.598364,22.644531,46.788708,4.341,232,3.761651,0.8111949999999997,-0.7154799999999994,2.5675905000000006,11.319651499999999,5.06459,22
4361,2.392908,11.990863,5.556333,69.790001,366.660004,270.549988,-17.608219,17.581718,41.645535,4.361,233,-2.055508,0.26561399999999935,0.8494830000000002,3.420662,11.858056,5.131591500000001,22
4381,5.874589,9.030835,8.210068,86.099998,294.700012,303.309998,-16.123201,15.943956,36.999504,4.381,234,3.4816810000000005,-2.9600279999999994,2.6537349999999993,4.1337485,10.510849,6.883200500000001,22
4401,7.025578,3.067708,7.03515,111.790001,219.940002,287.769989,-12.154101,16.043249,35.588657,4.401,235,1.150989,-5.963127,-1.174918,6.4500835,6.0492715,7.622609000000001,22
4416,7.999492,1.107916,7.252904,96.040001,141.330002,195.930008,-12.498079,10.489286,31.802715,4.416,236,0.9739139999999997,-1.9597920000000002,0.21775400000000023,7.512535,2.087812,7.144027000000001,22
4436,9.399343,0.892555,1.500353,60.900002,92.260002,120.050003,-11.111135,8.909658,30.391922,4.436,237,1.399851,-0.2153609999999999,-5.752551,8.699417500000001,1.0002355,4.376628500000001,22
4456,10.267968,-0.409187,0.13161,41.299999,91.07,98.349998,-12.373498,8.836815,28.56505,4.456,238,0.8686249999999998,-1.301742,-1.368743,9.8336555,0.24168399999999998,0.8159815000000009,22
4476,9.856388,-1.507532,-0.122038,51.73,119.419998,92.190002,-11.83658,6.353011,27.980972,4.476,239,-0.41157999999999895,-1.0983450000000001,-0.253648,10.062178000000001,-0.9583595,0.004786000000000894,22
4491,10.105251,-2.948063,-0.631728,68.809998,123.620003,69.93,-13.404703,5.534011,25.883694,4.491,240,0.24886300000000006,-1.4405309999999998,-0.50969,9.980819500000003,-2.2277975,-0.3768829999999991,22
4511,9.779816,-5.163896,-0.739409,56.139999,120.889999,43.049999,-9.737972,3.567723,24.669458,4.511,241,-0.3254350000000006,-2.2158330000000004,-0.10768100000000003,9.942533500000001,-4.0559795,-0.6855684999999991,22
