Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id
8023,0.969128,-4.721208,9.143302,-25.059999,3.36,1.96,-70.637283,3.372394,-99.021713,8.023,426
8043,1.103131,-5.020321,9.255769,-26.040001,3.64,1.26,-69.368896,4.766645,-97.381195,8.043,427
8059,1.155775,-4.759494,9.11698,-21.139999,4.27,1.54,-70.354652,4.393467,-98.28186,8.059,428
8079,1.203633,-4.551311,9.009299,-18.9,4.97,1.47,-70.443275,4.934378,-98.605942,8.079,429
8099,1.246705,-4.685314,8.786758,-20.58,4.2,2.38,-69.808311,1.911646,-98.585281,8.099,430
8119,0.99545,-4.745137,8.193317,-22.190001,5.18,2.45,-69.821121,3.229087,-99.332954,8.119,431
8134,0.866233,-4.905462,8.066493,-22.610001,4.13,2.31,-68.508698,1.712547,-96.806862,8.134,432
8154,0.842304,-5.005964,8.159817,-22.26,1.68,0.56,-69.469582,2.664742,-97.332565,8.154,433
8174,0.902126,-5.321827,8.372786,-16.1,-1.12,-0.77,-71.563553,1.411816,-98.942497,8.174,434
8194,0.777695,-4.960498,8.233996,-7.98,-3.43,-1.68,-72.633217,1.58054,-100.026909,8.194,435
8209,0.875804,-5.120823,8.38475,-3.15,-5.32,-1.61,-70.040787,3.821191,-97.404106,8.209,436
8229,1.026558,-5.329006,8.31057,0.28,-6.44,-0.91,-69.790794,0.595195,-97.697273,8.229,437
8249,0.918877,-5.106466,8.339285,1.89,-5.81,-1.47,-68.819168,0.965399,-97.217598,8.249,438
8269,0.763338,-5.331399,8.466109,2.03,-5.39,-2.38,-67.566231,1.036259,-95.671387,8.269,439
8285,0.897341,-5.350543,8.686256,2.94,-5.88,-2.94,-68.755409,-0.900884,-97.268486,8.285,440
8305,1.045701,-5.204575,8.76283,2.87,-6.51,-3.36,-71.658646,0.351447,-100.251312,8.305,441
8325,1.093559,-5.240469,8.719757,3.29,-5.95,-3.15,-68.083527,0.04457,-97.245575,8.325,442
8345,1.112702,-5.285934,8.63122,4.06,-5.11,-2.45,-70.880608,-0.560461,-99.016319,8.345,443
8360,1.036129,-5.025107,8.650363,4.55,-4.41,-1.82,-68.17215,0.58548,-97.569656,8.36,444
8380,1.105524,-5.135181,8.693435,1.96,-4.48,-1.26,-70.466499,0.689292,-99.358299,8.38,445
8400,1.170132,-5.163896,8.731722,1.61,-3.99,-1.12,-71.59478,3.005166,-99.080399,8.4,446
8420,1.076809,-4.998785,8.537896,1.82,-2.94,-1.19,-69.488419,2.660777,-97.893883,8.42,447
8436,0.988271,-4.828888,8.664721,0.49,-2.52,-0.84,-70.323425,2.800118,-98.143959,8.436,448
8456,1.064844,-4.929391,8.7054,-3.92,-2.66,-0.56,-69.473854,2.943623,-96.301796,8.456,449
8476,1.031343,-5.070572,8.770008,-7.42,-2.17,-0.7,-68.577278,-0.942163,-98.118111,8.476,450
8496,1.024165,-5.068179,8.669506,-10.43,-1.54,-1.61,-68.623512,-0.392331,-97.179214,8.496,451
8511,1.083987,-5.218933,8.693435,-12.67,-0.98,-0.98,-68.84272,0.960442,-97.91925,8.511,452
8531,1.107916,-5.020321,8.89444,-18.059999,0.91,0.14,-71.392769,-1.271286,-99.279076,8.531,453
8551,1.040915,-4.993999,8.805902,-26.389999,2.8,2.38,-71.217163,0.566605,-98.253532,8.551,454
8571,1.263456,-5.532403,9.358664,-31.219999,6.93,3.36,-70.711464,-0.32385,-98.97551,8.571,455
8586,1.665464,-6.288562,10.296683,-36.959999,12.25,8.26,-69.121429,3.41982,-95.799187,8.586,456
8606,1.854504,-6.159346,10.445044,-52.290001,19.809999,14.14,-68.346901,-0.692665,-96.253006,8.606,457
8626,1.856897,-6.616391,9.645813,-75.110001,27.16,21.98,-69.935959,0.643413,-95.865334,8.626,458
8646,1.545819,-6.09713,9.064336,-116.970001,32.48,37.170002,-71.327263,-1.537281,-98.485558,8.646,459
8661,1.122274,-5.936805,8.406286,-173.320007,37.450001,53.41,-72.388832,-2.686989,-98.962616,8.661,460
8681,0.3374,-8.308177,7.674056,-205.309998,40.32,68.389999,-69.924576,-6.514446,-96.012772,8.681,461
8701,0.064609,-10.064571,6.908326,-202.720001,39.41,83.790001,-75.641121,-3.711077,-98.141068,8.701,462
8721,-0.385258,-10.232075,6.168917,-168.139999,40.040001,90.720001,-74.202049,-9.51993,-98.058937,8.721,463
8736,-0.916484,-9.973641,5.994235,-129.220001,39.830002,94.57,-73.561516,-11.981927,-95.555748,8.736,464
8756,-0.964342,-9.356271,5.467795,-102.199997,35.700001,94.639999,-73.183899,-14.420486,-94.728882,8.756,465
8776,-1.421387,-8.233996,4.728386,-81.059998,32.689999,90.720001,-76.227585,-13.118946,-95.739449,8.776,466
8796,-1.708536,-8.155031,4.879139,-74.059998,26.950001,91.279999,-76.00235,-13.150312,-95.185768,8.796,467
8812,-1.864075,-8.466109,4.510632,-79.660004,19.950001,91.769997,-78.715523,-14.297245,-96.772766,8.812,468
8832,-2.242155,-7.755415,3.979406,-94.779999,12.18,95.900002,-80.862663,-17.362289,-95.759666,8.832,469
8852,-2.086616,-7.681235,3.625256,-132.509995,0.98,100.309998,-78.459526,-16.682631,-93.412308,8.852,470
8872,-2.581948,-7.571161,4.216304,-174.789993,-6.09,102.129997,-78.738777,-19.023127,-93.685143,8.872,471
8888,-3.783188,-9.485488,3.170603,-192.990005,-14.21,101.989998,-80.389526,-18.460604,-92.452881,8.888,472
8908,-4.302449,-12.648912,2.443159,-144.830002,-30.24,99.540001,-80.421745,-22.427801,-92.314804,8.908,473
8928,-4.283306,-13.220818,1.52189,-50.189999,-43.330002,86.730003,-82.673271,-22.035194,-91.66938,8.928,474
8948,-4.101444,-12.306726,-0.177075,61.32,-53.900002,52.849998,-81.70472,-24.585695,-91.707428,8.948,475
8963,-3.247176,-9.719993,-2.014829,164.430008,-65.800003,18.129999,-83.169983,-21.42263,-91.837837,8.963,476
8983,-2.53409,-6.144988,-2.445552,252.630005,-69.860001,-0.63,-79.472809,-21.502808,-90.194588,8.983,477
9003,-1.720501,-1.375922,0.110074,299.880005,-48.439999,-13.3,-79.863243,-17.746807,-91.769135,9.003,478
9023,-4.120588,0.844697,4.524989,284.059998,-11.41,-24.01,-77.85183,-14.150764,-94.509613,9.023,479
9038,-6.278991,1.268241,7.451516,223.160004,-3.71,-30.1,-80.235115,-9.265914,-96.571632,9.038,480
9058,-5.599405,1.323278,8.025814,120.190002,-28.139999,-37.450001,-78.827156,-8.961414,-95.405602,9.058,481
9078,-3.156246,-0.902126,7.647734,13.16,-50.470001,-37.170002,-76.642349,-5.88844,-95.296059,9.078,482
9098,-1.268241,-4.565669,7.803273,-46.759998,-49.139999,-26.880001,-77.32737,-1.276325,-96.015945,9.098,483
9113,-1.52189,-8.600112,8.071279,-59.779999,-26.950001,-17.92,-75.753868,-8.455795,-97.719719,9.113,484
9133,-2.586734,-10.866196,8.683864,-37.939999,-4.27,-17.290001,-76.757164,-7.993319,-95.668411,9.133,485
9153,-2.881061,-10.638869,8.052135,-1.47,6.23,-22.960001,-78.472954,-6.404133,-97.898552,9.153,486
9173,-2.400087,-9.064336,6.783895,24.01,10.43,-24.43,-76.45269,-8.086782,-98.911293,9.173,487
9189,-2.301978,-7.669271,6.17131,26.950001,13.37,-17.01,-77.95697,-6.732859,-95.997681,9.189,488
9209,-2.88824,-6.965755,6.149774,10.22,14.28,-7.56,-77.732597,-7.32397,-97.786201,9.209,489
9229,-3.519968,-7.102151,5.975091,-12.32,8.75,0.84,-74.764717,-9.40204,-96.352036,9.229,490
9249,-3.228033,-7.329477,5.876982,-26.25,1.96,7.07,-76.906578,-7.185421,-96.645683,9.249,491
9264,-3.082066,-7.815238,5.881768,-25.83,-0.7,10.64,-77.451279,-7.623314,-96.719658,9.264,492
9284,-2.955241,-8.437394,5.987056,-9.66,0.0,9.45,-80.742004,-4.695075,-98.141136,9.284,493
9304,-2.766202,-8.004277,6.104309,15.4,1.82,5.32,-79.062241,-9.211905,-97.411026,9.304,494
9324,-2.957634,-7.018399,6.231133,34.790001,4.48,0.7,-77.789581,-8.096537,-96.801285,9.324,495
9339,-3.172996,-6.13063,6.334028,38.779999,5.32,-3.92,-77.37207,-8.166207,-96.676239,9.339,496
9359,-3.216069,-5.604191,6.278991,27.299999,2.94,-6.72,-76.294739,-9.933239,-96.155579,9.359,497
9379,-3.024636,-5.716658,6.264633,9.1,0.28,-6.3,-77.434616,-9.49951,-98.173843,9.379,498
9399,-3.22564,-6.633141,6.338813,-5.67,-1.4,-3.85,-76.636429,-9.087036,-96.704216,9.399,499
9414,-3.254355,-7.413229,6.379493,-10.15,-3.43,-2.59,-80.859779,-5.200654,-97.809418,9.414,500
9434,-2.931312,-7.542446,6.223954,-5.32,-5.67,-2.59,-77.898354,-8.880006,-97.359993,9.434,501
9454,-2.744666,-7.583126,6.17131,-0.49,-4.27,-2.59,-78.385216,-7.985587,-96.076691,9.454,502
9474,-3.043779,-7.56159,6.39385,4.69,-1.26,-1.96,-76.737,-6.668937,-95.433777,9.474,503
9489,-3.314178,-7.135652,6.613998,8.47,-0.07,-3.08,-76.97123,-6.359682,-95.097015,9.489,504
9509,-3.108388,-6.798252,6.381886,6.3,-1.89,-4.69,-79.19754,-8.401034,-97.967308,9.509,505
9529,-3.082066,-6.824574,6.367528,2.66,-2.73,-3.64,-79.248917,-8.132066,-98.339844,9.529,506
9549,-3.115566,-6.970541,6.30292,0.21,-3.29,-1.96,-77.056892,-7.418067,-96.125175,9.549,507
9565,-3.010278,-7.154795,6.391458,-0.84,-3.57,-0.63,-76.864624,-7.456372,-96.55381,9.565,508
9585,-2.967206,-7.056686,6.558961,0.07,-2.45,0.56,-76.554153,-6.709225,-96.143074,9.585,509
9605,-3.07728,-6.963363,6.67382,0.7,-0.35,0.49,-78.303375,-5.887649,-96.686646,9.605,510
9625,-3.182568,-6.92029,6.613998,0.98,0.84,-0.91,-79.411179,-6.487524,-96.224823,9.625,511
9641,-2.993528,-7.054293,6.446495,0.91,0.49,-2.17,-78.947433,-7.107027,-97.038673,9.641,512
9661,-2.845168,-6.958577,6.166524,3.15,0.63,-2.38,-80.979301,-7.306524,-98.322098,9.661,513
9681,-2.553233,-6.889183,6.010985,6.3,3.71,-1.4,-77.217049,-7.93257,-97.056419,9.681,514
9701,-2.591519,-7.027971,6.271812,8.96,11.69,1.54,-79.777733,-6.966694,-97.148422,9.701,515
9716,-3.027029,-7.248118,6.700143,14.28,18.690001,6.79,-77.635872,-9.183314,-96.854774,9.716,516
9736,-3.498432,-6.879611,6.669035,16.17,20.93,7.35,-78.551842,-10.101368,-97.992676,9.736,517
9756,-3.701829,-6.664249,6.300527,12.95,18.200001,4.27,-76.736565,-6.389065,-94.26268,9.756,518
9776,-3.610898,-6.676214,6.403422,7.63,15.26,1.96,-77.96946,-9.655546,-96.796066,9.776,519
9791,-3.582183,-6.630748,6.24549,-0.84,14.49,1.12,-77.158356,-6.040513,-93.356956,9.791,520
9811,-3.570219,-6.231133,6.305313,-9.17,16.309999,2.24,-78.495644,-5.849344,-96.258011,9.811,521
9831,-3.797545,-5.876982,6.527853,-20.58,18.76,2.94,-80.677818,-6.281485,-97.020927,9.831,522
9851,-3.76883,-6.008592,6.561354,-32.41,20.370001,2.17,-77.239311,-7.097907,-94.244781,9.851,523
9866,-3.955477,-6.618784,6.006199,-33.599998,20.93,0.7,-79.440315,-7.534015,-95.569023,9.866,524
9886,-3.890869,-7.181117,5.589833,-21.280001,19.950001,-3.29,-80.857277,-7.560623,-95.844612,9.886,525
9906,-3.828653,-6.585283,4.776245,-1.19,16.59,-10.15,-81.362976,-6.670167,-95.122635,9.906,526
9926,-4.087087,-5.654442,4.07273,22.75,12.53,-22.68,-81.852013,-7.65591,-95.854843,9.926,527
9941,-4.350307,-4.637456,4.005728,45.849998,0.84,-34.369999,-80.537064,-11.051621,-95.203926,9.941,528
9961,-4.017693,-4.256983,4.087087,51.59,-14.14,-46.27,-81.559952,-6.632853,-94.834328,9.961,529
9981,-3.47211,-6.77193,3.972227,52.290001,-31.01,-54.950001,-80.57299,-9.459263,-95.482155,9.981,530
10001,-2.457517,-8.571397,4.491488,58.66,-47.32,-57.82,-81.344559,-6.946076,-95.732414,10.001,531
10017,-2.13926,-8.616862,5.046643,94.709999,-59.43,-63.349998,-80.907326,-5.971238,-96.543839,10.017,532
10037,-2.242155,-6.838932,5.886554,148.610001,-65.870003,-69.300003,-79.921585,-5.598061,-95.643173,10.037,533
