Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id
2807,0.902126,-7.702771,6.26224,1.82,-3.22,-0.77,-68.470917,-11.559656,-98.178528,2.807,149
2827,0.918877,-7.712343,6.257455,1.19,-3.36,-0.77,-69.167679,-13.830482,-98.576401,2.827,150
2847,0.959556,-7.738665,6.18806,0.21,-3.15,-0.63,-68.383614,-13.420982,-97.527763,2.847,151
2862,0.95477,-7.796094,6.290956,0.49,-3.22,-0.63,-66.452316,-10.803389,-94.9739,2.862,152
2882,0.952377,-7.743451,6.274205,0.91,-3.36,-0.77,-67.043686,-10.971319,-95.280083,2.882,153
2902,0.935627,-7.686021,6.223954,0.7,-3.36,-0.84,-68.751808,-10.980441,-98.073975,2.902,154
2922,0.914091,-7.779344,6.235919,0.91,-3.5,-0.63,-69.634377,-11.611682,-97.058472,2.922,155
2937,0.890162,-7.738665,6.281384,1.26,-3.64,-0.7,-69.95887,-7.841802,-96.668396,2.937,156
2957,0.93802,-7.733879,6.231133,1.33,-3.78,-0.56,-69.469933,-11.376062,-97.15799,2.957,157
2977,0.933234,-7.674056,6.214382,1.19,-3.43,-0.56,-69.029739,-12.000522,-98.673492,2.977,158
2997,0.890162,-7.717129,6.233526,1.05,-3.29,-0.56,-69.195389,-9.036557,-97.025482,2.997,159
3012,0.949984,-7.781737,6.226347,1.33,-3.43,-0.63,-67.812408,-14.577433,-97.456215,3.012,160
3032,0.916484,-7.731486,6.329242,1.61,-3.5,-0.7,-69.167564,-9.310482,-97.354599,3.032,161
3052,0.969128,-7.750629,6.31967,1.61,-3.57,-0.84,-68.918777,-9.33689,-96.099274,3.052,162
3072,0.916484,-7.753022,6.331635,1.61,-3.22,-0.84,-71.949631,-8.871996,-100.202141,3.072,163
3088,0.95477,-7.741058,6.343599,1.4,-3.22,-0.84,-68.13176,-10.526688,-95.754715,3.088,164
3108,0.942806,-7.7267,6.264633,1.61,-3.29,-0.91,-69.449776,-10.051681,-96.923355,3.108,165
3128,0.961949,-7.633377,6.269419,1.82,-3.01,-1.12,-65.994606,-12.744298,-95.601395,3.128,166
3148,0.926055,-7.669271,6.250276,1.96,-3.29,-1.05,-68.774925,-10.705523,-97.604523,3.148,167
3164,0.964342,-7.717129,6.365136,1.4,-3.43,-0.63,-68.773613,-9.385109,-97.931213,3.164,168
3184,1.05288,-7.877453,6.367528,0.35,-3.36,0.07,-68.776245,-12.02594,-97.27784,3.184,169
3204,0.983485,-7.922919,6.28617,0.0,-3.29,0.77,-68.059441,-12.950735,-97.867134,3.204,170
3224,0.88059,-7.712343,6.173703,1.33,-2.87,0.84,-69.741402,-10.794864,-96.772774,3.224,171
3239,0.818375,-7.669271,6.278991,3.15,-3.36,0.21,-67.62606,-11.417143,-96.4767,3.239,172
3259,0.93802,-7.707557,6.372314,4.06,-4.41,-0.07,-69.12429,-8.261016,-97.589417,3.259,173
3279,1.043308,-7.812845,6.420172,2.87,-4.76,0.77,-65.952652,-13.01525,-95.509521,3.279,174
3299,1.189275,-8.147852,6.585283,-0.07,-3.5,2.52,-66.160805,-14.580209,-96.346291,3.299,175
