Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z,gesture_id
2937,0.890162,-7.738665,6.281384,1.26,-3.64,-0.7,-69.95887,-7.841802,-96.668396,2.937,156,-0.023928999999999978,0.04067899999999991,0.04546500000000009,0.9021265,-7.759004500000001,6.2586515,14
2957,0.93802,-7.733879,6.231133,1.33,-3.78,-0.56,-69.469933,-11.376062,-97.15799,2.957,157,0.047857999999999956,0.004786000000000179,-0.05025100000000027,0.914091,-7.736272000000001,6.2562584999999995,14
2977,0.933234,-7.674056,6.214382,1.19,-3.43,-0.56,-69.029739,-12.000522,-98.673492,2.977,158,-0.004785999999999957,0.05982299999999974,-0.016751000000000182,0.935627,-7.703967500000002,6.2227575,14
2997,0.890162,-7.717129,6.233526,1.05,-3.29,-0.56,-69.195389,-9.036557,-97.025482,2.997,159,-0.043072,-0.043072999999999695,0.019144000000000716,0.911698,-7.695592500000002,6.223954,14
3012,0.949984,-7.781737,6.226347,1.33,-3.43,-0.63,-67.812408,-14.577433,-97.456215,3.012,160,0.05982200000000004,-0.06460799999999978,-0.007179000000000713,0.920073,-7.749433000000002,6.2299365,14
3032,0.916484,-7.731486,6.329242,1.61,-3.5,-0.7,-69.167564,-9.310482,-97.354599,3.032,161,-0.033500000000000085,0.05025099999999938,0.10289500000000018,0.933234,-7.756611500000002,6.2777945,14
3052,0.969128,-7.750629,6.31967,1.61,-3.57,-0.84,-68.918777,-9.33689,-96.099274,3.052,162,0.052644000000000024,-0.019142999999999688,-0.00957199999999947,0.942806,-7.741057500000002,6.324456,14
3072,0.916484,-7.753022,6.331635,1.61,-3.22,-0.84,-71.949631,-8.871996,-100.202141,3.072,163,-0.052644000000000024,-0.0023929999999996454,0.011965000000000003,0.942806,-7.751825500000002,6.3256525,14
3088,0.95477,-7.741058,6.343599,1.4,-3.22,-0.84,-68.13176,-10.526688,-95.754715,3.088,164,0.03828600000000004,0.011963999999999864,0.011963999999999864,0.935627,-7.747040000000002,6.337617,14
3108,0.942806,-7.7267,6.264633,1.61,-3.29,-0.91,-69.449776,-10.051681,-96.923355,3.108,165,-0.011963999999999975,0.014357999999999649,-0.07896600000000031,0.948788,-7.733879000000002,6.3041160000000005,14
3128,0.961949,-7.633377,6.269419,1.82,-3.01,-1.12,-65.994606,-12.744298,-95.601395,3.128,166,0.01914300000000002,0.09332299999999982,0.004786000000000179,0.9523775000000001,-7.680038500000002,6.2670259999999995,14
3148,0.926055,-7.669271,6.250276,1.96,-3.29,-1.05,-68.774925,-10.705523,-97.604523,3.148,167,-0.03589400000000009,-0.03589399999999987,-0.019142999999999688,0.944002,-7.6513240000000025,6.2598475,14
3164,0.964342,-7.717129,6.365136,1.4,-3.43,-0.63,-68.773613,-9.385109,-97.931213,3.164,168,0.03828700000000007,-0.047857999999999734,0.1148599999999993,0.9451985,-7.693200000000002,6.307706,14
3184,1.05288,-7.877453,6.367528,0.35,-3.36,0.07,-68.776245,-12.02594,-97.27784,3.184,169,0.088538,-0.16032400000000013,0.002392000000000394,1.0086110000000001,-7.797291000000001,6.366332,14
3204,0.983485,-7.922919,6.28617,0.0,-3.29,0.77,-68.059441,-12.950735,-97.867134,3.204,170,-0.06939499999999998,-0.04546600000000023,-0.08135799999999982,1.0181825000000002,-7.9001860000000015,6.326849,14
3224,0.88059,-7.712343,6.173703,1.33,-2.87,0.84,-69.741402,-10.794864,-96.772774,3.224,171,-0.10289500000000007,0.21057600000000054,-0.11246700000000054,0.9320375000000001,-7.817631000000002,6.2299365,14
3239,0.818375,-7.669271,6.278991,3.15,-3.36,0.21,-67.62606,-11.417143,-96.4767,3.239,172,-0.06221500000000002,0.043071999999999555,0.10528800000000071,0.8494825000000001,-7.690807000000001,6.2263470000000005,14
3259,0.93802,-7.707557,6.372314,4.06,-4.41,-0.07,-69.12429,-8.261016,-97.589417,3.259,173,0.119645,-0.038286000000000264,0.09332299999999982,0.8781975000000001,-7.688414000000002,6.3256525,14
3279,1.043308,-7.812845,6.420172,2.87,-4.76,0.77,-65.952652,-13.01525,-95.509521,3.279,174,0.10528799999999994,-0.10528799999999983,0.047857999999999734,0.990664,-7.760201000000002,6.396243,14
3299,1.189275,-8.147852,6.585283,-0.07,-3.5,2.52,-66.160805,-14.580209,-96.346291,3.299,175,0.14596700000000018,-0.33500700000000005,0.16511100000000045,1.1162915000000002,-7.980348500000002,6.502727500000001,14
3314,1.213204,-8.054528,6.590069,-6.37,-0.7,4.27,-71.628105,-11.042578,-99.888138,3.314,176,0.023928999999999867,0.09332400000000085,0.004785999999999291,1.2012395000000002,-8.101190000000003,6.587676,14
