Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id
0,1.380708,-4.139731,8.844189,-9.45,-0.07,-0.63,-67.106628,5.696436,-98.072647,0.0,0
20,1.435745,-4.211518,8.91119,-8.61,-1.4,-0.07,-67.589211,6.311975,-97.820114,0.02,1
40,1.67025,-4.606348,9.423272,-8.89,-2.17,2.17,-67.225716,3.870441,-97.414238,0.04,2
60,2.031579,-5.034678,9.516596,-3.71,-0.28,6.86,-69.987198,5.913181,-98.856041,0.06,3
76,1.87604,-4.725994,9.279697,-0.84,4.34,11.69,-66.752129,3.532793,-96.776329,0.076,4
96,1.505139,-4.343128,9.478309,-1.54,9.03,13.440001,-65.339462,3.838282,-95.469971,0.096,5
116,1.268241,-4.012907,9.456773,-5.39,11.2,13.72,-67.026993,5.433416,-96.858131,0.116,6
136,1.342421,-4.233055,9.88271,-17.710001,12.39,14.7,-68.18528,6.143052,-98.266624,0.136,7
151,1.641535,-4.752316,10.248825,-33.040001,15.61,18.83,-66.780388,3.526845,-97.618309,0.151,8
171,1.864075,-4.874354,10.198574,-47.18,20.23,25.549999,-66.643349,4.316263,-96.217621,0.171,9
191,1.541033,-5.104073,10.038249,-66.290001,26.809999,36.82,-68.795593,1.451152,-100.355927,0.191,10
211,1.289778,-6.200025,9.995177,-80.080002,33.810001,48.860001,-67.468933,4.457587,-96.187035,0.211,11
226,0.851875,-6.819788,10.122002,-71.68,40.389999,58.310001,-68.312149,1.39536,-98.266266,0.226,12
246,0.646085,-6.539818,9.45438,-58.310001,42.560001,62.09,-69.704231,2.694125,-98.166901,0.246,13
266,0.110074,-5.594619,8.576182,-66.919998,41.580002,63.98,-67.920837,-1.320099,-98.189499,0.266,14
286,-0.181861,-5.144753,7.875061,-91.910004,38.43,64.400002,-71.233467,-1.31653,-100.690025,0.286,15
301,-0.591048,-5.123216,7.501767,-115.290001,34.580002,66.709999,-71.425735,-1.278225,-100.261391,0.301,16
321,-0.619763,-5.630513,7.441944,-132.509995,29.190001,66.709999,-71.423233,-3.638193,-98.296593,0.321,17
341,-0.918877,-6.300527,7.185903,-137.759995,28.42,64.330002,-70.662727,-3.23365,-97.9496,0.341,18
361,-1.323278,-7.207439,7.269655,-123.970001,27.790001,60.060001,-72.065979,-3.537156,-98.975304,0.361,19
377,-1.246705,-8.339285,7.573554,-88.760002,26.74,52.990002,-73.688568,-7.488689,-98.122864,0.377,20
397,-1.016986,-9.495059,6.489567,-35.349998,21.629999,46.27,-73.234245,-8.110175,-99.217377,0.397,21
417,-0.177075,-8.872903,4.594384,11.27,19.460001,40.18,-73.831215,-9.319641,-98.1661,0.417,22
437,0.004786,-8.207675,3.962656,62.16,35.560001,34.16,-74.574524,-6.800507,-97.574379,0.437,23
452,-1.651107,-7.056686,6.178489,122.150002,65.169998,30.799999,-73.200859,-7.823363,-97.063965,0.452,24
472,-2.541268,-7.178724,9.499846,178.360001,85.470001,24.01,-75.206093,-5.097198,-97.128021,0.472,25
492,-2.711165,-5.793231,11.660641,223.860001,95.690002,14.35,-76.143867,-4.41992,-98.123169,0.492,26
512,-1.861683,-3.187354,12.196652,225.330002,100.730003,2.94,-76.128876,-3.857199,-95.359985,0.512,27
527,-1.220383,-2.591519,10.378042,168.350006,110.32,-2.94,-79.827576,3.662695,-95.404045,0.527,28
547,-0.961949,-4.651814,9.633848,100.519997,129.149994,3.29,-78.685593,1.069923,-96.432045,0.547,29
567,-1.751609,-6.597248,9.942533,84.419998,152.529999,6.79,-79.662376,-0.061942,-94.383171,0.567,30
