Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id
10263,0.069394,-6.432137,-7.123687,-7.21,-6.16,-0.7,-57.66209,-2.914805,-23.821836,10.263,545
10283,0.198611,-6.312491,-7.145224,-13.23,-5.6,-2.94,-55.410698,-8.308209,-21.849083,10.283,546
10303,0.236898,-6.293348,-7.185903,-12.04,-5.32,-3.15,-56.927338,-4.876177,-22.352028,10.303,547
10319,0.251255,-6.374707,-7.339049,-8.26,-3.57,-1.75,-58.169109,-3.344765,-22.77317,10.319,548
10339,0.179468,-6.374707,-7.360585,-5.6,-2.94,0.21,-55.09584,-3.319943,-21.247313,10.339,549
10359,0.13161,-6.384279,-7.396479,-3.99,-3.43,0.98,-55.933918,-6.101305,-22.015114,10.359,550
10379,0.112467,-6.329242,-7.403657,-3.29,-3.5,0.91,-55.519802,-4.851552,-22.357088,10.379,551
10394,0.100502,-6.326849,-7.367764,-3.57,-3.99,-0.14,-54.94257,-4.686594,-22.471903,10.394,552
10414,0.165111,-6.384279,-7.274441,-5.32,-4.97,-1.54,-56.565918,-4.677871,-22.739855,10.414,553
10434,0.184254,-6.310099,-7.341442,-4.97,-4.34,-2.31,-58.010696,-4.430553,-22.686335,10.434,554
10454,0.210576,-6.238311,-7.317513,-2.1,-3.71,-2.1,-57.709648,-3.685388,-22.556259,10.454,555
10469,0.13161,-6.264633,-7.339049,-0.42,-3.22,-0.98,-57.603043,-4.78208,-24.01305,10.469,556
10489,0.181861,-6.22874,-7.358192,0.42,-3.29,-0.42,-55.27573,-4.878953,-21.242096,10.489,557
10509,0.112467,-6.298134,-7.394086,-0.56,-3.78,-0.42,-56.724327,-3.592083,-22.826689,10.509,558
10529,0.129217,-6.22874,-7.422801,-2.66,-2.94,-0.84,-56.959763,-0.083241,-20.941441,10.529,559
10544,0.14836,-6.257455,-7.492195,-3.71,-3.15,-0.63,-57.810654,-1.547162,-22.456917,10.544,560
10564,0.086145,-6.231133,-7.475445,-2.45,-3.71,0.14,-57.37606,-3.213156,-22.614967,10.564,561
10584,0.095716,-6.190453,-7.418015,-0.7,-4.2,0.63,-55.976624,-1.870098,-23.227377,10.584,562
10604,0.086145,-6.240705,-7.382122,-1.61,-3.64,0.84,-58.1679,-6.544353,-24.321657,10.604,563
10619,0.196218,-6.173703,-7.365371,-1.54,-3.57,1.68,-57.070297,-2.467,-22.344561,10.619,564
10639,0.150753,-6.240705,-7.312727,-1.47,-3.08,2.66,-58.830257,-2.967822,-22.842108,10.639,565
10659,0.160325,-6.233526,-7.348621,-2.03,-2.73,1.47,-59.173698,-3.721909,-24.235155,10.659,566
10679,0.100502,-6.200025,-7.418015,-2.52,-2.1,-0.42,-58.053085,-4.439475,-23.949305,10.679,567
10694,0.102895,-6.259848,-7.468266,-2.1,-1.89,-0.84,-58.229477,-2.797907,-22.255268,10.694,568
10714,0.13161,-6.379493,-7.776951,-0.07,-0.98,-2.03,-57.705368,-3.96427,-23.587023,10.714,569
10734,0.179468,-6.334028,-7.714736,6.93,4.13,-6.93,-58.192226,-3.069849,-22.303726,10.734,570
10754,0.313471,-6.448887,-7.678842,21.77,13.93,-9.87,-57.322933,-1.881836,-21.398026,10.754,571
10770,0.681979,-6.247883,-7.671663,40.32,28.139999,-11.06,-55.807045,-1.353613,-22.015471,10.77,572
10790,2.261298,-6.369921,-8.358428,58.170002,61.110001,-12.53,-56.614227,-1.488197,-22.594664,10.79,573
10810,3.371608,-5.228504,-9.710421,-0.77,150.149994,-30.940001,-57.151253,-3.524395,-23.232389,10.81,574
10830,1.899969,-4.228269,-11.837716,-120.260002,274.540009,-44.380001,-54.098572,-5.103826,-23.112263,10.83,575
10846,3.452966,-7.207439,-8.202888,-204.259995,337.75,-55.650002,-51.276588,-2.692626,-24.806526,10.846,576
10866,6.860467,-6.049272,-13.041349,-240.729996,360.360016,-61.32,-51.383595,-1.395011,-28.360806,10.866,577
10886,3.816688,-6.278991,-11.095915,-208.25,403.970001,-58.869999,-43.385483,-2.503953,-29.031523,10.886,578
10906,2.366586,-5.393615,-10.866196,-167.930008,333.970001,-50.049999,-39.518139,3.693822,-31.463419,10.906,579
