Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id
5819,-0.004786,-11.048057,-10.806373,-13.440001,-3.57,54.599998,-58.974216,-6.119189,-22.558661,5.819,309
5839,0.380472,-8.939904,-8.035385,-5.39,9.45,21.77,-57.178326,-7.210727,-21.782883,5.839,310
5859,-0.088538,-7.228975,-5.826731,3.22,20.09,-1.05,-58.781948,-6.157494,-22.987293,5.859,311
5875,0.184254,-6.67382,-5.802802,11.83,-4.34,-3.71,-56.139992,-10.306105,-22.058172,5.875,312
5895,0.571905,-6.695357,-5.872197,6.09,-21.77,0.21,-58.59528,-7.237334,-22.058477,5.895,313
5915,0.60062,-7.176332,-6.527853,-4.13,-18.690001,-2.24,-57.065262,-6.706139,-22.254934,5.915,314
5935,0.705908,-7.396479,-6.647499,-10.85,-9.59,-6.93,-58.286129,-7.810601,-21.321053,5.935,315
5950,0.804017,-7.365371,-6.709714,-12.39,-0.28,-8.05,-58.022324,-6.793495,-21.142523,5.95,316
5970,0.614977,-7.432373,-6.700143,-4.62,4.76,-4.83,-58.930618,-9.309854,-22.844175,5.97,317
5990,0.533619,-7.336656,-6.590069,8.05,1.96,-1.4,-58.038635,-8.676631,-23.579018,5.99,318
6010,0.538404,-7.496981,-6.664249,16.1,-1.82,1.4,-58.348564,-4.623903,-21.596857,6.01,319
6025,0.497725,-7.50416,-6.690571,21.280001,-6.02,1.33,-58.632957,-7.245265,-23.181118,6.025,320
6045,0.686765,-7.291191,-6.384279,23.59,-6.51,0.28,-58.644016,-4.327534,-23.084387,6.045,321
6065,0.607799,-7.310334,-6.207203,21.84,-2.03,0.91,-61.565334,-7.039424,-25.508144,6.065,322
6085,0.588655,-7.200261,-6.034914,18.76,-0.42,1.54,-58.144352,-6.539397,-23.620007,6.085,323
6100,0.454653,-7.226583,-5.843482,13.93,-1.75,-0.07,-59.336063,-6.59737,-23.341928,6.1,324
6120,0.576691,-7.3558,-5.967913,7.42,-4.76,-0.56,-56.95866,-7.802829,-23.711729,6.12,325
6140,0.538404,-7.451516,-6.142595,0.35,-6.51,-1.4,-56.65554,-9.697504,-22.787951,6.14,326
6160,0.591048,-7.456302,-6.159346,-5.53,-6.09,-1.89,-55.106255,-8.882471,-21.251991,6.16,327
6176,0.650871,-7.449123,-6.314885,-9.17,-6.3,-1.68,-55.666294,-6.123749,-20.198465,6.176,328
6196,0.557548,-7.48741,-6.314885,-8.05,-7.28,0.0,-56.540298,-7.312755,-21.244497,6.196,329
6216,0.588655,-7.46348,-6.355564,-3.78,-7.07,1.68,-56.936432,-9.118289,-22.683392,6.216,330
6236,0.60062,-7.528089,-6.439316,0.98,-6.58,1.12,-56.627285,-9.691557,-21.945971,6.236,331
6251,0.54319,-7.422801,-6.250276,4.62,-5.95,-0.42,-60.483292,-8.805465,-24.847153,6.251,332
6271,0.550369,-7.305548,-6.135417,3.57,-4.62,-0.63,-59.210194,-7.410222,-23.066309,6.271,333
6291,0.46901,-7.24094,-6.11388,-0.35,-4.76,-0.28,-56.387917,-9.719948,-20.971302,6.291,334
6311,0.385258,-7.300763,-6.133023,-4.83,-6.51,0.28,-58.131107,-7.576964,-21.701233,6.311,335
6326,0.538404,-7.415622,-6.336421,-8.54,-7.07,0.07,-56.996799,-8.571431,-22.165487,6.326,336
6346,0.507297,-7.540053,-6.518281,-7.35,-6.02,-0.98,-59.061203,-8.497993,-23.26013,6.346,337
6366,0.555155,-7.475445,-6.568533,-1.54,-4.27,-1.05,-58.732323,-8.026752,-23.459167,6.366,338
6386,0.437902,-7.42998,-6.403422,4.06,-3.22,-0.77,-58.177776,-7.307004,-21.933439,6.386,339
6401,0.440295,-7.401265,-6.396243,7.7,-2.87,-0.7,-57.535034,-7.408041,-21.254726,6.401,340
6421,0.497725,-7.367764,-6.264633,10.01,-2.87,-0.84,-56.543365,-10.23346,-21.762218,6.421,341
6441,0.550369,-7.310334,-6.22874,10.64,-2.38,-0.28,-57.711075,-9.525805,-23.451372,6.441,342
6461,0.459438,-7.42998,-6.121059,8.89,-1.96,0.42,-57.553444,-7.132134,-20.644947,6.461,343
6477,0.483367,-7.437159,-6.125845,5.95,-3.85,-0.14,-56.732136,-6.994577,-19.644764,6.477,344
6497,0.421152,-7.485016,-6.200025,2.45,-4.34,-1.82,-58.778126,-7.197046,-21.34918,6.497,345
6517,0.45226,-7.473052,-6.17131,-0.28,-4.2,-3.01,-56.636703,-9.69354,-22.226629,6.517,346
6537,0.478582,-7.425194,-6.240705,-1.12,-3.57,-3.08,-58.39238,-10.473243,-23.754942,6.537,347
6552,0.512082,-7.398872,-6.255062,0.42,-3.71,-2.24,-56.996799,-8.571431,-22.165487,6.552,348
6572,0.507297,-7.475445,-6.290956,1.96,-1.68,-0.7,-60.33551,-6.693647,-23.492487,6.572,349
6592,0.533619,-7.391693,-6.183275,3.5,-2.24,0.0,-57.892605,-8.165101,-23.068764,6.592,350
6612,0.423545,-7.458694,-6.204811,3.57,-3.08,-0.91,-59.032944,-8.492044,-22.418148,6.612,351
6628,0.464224,-7.410836,-6.092344,2.66,-4.27,-1.26,-58.133286,-9.457126,-23.716742,6.628,352
6648,0.461831,-7.461087,-6.197632,1.68,-5.11,-0.84,-59.568649,-9.207826,-23.382559,6.648,353
6668,0.54319,-7.449123,-6.164131,0.14,-4.34,-0.42,-59.922718,-6.76431,-23.507778,6.668,354
6688,0.497725,-7.516124,-6.231133,-0.49,-3.01,-0.14,-57.667366,-8.196467,-22.515085,6.688,355
6703,0.521654,-7.465873,-6.166524,-0.42,-2.38,-0.21,-58.336185,-6.221217,-22.020273,6.703,356
6723,0.528833,-7.401265,-6.140202,-0.84,-2.66,-0.21,-59.233311,-7.135306,-22.596861,6.723,357
6743,0.423545,-7.549625,-6.30292,-0.35,-3.22,-0.21,-58.863792,-8.255433,-22.377338,6.743,358
6763,0.490546,-7.499374,-6.264633,1.12,-3.99,-1.12,-57.688736,-6.321262,-21.201231,6.763,359
6778,0.500118,-7.449123,-6.259848,2.52,-3.43,-0.91,-58.255337,-9.683824,-22.354248,6.778,360
6798,0.466617,-7.470659,-6.26224,3.64,-3.43,-0.35,-59.70055,-9.716381,-23.471827,6.798,361
6818,0.435509,-7.449123,-6.142595,3.29,-3.92,0.0,-57.79752,-7.104733,-21.759945,6.818,362
6838,0.490546,-7.410836,-6.133023,1.4,-4.13,0.0,-59.273624,-9.784069,-23.066128,6.838,363
6853,0.402009,-7.544839,-6.247883,-0.07,-3.01,-0.91,-58.309677,-7.815558,-22.022703,6.853,364
