Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id
6613,-0.576691,-6.293348,4.979642,93.029999,-51.380001,-50.189999,-75.452385,-7.430756,-96.418549,6.613,351
6628,-0.696336,-5.594619,5.161503,104.019997,-58.52,-43.889999,-78.191948,-2.463346,-96.781311,6.628,352
6648,-0.32065,-5.005964,7.111723,93.379997,-65.800003,-36.959999,-73.131386,-4.12811,-97.250504,6.648,353
6668,-0.172289,-5.740586,8.406286,83.650002,-69.93,-35.139999,-76.102226,-0.450741,-97.980591,6.668,354
6688,-0.201004,-5.793231,8.978191,92.82,-72.730003,-38.150002,-71.562378,-2.268568,-96.651009,6.688,355
6703,-0.181861,-6.712107,9.911426,143.360001,-73.5,-46.830002,-72.433319,-0.536868,-97.179321,6.703,356
6723,0.112467,-5.699907,9.428058,207.619995,-76.370003,-51.240002,-72.220886,0.749208,-97.373322,6.723,357
6743,0.646085,-2.165582,9.332341,217.979996,-80.639999,-53.48,-68.744675,0.421514,-97.314507,6.743,358
6763,1.46446,6.465638,11.586461,103.18,-71.610001,-42.77,-70.593582,4.701733,-98.085434,6.763,359
6778,3.228033,-13.259104,21.954931,6.72,-55.439999,-28.91,-69.58297,6.400282,-96.809807,6.778,360
6798,4.982035,-9.160052,10.411543,39.619999,-35.98,-5.25,-67.188362,8.1185,-96.240891,6.798,361
6818,0.988271,-1.545819,8.518753,60.619999,10.99,-20.09,-67.549782,7.920194,-95.853065,6.818,362
6838,0.129217,-1.289778,7.963598,43.889999,10.64,-24.219999,-69.185509,9.526232,-95.697601,6.838,363
6854,0.923663,-1.926291,8.238783,20.58,-2.73,-13.37,-69.188576,6.605528,-96.215324,6.854,364
6874,1.060058,-3.206497,8.348856,17.99,-9.17,-3.99,-68.660973,8.639744,-95.858253,6.874,365
6894,1.016986,-3.661149,8.906404,26.950001,-12.74,-0.07,-68.505524,9.153253,-95.067345,6.894,366
6914,1.361565,-4.359879,10.045428,39.830002,-11.62,1.68,-69.037727,11.638049,-94.342934,6.914,367
6929,1.588891,-1.591284,9.897068,38.990002,-9.17,-2.1,-66.835503,8.874571,-94.567184,6.929,368
6949,1.198847,-0.58387,10.114822,14.28,-3.29,-8.89,-69.093811,11.906026,-94.855797,6.949,369
6969,1.653499,-1.12706,10.021499,-13.09,-5.04,-6.23,-67.274811,10.539573,-94.549461,6.969,370
6989,1.986114,-2.17276,9.82528,-30.73,-4.34,0.07,-66.897507,12.341143,-93.67189,6.989,371
