Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id
4519,-0.641299,-15.40315,2.050722,-327.040009,2.03,-83.790001,-77.871803,-24.716076,-92.176773,4.519,240
4539,-0.693943,-16.932219,2.510161,-149.660004,11.69,-84.910004,-73.34832,-29.37863,-85.603737,4.539,241
4559,-1.036129,-12.747022,1.081594,25.83,24.57,-82.949997,-75.746307,-29.777422,-86.639671,4.559,242
4579,-1.313707,-10.086107,0.033501,117.809998,27.58,-82.18,-76.649895,-32.292793,-88.200996,4.579,243
4594,-0.260827,-10.610154,-0.502511,123.199997,16.379999,-70.489998,-74.348198,-29.754782,-86.925392,4.594,244
4614,0.291935,-11.679785,0.622156,101.360001,9.73,-73.919998,-74.340958,-31.632963,-88.66024,4.614,245
4634,-0.11486,-13.579754,2.110545,100.379997,4.97,-71.959999,-72.282906,-28.787678,-87.328537,4.634,246
4654,0.011965,-11.777894,2.696807,124.809998,2.45,-59.849998,-73.795372,-30.154526,-90.084045,4.654,247
4670,-0.930841,-9.56924,2.732701,163.940002,5.67,-52.990002,-72.264038,-28.302916,-90.607193,4.67,248
4690,-0.961949,-7.358192,3.352464,155.259995,1.12,-34.16,-72.275528,-25.665058,-91.681557,4.69,249
4710,0.186647,-7.279226,3.491253,70.419998,-8.82,-28.630001,-70.685036,-21.160717,-91.174118,4.71,250
4730,1.194061,-10.648441,3.443395,-10.71,-12.25,-27.58,-68.982918,-21.992208,-92.033844,4.73,251
4745,1.545819,-14.759458,3.991371,-27.299999,-7.91,-26.950001,-71.869522,-23.096869,-92.630882,4.745,252
4765,1.320885,-12.900167,3.850189,11.13,-2.45,-12.39,-70.056862,-21.544601,-92.087486,4.765,253
4785,0.847089,-9.284483,3.515182,48.299999,5.39,-4.62,-69.438103,-21.930468,-93.281525,4.785,254
4805,0.076573,-7.7267,3.455359,51.240002,6.09,-8.82,-70.645691,-23.591703,-94.268845,4.805,255
4820,0.239291,-7.707557,3.579791,40.25,0.07,-14.0,-70.144165,-19.683273,-92.738251,4.82,256
4840,0.45226,-8.770008,3.969835,27.93,-5.04,-15.89,-70.346283,-19.926823,-93.761375,4.84,257
4860,0.801624,-9.499846,4.465167,24.08,-6.86,-14.35,-70.886269,-20.363726,-93.695023,4.86,258
4880,0.942806,-10.026285,4.699671,24.710001,-6.3,-9.17,-68.19622,-18.941875,-91.63858,4.88,259
4895,0.926055,-9.667349,4.635063,22.540001,-5.39,-3.57,-69.450905,-20.613024,-94.029198,4.895,260
4915,0.804017,-8.803509,4.551311,18.620001,-4.83,-1.05,-70.349243,-18.327526,-93.057297,4.915,261
4935,0.708301,-8.557039,4.553704,15.12,-5.74,-0.63,-71.111076,-20.052486,-93.077599,4.935,262
4955,0.655657,-8.726935,4.51781,12.81,-7.84,-0.91,-70.287674,-22.073975,-95.123688,4.955,263
4971,0.665228,-8.743686,4.41013,8.82,-8.96,0.0,-73.565475,-15.943173,-94.575691,4.971,264
4991,0.569512,-8.7054,4.115802,9.31,-9.17,-0.77,-67.886612,-18.754473,-93.57003,4.991,265
5011,0.536011,-8.841795,4.039229,13.16,-9.03,-2.03,-70.95089,-19.057188,-95.986328,5.011,266
5031,0.703515,-9.143302,4.457988,20.65,-9.24,-3.01,-72.006424,-18.885489,-96.64975,5.031,267
5047,0.923663,-9.167231,4.915033,22.610001,-8.19,-2.94,-71.242516,-19.800371,-95.835747,5.047,268
5067,0.760945,-8.758043,5.010749,18.059999,-6.79,-2.03,-68.409935,-21.06757,-94.957863,5.067,269
5087,0.631728,-8.502003,4.962892,11.69,-5.53,-1.54,-69.111298,-18.819386,-94.274269,5.087,270
5107,0.660443,-8.332106,4.826496,5.53,-5.6,-1.68,-71.966537,-16.5166,-97.351585,5.107,271
5122,0.756159,-8.511574,4.742744,0.98,-5.74,-1.68,-71.475853,-18.450571,-96.996765,5.122,272
5142,0.832732,-8.808294,4.730779,-0.14,-5.11,-1.54,-68.529778,-18.93331,-95.419846,5.142,273
5162,0.813589,-8.793938,4.737958,-0.21,-4.13,-1.47,-69.044899,-18.044838,-94.978531,5.162,274
