Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id
2711,0.349365,-1.411816,-9.60274,-11.41,-15.54,7.0,-54.74596,13.757949,-27.895145,2.711,144
2731,0.46901,-1.545819,-9.478309,-25.129999,-10.22,3.57,-54.287388,12.376784,-26.18045,2.731,145
2751,0.483367,-1.471638,-9.521381,-33.25,-7.14,1.4,-52.889706,12.119554,-27.637272,2.751,146
2771,0.557548,-1.287385,-9.626669,-31.08,-4.27,-0.56,-53.361115,14.337363,-26.259668,2.771,147
2786,0.607799,-1.167739,-9.518989,-17.43,-2.31,-1.96,-53.605625,14.084891,-28.545759,2.786,148
2806,0.564726,-1.170132,-9.54531,0.63,-3.22,-0.49,-53.605625,14.084891,-28.545759,2.806,149
2826,0.567119,-1.256277,-9.626669,11.62,-5.18,0.49,-54.228207,15.510308,-28.98984,2.826,150
2846,0.521654,-1.27542,-9.523774,12.88,-5.6,0.07,-52.065758,14.897943,-27.290462,2.846,151
2861,0.490546,-1.351993,-9.507024,10.36,-4.06,-0.42,-52.411297,16.302898,-25.637238,2.861,152
2881,0.552762,-1.421387,-9.418487,7.56,-2.52,-0.49,-54.075394,13.382988,-27.545551,2.881,153
2901,0.536011,-1.359172,-9.483095,6.23,-2.1,-0.14,-52.500031,12.323808,-27.183117,2.901,154
2921,0.591048,-1.430959,-9.394557,4.55,-2.24,-0.07,-53.148689,15.623439,-26.453671,2.921,155
2937,0.567119,-1.445316,-9.43045,1.68,-2.73,-0.21,-52.568066,14.468973,-26.101467,2.937,156
2957,0.569512,-1.416602,-9.435237,-0.07,-2.87,-0.35,-52.431885,14.698646,-27.042967,2.957,157
2977,0.531226,-1.399851,-9.45438,-0.63,-2.94,-0.56,-54.823849,15.621259,-28.265251,2.977,158
2997,0.490546,-1.371136,-9.502238,-0.42,-3.64,-0.63,-52.762081,12.906989,-26.517237,2.997,159
3013,0.540797,-1.368743,-9.518989,-0.56,-4.48,-0.42,-51.756176,14.604548,-25.381941,3.013,160
3033,0.471403,-1.378315,-9.523774,0.42,-4.69,-0.35,-54.246181,16.066088,-27.208967,3.033,161
3053,0.478582,-1.311314,-9.535739,0.98,-4.41,-0.63,-54.398243,14.233154,-27.532867,3.053,162
3073,0.512082,-1.316099,-9.475916,0.49,-3.78,-0.28,-54.421791,14.228198,-28.234518,3.073,163
3088,0.466617,-1.344814,-9.480701,-1.4,-2.52,0.07,-53.159863,14.021168,-27.578739,3.088,164
3108,0.500118,-1.354386,-9.499846,-3.29,-1.26,-0.63,-54.459469,14.220267,-29.357159,3.108,165
3128,0.495332,-1.356779,-9.511809,-8.26,0.0,-2.17,-53.559414,13.054261,-25.644676,3.128,166
3148,0.536011,-1.325671,-9.478309,-18.41,0.63,-4.27,-51.970783,11.43831,-27.203445,3.148,167
3163,0.54319,-1.263456,-9.526167,-25.129999,0.56,-4.97,-53.236103,12.964765,-28.326237,3.163,168
3183,0.512082,-1.050487,-9.641026,-28.139999,0.77,-5.67,-53.844555,14.393156,-28.349327,3.183,169
3203,0.562333,-1.021772,-9.588383,-37.380001,0.7,-7.07,-53.239063,14.564062,-27.62216,3.203,170
3223,0.612584,-0.88059,-9.533346,-44.869999,0.98,-7.28,-52.140686,15.161955,-28.364647,3.223,171
3238,0.60062,-0.686765,-9.619491,-44.939999,1.54,-6.44,-53.127644,17.988363,-27.716824,3.238,172
3258,0.677193,-0.536011,-9.564454,-34.720001,1.19,-4.83,-52.700291,18.200548,-26.140026,3.258,173
3278,0.667621,-0.41158,-9.502238,-19.950001,0.21,-2.94,-52.407875,15.464272,-29.010195,3.278,174
3298,0.677193,-0.397223,-9.420879,-5.88,-1.05,-1.26,-51.413143,15.559559,-28.999968,3.298,175
3314,0.703515,-0.387651,-9.526167,6.44,-2.94,0.0,-52.850143,18.728573,-28.288397,3.314,176
3334,0.650871,-0.507297,-9.550097,8.82,-4.06,-0.77,-54.295349,18.696016,-29.405972,3.334,177
3354,0.686765,-0.61737,-9.708028,0.0,-3.57,-2.45,-50.852566,17.600714,-27.660593,3.354,178
3374,0.605406,-0.536011,-9.559668,-11.76,-2.38,-3.92,-54.214504,15.23341,-29.739944,3.374,179
3389,0.681979,-0.500118,-9.576418,-15.75,-2.1,-3.64,-51.993763,16.714025,-29.352173,3.389,180
3409,0.698729,-0.373294,-9.559668,-10.22,-2.31,-2.1,-53.850906,17.311876,-28.112267,3.409,181
3429,0.684372,-0.272792,-9.485488,0.35,-3.36,-0.14,-52.613277,21.060148,-29.278532,3.429,182
3449,0.650871,-0.311078,-9.533346,11.55,-4.48,1.33,-52.570995,16.549067,-29.237364,3.449,183
3464,0.655657,-0.392437,-9.552489,21.35,-5.67,2.66,-54.628941,18.223785,-29.347261,3.464,184
3484,0.607799,-0.46901,-9.600348,25.76,-6.09,2.66,-51.646046,17.18923,-28.989893,3.484,185
3504,0.631728,-0.660443,-9.621883,14.77,-5.04,-0.14,-52.508881,17.602499,-28.910856,3.504,186
3524,0.610192,-0.65805,-9.507024,-1.33,-2.66,-1.96,-51.72493,13.491995,-29.084017,3.524,187
3539,0.653264,-0.61737,-9.559668,-9.52,-1.4,-2.17,-53.635525,16.998657,-29.010347,3.539,188
3559,0.672407,-0.519261,-9.497452,-6.44,-1.33,-1.47,-54.116783,18.93461,-29.084503,3.559,189
3579,0.715479,-0.524047,-9.535739,0.77,-2.73,-0.35,-52.660942,15.769563,-29.234755,3.579,190
3599,0.681979,-0.533619,-9.554882,4.9,-3.43,-0.07,-53.345211,16.421423,-28.834246,3.599,191
3615,0.631728,-0.622156,-9.550097,6.16,-3.64,-0.21,-52.939198,18.989611,-29.783571,3.615,192
3635,0.650871,-0.591048,-9.581204,6.3,-3.71,-0.07,-53.469334,18.834566,-28.265459,3.635,193
3655,0.696336,-0.586262,-9.588383,5.32,-3.85,-0.35,-52.446335,18.935801,-27.413252,3.655,194
3675,0.638906,-0.648478,-9.52856,2.8,-3.71,-0.49,-52.296024,19.168446,-27.93376,3.675,195
3691,0.610192,-0.61737,-9.574025,-0.14,-3.29,-0.7,-52.808182,18.457621,-28.196522,3.691,196
3711,0.631728,-0.588655,-9.504631,-0.63,-3.08,-0.91,-52.756805,18.188652,-27.823988,3.711,197
3731,0.641299,-0.559941,-9.518989,-0.56,-3.43,-1.19,-52.383007,16.789644,-28.635231,3.731,198
3751,0.610192,-0.574298,-9.542917,-1.05,-3.64,-1.26,-53.373039,16.695347,-28.505129,3.751,199
3766,0.619763,-0.58387,-9.574025,-0.28,-3.64,-1.05,-53.463303,20.155972,-28.451815,3.766,200
3786,0.650871,-0.634121,-9.597955,2.03,-3.5,-0.77,-52.679352,16.045469,-28.624977,3.786,201
3806,0.653264,-0.591048,-9.609919,3.29,-3.36,-0.63,-51.965076,16.999846,-27.339098,3.806,202
