Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id
0,0.902126,-1.576926,-9.43045,-1.05,-2.73,-0.7,-53.693817,14.905675,-27.698742,0.0,0
20,0.811196,-1.569748,-9.463951,1.54,-3.57,-0.56,-51.735237,12.44947,-27.866892,0.02,1
40,0.808803,-1.59607,-9.435237,2.31,-3.57,-0.49,-51.095459,13.94773,-26.4841,0.04,2
60,0.837518,-1.619999,-9.456773,0.63,-3.22,-0.84,-52.790771,12.621168,-28.530315,0.06,3
75,0.82316,-1.627177,-9.43045,-0.98,-3.01,-0.91,-52.045708,11.702322,-28.277628,0.075,4
95,0.813589,-1.588891,-9.39695,-1.26,-3.5,-0.98,-51.37043,11.328352,-27.787703,0.095,5
115,0.839911,-1.560176,-9.461558,0.35,-3.78,-0.63,-50.400452,14.618268,-26.930637,0.115,6
135,0.78966,-1.603248,-9.440022,2.8,-3.85,-0.14,-48.933441,13.055491,-25.95582,0.135,7
151,0.835125,-1.600855,-9.418487,4.76,-3.99,0.07,-52.295273,15.208191,-26.813372,0.151,8
171,0.811196,-1.653499,-9.399343,6.23,-4.27,0.21,-51.184082,14.488642,-26.80818,0.171,9
191,0.847089,-1.651107,-9.408915,6.23,-4.27,-0.49,-53.409962,12.727161,-28.507378,0.191,10
211,0.844697,-1.698965,-9.444808,3.01,-3.85,-0.98,-52.535957,13.916166,-27.461348,0.211,11
226,0.780088,-1.658285,-9.416093,-0.56,-3.22,-1.12,-53.370968,14.055508,-27.711426,0.226,12
246,0.753766,-1.631963,-9.461558,-1.96,-2.73,-1.12,-50.234371,11.934175,-27.407549,0.246,13
266,0.787267,-1.557783,-9.47113,-0.28,-2.94,-0.84,-50.561501,13.063224,-26.3641,0.266,14
286,0.796838,-1.591284,-9.442415,1.33,-3.36,-0.63,-50.022835,12.179708,-26.103769,0.286,15
301,0.737016,-1.624785,-9.384986,1.4,-3.36,-0.63,-52.974052,12.381583,-28.992117,0.301,16
321,0.794446,-1.62957,-9.399343,0.35,-3.08,-0.84,-51.19482,13.166243,-26.762154,0.321,17
341,0.801624,-1.639142,-9.380199,-0.21,-3.08,-0.77,-50.848423,12.321032,-26.073185,0.341,18
361,0.794446,-1.660678,-9.461558,1.05,-3.29,-0.63,-50.918209,12.865909,-25.835945,0.361,19
376,0.78966,-1.639142,-9.428058,2.17,-3.57,-0.56,-50.417217,11.974463,-26.698252,0.376,20
396,0.794446,-1.663071,-9.408915,2.17,-3.71,-0.7,-52.650772,11.811289,-27.833702,0.396,21
416,0.770516,-1.639142,-9.440022,1.33,-3.57,-0.7,-53.281025,14.835012,-27.714033,0.416,22
436,0.799231,-1.643928,-9.399343,0.07,-3.36,-0.77,-51.506935,15.338809,-26.795496,0.436,23
451,0.765731,-1.675036,-9.432844,-0.07,-3.08,-0.84,-53.225365,14.287163,-28.372265,0.451,24
471,0.813589,-1.627177,-9.334735,0.56,-3.01,-0.77,-52.428925,13.099348,-27.747044,0.471,25
491,0.808803,-1.646321,-9.43763,1.19,-3.08,-0.7,-51.766026,14.322692,-26.833698,0.491,26
511,0.794446,-1.631963,-9.447201,1.4,-3.15,-0.7,-51.382813,12.925667,-27.364283,0.511,27
527,0.804017,-1.619999,-9.473523,1.33,-3.15,-0.84,-50.919067,12.306162,-28.178137,0.527,28
547,0.854268,-1.646321,-9.447201,1.26,-3.22,-0.91,-52.669178,12.087196,-27.223928,0.547,29
567,0.827946,-1.639142,-9.432844,1.26,-3.5,-0.77,-54.247932,14.465801,-28.053377,0.567,30
587,0.799231,-1.663071,-9.451987,1.33,-3.57,-0.7,-53.961441,14.928119,-29.515387,0.587,31
603,0.808803,-1.663071,-9.406522,0.84,-3.29,-0.7,-53.662167,13.592198,-26.389744,0.603,32
