Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id
7195,1.194061,-4.29527,11.33042,167.229996,-117.459999,-80.57,-75.484787,-2.157023,-98.847939,7.195,382
7215,0.002393,-5.312256,10.926019,195.229996,-106.330002,-66.849998,-70.734146,0.23094,-97.334961,7.215,383
7230,-0.35415,-4.285698,10.966698,216.020004,-104.650002,-68.669998,-71.301071,1.108507,-98.437279,7.23,384
7250,1.261063,4.534561,9.98082,122.989998,-110.739998,-70.279999,-70.596535,6.30103,-97.381348,7.25,385
7270,3.943512,-13.606075,23.720898,18.620001,-88.970001,-86.379997,-68.869545,6.794912,-97.866112,7.27,386
7290,8.569004,-21.62471,17.633339,2.87,-85.400002,1.54,-67.633698,8.462096,-96.036812,7.29,387
7305,3.180175,-2.730308,7.97317,76.93,9.03,21.49,-66.295952,9.031598,-95.804634,7.305,388
7325,-1.060058,0.820767,7.116508,73.5,37.029999,-3.36,-64.502243,6.059899,-97.044365,7.325,389
7345,-0.461831,0.693943,6.274205,27.299999,10.36,-14.63,-66.382042,7.693338,-98.003891,7.345,390
7365,0.825553,-0.770516,8.743686,9.45,-9.8,-18.549999,-66.240723,8.203875,-97.633965,7.365,391
7381,1.840146,-1.490782,10.066964,2.66,-14.28,-9.94,-66.516045,9.343828,-95.046883,7.381,392
7401,1.280206,-2.653735,9.856388,1.47,-11.83,-1.19,-68.459709,8.323547,-97.17733,7.401,393
7421,1.284992,-3.701829,9.954497,1.19,-12.53,2.31,-67.655495,10.057428,-95.894058,7.421,394
7441,1.643928,-3.945905,10.12918,5.25,-14.07,1.33,-65.831779,8.691967,-95.447395,7.441,395
7456,2.06508,-3.551076,10.086107,6.16,-11.06,-1.12,-66.562279,9.893661,-94.107994,7.456,396
7476,1.981328,-3.302213,9.899461,2.52,-5.74,-2.24,-66.521187,9.062963,-96.358315,7.476,397
7496,1.698965,-2.837989,9.499846,0.35,-0.07,-0.56,-65.94352,9.507794,-95.302025,7.496,398
7516,1.27542,-2.569983,9.081086,-2.24,1.68,1.96,-66.699753,8.824369,-96.679779,7.516,399
7532,0.997843,-2.622627,8.801116,-3.64,0.7,2.94,-67.229439,9.429995,-97.830551,7.532,400
7552,0.835125,-2.87149,8.997334,-5.67,-2.24,0.42,-64.605774,10.077296,-95.069847,7.552,401
7572,1.194061,-3.438609,9.542917,-6.93,-5.53,-2.94,-67.050438,9.948462,-96.337982,7.572,402
7592,1.517104,-3.921976,9.820495,-4.97,-6.3,-5.04,-65.001053,8.831508,-94.16655,7.592,403
7607,1.691786,-3.864547,9.736743,0.14,-4.9,-5.95,-63.823032,9.166379,-93.694519,7.607,404
7627,1.655892,-3.522361,9.485488,5.88,-2.87,-5.46,-65.886116,10.560233,-95.115845,7.627,405
7647,1.490782,-3.067708,9.499846,10.22,-1.61,-4.27,-66.366165,9.296601,-96.738487,7.647,406
7667,1.404637,-2.684843,9.380199,10.29,-1.68,-3.15,-65.996651,8.176475,-96.518967,7.667,407
7682,1.380708,-2.400087,9.313198,5.67,-2.03,-1.82,-67.250481,7.065071,-96.567398,7.682,408
7702,1.191668,-2.512553,9.332341,0.21,-2.52,-0.14,-67.225182,8.670316,-95.021339,7.702,409
7722,1.325671,-2.912169,9.308413,-4.2,-4.06,0.63,-68.461349,11.24326,-96.799934,7.722,410
7742,1.380708,-3.350071,9.459166,-5.46,-5.11,0.77,-67.338676,7.885854,-95.720383,7.742,411
7758,1.552997,-3.467324,9.621883,-3.64,-4.76,0.7,-66.294632,10.352014,-96.131325,7.758,412
7778,1.569748,-3.476896,9.664956,-0.14,-3.71,0.63,-65.600517,9.982008,-95.08007,7.778,413
7798,1.433352,-3.117959,9.499846,1.89,-2.59,0.14,-67.222969,11.031275,-96.84581,7.798,414
7818,1.294563,-2.912169,9.423272,1.89,-2.24,-0.77,-65.732414,9.473454,-95.169342,7.818,415
7833,1.316099,-2.938491,9.308413,0.35,-2.59,-1.47,-66.263405,8.758663,-95.993423,7.833,416
7853,1.301742,-3.058136,9.286877,-0.84,-2.94,-1.96,-65.521309,9.439115,-95.036659,7.853,417
7873,1.356779,-3.24239,9.392164,-0.7,-3.36,-2.45,-65.855324,8.687011,-96.14904,7.873,418
7893,1.426173,-3.297427,9.593168,0.7,-3.64,-2.8,-66.901443,8.860692,-96.531807,7.893,419
7908,1.519497,-3.275891,9.612311,1.82,-3.71,-2.73,-66.536629,7.739574,-96.452614,7.908,420
7928,1.617606,-3.072494,9.483095,1.82,-3.29,-2.1,-67.342064,9.205279,-96.187401,7.928,421
7948,1.495568,-2.940884,9.392164,1.19,-2.52,-1.47,-66.711708,10.701557,-95.085266,7.948,422
7968,1.438138,-2.921741,9.382592,-0.49,-2.31,-0.84,-64.162651,7.372741,-93.449455,7.968,423
7983,1.440531,-3.0366,9.377807,-2.31,-2.17,-0.14,-66.25399,8.760646,-95.712761,7.983,424
8003,1.320885,-3.211283,9.358664,-3.36,-2.24,0.42,-64.597672,8.758862,-94.462502,8.003,425
8023,1.320885,-3.417073,9.387379,-3.43,-3.01,0.56,-68.368019,10.703341,-96.335526,8.023,426
8043,1.330457,-3.531932,9.392164,-1.82,-3.78,0.42,-67.331322,10.527677,-96.233421,8.043,427
8058,1.373529,-3.395537,9.416093,0.91,-3.92,0.14,-65.207878,8.586965,-95.330002,8.058,428
8078,1.399851,-3.182568,9.440022,3.01,-3.78,-0.07,-65.280304,6.49101,-94.439384,8.078,429
8098,1.399851,-3.005492,9.495059,3.5,-3.71,-0.49,-65.869026,8.963909,-95.398941,8.098,430
8118,1.433352,-3.015064,9.487881,2.73,-3.64,-0.91,-66.737,9.096312,-96.631325,8.118,431
8134,1.399851,-3.0031,9.43045,2.1,-3.57,-1.33,-66.686943,7.506927,-95.932106,8.134,432
8154,1.442924,-3.046172,9.416093,1.54,-3.36,-1.75,-65.684425,10.523911,-95.263824,8.154,433
8174,1.445316,-3.117959,9.45438,1.4,-3.29,-1.96,-65.594482,11.303415,-95.266434,8.174,434
8194,1.500353,-3.113173,9.442415,1.33,-3.08,-1.61,-67.905495,13.283423,-95.600891,8.194,435
8210,1.471638,-3.132317,9.440022,0.84,-2.87,-1.05,-65.511887,9.441097,-94.755997,8.21,436
8230,1.469246,-3.141888,9.389771,0.0,-2.66,-0.42,-64.823799,7.749685,-93.518394,8.23,437
8250,1.342421,-3.149067,9.423272,-0.84,-2.52,0.07,-67.648254,8.17925,-97.628899,8.25,438
8270,1.383101,-3.206497,9.456773,-0.77,-2.87,0.28,-66.86673,10.46792,-94.705086,8.27,439
8285,1.366351,-3.189746,9.43763,-0.21,-3.57,0.21,-66.168762,9.53916,-95.855698,8.285,440
8305,1.404637,-3.127531,9.423272,0.49,-3.71,-0.07,-67.132599,12.090652,-95.677322,8.305,441
8325,1.430959,-3.16821,9.444808,0.98,-3.78,-0.35,-66.304939,9.309488,-94.9142,8.325,442
8345,1.430959,-3.144281,9.492666,1.47,-3.57,-0.42,-64.965446,11.479278,-93.837608,8.345,443
8360,1.40703,-3.120352,9.43045,1.4,-3.57,-0.56,-67.433327,7.105358,-95.858101,8.36,444
8380,1.430959,-3.084459,9.43045,1.05,-3.43,-0.56,-66.225281,9.527264,-97.539658,8.38,445
8400,1.363958,-3.108388,9.45438,0.63,-3.36,-0.49,-67.463226,10.019124,-96.322693,8.4,446
8420,1.375922,-3.096423,9.485488,0.35,-3.43,-0.63,-64.870895,7.739772,-94.921692,8.42,447
8435,1.435745,-3.089244,9.404129,-0.07,-3.15,-0.63,-64.196831,10.565389,-92.883278,8.435,448
8455,1.416602,-3.158639,9.420879,-0.21,-3.29,-0.42,-66.015839,11.931842,-93.189606,8.455,449
8475,1.46446,-3.22564,9.411307,-0.07,-3.29,-0.63,-67.302177,11.574168,-96.889229,8.475,450
8495,1.46446,-3.232819,9.43763,-0.07,-2.87,-0.91,-69.028282,12.120829,-97.902245,8.495,451
8510,1.414209,-3.22564,9.418487,0.28,-2.87,-0.77,-64.500488,7.660188,-96.199959,8.51,452
8530,1.383101,-3.184961,9.466345,0.84,-2.87,-0.77,-63.70187,8.352534,-93.559227,8.53,453
8550,1.392673,-3.122745,9.4137,0.91,-3.01,-0.7,-66.361458,9.297592,-96.59816,8.55,454
8570,1.416602,-3.091637,9.43045,0.56,-3.08,-0.49,-67.026886,9.953418,-95.63633,8.57,455
8586,1.368743,-3.158639,9.4137,0.28,-3.15,-0.21,-65.210838,10.186262,-94.625923,8.586,456
