Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
451585,1.277813,-7.508945,6.436923,0.700000,-3.080000,-1.260000,-67.362686,-10.679907,-97.469261
451605,1.270634,-7.473052,6.422565,1.330000,-3.150000,-0.980000,-67.508720,-11.191436,-97.979515
451625,1.261063,-7.425194,6.499138,1.260000,-2.940000,-0.770000,-66.545662,-10.263469,-95.438309
451645,1.263456,-7.475445,6.484781,0.840000,-2.800000,-0.630000,-67.488564,-9.867055,-97.744881
451661,1.213204,-7.559196,6.496746,0.770000,-3.080000,-0.700000,-66.932800,-12.346893,-97.767639
451681,1.263456,-7.645341,6.439316,2.450000,-3.150000,-0.700000,-68.175896,-12.135898,-97.862099
451701,1.194061,-8.446965,6.319670,17.290001,-3.570000,-1.050000,-66.696823,-11.055861,-97.259995
451721,1.150989,-9.124159,6.051664,49.700001,-3.710000,-2.520000,-66.293449,-11.128504,-97.555946
451736,1.158167,-9.600348,5.733408,93.519997,-7.490000,-2.660000,-67.240204,-10.173337,-97.660652
451756,1.273027,-8.147852,6.178489,122.779999,-9.240000,-4.760000,-65.940132,-9.611767,-98.551117
451776,1.105524,-6.580497,7.111723,134.610001,-9.800000,-8.190000,-65.654854,-5.949861,-98.464638
451796,1.062451,-5.235683,7.726700,121.870003,-12.110000,-6.790000,-66.523720,-6.858002,-98.199242
451811,1.347207,-3.572612,8.372786,86.730003,-12.740000,-5.880000,-68.864632,-1.964228,-98.998291
451831,1.505139,-3.283070,8.877689,38.920002,-10.710000,-4.760000,-65.951088,-2.174033,-97.232582
451851,1.687000,-3.553468,8.439787,-8.050000,-6.930000,-3.990000,-66.331772,-2.656178,-98.577171
451871,1.756395,-3.912405,8.298605,-50.680000,-1.610000,-3.220000,-66.116386,-2.969399,-99.475258
451887,1.634356,-4.721208,8.035385,-85.540001,1.820000,-0.910000,-65.473221,-2.790563,-97.625443
451907,1.550604,-5.673585,7.499374,-108.290001,3.360000,2.170000,-68.590622,-4.424597,-101.258682
