Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,Id
0,0.145967,-6.52546,-7.178724,0.28,-3.08,-0.84,-60.108524,-5.124725,-22.094404,0.0,0
20,0.177075,-6.546997,-7.219404,0.56,-3.36,-0.49,-60.897297,-5.535215,-23.283373,0.02,1
40,0.179468,-6.523067,-7.147616,0.98,-3.08,-0.49,-60.776913,-2.869601,-20.428493,0.04,2
60,0.157932,-6.551782,-7.140438,0.98,-2.87,-1.05,-61.48177,-3.821995,-21.433718,0.06,3
75,0.184254,-6.515889,-7.145224,1.19,-3.08,-1.26,-60.520889,-4.774189,-20.908014,0.075,4
95,0.160325,-6.489567,-7.169153,1.54,-3.15,-1.05,-58.886372,-3.180641,-19.514997,0.095,5
115,0.129217,-6.570926,-7.133259,1.19,-3.08,-0.91,-61.854355,-5.622571,-22.170961,0.115,6
135,0.162718,-6.537425,-7.142831,0.49,-3.36,-0.77,-60.690041,-5.010801,-20.948826,0.135,7
150,0.177075,-6.456066,-7.169153,0.21,-3.43,-0.84,-59.352722,-4.721172,-21.887743,0.15,8
170,0.172289,-6.494352,-7.157188,0.21,-3.01,-0.98,-59.398529,-3.891466,-19.777756,0.17,9
190,0.184254,-6.465638,-7.161974,0.91,-3.5,-0.91,-58.358875,-5.666428,-20.379734,0.19,10
210,0.179468,-6.49196,-7.181117,1.33,-3.22,-0.49,-60.800034,-2.594685,-19.959049,0.21,11
226,0.201004,-6.501531,-7.133259,1.12,-3.15,-0.42,-61.939915,-2.160957,-21.977318,0.226,12
246,0.134003,-6.494352,-7.111723,0.7,-3.43,-0.77,-59.631004,-1.981922,-18.596584,0.246,13
266,0.217755,-6.527853,-7.147616,0.56,-3.43,-0.56,-59.403671,-4.172331,-21.08918,0.266,14
286,0.107681,-6.554175,-7.22419,0.42,-3.01,-0.28,-60.609516,-4.233278,-21.232094,0.286,15
301,0.124431,-6.475209,-7.161974,0.49,-3.15,-0.77,-61.790489,-2.968854,-21.000044,0.301,16
321,0.11486,-6.46803,-7.159581,0.28,-3.5,-0.98,-60.000954,-1.141668,-19.987206,0.321,17
341,0.119645,-6.503924,-7.176332,0.42,-3.22,-1.12,-60.189831,-2.422788,-19.091549,0.341,18
361,0.095716,-6.499138,-7.140438,0.84,-3.01,-0.98,-60.51825,-2.133357,-21.561388,0.361,19
377,0.157932,-6.458459,-7.173938,0.98,-2.94,-0.7,-61.024059,-5.762904,-22.061213,0.377,20
397,0.153146,-6.499138,-7.133259,0.63,-3.22,-0.63,-61.785782,-2.967862,-20.859713,0.397,21
417,0.134003,-6.56614,-7.169153,0.28,-3.5,-0.77,-60.963154,-1.509889,-20.186218,0.417,22
437,0.167504,-6.561354,-7.207439,0.98,-3.29,-1.05,-60.962372,-4.989348,-22.9058,0.437,23
452,0.14836,-6.518281,-7.169153,1.96,-2.94,-0.98,-62.662315,-2.277696,-20.030569,0.452,24
472,0.136396,-6.530246,-7.200261,1.68,-2.87,-0.77,-60.934116,-4.9834,-22.06382,0.472,25
492,0.141182,-6.518281,-7.111723,0.84,-3.01,-0.98,-59.594296,-7.053739,-21.037939,0.492,26
512,0.141182,-6.436923,-7.130866,-0.28,-3.29,-1.05,-63.502899,-2.699092,-22.763168,0.512,27
527,0.174682,-6.448887,-7.22419,-1.05,-3.64,-0.84,-62.061077,-1.347112,-22.11261,0.527,28
547,0.136396,-6.489567,-7.24094,-0.98,-3.36,-0.7,-60.022861,-4.066338,-21.066246,0.547,29
567,0.172289,-6.520675,-7.231368,0.63,-3.15,-0.77,-61.627804,-4.333522,-21.943974,0.567,30
587,0.126824,-6.535032,-7.25769,1.89,-2.73,-0.7,-62.16943,-1.850709,-21.500225,0.587,31
602,0.150753,-6.489567,-7.099758,2.1,-2.8,-0.84,-62.14806,-3.725915,-22.814079,0.602,32
622,0.165111,-6.554175,-7.097365,1.19,-3.01,-0.84,-62.192978,-1.855665,-22.201876,0.622,33
642,0.191433,-6.558961,-7.087794,0.21,-3.08,-0.77,-62.407154,-4.742031,-22.85228,0.642,34
662,0.172289,-6.532639,-7.173938,-0.21,-2.94,-0.84,-60.909248,-3.658028,-21.688858,0.662,35
677,0.162718,-6.551782,-7.197867,0.07,-2.87,-0.7,-62.049126,-3.2243,-23.707125,0.677,36
697,0.153146,-6.532639,-7.205046,0.84,-3.01,-1.05,-60.196613,0.216061,-20.025585,0.697,37
717,0.153146,-6.456066,-7.178724,1.26,-2.87,-1.12,-59.049599,-6.615848,-20.963964,0.717,38
737,0.102895,-6.511103,-7.173938,1.12,-2.87,-0.7,-60.38253,-2.664356,-19.834009,0.737,39
753,0.129217,-6.535032,-7.16676,0.63,-3.22,-0.63,-61.64917,-2.458317,-20.630117,0.753,40
773,0.143574,-6.506317,-7.169153,-0.07,-3.36,-0.84,-60.669884,-3.686419,-20.714193,0.773,41
793,0.162718,-6.535032,-7.16676,-0.14,-3.15,-0.77,-60.54565,-1.57956,-20.061178,0.793,42
813,0.172289,-6.544604,-7.243333,0.7,-3.22,-0.84,-61.055279,-4.169556,-22.199112,0.813,43
829,0.179468,-6.535032,-7.178724,1.54,-3.29,-0.84,-60.693001,-3.411503,-20.244745,0.829,44
849,0.167504,-6.503924,-7.152402,1.61,-3.15,-0.91,-58.962616,-4.237046,-20.262495,0.849,45
869,0.107681,-6.506317,-7.209832,0.98,-3.29,-0.84,-61.876156,-4.02724,-22.028202,0.869,46
889,0.172289,-6.501531,-7.164367,0.42,-3.22,-1.19,-62.217846,-3.181038,-22.576838,0.889,47
904,0.169896,-6.50871,-7.169153,0.49,-3.08,-0.84,-62.020435,-2.938479,-21.694046,0.904,48
924,0.165111,-6.549389,-7.188296,0.7,-3.08,-0.28,-59.471706,-2.027166,-20.007532,0.924,49
944,0.153146,-6.477602,-7.181117,0.91,-3.29,-0.35,-61.155422,-1.471584,-19.757582,0.944,50
964,0.124431,-6.520675,-7.185903,1.05,-3.15,-0.49,-60.636913,-3.67948,-19.731884,0.964,51
979,0.155539,-6.501531,-7.207439,0.98,-2.59,-0.91,-59.806614,-3.819813,-19.622135,0.979,52
999,0.179468,-6.537425,-7.16676,1.47,-2.94,-0.91,-61.978477,-3.20943,-21.602175,0.999,53
1019,0.136396,-6.513496,-7.147616,1.54,-3.43,-0.91,-61.853039,-4.302156,-22.497646,1.019,54
1039,0.191433,-6.49196,-7.123687,0.77,-3.29,-0.7,-59.082031,-1.822912,-19.553379,1.039,55
1054,0.119645,-6.551782,-7.197867,0.21,-3.36,-0.7,-60.636913,-3.67948,-19.731884,1.054,56
1074,0.167504,-6.523067,-7.173938,0.77,-3.22,-0.98,-61.739548,-3.517694,-21.798607,1.074,57
1094,0.203397,-6.494352,-7.190689,1.47,-3.01,-0.91,-61.408916,-1.446166,-21.153234,1.094,58
1114,0.129217,-6.501531,-7.126081,1.75,-2.94,-0.77,-60.37233,-6.141833,-22.272934,1.114,59
1130,0.162718,-6.511103,-7.135652,1.61,-2.87,-0.98,-60.250278,-5.915133,-23.635424,1.13,60
1150,0.136396,-6.535032,-7.130866,0.84,-2.87,-1.19,-61.874409,-2.426951,-21.18379,1.15,61
1170,0.203397,-6.527853,-7.157188,-0.14,-3.36,-1.19,-59.38483,-4.168366,-20.527861,1.17,62
1190,0.14836,-6.503924,-7.188296,-0.07,-3.29,-0.77,-63.926857,-4.230702,-23.872948,1.19,63
1205,0.124431,-6.535032,-7.207439,0.56,-3.22,-0.63,-59.975765,-4.056425,-19.662947,1.205,64
1225,0.169896,-6.532639,-7.18351,1.19,-3.29,-0.98,-60.203178,-5.90522,-22.232124,1.225,65
1245,0.210576,-6.470424,-7.154795,1.82,-3.22,-1.05,-60.543118,-3.45873,-21.936354,1.245,66
1265,0.122038,-6.535032,-7.126081,1.82,-2.94,-0.91,-63.437817,-3.244959,-23.140739,1.265,67
1280,0.169896,-6.554175,-7.154795,1.05,-3.15,-0.84,-61.073685,-3.893648,-21.589338,1.28,68
1300,0.18904,-6.532639,-7.178724,0.35,-3.01,-1.05,-62.976608,-1.985293,-22.079418,1.3,69
1320,0.157932,-6.52546,-7.195475,0.63,-2.94,-0.84,-60.200996,-4.025059,-20.216619,1.32,70
1340,0.150753,-6.532639,-7.193082,0.77,-2.94,-0.7,-61.044109,-2.567284,-21.074043,1.34,71
1355,0.134003,-6.453673,-7.130866,0.98,-3.36,-0.84,-60.679729,-3.968275,-22.165949,1.355,72
1375,0.165111,-6.527853,-7.18351,0.84,-3.15,-0.84,-62.382286,-3.416658,-22.477318,1.375,73
1395,0.172289,-6.518281,-7.178724,0.77,-2.8,-0.7,-60.584648,-2.907906,-20.857132,1.395,74
1415,0.136396,-6.539818,-7.106937,0.77,-2.8,-0.7,-58.114796,-5.693829,-19.264738,1.415,75
1431,0.191433,-6.520675,-7.123687,0.49,-3.22,-0.98,-60.508831,-2.131375,-21.280727,1.431,76
1451,0.20579,-6.523067,-7.164367,0.28,-3.29,-1.12,-61.52887,-3.831908,-22.837017,1.451,77
1471,0.172289,-6.503924,-7.181117,0.84,-3.01,-0.91,-60.03096,-2.747905,-21.673592,1.471,78
1491,0.193826,-6.527853,-7.154795,1.4,-3.22,-0.7,-62.224762,-5.542987,-20.892696,1.491,79
1506,0.174682,-6.46803,-7.142831,1.33,-3.08,-0.56,-60.347462,-4.81646,-21.897972,1.506,80
1526,0.174682,-6.532639,-7.159581,1.12,-3.22,-0.63,-61.068977,-3.892657,-21.449009,1.526,81
1546,0.155539,-6.537425,-7.152402,0.56,-3.64,-0.56,-59.861382,-2.23142,-20.461685,1.546,82
1566,0.143574,-6.568533,-7.197867,0.07,-3.36,-0.49,-61.614101,-4.610422,-22.694077,1.566,83
1582,0.160325,-6.520675,-7.145224,0.49,-3.29,-0.56,-58.529663,-2.983326,-20.04315,1.582,84
1602,0.143574,-6.496746,-7.181117,1.12,-3.08,-0.35,-60.783806,-4.750755,-22.584332,1.602,85
1622,0.201004,-6.546997,-7.193082,1.4,-3.01,-0.42,-60.955482,-3.108196,-20.749964,1.622,86
1642,0.179468,-6.499138,-7.142831,1.26,-2.87,-0.49,-63.664375,-4.534009,-23.367729,1.642,87
1657,0.134003,-6.558961,-7.114116,1.33,-3.08,-0.63,-61.129772,-3.62567,-22.1022,1.657,88
1677,0.196218,-6.537425,-7.138045,1.33,-2.8,-0.91,-61.103264,-5.220011,-22.10463,1.677,89
1697,0.184254,-6.558961,-7.142831,0.91,-2.8,-0.84,-62.968941,-3.583599,-22.643169,1.697,90
1717,0.136396,-6.523067,-7.128473,0.77,-3.01,-0.49,-61.862026,-4.024266,-21.60721,1.717,91
