Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z,Id,Time,gesture_id
1253149,7.140438,-6.743215,1.926291,5.46,-0.91,-3.43,42.17704,-28.784513,156.10907,0.0526439999999999,-0.011965,0.1148599999999999,7.114116000000001,-6.7372325,1.8688610000000003,388,7.76,19
1253169,7.171546,-6.688178,1.955006,5.11,-1.47,-2.66,43.362728,-30.047947,156.017349,0.0311080000000005,0.0550370000000004,0.028715,7.155992000000001,-6.7156965,1.9406485,389,7.78,19
1253189,7.324692,-6.59964,2.117724,3.08,-2.17,-1.75,41.374569,-28.918106,155.670212,0.1531459999999995,0.0885379999999997,0.1627179999999999,7.248119000000001,-6.643909,2.036365,390,7.8,19
1253209,7.226583,-6.860467,1.981328,2.45,-2.59,-1.26,41.419491,-30.788353,155.057999,-0.098109,-0.2608269999999999,-0.1363959999999999,7.2756375,-6.7300535,2.049526,391,7.82,19
1253229,7.092579,-6.980113,1.971756,2.59,-2.59,-0.42,43.696747,-29.295843,157.12973,-0.134004,-0.1196460000000003,-0.0095719999999999,7.159581000000001,-6.92029,1.976542,392,7.84,19
1253249,7.090187,-6.992077,2.014829,3.5,-2.59,-0.07,42.085026,-26.924179,155.317978,-0.0023919999999995,-0.0119639999999998,0.0430730000000001,7.091383,-6.986095000000001,1.9932925000000004,393,7.86,19
1253269,7.085401,-7.054293,1.911934,6.09,-2.1,-0.07,41.641335,-29.500296,155.144669,-0.0047860000000001,-0.0622160000000002,-0.1028950000000001,7.087794000000001,-7.023185,1.9633815000000003,394,7.88,19
1253289,7.030364,-6.917897,2.012436,7.0,-1.68,0.35,42.83041,-32.083153,155.519958,-0.0550370000000004,0.1363960000000004,0.100502,7.057882500000001,-6.986095000000001,1.9621850000000003,395,7.9,19
1253309,6.853289,-7.130866,2.055508,6.86,-0.49,0.77,42.953003,-27.05658,156.550369,-0.1770749999999994,-0.2129690000000001,0.043072,6.941826500000001,-7.0243815000000005,2.0339720000000003,396,7.92,19
1253329,6.831753,-6.910718,2.220619,6.65,0.21,0.98,38.91885,-26.12921,154.49881,-0.0215360000000002,0.220148,0.165111,6.842521000000001,-7.020792,2.1380635000000003,397,7.94,19
1253349,6.922683,-7.063865,2.170368,6.86,1.68,0.63,41.586994,-27.632029,155.476212,0.0909300000000001,-0.1531469999999997,-0.0502510000000002,6.877218000000001,-6.9872914999999995,2.1954935000000004,398,7.96,19
1253369,6.779109,-7.027971,2.220619,8.75,2.31,-0.14,41.290653,-28.376204,155.486465,-0.1435740000000001,0.0358939999999998,0.0502510000000002,6.8508960000000005,-7.045918,2.1954935000000004,399,7.98,19
1253389,6.889183,-7.133259,2.129688,10.85,3.08,-0.28,41.970642,-28.749184,156.116714,0.110074,-0.1052879999999998,-0.0909310000000003,6.8341460000000005,-7.080615,2.1751535000000004,400,8.0,19
1253409,6.764751,-6.980113,2.191904,12.32,2.45,-0.63,41.86657,-29.53166,155.698334,-0.1244319999999996,0.1531459999999995,0.0622160000000002,6.826967000000002,-7.056686,2.1607960000000004,401,8.02,19
1253429,6.874825,-6.867646,2.249334,10.64,2.52,-1.33,42.269943,-29.604305,155.40239,0.110074,0.1124670000000005,0.05743,6.819788000000001,-6.9238795,2.220619,402,8.04,19
1253449,6.853289,-6.908326,2.187118,9.59,2.03,-2.8,42.920464,-26.783648,156.739151,-0.0215360000000002,-0.04068,-0.0622160000000002,6.864057000000001,-6.887986,2.2182260000000005,403,8.06,19
1253469,6.989685,-6.704928,2.218226,8.54,1.68,-4.2,43.510506,-27.936131,157.372009,0.1363959999999995,0.2033979999999999,0.0311080000000001,6.921487000000001,-6.806627,2.202672,404,8.08,19
1253489,6.917897,-6.999256,2.199083,7.28,1.47,-5.25,43.930973,-29.605099,156.792969,-0.0717879999999997,-0.2943280000000001,-0.0191430000000001,6.953791000000001,-6.852092,2.2086545,405,8.1,19
1253509,7.032757,-6.884397,2.215833,7.35,0.14,-6.02,41.711121,-30.045172,154.907425,0.1148600000000001,0.114859,0.01675,6.975327000000001,-6.9418264999999995,2.207458,406,8.12,19
1253529,6.996863,-6.539818,2.390515,6.16,-1.54,-6.09,39.44635,-28.614996,153.634064,-0.0358939999999998,0.3445789999999995,0.1746820000000002,7.014810000000001,-6.7121075,2.3031740000000003,407,8.14,19
1253549,7.059079,-6.523067,2.445552,1.89,-2.8,-6.93,40.656906,-28.553057,153.917313,0.0622159999999993,0.0167510000000001,0.055037,7.027971000000001,-6.531442500000001,2.4180335000000004,408,8.16,19
1253569,7.099758,-6.408208,2.440766,-6.65,-4.06,-8.05,43.471077,-29.54435,155.404968,0.0406789999999999,0.114859,-0.0047860000000001,7.079418500000001,-6.4656375,2.4431590000000005,409,8.18,19
