Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,acc_ma_x,acc_ma_y,acc_ma_z,acc_diff_x,acc_diff_y,acc_diff_z,Unnamed: 17
453983,-11.596032,9.368236,-2.701593,39.200001,-16.59,-126.139999,-51.302101,68.249924,52.395061,7.54,-11.596032,9.368236,-2.701593,-11.596032,9.368236,-2.701593,
454003,-12.443122,9.014085,-2.651342,51.66,-9.87,-155.119995,-50.62989,64.955254,52.367264,7.56,-12.019577,9.1911605,-2.6764675,-0.8470900000000015,-0.3541509999999999,0.0502509999999998,
454023,-12.624983,8.059315,-2.268477,61.529999,-3.36,-180.669998,-52.762005,62.933723,52.30357,7.58,-12.5340525,8.5367,-2.4599095,-0.1818609999999996,-0.95477,0.3828650000000002,
454043,-12.050685,7.049507,-1.392673,71.959999,3.57,-202.930008,-52.740208,61.33839,52.160812,7.6,-12.337834,7.554411,-1.830575,0.5742980000000006,-1.0098079999999996,0.8758039999999998,
454058,-11.442886,6.156952,-0.607799,84.769997,13.93,-224.979996,-53.829277,56.222477,51.962158,7.62,-11.7467855,6.6032295,-1.000236,0.607799,-0.8925549999999998,0.7848740000000001,
454078,-11.351956,6.192846,0.052644,85.75,23.309999,-239.75,-51.635612,54.016762,53.799438,7.64,-11.397421,6.174899,-0.2775775,0.0909300000000001,0.0358939999999998,0.660443,
454098,-10.789622,5.23329,0.045465,78.959999,25.48,-248.570007,-52.283951,53.076267,54.47818,7.66,-11.070789,5.713068,0.0490545,0.5623339999999999,-0.959556,-0.007179,
454118,-10.028678,3.28307,0.296721,76.160004,29.75,-253.889999,-52.424519,48.605469,55.228645,7.68,-10.40915,4.25818,0.171093,0.7609440000000003,-1.9502200000000005,0.251256,
454133,-9.210303,2.144046,0.387651,89.25,38.360001,-255.220001,-53.164986,45.005306,53.894485,7.7,-9.6194905,2.713558,0.342186,0.8183749999999996,-1.139024,0.09093,
454153,-8.478073,1.385494,0.665228,101.5,46.130001,-252.350006,-49.132263,38.237518,55.05093,7.72,-8.844187999999999,1.76477,0.5264395000000001,0.7322299999999995,-0.7585519999999999,0.277577,
