Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Time,acc_ma_x,acc_ma_y,acc_ma_z,acc_diff_x,acc_diff_y,acc_diff_z,Unnamed: 17
1059543,1.514711,6.965755,1.208419,65.449997,25.969999,20.370001,36.650928,56.860939,170.066467,13.32,1.514711,6.965755,1.208419,1.514711,6.965755,1.208419,
1059563,2.421623,9.645813,0.768124,59.010002,27.09,24.360001,38.671299,59.698288,170.275528,13.34,1.968167,8.305784,0.9882715,0.906912,2.6800580000000007,-0.4402949999999999,
1059583,2.837989,9.731957,0.483367,1.96,34.369999,30.030001,38.22422,58.441597,169.635208,13.36,2.629806,9.688885,0.6257455000000001,0.416366,0.0861439999999991,-0.284757,
1059603,3.445788,9.308413,0.581477,-20.65,36.68,42.07,39.697689,58.480103,171.594757,13.38,3.1418885,9.520185,0.532422,0.607799,-0.4235439999999997,0.09811,
1059623,4.108623,9.559668,0.423545,-12.46,35.630001,52.709999,38.997543,57.528698,170.729874,13.4,3.7772055,9.4340405,0.502511,0.6628349999999998,0.2512550000000004,-0.157932,
1059643,5.163896,9.930569,0.540797,-17.710001,32.060001,51.939999,40.938602,56.388947,169.673706,13.42,4.6362594999999995,9.7451185,0.482171,1.0552730000000006,0.3709009999999999,0.1172519999999999,
1059663,6.436923,10.835088,0.598227,-20.58,23.24,45.150002,42.177414,56.456833,170.798935,13.44,5.800409500000001,10.3828285,0.569512,1.273027,0.9045190000000004,0.0574299999999999,
1059683,8.164602,10.885339,0.449867,-15.05,14.63,27.65,42.845371,53.921833,167.961929,13.46,7.3007625,10.8602135,0.5240469999999999,1.7276790000000002,0.0502509999999993,-0.1483599999999999,
1059703,9.30602,12.043507,0.818375,2.45,7.07,2.73,43.20219,58.639149,168.655579,13.48,8.735311,11.464423,0.6341209999999999,1.1414179999999998,1.158168,0.3685079999999999,
1059723,9.442415,12.742235,0.871019,32.830002,3.71,-23.799999,44.347561,54.726955,168.094589,13.5,9.3742175,12.392871,0.844697,0.1363950000000002,0.6987280000000009,0.052644,
1059743,8.394321,13.184923,0.935627,68.669998,1.68,-42.77,46.26033,53.100456,170.036423,13.52,8.918368000000001,12.963579,0.903323,-1.0480940000000007,0.4426879999999986,0.064608,
1059763,7.630984,13.323712,0.6748,99.889999,2.03,-52.779999,45.147068,56.459846,169.237534,13.54,8.0126525,13.2543175,0.8052135,-0.7633369999999999,0.1387890000000009,-0.260827,
1059783,6.93704,14.027227,-0.019143,113.75,3.71,-57.68,43.330994,55.746204,172.067093,13.56,7.284012,13.6754695,0.3278284999999999,-0.6939440000000001,0.7035149999999994,-0.693943,
1059803,5.912876,14.364627,-0.342186,112.419998,4.27,-58.939999,41.628437,56.297825,171.755722,13.58,6.424958,14.195927,-0.1806645,-1.024164,0.3374000000000006,-0.3230429999999999,
1059823,5.068179,13.256711,-1.100738,104.790001,5.25,-57.540001,42.439438,55.392857,173.973038,13.6,5.4905275,13.810669,-0.721462,-0.844697,-1.1079160000000012,-0.758552,
1059843,4.216304,10.387614,-1.87604,99.190002,11.06,-57.82,42.286922,52.799252,176.318008,13.62,4.6422415,11.8221625,-1.488389,-0.8518749999999997,-2.869097,-0.7753019999999999,
