Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z,Id,Time,gesture_id
1254049,5.407972,-9.600348,-0.047858,12.18,-60.900002,-20.51,42.878048,-27.273365,159.316162,-0.440296,-2.4335880000000003,-0.6676209999999999,5.628120000000001,-8.383554,0.2859525000000002,433,8.66,19
1254069,5.419937,-9.995177,-0.859054,25.76,-56.349998,-42.91,42.781643,-29.65415,158.33403,0.011965,-0.3948289999999996,-0.811196,5.413954500000001,-9.7977625,-0.4534559999999997,434,8.68,19
1254089,5.058608,-9.475916,2.069865,36.610001,-63.349998,-69.650002,41.74802,-26.557783,158.749649,-0.3613289999999995,0.5192610000000002,2.928919,5.239272500000001,-9.7355465,0.6054055000000003,435,8.7,19
1254109,6.616391,-6.0397,2.194297,51.099998,-58.240002,-87.220001,42.586414,-28.016548,159.466736,1.5577829999999997,3.436216,0.1244320000000001,5.837499500000002,-7.757808,2.1320810000000003,436,8.72,19
1254129,7.642949,-2.56759,2.23019,25.690001,-56.07,-104.160004,43.757652,-25.042828,159.00473,1.0265579999999996,3.47211,0.0358929999999997,7.129670000000001,-4.3036449999999995,2.2122435000000005,437,8.74,19
1254149,8.509181,0.473796,1.328064,-49.91,-54.880001,-109.270004,45.852844,-26.989485,159.066177,0.8662320000000001,3.041386,-0.902126,8.076065,-1.046897,1.779127,438,8.76,19
1254169,9.827674,0.224933,0.794446,-154.070007,-47.25,-101.5,49.599747,-24.418922,161.459351,1.318493,-0.248863,-0.5336179999999999,9.1684275,0.3493644999999999,1.061255,439,8.78,19
1254189,10.191396,-1.514711,0.212969,-244.089996,-35.349998,-86.379997,46.64304,-20.738577,161.150269,0.3637219999999992,-1.739644,-0.581477,10.009535,-0.644889,0.5037075000000002,440,8.8,19
1254209,9.959284,-3.204104,-0.488153,-289.380005,-26.110001,-73.57,50.532879,-21.057985,167.375946,-0.2321119999999989,-1.689393,-0.701122,10.07534,-2.3594075,-0.1375919999999997,441,8.82,19
1254229,10.122002,-5.154324,-0.65805,-293.369995,-20.23,-69.370003,52.391315,-20.816219,169.649323,0.1627179999999999,-1.95022,-0.169897,10.040643,-4.179214,-0.5731014999999997,442,8.84,19
1254249,10.141145,-6.283777,-0.722658,-266.209991,-16.1,-70.279999,51.972145,-18.307631,173.741653,0.0191429999999996,-1.1294529999999998,-0.064608,10.131573500000002,-5.7190505,-0.6903539999999998,443,8.86,19
1254269,9.583597,-6.257455,-1.16056,-225.680008,-12.53,-74.970001,52.403885,-13.854326,175.509491,-0.5575480000000006,0.0263219999999995,-0.437902,9.862371,-6.270616,-0.9416089999999998,444,8.88,19
1254289,9.131337,-5.915269,-1.562569,-179.970001,-10.08,-78.82,52.423264,-9.050486,178.463699,-0.452259999999999,0.3421859999999999,-0.402009,9.357467,-6.086362,-1.3615644999999998,445,8.9,19
1254309,8.990156,-5.470188,-1.500353,-135.100006,-9.31,-78.330002,51.297943,-8.333911,178.037521,-0.1411809999999995,0.445081,0.062216,9.0607465,-5.6927285,-1.5314609999999995,446,8.92,19
1254329,8.999727,-3.744901,-1.80186,-110.32,-9.31,-75.040001,53.281929,-4.664869,180.637238,0.0095709999999993,1.7252870000000002,-0.3015069999999999,8.994941500000001,-4.6075445,-1.6511064999999998,447,8.94,19
