Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z,Id,Time,gesture_id
427921,9.526167,3.101209,-0.545583,-6.72,-28.630001,6.3,33.85041,88.758842,57.843327,,,,,,,0,0.0,89
427941,9.212696,2.983956,-0.203397,-21.0,-18.83,7.35,35.835175,88.948418,57.723454,-0.31347099999999983,-0.11725299999999983,0.34218600000000005,9.3694315,3.0425825,-0.37449,1,0.02,89
427961,9.066729,3.90044,-0.586262,-26.460001,-16.59,5.32,35.224514,88.015854,59.524834,-0.14596699999999885,0.9164840000000001,-0.38286499999999996,9.1397125,3.4421980000000003,-0.3948295,2,0.04,89
427981,8.856153,4.216304,-1.129453,-29.33,-20.790001,1.75,34.800552,86.484245,58.415054,-0.21057599999999965,0.3158639999999999,-0.5431910000000001,8.961441,4.058372,-0.8578575,3,0.06,89
427997,8.978191,3.981799,-1.399851,-30.52,-28.49,3.01,35.419312,86.098373,57.221024,0.12203799999999987,-0.23450499999999996,-0.2703979999999999,8.917172,4.0990515,-1.2646519999999999,4,0.08,89
428017,8.98537,3.682686,-1.024165,-28.77,-28.07,3.57,35.480106,85.83139,57.874214,0.007178999999998936,-0.2991130000000002,0.37568599999999996,8.9817805,3.8322424999999996,-1.212008,5,0.1,89
428037,8.899225,3.47211,-1.203633,-26.74,-24.290001,3.57,34.755203,88.074623,57.856163,-0.08614500000000014,-0.2105760000000001,-0.17946799999999996,8.942297499999999,3.5773979999999996,-1.113899,6,0.12,89
428057,8.951869,3.228033,-1.844932,-19.74,-21.35,4.34,33.437614,88.829491,57.85862,0.0526440000000008,-0.24407699999999988,-0.6412990000000001,8.925547,3.3500714999999994,-1.5242825,7,0.14,89
428072,9.15766,3.48886,-1.792288,-5.53,-22.469999,0.14,36.871414,88.012085,60.494431,0.2057909999999996,0.2608269999999999,0.05264399999999991,9.054764500000001,3.3584464999999994,-1.81861,8,0.16,89
428092,9.186374,3.474503,-1.974149,-0.98,-24.639999,1.47,33.826862,88.753883,57.141678,0.028714000000000794,-0.014356999999999953,-0.18186099999999983,9.172017,3.4816814999999997,-1.8832185,9,0.18,89
428112,9.172017,3.321357,-1.698965,1.19,-23.450001,1.19,35.452713,86.385193,59.374428,-0.014357000000000397,-0.153146,0.2751839999999999,9.1791955,3.3979299999999997,-1.836557,10,0.2,89
428132,9.152873,3.828653,-1.529068,6.72,-20.860001,-3.36,34.241726,86.043373,57.92009,-0.019144000000000716,0.5072960000000002,0.16989699999999996,9.162445,3.5750049999999995,-1.6140165,11,0.22,89
428147,8.920761,3.886083,-1.380708,16.1,-19.18,-6.16,34.238766,87.642677,58.624168,-0.23211199999999899,0.05743000000000009,0.14836000000000005,9.036817,3.8573679999999997,-1.454888,12,0.24,89
428167,8.954262,3.754473,-1.206026,24.780001,-16.52,-3.5,33.545078,88.292549,58.744019,0.03350099999999934,-0.13161000000000023,0.174682,8.9375115,3.8202779999999996,-1.293367,13,0.26,89
428187,9.205518,3.567826,-1.289778,31.290001,-15.96,-1.05,33.343391,88.328873,58.891994,0.2512559999999997,-0.18664699999999979,-0.08375200000000005,9.079889999999999,3.6611494999999996,-1.247902,14,0.28,89
428207,9.308413,3.646792,-1.526675,37.939999,-18.549999,-2.03,32.260029,88.774498,58.557686,0.10289500000000018,0.07896599999999987,-0.2368969999999999,9.2569655,3.607309,-1.4082265,15,0.3,89
428222,9.229446,3.632434,-1.895183,44.099998,-21.49,-6.16,36.276199,88.402908,62.390114,-0.07896700000000045,-0.014358000000000093,-0.36850800000000006,9.268929499999999,3.6396129999999998,-1.7109290000000001,16,0.32,89
428242,9.325163,3.981799,-2.359407,46.549999,-23.73,-9.94,33.974613,90.384903,62.336319,0.0957170000000005,0.34936500000000015,-0.46422399999999997,9.2773045,3.8071164999999993,-2.127295,17,0.34,89
428262,9.176803,4.455595,-2.660914,43.889999,-25.41,-14.7,33.211033,87.059647,61.471607,-0.14836000000000027,0.47379599999999966,-0.30150699999999997,9.250983,4.218697,-2.5101605,18,0.36,89
428282,8.918368,5.211754,-2.340264,26.18,-21.700001,-19.809999,33.518539,89.40609,62.586422,-0.2584350000000004,0.7561590000000002,0.3206500000000001,9.0475855,4.833674499999999,-2.5005889999999997,19,0.38,89
428297,9.533346,3.988978,-3.376393,5.25,-38.849998,-19.389999,32.060844,86.450844,60.670464,0.6149780000000007,-1.222776,-1.0361290000000003,9.225857,4.600366,-2.8583285,20,0.4,89
428317,10.818337,4.302449,-2.268477,5.18,-35.279999,-30.24,32.277092,86.697372,62.114574,1.2849909999999998,0.3134710000000003,1.1079160000000003,10.1758415,4.145713499999999,-2.822435,21,0.42,89
