Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Id,Time
14457,-2.558019,-7.011221,9.597955,23.17,6.23,8.19,-88.752769,-95.316666,-81.067764,770,14.457
14477,-2.447945,-7.362978,9.887496,23.24,15.12,10.99,-91.694565,-95.112808,-83.675453,771,14.477
14492,-2.668092,-7.480231,10.440258,36.889999,26.67,14.77,-88.240288,-98.845978,-80.855705,772,14.492
14512,-2.469481,-7.528089,10.636477,50.259998,37.73,19.460001,-89.828461,-96.469345,-81.96582,773,14.512
14532,-1.804253,-8.497216,12.658484,76.440002,49.279999,21.91,-89.070908,-94.465508,-80.914749,774,14.532
14552,-1.756395,-6.135417,13.000669,128.169998,63.0,16.52,-91.006371,-92.284218,-81.216049,775,14.552
14567,-1.392673,-1.955006,11.287348,140.070007,68.25,3.5,-89.010544,-95.012367,-81.432655,776,14.567
14587,-1.974149,-2.955241,11.81618,98.980003,69.090004,-7.56,-92.671646,-91.52375,-85.415848,777,14.587
14607,-1.74443,-6.032521,13.862117,113.82,71.470001,-21.49,-93.191475,-90.636269,-85.114861,778,14.607
14627,-2.991135,-3.680293,11.033699,135.729996,72.169998,-39.830002,-95.786446,-90.997757,-85.86248,779,14.627
14642,-4.83846,-7.039936,9.95689,157.360001,69.230003,-46.830002,-93.579407,-89.240234,-84.724602,780,14.642
14662,-6.551782,-6.721679,9.511809,216.649994,63.279999,-45.639999,-94.928207,-86.892006,-84.860054,781,14.662
14682,-8.681471,-6.676214,9.473523,258.860016,56.07,-40.529999,-95.404762,-84.955063,-84.793869,782,14.682
14702,-9.887496,-5.778873,7.638163,260.540009,51.939999,-24.360001,-95.633385,-83.604279,-85.81456,783,14.702
14717,-10.87816,-4.910247,6.424958,259.630005,50.049999,-0.7,-97.23954,-80.671867,-85.143806,784,14.717
14737,-10.095679,-3.0366,5.695121,244.509995,50.889999,23.870001,-94.510918,-78.201546,-83.462509,785,14.737
14757,-9.24859,-2.057901,4.613527,202.580002,55.580002,47.670002,-96.429184,-73.096581,-82.825089,786,14.757
14777,-8.825045,-2.316335,3.244783,148.190002,64.82,70.0,-97.178528,-71.898849,-82.047005,787,14.777
14792,-9.114587,-3.553468,3.285463,116.340004,74.480003,87.010002,-98.988861,-66.57016,-83.193077,788,14.792
14812,-8.657541,-4.182803,2.766202,108.919998,81.970001,107.660004,-99.863754,-68.799698,-82.741318,789,14.812
14832,-7.839167,-2.385729,3.330928,122.989998,91.910004,119.349998,-101.055794,-64.617546,-82.412529,790,14.832
14852,-6.616391,0.382865,3.680293,135.520004,95.059998,123.480003,-98.902771,-65.231903,-80.993813,791,14.852
14867,-6.159346,0.064609,3.072494,137.970001,94.150002,119.139999,-101.699417,-65.557053,-81.593468,792,14.867
14887,-6.006199,-0.945199,3.16821,185.850006,89.32,109.550003,-103.179588,-58.917503,-79.425278,793,14.887
14907,-4.627884,1.849718,2.644163,234.430008,77.980003,99.260002,-101.369141,-59.726192,-77.057419,794,14.907
14927,-4.867175,5.293113,2.268477,247.589996,66.220001,79.029999,-101.73056,-59.9245,-76.669586,795,14.927
14942,-4.379022,8.262712,2.749451,182.839996,44.73,61.880001,-101.712074,-56.161205,-72.21759,796,14.942
14962,-2.730308,9.490273,3.63722,77.840004,19.32,49.139999,-100.598701,-55.000595,-70.196892,797,14.962
14982,-2.057901,8.588147,3.618077,4.62,-1.54,30.66,-103.260818,-52.176361,-71.360649,798,14.982
15002,-2.541268,9.533346,3.441002,3.22,-26.040001,6.93,-102.286667,-53.685326,-72.756157,799,15.002
15017,-2.337871,11.605604,2.881061,20.93,-56.91,-21.629999,-99.351784,-56.251137,-68.464325,800,15.017
15037,-3.187354,10.031071,3.216069,18.27,-84.349998,-43.259998,-99.926811,-54.05513,-70.173981,801,15.037
15057,-1.634356,8.968619,6.027736,14.42,-108.150002,-54.950001,-99.022018,-54.739349,-70.161148,802,15.057
15077,1.579319,7.047114,8.659934,-0.35,-118.160004,-55.439999,-100.660706,-51.534016,-69.301598,803,15.077
15092,0.335007,6.523067,8.793938,-37.59,-110.739998,-45.639999,-99.905014,-55.650471,-70.316742,804,15.092
15112,0.375687,4.223483,9.899461,-107.940002,-94.220001,-30.450001,-98.930862,-57.159435,-71.712242,805,15.112
15132,-0.296721,1.627177,10.023892,-112.419998,-68.18,-24.360001,-100.069427,-55.405293,-74.05719,806,15.132
15152,-1.450102,2.725522,9.820495,-36.959999,-48.720001,-30.799999,-97.120819,-57.7672,-74.355453,807,15.152
15167,-2.546054,5.259612,8.305784,31.43,-38.150002,-38.849998,-99.149292,-59.286118,-75.17186,808,15.167
15187,-3.699436,6.807824,7.537661,34.790001,-36.75,-41.23,-97.918579,-57.899803,-74.653984,809,15.187
15207,-3.747294,7.300763,6.980113,0.49,-38.360001,-42.91,-97.158066,-57.495258,-74.306999,810,15.207
15227,-2.821239,6.848503,6.250276,-33.32,-39.48,-46.41,-96.355598,-57.361668,-73.868134,811,15.227
15242,-1.249098,6.135417,5.154324,-50.75,-38.5,-52.220001,-98.583115,-56.203434,-75.189934,812,15.242
15262,-0.129217,5.230897,3.374,-51.310001,-40.670002,-60.549999,-98.072708,-57.092896,-75.771584,813,15.262
