Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
2684028,3.551076,6.613998,1.20124,-60.970001,-34.860001,-147.490005,69.088966,-227.809402,-46.873753
2684048,3.610898,6.45128,1.811431,-83.230003,-7.21,-146.229996,68.59182,-227.476715,-48.213303
2684063,2.998314,5.223718,1.921505,-101.080002,20.02,-143.360001,69.26239,-227.851669,-47.863708
2684083,2.378551,4.749923,2.292406,-110.529999,45.849998,-136.639999,70.951241,-228.126389,-46.802235
2684103,2.136867,5.104073,3.165817,-113.82,69.440002,-128.169998,71.6698,-227.450897,-46.547115
2684123,1.952613,5.771694,4.017693,-118.020004,89.18,-115.290001,71.067268,-229.2211,-47.978363
2684138,1.284992,6.243097,5.802802,-128.100006,101.639999,-98.769997,69.452484,-229.770142,-50.307846
2684158,1.67025,6.178489,6.712107,-132.229996,104.160004,-81.410004,68.115166,-230.059769,-49.368927
2684178,1.85929,5.343364,5.979877,-141.470001,106.050003,-59.849998,67.314445,-228.593063,-48.963383
2684198,1.694179,5.235683,4.431666,-162.050003,112.279999,-26.880001,67.03476,-231.21344,-50.407314
2684213,1.316099,5.058608,8.157424,-150.360001,119.0,1.54,65.082642,-227.155945,-49.254425
2684233,1.296956,3.287856,10.54076,-112.0,111.230003,17.780001,67.838097,-230.520111,-47.626259
2684253,1.428566,2.316335,9.645813,-72.169998,99.190002,42.77,64.154617,-230.716827,-50.019615
2684273,1.002628,4.029657,7.891811,-52.990002,92.540001,81.480003,67.214195,-230.4151,-47.743652
2684288,0.772909,6.15456,9.423272,-61.459999,89.32,114.870003,65.266243,-231.156494,-48.843327
2684308,0.756159,5.994235,9.944926,-89.599998,85.050003,135.100006,63.621525,-229.272568,-47.797424
2684328,0.35415,3.69465,10.241647,-113.889999,79.309998,155.539993,60.116623,-229.230698,-49.869312
2684348,-0.009572,1.598463,10.110037,-122.919998,74.480003,183.259995,60.55418,-232.495987,-50.731438
2684363,0.050251,0.835125,10.44983,-118.230003,72.169998,208.25,60.80899,-231.200989,-49.662476
2684383,-0.05743,0.902126,10.988234,-106.959999,71.82,222.110001,58.859722,-233.262787,-50.435463
2684403,-0.071787,1.076809,11.911897,-91.0,72.519997,233.520004,57.753674,-232.26239,-49.129227
2684423,-0.35415,-0.715479,12.108115,-69.510002,69.93,244.089996,57.38327,-232.1828,-47.850964
2684438,-0.717872,-3.536718,12.457479,-61.880001,65.309998,241.990005,57.237663,-232.414444,-47.190125
2684458,-0.689158,-3.254355,13.287819,-59.639999,62.790001,231.419998,56.046383,-232.192551,-45.740948
2684478,-0.083752,-0.801624,12.153581,-60.549999,63.84,222.320007,56.935295,-234.480057,-46.993511
2684498,-0.277577,-2.421623,12.112901,-74.690002,62.720001,212.449997,54.923592,-233.355148,-48.042305
2684513,-1.184489,-6.611605,13.084421,-86.309998,56.560001,195.789993,54.809315,-230.660156,-46.021763
2684533,-1.359172,-7.961205,12.857095,-79.309998,49.349998,175.350006,54.283463,-231.09407,-45.534416
