Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Id,Time
13405,-4.809745,-0.875804,8.569004,-12.18,-14.7,-6.86,-97.970253,-70.710045,-82.531898,714,13.405
13425,-4.661385,-0.899733,9.023657,-7.7,-16.1,-4.2,-97.959091,-69.107773,-81.40683,715,13.425
13440,-4.680528,-0.272792,9.049978,-3.5,-16.24,-1.68,-96.26638,-69.941254,-82.547211,716,13.44
13460,-4.584812,-0.361329,9.088264,1.68,-16.59,0.21,-96.28907,-69.386452,-80.906677,717,13.46
13480,-4.355093,-0.138789,9.406522,12.11,-16.799999,0.56,-96.581131,-70.409515,-81.927185,718,13.48
13500,-4.276127,0.35415,9.67692,19.6,-16.030001,-0.21,-95.299149,-73.812157,-82.258583,719,13.5
13515,-3.943512,0.313471,10.411543,22.049999,-13.79,-1.47,-94.408379,-69.979347,-81.444931,720,13.515
13535,-4.017693,0.624549,10.574261,23.799999,-9.66,-3.78,-97.388313,-70.544098,-82.506378,721,13.535
13555,-4.120588,0.820767,10.239254,21.0,-6.16,-5.88,-96.914612,-66.36174,-80.646675,722,13.555
13575,-3.888476,0.251255,10.224896,16.870001,-3.01,-7.28,-97.565132,-69.182396,-81.983437,723,13.575
13590,-4.027264,0.466617,9.741529,16.030001,0.0,-7.63,-95.263115,-70.884514,-80.758545,724,13.59
13610,-3.931548,0.313471,9.566847,8.82,2.73,-6.86,-95.653999,-67.889175,-79.664207,725,13.61
13630,-4.144517,-0.040679,9.440022,4.83,5.04,-6.44,-95.131218,-70.375961,-80.669273,726,13.63
13650,-4.23784,0.088538,8.856153,2.1,5.81,-6.3,-96.332664,-66.195786,-80.621155,727,13.65
13666,-4.347914,-0.105288,8.418251,-1.47,4.48,-5.88,-97.22683,-68.709175,-81.901817,728,13.666
13686,-4.290484,-0.406794,8.427822,-1.75,1.96,-5.39,-96.137016,-67.553513,-80.582771,729,13.686
13706,-4.331164,-0.141182,8.296212,0.28,-1.19,-4.69,-98.117493,-68.02198,-81.493668,730,13.706
13726,-4.245019,-0.145967,8.446965,-1.68,-5.04,-3.78,-96.596581,-71.732903,-82.021484,731,13.726
