Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Id,Time
6082,1.241919,19.585953,20.363647,37.380001,-4.34,61.740002,-80.272614,-66.240761,-76.951698,324,6.082
6102,-1.67025,18.166958,8.588147,50.610001,2.94,2.03,-75.914749,-67.458542,-72.570625,325,6.102
6122,-0.028715,7.93249,10.208146,18.76,-1.26,-27.23,-80.158363,-69.41655,-75.132256,326,6.122
6142,0.655657,1.749216,9.763065,-6.86,-0.49,-37.66,-80.055931,-65.714363,-74.336487,327,6.142
6157,0.653264,-1.797074,5.836303,-23.1,-6.02,-27.23,-76.802887,-68.650528,-74.037651,328,6.157
6177,0.729837,-4.541739,6.283777,-24.639999,-17.360001,-3.5,-79.126701,-65.353073,-75.119789,329,6.177
6197,-0.184254,-4.503453,6.97772,-19.110001,-20.790001,14.98,-77.759056,-67.697342,-74.423019,330,6.197
6217,-0.011965,-2.974385,8.289034,8.4,-12.67,19.950001,-78.803848,-66.203247,-75.132469,331,6.217
6232,-0.145967,2.653735,8.013849,9.66,-0.91,16.66,-79.351936,-65.321709,-75.673462,332,6.232
6252,-0.081359,4.158874,8.408679,-1.75,3.57,8.33,-78.221474,-65.757423,-73.935852,333,6.252
6272,0.988271,4.627884,10.669977,14.98,1.33,-2.1,-77.54837,-68.011559,-75.461426,334,6.272
6292,1.72768,6.783895,11.143773,11.62,-0.91,-5.67,-79.478699,-65.5494,-74.451294,335,6.292
6307,0.358936,5.740586,13.060493,7.28,-0.63,-5.6,-79.016273,-67.489319,-74.938461,336,6.307
6327,-0.693943,4.075122,12.172724,-4.48,1.89,-4.34,-79.331459,-68.237457,-75.489525,337,6.327
6347,-0.756159,2.469481,10.320613,-0.7,1.96,0.07,-78.999184,-69.08564,-75.221558,338,6.347
6367,-0.318257,2.603484,9.70085,4.69,1.19,3.78,-77.848999,-68.476845,-74.42041,339,6.367
6383,0.445081,2.414444,9.303627,6.09,1.61,2.31,-77.663971,-66.636978,-73.114197,340,6.383
6403,0.603013,2.802095,8.664721,7.28,2.24,-2.24,-79.103149,-65.348114,-74.418137,341,6.403
6423,0.098109,2.179939,8.753258,9.8,2.8,-3.85,-78.846695,-66.972839,-73.726555,342,6.423
6443,-0.265613,2.08183,8.990156,12.39,2.24,-2.03,-77.775719,-65.821152,-72.968826,343,6.443
