Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Id,Time
14627,-7.197867,0.725051,6.180882,-125.650002,30.59,96.669998,-103.518333,-77.470734,-84.394104,779,14.627
14642,-7.027971,0.466617,5.345757,-126.349998,18.9,92.260002,-105.00988,-81.473457,-85.794586,780,14.642
14662,-6.872432,-0.555155,5.668799,-101.150002,6.44,81.690002,-107.209145,-80.30928,-86.274414,781,14.662
14682,-6.240705,1.050487,5.642478,-62.860001,-2.87,67.760002,-106.847298,-79.8311,-85.491142,782,14.682
14702,-6.17131,1.284992,5.47976,-46.060001,-7.07,54.32,-105.742134,-81.872063,-85.299599,783,14.702
14717,-5.991842,2.562804,6.307706,-41.860001,-7.21,38.080002,-106.94841,-82.212883,-86.613602,784,14.717
14737,-6.008592,1.392673,5.917662,-60.34,-5.04,24.57,-107.083267,-81.122131,-85.998795,785,14.737
14757,-6.391458,-1.081594,6.50871,-66.849998,-0.77,16.799999,-109.071541,-84.512291,-87.567734,786,14.757
14777,-6.563747,-1.014593,6.791073,-54.459999,3.5,14.35,-105.33712,-84.864418,-85.972946,787,14.777
14792,-6.817395,-1.062451,6.061236,-48.650002,5.25,14.84,-108.388588,-86.484566,-87.641556,788,14.792
14812,-7.295977,-1.754002,5.664013,-51.380001,1.19,17.290001,-108.356049,-86.7575,-87.830345,789,14.812
14832,-7.401265,-2.077044,5.472581,-45.990002,-6.58,20.09,-106.152969,-88.961243,-85.71241,790,14.832
14852,-7.231368,-2.208654,6.202418,-38.920002,-13.79,22.540001,-107.390358,-83.188705,-85.942513,791,14.852
14867,-6.872432,-1.955006,7.623805,-31.57,-15.82,23.59,-107.320244,-87.973717,-86.230461,792,14.867
14887,-7.059079,-1.107916,8.190925,-23.66,-13.86,22.960001,-104.941986,-88.619431,-84.258064,793,14.887
14907,-7.140438,-0.538404,8.394321,-22.68,-11.69,19.389999,-105.888733,-87.664253,-84.362778,794,14.907
14927,-7.145224,0.191433,7.769773,-18.059999,-11.13,12.39,-107.050095,-89.875328,-86.288986,795,14.927
14942,-6.972934,-0.430723,7.343835,-5.11,-11.06,4.76,-105.702927,-89.303848,-85.776146,796,14.942
14962,-6.65707,0.083752,6.219168,7.91,-11.27,-1.19,-109.240364,-88.989037,-87.659248,797,14.962
14982,-6.661856,0.134003,5.955948,12.39,-12.11,-4.97,-105.425423,-88.563637,-86.347725,798,14.982
15002,-6.36035,-0.421152,5.896125,9.45,-10.99,-6.72,-107.82933,-85.763832,-85.975502,799,15.002
15017,-6.305313,-1.0122,6.554175,10.5,-8.12,-6.3,-109.678352,-86.003609,-87.968216,800,15.017
15037,-6.185668,-1.119881,6.269419,13.58,-3.71,-4.62,-106.075836,-86.864288,-86.462685,801,15.037
15057,-6.185668,-0.581477,6.501531,6.16,0.0,-4.34,-105.766685,-87.437553,-85.725266,802,15.057
15077,-6.312491,-0.507297,6.494352,-10.08,2.8,-4.62,-106.042862,-86.857353,-85.480377,803,15.077
15092,-6.676214,-0.973914,6.645106,-24.01,5.11,-5.39,-107.056877,-87.236473,-87.223022,804,15.092
15112,-7.164367,-1.014593,6.590069,-29.889999,4.9,-6.02,-105.30854,-89.098602,-85.181671,805,15.112
15132,-7.786523,-1.380708,6.905933,-30.870001,2.66,-6.02,-106.799988,-88.581322,-85.360352,806,15.132
15152,-7.951633,-1.225169,7.365371,-33.110001,1.19,-4.27,-104.930038,-90.496613,-85.852577,807,15.152
15167,-8.411072,-1.677429,6.934648,-32.900002,-0.98,-0.7,-105.446899,-91.208435,-86.255676,808,15.167
15187,-8.109566,-1.909541,7.587912,-26.809999,-3.01,4.27,-105.370651,-90.152031,-85.508179,809,15.187
15207,-7.602269,-1.25867,7.573554,-20.65,-3.08,8.61,-105.165581,-91.507774,-85.189133,810,15.207
