Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
982844,-8.789151,2.435980,2.182332,9.030000,-7.070000,-4.130000,-166.619812,311.403503,-43.074253
982864,-8.645576,2.345050,2.084223,4.970000,-7.210000,-6.020000,-163.822296,312.288422,-40.132412
982884,-8.523539,2.108152,2.132081,1.260000,-6.510000,-8.820000,-164.292496,311.306671,-40.303299
982904,-8.475680,1.888005,2.237369,0.700000,-5.320000,-11.410000,-165.913315,309.436218,-42.446426
982919,-8.657541,1.823396,2.203868,3.500000,-3.710000,-13.160000,-164.947281,308.764893,-40.609303
982939,-8.911190,1.777931,2.223012,7.700000,-2.800000,-14.000000,-164.750641,312.967712,-40.846901
982959,-9.030835,1.751609,2.199083,10.920000,-2.590000,-14.350000,-167.224442,311.792358,-41.459232
982979,-8.801116,1.770752,2.156010,11.200000,-2.450000,-15.190001,-165.939819,311.030548,-42.444000
982994,-8.738900,1.675036,2.115331,9.030000,-1.610000,-16.799999,-166.705933,309.584473,-41.433533
983014,-9.066729,1.478817,2.268477,7.420000,-0.630000,-19.250000,-166.032715,311.850342,-41.737309
983034,-9.186374,1.562569,2.316335,8.470000,-1.330000,-21.629999,-166.517487,310.585693,-43.500282
983054,-9.186374,1.576926,2.354622,7.840000,-1.960000,-23.870001,-166.440033,308.442535,-44.301270
983069,-9.296448,1.440531,2.376158,4.480000,-2.170000,-25.549999,-164.976410,308.199188,-43.793472
983089,-9.322770,1.337636,2.546054,3.080000,-2.800000,-26.460001,-163.607025,307.455200,-42.252296
983109,-9.212696,1.368743,2.605877,4.200000,-3.290000,-27.440001,-165.668350,310.449341,-42.829212
983129,-9.217482,1.153382,2.651342,6.510000,-2.170000,-29.120001,-165.444443,309.097565,-41.948853
983144,-9.248590,0.923663,2.754237,11.760000,-0.560000,-29.889999,-164.251846,309.715302,-39.884739
983164,-9.224661,0.727444,2.821239,21.139999,0.490000,-30.240000,-165.049622,309.582703,-40.183273
983184,-9.162445,0.737016,2.747058,32.060001,0.770000,-31.219999,-163.662674,308.003052,-41.594063
983204,-9.222268,0.863840,2.507768,40.040001,0.910000,-32.900002,-166.413101,307.128082,-43.132603
983219,-9.440022,0.784874,2.383337,44.939999,1.050000,-34.790001,-166.917892,309.059052,-43.908409
983239,-9.710421,0.722658,2.266084,48.230000,0.770000,-35.770000,-166.933350,307.735657,-44.002716
983259,-9.954497,0.705908,2.237369,49.349998,-0.840000,-37.029999,-164.733658,306.851379,-42.351788
983279,-9.983212,0.600620,2.167975,48.439999,-2.520000,-38.430000,-165.570740,309.630524,-43.395573
983294,-10.033463,0.397223,2.057901,46.130001,-3.500000,-40.250000,-165.868408,307.565948,-43.058632
983314,-10.200967,0.110074,2.022007,44.869999,-3.290000,-42.490002,-165.808029,307.019104,-43.576530
983334,-10.287112,-0.086145,2.014829,45.920002,-3.780000,-44.869999,-168.286865,310.082916,-44.278492
983354,-10.026285,-0.189040,1.950220,47.670002,-4.690000,-46.970001,-164.682709,306.302521,-43.150352
983370,-9.844424,-0.342186,1.830575,48.930000,-4.900000,-48.580002,-165.475327,306.450806,-42.137459
983390,-9.808530,-0.586262,1.754002,50.049999,-4.550000,-49.560001,-168.198669,309.262146,-45.125507
983410,-9.990392,-0.660443,1.768359,51.029999,-4.690000,-49.980000,-165.788773,307.302948,-41.844116
983430,-9.956890,-0.648478,1.631963,50.189999,-6.020000,-50.610001,-164.883972,306.618713,-41.831280
983445,-9.743921,-0.655657,1.562569,45.779999,-6.790000,-50.680000,-168.593521,308.296204,-43.051109
983465,-9.669742,-0.820767,1.505139,39.340000,-6.790000,-50.119999,-165.747223,306.752106,-42.923340
983485,-9.669742,-1.002628,1.485996,34.160000,-6.160000,-48.860001,-162.475342,303.819916,-42.063179
983505,-9.617098,-1.165346,1.509925,31.500000,-5.180000,-46.830002,-164.969635,305.560333,-42.859436
983520,-9.691278,-1.380708,1.543426,30.590000,-3.010000,-43.680000,-165.772095,305.426727,-43.298302
983540,-9.815709,-1.562569,1.655892,31.360001,-0.840000,-39.060001,-163.837845,306.445038,-41.448517
983560,-9.806137,-1.725287,1.691786,34.439999,1.540000,-32.900002,-164.022446,304.885040,-41.583630
