Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
4941805,3.314178,1.311314,5.372079,-81.480003,-2.1,-32.689999,63.443279,-233.751282,-48.169601
4941825,3.854975,-0.078966,4.761887,-71.959999,16.52,-24.08,64.734245,-237.431839,-49.39143
4941840,3.522361,-0.973914,4.859996,-53.34,42.490002,-19.040001,64.369873,-236.030838,-48.299522
4941860,2.914562,-0.739409,4.931784,-45.920002,65.800003,-15.05,63.539143,-236.17038,-49.580364
4941880,3.007885,0.059823,4.10623,-54.810001,85.68,-7.91,64.82637,-234.772156,-47.378529
4941900,3.074887,0.418759,3.235212,-79.800003,106.82,5.81,63.657349,-235.384933,-48.740993
4941916,2.507768,-0.20579,2.656128,-111.230003,129.990005,23.1,61.934635,-236.157684,-49.286995
4941936,1.718108,-1.698965,2.569983,-133.279999,154.279999,38.009998,60.980106,-238.124237,-50.049759
4941956,0.86384,-2.907383,3.09403,-134.050003,178.289993,50.610001,60.876461,-238.626831,-49.297043
4941976,0.098109,-3.41468,3.642006,-120.400002,201.529999,62.16,58.933651,-239.087357,-49.085297
4941991,-0.409187,-2.390515,3.211283,-107.239998,226.589996,80.290001,57.984261,-240.773026,-48.536633
4942011,-0.729837,-0.423545,2.680057,-100.519997,254.520004,100.660004,56.498413,-239.214203,-50.072769
4942031,-1.533854,0.961949,3.007885,-121.239998,278.040009,118.510002,54.699886,-240.763504,-50.195171
4942051,-2.08183,0.605406,4.197161,-167.160004,294.140015,137.410004,54.623291,-238.060577,-47.051991
4942066,-3.787973,-2.467088,5.42233,-209.580002,308.980011,163.729996,50.532597,-237.6259,-46.947533
4942086,-6.391458,-6.341207,8.832224,-177.729996,314.649994,199.710007,48.320385,-240.145081,-45.556866
4942106,-10.267968,-11.095915,14.493844,-89.18,305.339996,202.789993,47.472111,-239.448959,-43.885735
4942126,-12.909739,-11.012163,16.439278,-43.82,275.029999,179.759995,44.521751,-238.687347,-44.431892
4942141,-12.124866,-8.186138,15.532367,-45.43,233.029999,155.680008,41.015182,-236.206558,-42.286411
4942161,-11.694141,-9.090658,14.266518,-64.82,192.639999,135.100006,43.249592,-235.483627,-38.808765
4942181,-11.430922,-10.404365,14.125337,-56.0,163.100006,123.830002,41.639835,-240.271805,-41.04863
4942201,-11.871217,-7.697985,14.374199,-38.220001,144.550003,126.840004,38.61937,-234.725189,-41.306835
4942216,-11.993256,-5.463009,14.290447,-43.610001,116.410004,125.650002,40.539925,-233.429993,-38.706944
4942236,-10.792015,-4.874354,11.832931,-66.639999,79.800003,115.57,39.025356,-232.637802,-38.416183
4942256,-9.509417,-5.49651,9.624276,-77.769997,51.52,98.699997,37.701736,-233.20433,-38.227371
4942276,-8.676684,-5.482152,8.396714,-68.459999,34.720001,79.029999,37.507832,-230.246292,-37.421345
4942291,-7.97317,-5.056215,7.963598,-54.110001,23.799999,61.040001,41.059399,-230.558136,-35.117256
4942311,-7.827202,-5.429509,8.032992,-41.439999,14.49,45.849998,38.082428,-232.722183,-36.882782
4942331,-7.975563,-5.527618,7.382122,-19.6,7.7,33.110001,39.073776,-231.30748,-37.339569
4942351,-7.697985,-5.218933,6.625963,5.88,5.25,19.809999,38.596336,-230.411057,-35.775612
4942366,-7.482624,-4.383808,6.034914,26.460001,7.84,10.08,38.469143,-230.918625,-35.724548
4942386,-7.834381,-3.744901,5.527618,39.759998,10.99,4.97,39.234364,-230.513077,-35.237228
4942406,-8.121531,-3.960263,5.463009,43.119999,10.5,2.73,38.464432,-230.919617,-35.86488
4942426,-8.095208,-3.869332,5.257219,39.41,7.21,3.15,38.512417,-229.869156,-35.959362
4942441,-7.901382,-3.345285,5.075358,30.870001,2.59,4.55,39.239075,-230.512085,-35.096897
4942461,-7.887025,-2.998314,4.816924,16.940001,-1.12,5.11,37.120335,-228.570389,-35.859993
4942481,-7.865489,-3.058136,4.608741,4.2,-3.78,4.83,39.000137,-230.203827,-34.900471
4942501,-7.776951,-3.175389,4.460381,3.15,-4.2,6.44,40.224823,-230.138916,-34.196232
4942516,-8.071279,-3.69465,5.130395,3.78,-3.71,4.2,38.619022,-230.965866,-37.416157
4942536,-8.243568,-3.369215,4.979642,5.04,-6.02,4.2,38.02042,-229.2556,-35.987488
4942556,-8.009064,-3.098816,5.094501,3.92,-9.1,5.53,37.888519,-229.764145,-36.076752
4942576,-8.231604,-3.053351,4.919819,-3.5,-11.48,7.35,36.322575,-228.702988,-36.158527
4942591,-8.222033,-2.936098,4.654206,-12.04,-13.3,9.24,36.980656,-232.000641,-36.607311
4942611,-8.157424,-3.3405,4.807353,-18.76,-14.07,8.89,38.711575,-228.026306,-34.232162
4942631,-8.214853,-3.634827,5.04425,-19.32,-14.28,7.63,39.017231,-231.800156,-35.183556
4942651,-8.190925,-3.685078,5.300292,-14.21,-15.26,5.53,38.048679,-229.249649,-35.145508
4942666,-8.174174,-3.661149,5.436687,-9.94,-17.08,3.15,36.533684,-228.73732,-36.025841
4942686,-8.021028,-3.177782,5.154324,-5.11,-18.969999,2.24,38.543636,-231.462509,-35.821461
4942706,-7.755415,-2.952849,5.046643,-5.39,-20.719999,0.63,36.789707,-230.641922,-36.505363
4942726,-7.820024,-3.586969,5.419937,-8.96,-21.559999,-2.24,37.089439,-231.217178,-36.048599
4942741,-7.863096,-3.685078,5.618548,-5.95,-21.91,-3.78,36.75378,-229.049561,-36.783596
4942761,-7.863096,-3.596541,5.721443,-0.98,-21.629999,-4.9,38.166019,-229.023941,-36.648327
4942781,-7.906168,-3.62047,5.831517,0.35,-22.190001,-6.02,40.009007,-230.10556,-34.46925
4942801,-7.650127,-3.280677,5.874589,3.36,-25.059999,-7.63,37.82048,-227.618988,-34.995106
4942816,-7.473052,-3.484074,5.946377,5.25,-28.0,-10.92,37.002132,-229.355835,-36.699368
