Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
15218965,-0.002393,3.48886,9.521381,1.19,-2.03,0.98,108.922264,-174.380295,125.226585
15218985,0.043072,3.493646,9.550097,1.33,-1.89,1.05,108.165146,-176.104263,125.346611
15219005,0.014357,3.50561,9.475916,1.75,-1.82,0.77,108.270538,-174.001373,125.438309
15219020,-0.004786,3.519968,9.468738,1.61,-2.1,0.91,110.194046,-174.305466,127.334122
15219040,0.026322,3.56304,9.475916,0.98,-2.17,0.98,110.340858,-177.273407,125.124794
15219060,0.031108,3.481681,9.521381,0.84,-2.03,0.98,108.922264,-174.380295,125.226585
15219080,0.031108,3.48886,9.463951,1.05,-2.1,0.84,108.264511,-175.322769,125.624664
15219095,0.01675,3.524754,9.480701,1.26,-2.17,0.77,111.106941,-176.308121,127.9543
15219115,-0.01675,3.527147,9.463951,1.05,-2.31,1.05,109.68792,-173.694885,126.885002
15219135,0.021536,3.555861,9.497452,0.91,-2.52,1.19,111.525764,-175.057373,127.752655
15219155,0.045465,3.527147,9.518989,0.7,-2.59,1.12,108.354019,-174.823151,124.450966
15219170,0.052644,3.527147,9.571632,0.77,-2.52,0.98,110.113976,-174.322327,124.948509
15219190,0.047858,3.512789,9.509417,0.98,-2.24,0.91,109.916122,-175.325546,126.734596
15219210,-0.026322,3.508003,9.487881,1.12,-2.17,0.77,110.771286,-174.140518,127.219307
15219230,0.023929,3.503217,9.552489,1.05,-2.31,0.77,108.400688,-175.093109,124.683167
15219245,0.023929,3.498432,9.47113,0.98,-2.38,0.98,107.998634,-173.700043,124.652428
15219265,0.026322,3.522361,9.504631,0.91,-2.38,0.98,106.850197,-172.708557,124.695694
15219285,-0.007179,3.476896,9.557275,0.84,-2.45,0.84,109.193741,-174.961502,124.84137
15219305,0.014357,3.510396,9.516596,0.7,-2.45,0.98,108.09964,-175.838272,124.553093
15219320,0.040679,3.522361,9.507024,0.84,-2.31,0.98,109.200195,-173.360214,125.826111
15219340,0.050251,3.481681,9.480701,0.84,-2.31,0.91,108.874283,-175.430756,125.321068
15219360,0.055037,3.519968,9.499846,0.98,-2.38,0.91,108.902107,-175.704681,124.991951
15219380,0.014357,3.519968,9.523774,0.98,-2.31,0.98,111.083397,-176.31308,127.252655
