Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
135911,0.533619,9.772636,1.878433,1.540000,-2.310000,0.630000,24.010319,-124.778900,-154.475235
135931,0.538404,9.810924,1.780324,0.910000,-2.100000,1.050000,24.356287,-125.903984,-154.957352
135951,0.552762,9.822887,1.847325,0.910000,-1.680000,1.400000,26.633865,-128.651596,-152.936325
135971,0.538404,9.724778,1.830575,0.980000,-1.330000,1.960000,26.451906,-127.570770,-153.724823
135986,0.567119,9.794173,1.856897,1.120000,-1.330000,1.890000,24.079214,-126.364319,-153.214691
136006,0.571905,9.782208,1.828182,1.120000,-2.030000,1.540000,24.414124,-124.571663,-153.600082
136026,0.579084,9.765458,1.821003,0.980000,-2.310000,0.980000,25.652826,-129.023773,-153.696655
136046,0.586262,9.813316,1.825789,0.770000,-1.960000,0.910000,24.758772,-127.017166,-153.755524
136061,0.552762,9.801352,1.861683,0.770000,-1.540000,1.470000,27.856800,-130.186966,-153.076508
136081,0.574298,9.727171,1.847325,0.630000,-1.820000,1.540000,25.301720,-128.179565,-154.525955
136101,0.583870,9.801352,1.871254,0.630000,-1.960000,1.680000,25.343678,-128.450516,-154.434082
136121,0.564726,9.770244,1.849718,0.840000,-2.100000,1.610000,24.803690,-128.887421,-154.367737
136136,0.543190,9.798959,1.902362,0.980000,-1.820000,1.610000,25.835676,-129.064072,-154.405960
136156,0.583870,9.741529,1.895183,1.400000,-2.240000,1.470000,24.432533,-124.847580,-154.209854
136176,0.528833,9.743921,1.832968,1.470000,-2.310000,1.400000,26.600897,-128.658539,-153.918640
136196,0.557548,9.820495,1.821003,1.470000,-2.380000,1.400000,26.880579,-126.038170,-152.474716
136211,0.562333,9.837245,1.821003,1.190000,-1.680000,2.030000,27.116877,-128.987259,-152.017761
136231,0.583870,9.739136,1.854504,1.120000,-1.680000,1.820000,26.303238,-130.723114,-153.581696
136251,0.603013,9.758279,1.883219,0.700000,-2.170000,1.120000,23.696888,-123.926743,-154.181885
136271,0.626942,9.748708,1.888005,0.490000,-2.450000,0.700000,25.459808,-125.025223,-154.388412
136287,0.581477,9.794173,1.890397,0.770000,-1.960000,1.260000,25.828007,-127.465767,-153.842209
136307,0.614977,9.741529,1.816217,1.330000,-1.540000,1.470000,23.637732,-126.579475,-155.212479
136327,0.598227,9.719993,1.868861,1.260000,-2.170000,1.120000,24.401634,-127.494354,-154.398468
136347,0.605406,9.801352,1.816217,1.120000,-2.380000,0.770000,25.983456,-126.952255,-153.051300
136362,0.591048,9.782208,1.830575,0.980000,-2.660000,0.630000,24.716814,-126.746216,-153.847397
136382,0.583870,9.777423,1.856897,1.190000,-2.660000,0.700000,24.575495,-127.256752,-154.217331
136402,0.619763,9.736743,1.852111,1.190000,-2.800000,0.210000,25.003738,-126.004028,-154.138321
136422,0.571905,9.851603,1.804253,0.980000,-2.380000,0.350000,24.957932,-125.174324,-152.028320
136437,0.564726,9.767851,1.835361,0.770000,-2.310000,0.350000,24.805441,-127.287125,-153.523315
136457,0.586262,9.753493,1.818610,0.420000,-3.080000,0.070000,22.524792,-127.460213,-156.062073
136477,0.617370,9.777423,1.844932,0.490000,-3.570000,-0.070000,23.407785,-126.549095,-155.906479
136497,0.603013,9.789387,1.864075,0.980000,-3.080000,0.000000,23.009979,-125.915718,-153.128006
