Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
15198370,-1.928684,3.09403,12.026756,-5.53,68.669998,-27.719999,107.685204,-172.8479,124.945778
15198390,-2.593912,4.338342,12.19426,8.19,40.389999,-15.68,107.818748,-175.259064,124.657646
15198410,-2.189511,4.381415,10.698692,15.190001,11.2,1.47,107.425217,-174.904572,126.405357
15198430,-0.990664,3.429037,9.696064,20.440001,-8.05,10.99,108.697464,-174.069061,125.844009
15198445,-0.74898,3.304606,9.308413,18.549999,-14.42,12.67,109.767128,-174.237778,126.928421
15198465,-0.409187,3.041386,9.301233,13.3,-15.82,11.2,108.090652,-175.560379,125.443527
15198485,-0.440295,3.060529,10.234468,6.79,-14.35,9.66,109.23185,-174.673691,127.135109
15198505,-0.538404,2.495803,10.222504,10.78,-11.34,12.11,109.409988,-174.714966,126.285484
15198520,-0.291935,2.711165,9.691278,19.110001,-12.39,14.07,109.588661,-169.95636,127.828751
15198540,-0.428331,3.079673,9.310805,22.33,-10.01,14.14,108.331337,-174.268356,126.091507
15198560,-0.20579,3.35725,9.341913,19.110001,-9.38,12.11,110.093361,-176.407364,127.382751
15198580,-0.169896,3.484074,9.461558,15.89,-9.38,9.03,106.04641,-174.162567,124.583519
15198595,-0.191433,3.486467,9.404129,12.11,-10.64,7.63,109.57486,-174.199478,127.357056
15198615,-0.01675,3.388358,9.325163,8.96,-11.69,6.3,108.20118,-173.17662,126.846649
15198635,-0.107681,3.508003,9.473523,6.3,-11.55,3.71,108.22551,-176.651123,124.828712
15198655,-0.119645,3.711401,9.416093,3.78,-11.27,2.45,109.22628,-175.234436,124.65258
15198670,-0.076573,3.603719,9.404129,-1.05,-11.34,2.94,110.276215,-176.447662,126.673462
15198690,0.019143,3.364429,9.418487,-4.48,-11.9,2.94,109.971771,-175.873398,126.07637
15198710,0.062216,3.342893,9.652991,-4.83,-11.97,1.47,109.578705,-174.75824,125.155197
15198730,0.052644,3.273498,9.550097,-3.99,-11.06,0.56,109.729446,-174.245712,125.805779
15198746,0.033501,3.206497,9.609919,-2.87,-9.59,0.21,107.950645,-174.750504,124.74691
15198766,0.019143,3.244783,9.708028,-0.49,-8.61,0.35,108.090218,-175.840256,124.27243
15198786,0.124431,3.101209,9.643419,1.33,-7.63,-0.07,108.786087,-174.60997,126.168083
15198806,0.167504,3.105995,9.590775,3.57,-6.72,-0.14,108.472656,-173.757813,126.461433
15198821,0.100502,3.364429,9.698457,4.69,-4.83,-0.35,108.358734,-174.822159,124.591293
15198841,0.138789,3.364429,9.559668,4.34,-3.08,-0.21,107.012001,-175.11377,125.24955
15198861,0.107681,3.47211,9.447201,3.5,-2.03,0.07,106.433907,-175.83847,123.022171
15198881,0.05743,3.421859,9.58599,2.17,-1.68,0.35,106.95723,-173.525375,124.409996
15198896,0.055037,3.28307,9.559668,2.45,-1.75,0.0,108.29837,-174.275299,125.109192
15198916,0.05743,3.381179,9.54531,2.66,-1.96,0.0,108.045731,-173.690125,126.055733
15198936,0.124431,3.424252,9.597955,1.82,-2.52,-0.07,107.772079,-174.989105,124.425446
15198956,-0.059823,3.584576,9.533346,0.7,-2.52,0.0,109.370987,-176.04332,125.489525
15198971,0.078966,3.369215,9.54531,-0.7,-2.87,0.35,109.131622,-176.014923,124.514862
15198991,0.102895,3.11078,9.643419,-0.21,-2.87,0.49,110.94207,-176.823608,126.882729
15199011,0.143574,3.184961,9.662563,1.68,-2.03,0.21,110.075851,-175.090927,126.494751
15199031,0.119645,3.213675,9.617098,3.36,-1.61,0.14,107.502357,-172.807617,125.655067
15199046,0.086145,3.397929,9.554882,4.41,-1.61,-0.14,109.060951,-176.51059,126.249886
15199066,0.028715,3.548683,9.509417,3.5,-1.54,0.0,107.815788,-173.65976,125.361725
15199086,0.026322,3.479288,9.530953,2.1,-1.61,0.14,107.912079,-175.798981,125.122055
15199106,0.124431,3.3405,9.576418,1.54,-1.82,-0.07,109.077713,-173.866791,126.017502
15199121,0.021536,3.3405,9.597955,2.38,-1.68,-0.35,108.799782,-174.886871,125.417976
15199141,0.086145,3.275891,9.52856,3.22,-1.82,-0.49,108.958199,-175.972656,125.504814
15199161,0.014357,3.436216,9.588383,3.36,-1.75,-0.35,108.515503,-172.988235,125.055519
15199181,-0.019143,3.541504,9.485488,2.38,-1.54,0.14,108.388313,-173.495789,125.106583
15199196,0.01675,3.43143,9.521381,1.19,-1.96,0.56,110.120338,-177.241043,124.711449
15199216,0.090931,3.393144,9.56206,0.7,-2.38,0.63,107.675789,-172.849884,124.665115
15199236,0.067001,3.412287,9.566847,0.84,-2.59,0.28,107.585411,-173.909271,123.496628
15199256,0.028715,3.385965,9.52856,1.26,-2.31,0.28,108.475182,-175.636993,124.586258
15199271,0.045465,3.350071,9.557275,1.47,-2.38,0.49,110.550323,-174.388031,125.634872
15199291,0.052644,3.383572,9.581204,1.96,-2.31,0.49,107.546837,-174.957733,123.871765
15199311,0.050251,3.393144,9.552489,2.03,-1.89,0.77,109.391151,-174.718933,125.724159
