Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
15205919,2.526911,6.214382,10.256004,72.449997,-219.800003,68.879997,107.524612,-173.642288,122.84343
15205939,1.167739,5.065786,7.942062,65.379997,-226.169998,62.93,106.048187,-172.081467,121.587952
15205954,3.493646,3.462538,5.699907,52.009998,-213.289993,63.07,109.741966,-170.842224,122.764191
15205974,5.230897,2.744666,3.701829,43.049999,-174.720001,54.880001,109.710739,-169.248871,122.626282
15205994,5.723836,2.060294,2.091402,38.920002,-118.090004,35.700001,106.194244,-171.089157,118.258232
15206014,5.527618,1.969363,1.742037,36.75,-62.09,10.64,108.744293,-168.857407,119.618065
15206029,6.152167,2.627413,2.062687,26.880001,-12.81,-11.27,110.669441,-172.081238,121.136482
15206049,7.506553,3.871725,2.376158,1.12,38.220001,-29.049999,108.008537,-172.456573,118.424232
15206069,7.956419,3.692257,1.777931,-38.920002,105.699997,-47.740002,109.517181,-170.050186,119.541634
15206089,6.850896,3.359643,1.959792,-81.129997,185.220001,-68.040001,108.157959,-173.264496,119.401512
15206104,3.912405,2.531697,2.321121,-119.209999,258.720001,-84.629997,109.604492,-171.911514,120.192398
15206124,1.591284,1.263456,2.56759,-141.680008,322.140015,-93.940002,109.437408,-174.787979,120.94529
15206144,-1.088773,0.459438,2.653735,-144.339996,378.0,-99.330002,108.124962,-173.752228,122.259171
15206164,-19.21266,33.94101,25.972624,115.709999,406.070007,-4.13,106.889977,-174.85968,122.772064
15206179,1.148596,-4.977249,24.984354,52.779999,5.32,11.06,108.892693,-175.706665,124.711296
15206199,0.760945,-1.335243,4.436451,62.23,-82.459999,6.09,110.240715,-174.575424,127.566322
15206219,0.277577,1.80186,1.706143,45.5,-49.07,9.38,107.035225,-170.868668,126.001907
15206239,1.117488,1.919112,8.413465,-0.42,-6.3,1.61,109.67807,-173.976746,125.433243
15206254,-0.059823,3.464931,14.29284,1.05,9.03,3.57,107.184219,-171.956436,125.808083
15206274,0.399616,4.044014,9.418487,21.35,2.59,-0.35,107.846573,-175.53299,124.328529
15206294,-0.373294,3.73533,8.116744,15.82,-2.8,-2.1,108.760788,-176.21521,124.622025
15206314,-0.234505,4.149302,9.487881,4.69,-3.29,1.82,109.127342,-175.736038,125.545631
15206330,0.215362,3.723365,9.911426,0.07,-3.78,2.24,109.299454,-177.098724,124.882362
15206350,0.124431,2.995921,9.530953,1.33,-2.73,0.98,106.446823,-172.63591,124.991646
15206370,0.047858,3.201711,9.490273,3.92,-2.31,0.77,107.580696,-173.910263,123.356293
15206390,0.059823,3.531932,9.770244,5.18,-2.03,0.56,110.075851,-175.090927,126.494751
15206405,0.059823,3.586969,9.394557,5.39,-2.03,0.21,108.159225,-172.90567,126.754776
15206425,0.023929,3.634827,9.4137,3.92,-2.73,0.21,107.118279,-171.970322,123.84346
15206445,0.021536,3.598934,9.56924,1.68,-2.87,0.56,106.288307,-176.070129,123.683006
15206465,0.13161,3.390751,9.490273,0.63,-2.87,0.91,106.392372,-175.287643,124.101395
15206480,0.019143,3.314178,9.566847,1.12,-2.73,1.19,109.326073,-174.173065,126.10173
15206500,0.119645,3.43143,9.607526,2.17,-2.24,0.77,108.148056,-174.507935,125.629707
15206520,0.050251,3.464931,9.463951,3.15,-2.03,0.63,107.435959,-173.582153,126.359329
15206540,0.043072,3.594148,9.492666,2.38,-2.38,0.91,110.432983,-174.613739,127.137688
15206555,0.083752,3.618077,9.518989,1.75,-2.38,0.49,108.442642,-175.364059,124.77504
15206575,0.055037,3.548683,9.480701,0.49,-2.38,0.7,106.82325,-171.394089,123.527031
15206595,0.035894,3.378786,9.56206,0.07,-2.59,0.84,108.107414,-172.91658,125.211143
15206615,0.095716,3.498432,9.542917,0.56,-2.17,0.77,110.041557,-176.418274,125.839127
15206630,0.081359,3.441002,9.497452,0.91,-2.1,0.98,107.41066,-175.187408,124.813271
15206650,0.05743,3.460145,9.511809,1.12,-2.17,0.77,109.189461,-174.682617,125.872139
15206670,0.062216,3.424252,9.495059,1.33,-2.38,0.63,109.195816,-177.601334,125.635071
15206690,0.026322,3.429037,9.54531,1.89,-2.66,0.42,109.180046,-174.684601,125.591476
15206705,0.038287,3.450573,9.475916,2.52,-2.17,0.21,108.916344,-171.181686,126.634743
15206725,0.050251,3.433823,9.511809,2.73,-2.03,0.49,106.802208,-173.759018,124.790184
15206745,0.045465,3.462538,9.559668,2.8,-1.54,0.42,109.715752,-173.968811,126.555885
15206765,0.045465,3.50561,9.480701,3.01,-1.75,0.35,111.606293,-174.279861,127.469383
15206780,0.045465,3.565433,9.521381,2.1,-1.68,0.77,108.428947,-175.087158,125.525146
15206800,0.035894,3.48886,9.461558,1.61,-2.38,0.84,107.25061,-171.1819,125.103821
15206820,0.01675,3.519968,9.468738,1.4,-2.73,0.7,109.158134,-177.609268,124.512428
15206840,0.052644,3.481681,9.466345,1.47,-2.66,0.63,110.006058,-174.546051,126.731995
15206855,0.078966,3.510396,9.468738,1.54,-2.66,0.56,107.694626,-172.845917,125.226433
15206875,0.105288,3.448181,9.547704,1.54,-2.59,0.63,110.111343,-176.96315,125.601883
15206895,0.05743,3.575005,9.58599,1.89,-1.61,0.42,109.800987,-173.190308,126.412949
15206915,0.033501,3.522361,9.485488,1.68,-1.82,0.35,108.843491,-173.557526,126.354263
15206930,-0.014357,3.467324,9.487881,1.54,-2.03,0.42,110.475372,-174.604828,128.400665
15206950,0.059823,3.529539,9.514202,1.68,-2.1,0.56,106.045975,-174.442444,123.412422
15206970,0.021536,3.496039,9.483095,2.17,-2.31,0.7,107.197807,-176.753357,123.836174
15206990,0.043072,3.584576,9.490273,1.82,-2.31,0.91,108.712906,-172.745651,125.938309
15207005,0.05743,3.548683,9.459166,1.61,-2.24,0.7,108.014519,-172.096771,125.917831
15207025,0.055037,3.498432,9.463951,1.4,-2.17,0.63,108.491844,-177.513184,123.132072
15207045,0.064609,3.555861,9.487881,1.68,-2.31,0.7,110.182877,-175.907745,126.209053
15207065,0.01675,3.522361,9.530953,1.68,-2.31,0.63,109.940552,-174.28006,125.938461
15207081,0.047858,3.522361,9.507024,1.26,-2.31,0.77,109.413376,-176.034393,126.752495
15207101,0.045465,3.512789,9.523774,1.33,-2.31,0.63,110.063469,-173.493607,126.918167
15207121,0.086145,3.517575,9.497452,1.05,-2.31,0.91,108.478249,-172.716278,125.103973
15207141,0.023929,3.553468,9.530953,1.19,-2.03,0.84,107.72113,-174.440262,125.224007
15207156,-0.007179,3.54629,9.478309,0.98,-2.17,0.91,108.42556,-173.767731,125.058128
15207176,0.059823,3.522361,9.550097,0.91,-2.03,0.98,109.436607,-171.789291,127.504852
15207196,0.069394,3.433823,9.497452,1.61,-1.96,0.77,108.532593,-174.584549,124.77243
15207216,0.050251,3.586969,9.540524,1.75,-1.96,0.91,109.892998,-175.050629,127.204041
15207231,0.062216,3.582183,9.47113,1.75,-1.96,0.77,109.720459,-173.967819,126.69622
15207251,0.007179,3.558254,9.475916,1.26,-2.31,0.98,109.746971,-175.562164,126.693787
15207271,0.086145,3.539111,9.52856,1.33,-2.17,0.84,109.855316,-175.058563,126.081406
15207291,0.01675,3.445788,9.52856,1.89,-2.1,0.63,106.767494,-175.366241,122.963463
15207306,0.047858,3.519968,9.509417,2.45,-2.03,0.49,109.851929,-173.739151,125.614388
15207326,-0.004786,3.651578,9.478309,2.31,-1.82,0.77,107.475739,-175.733276,124.435699
15207346,0.064609,3.668328,9.475916,1.54,-1.96,1.12,108.051765,-172.368713,125.869377
15207366,0.05743,3.582183,9.523774,0.77,-2.03,1.05,110.817085,-174.97023,125.109322
15207381,0.076573,3.517575,9.542917,0.91,-2.03,0.84,109.741829,-175.843033,125.382362
15207401,0.028715,3.543897,9.495059,1.19,-2.03,0.7,107.365746,-173.317154,125.425476
15207421,-0.002393,3.565433,9.509417,1.61,-1.82,0.7,105.999733,-173.892609,124.351318
15207441,0.031108,3.594148,9.447201,1.68,-1.96,0.77,107.464684,-172.815552,124.532433
15207456,0.055037,3.596541,9.509417,1.26,-2.1,0.91,110.528847,-177.032822,125.726921
15207476,0.088538,3.503217,9.523774,1.26,-2.17,0.63,109.625374,-175.028198,125.387398
15207496,-0.009572,3.560647,9.521381,1.47,-2.17,0.42,107.950645,-174.750504,124.74691
15207516,-0.014357,3.565433,9.504631,1.61,-2.1,0.42,108.303078,-174.274307,125.249527
15207531,0.01675,3.555861,9.461558,1.54,-2.1,0.63,108.818619,-174.882904,125.979301
15207551,0.002393,3.586969,9.485488,1.47,-1.89,0.77,108.990303,-176.525467,124.144936
15207571,0.043072,3.570219,9.485488,1.26,-2.03,0.7,108.89444,-174.106369,125.555702
15207591,0.043072,3.565433,9.511809,1.19,-1.82,0.91,107.744247,-174.715179,124.754555
15207606,0.071787,3.579791,9.521381,1.47,-1.61,0.77,108.729996,-174.341995,125.65522
15207626,-0.009572,3.534325,9.502238,1.68,-1.54,0.77,107.843178,-174.213562,123.861519
15207646,-0.002393,3.56304,9.490273,2.17,-1.54,0.84,110.588005,-174.380096,126.757507
15207666,-0.026322,3.661149,9.507024,1.89,-1.54,1.12,110.555466,-174.107162,126.946297
15207681,0.059823,3.639613,9.466345,1.33,-1.68,1.12,107.078392,-174.339218,124.545296
15207701,0.01675,3.615684,9.485488,1.05,-1.68,0.84,106.344063,-172.097961,124.246582
15207721,0.004786,3.613291,9.468738,0.91,-1.89,0.77,108.039276,-175.291412,125.070992
15207741,0.007179,3.493646,9.485488,1.05,-1.89,0.7,110.213669,-177.78096,125.175858
15207756,-0.035894,3.531932,9.487881,1.47,-1.89,0.77,107.784561,-172.066391,125.223824
15207776,0.014357,3.601327,9.447201,1.61,-1.82,0.7,107.632507,-173.899353,124.899925
15207796,0.021536,3.601327,9.461558,1.47,-1.89,0.77,107.337486,-173.323105,124.583496
15207816,-0.007179,3.575005,9.449594,1.26,-1.96,0.98,109.09317,-172.543381,126.111809
15207832,0.0,3.625256,9.490273,0.98,-2.1,0.91,110.307541,-173.521011,128.033157
15207852,0.043072,3.594148,9.490273,0.98,-2.03,0.77,107.03643,-174.068268,124.453415
15207872,-0.007179,3.579791,9.495059,1.05,-1.96,0.77,109.527328,-174.489273,124.782661
15207892,-0.002393,3.608505,9.526167,1.12,-1.75,0.84,107.799911,-175.263031,124.096329
15207907,0.035894,3.558254,9.47113,1.33,-1.68,0.84,107.537422,-174.959717,123.59111
