Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
854162,-9.239018,-1.167739,2.115331,31.43,-16.59,-64.610001,-167.991196,301.026428,-44.063465
854182,-9.15048,-1.3496,2.234976,26.25,-14.42,-57.889999,-168.29303,303.760712,-41.473957
854202,-9.021263,-1.46446,2.366586,23.379999,-13.09,-50.049999,-169.207687,304.163086,-42.938549
854217,-8.949476,-1.447709,2.318728,20.93,-11.9,-41.860001,-168.077652,303.44751,-42.37204
854237,-8.846581,-1.615213,2.297192,17.290001,-9.66,-33.810001,-168.714371,304.869934,-43.237106
854257,-8.841795,-1.593677,2.3283,13.86,-7.42,-26.18,-167.970612,302.630676,-42.657734
854277,-8.786758,-1.608034,2.256512,11.06,-4.41,-19.040001,-169.637665,301.310059,-43.861973
854292,-8.856153,-1.837753,2.30437,10.22,-1.75,-13.72,-168.661346,301.681274,-43.241966
854312,-8.98537,-1.983721,2.364193,11.9,0.63,-9.66,-168.323044,302.15448,-43.160347
854332,-8.961441,-1.888005,2.529304,14.77,2.59,-5.74,-169.528885,302.093536,-43.303261
854352,-8.949476,-1.74443,2.670485,16.24,3.99,-2.31,-169.849991,304.544006,-42.446167
854367,-8.997334,-1.732466,2.687236,15.82,4.76,1.26,-169.170425,303.891144,-42.987007
854387,-9.011692,-1.763573,2.684843,13.37,5.32,5.32,-171.132065,303.426636,-43.336575
854407,-9.030835,-1.763573,2.782952,8.4,6.09,9.8,-168.49382,304.837585,-42.823761
854427,-9.006907,-1.828182,2.881061,3.01,7.0,14.56,-167.964584,303.952057,-42.844093
854442,-9.05955,-1.811431,3.043779,-1.33,7.91,19.040001,-169.390533,304.203369,-42.229252
854462,-9.040407,-1.787502,3.079673,-4.97,8.47,22.82,-171.689148,304.58606,-42.987129
854482,-9.105016,-1.897576,3.127531,-7.84,8.61,26.18,-168.650604,303.003632,-43.287994
854502,-9.119372,-1.782717,3.010278,-9.66,7.77,29.960001,-169.424805,302.876007,-42.884876
854517,-9.370628,-1.562569,3.534325,-20.65,6.37,32.130001,-168.142288,304.273254,-40.823372
854537,-9.236626,-1.797074,3.158639,-34.509998,5.88,34.299999,-169.799042,303.995148,-43.244728
854557,-9.384986,-2.244548,3.256748,-39.549999,3.92,36.68,-169.98056,305.355865,-42.862118
854577,-9.392164,-2.251727,3.113173,-34.509998,2.8,39.48,-169.764755,305.322479,-42.589104
