Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
15117389,-0.811196,10.177038,2.735094,-39.549999,145.529999,61.950001,112.59166,-173.224945,119.519005
15117409,-0.299114,9.152873,4.357486,-47.25,149.729996,76.090004,111.184128,-173.249573,119.524063
15117424,-0.342186,9.128944,6.183275,-56.490002,145.180008,84.559998,110.832138,-173.445908,120.192551
15117444,-0.404401,8.040172,8.018635,-72.800003,120.82,80.080002,112.144547,-174.962448,122.718643
15117464,0.01675,6.896361,9.684099,-90.090004,79.379997,61.32,108.569542,-170.135559,120.934708
15117484,0.536011,5.795623,10.327791,-97.510002,35.139999,37.59,109.496567,-172.135239,121.975876
15117499,1.29217,5.312256,10.351721,-87.5,-0.07,18.969999,107.155556,-171.761475,119.955032
15117519,1.335243,5.594619,9.897068,-67.760002,-20.719999,3.36,107.82962,-168.935852,121.993446
15117539,1.59607,4.864782,8.300998,-19.950001,-28.559999,-10.43,106.329079,-172.66069,121.483398
15117559,0.509689,7.269655,7.0519,32.759998,-24.43,-19.110001,107.325134,-171.24498,121.166939
15117574,0.430723,8.255533,5.087323,64.400002,-22.4,-19.25,107.766182,-171.309692,121.993629
15117594,0.215362,9.69367,3.776009,69.090004,-19.67,-15.26,106.348801,-171.61618,120.546936
15117614,0.413973,10.394793,2.96242,56.07,-13.51,-6.93,108.608437,-173.327225,120.508858
15117634,0.662836,10.07175,2.787738,37.869999,-5.04,1.12,107.39624,-170.469437,120.603012
15117649,0.811196,9.942533,2.890633,27.02,3.57,7.07,109.490219,-169.216522,122.212936
15117669,0.588655,9.736743,3.364429,17.15,7.14,9.03,109.485832,-173.457642,122.021904
15117689,0.703515,9.380199,3.606112,7.63,3.08,7.28,108.971596,-171.528625,120.965439
15117709,0.804017,9.380199,3.680293,1.19,-2.38,4.41,109.924812,-170.882507,122.054893
15117724,0.818375,9.320377,3.737722,-2.8,-3.43,2.52,109.518044,-169.490448,121.883827
15117744,0.744194,9.160052,3.962656,-5.53,-2.45,1.89,109.366417,-171.043503,122.731026
15117764,0.710694,9.0428,4.127767,-5.81,-1.47,1.96,108.984413,-172.846054,121.71312
15117784,0.703515,8.951869,4.22109,-3.92,-0.84,2.24,110.155968,-174.112488,121.200409
15117799,0.768124,9.014085,4.16366,-1.12,-0.07,1.96,108.849548,-171.75531,122.327934
15117819,0.813589,9.033228,4.149302,1.47,1.33,1.12,109.261917,-172.10585,121.141548
15117839,0.751373,9.121766,4.053586,2.8,2.66,0.42,106.147118,-171.579849,120.694908
15117859,0.689158,9.15048,3.984192,3.22,3.08,-0.28,108.462837,-173.558884,121.169701
15117875,0.655657,9.241411,3.919584,2.8,2.94,-0.42,107.855698,-170.810059,120.819923
15117895,0.626942,9.207911,3.931548,1.82,2.52,-0.21,108.815369,-168.562668,122.894112
15117915,0.624549,9.207911,3.90044,0.56,2.59,0.14,109.381432,-169.999985,121.654228
15117935,0.603013,9.188767,3.953084,-0.98,2.8,0.63,108.209763,-173.253586,120.945137
15117950,0.607799,9.172017,3.962656,-2.17,2.31,1.33,108.380669,-171.416672,121.83036
15117970,0.605406,9.138516,4.063158,-2.66,1.54,1.89,107.5336,-173.920166,121.952995
15117990,0.631728,9.138516,4.118195,-2.73,1.05,2.1,108.841446,-170.43689,121.720581
15118010,0.653264,9.081086,4.132552,-2.1,0.49,2.1,108.642715,-171.999863,121.164482
15118025,0.665228,9.083479,4.142124,-0.98,0.07,1.82,109.381866,-169.720108,122.825325
15118045,0.636514,9.0428,4.189982,0.07,-1.05,1.4,107.706711,-169.72229,121.013748
15118065,0.6748,9.05955,4.185196,1.05,-1.89,0.77,108.368286,-169.819366,122.253777
15118085,0.61737,9.023657,4.115802,2.17,-2.17,0.42,107.670677,-172.649933,119.51371
15118100,0.670014,9.100229,4.051193,2.73,-2.31,0.21,109.57106,-172.679123,121.878967
15118120,0.679586,9.155267,4.027264,2.73,-2.24,0.35,108.412773,-171.969482,120.470474
15118140,0.622156,9.152873,3.950691,1.89,-2.1,0.63,108.144691,-172.707703,121.322708
15118160,0.593441,9.179195,4.010514,0.91,-1.68,0.84,108.42437,-170.087341,122.76664
15118175,0.698729,9.145695,4.070337,0.21,-1.33,0.98,110.185547,-172.786102,121.715698
15118195,0.684372,9.081086,4.079908,-0.07,-1.54,0.98,106.94017,-171.448242,120.853111
15118215,0.650871,9.081086,4.094266,0.49,-1.82,0.7,108.807587,-171.48436,122.236053
15118235,0.614977,9.061943,4.082301,1.33,-2.03,0.84,109.952637,-171.156433,121.725777
15118250,0.591048,9.131337,4.08948,1.75,-2.31,1.12,108.361397,-171.700516,120.097939
15118270,0.650871,9.143302,4.022479,1.61,-2.17,1.47,108.11348,-171.114365,121.184807
15118290,0.708301,9.102622,4.111016,1.47,-1.68,1.47,107.646233,-173.69545,120.309845
15118310,0.662836,9.057158,4.103837,1.89,-1.47,1.19,107.87236,-172.686264,119.365738
15118325,0.670014,9.033228,4.18041,2.73,-1.68,0.7,107.573486,-171.551254,121.251167
15118345,0.660443,8.884868,4.508239,5.04,-2.38,0.35,109.416039,-172.91275,122.259148
15118365,0.897341,8.44218,5.10168,12.46,-3.43,-0.14,107.239464,-172.303375,120.138779
15118385,1.849718,8.116744,5.932019,26.389999,-1.82,0.98,109.225098,-171.554031,122.361099
15118400,2.105759,7.827202,7.303155,39.41,5.32,-1.33,111.795624,-172.238052,123.904854
15118420,0.509689,8.559432,9.56924,14.21,3.64,1.4,106.542397,-170.334076,119.791611
15118440,-0.430723,6.50871,10.760908,-28.91,-44.029999,-4.2,108.133522,-174.309998,120.197639
15118460,-0.567119,4.467559,10.832695,-43.119999,-108.919998,-27.09,108.496689,-172.511383,120.654221
15118475,0.58387,5.075358,9.200731,-7.14,-155.330002,-56.279999,110.994041,-171.331116,121.968208
15118495,-0.021536,6.238311,7.104544,57.610001,-169.889999,-81.199997,111.54377,-175.13237,122.131805
15118515,-1.543426,8.932726,4.730779,111.860001,-172.550003,-92.400002,109.181847,-172.122696,118.755936
15118535,-2.40248,10.44983,2.457517,122.360001,-174.440002,-86.870003,109.080734,-174.504486,117.633476
15118550,-2.785345,12.208617,0.614977,84.209999,-181.930008,-69.300003,114.626923,-174.344894,121.269447
15118570,-1.998078,11.691749,-0.756159,27.58,-181.300003,-46.900002,113.336304,-174.423691,118.600594
15118590,-1.100738,10.58144,-1.493175,-3.29,-163.729996,-32.200001,114.546318,-179.161606,116.490936
