Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
15088084,0.815982,9.272519,3.689864,2.24,-2.45,-0.07,109.067894,-173.667847,120.725769
15088104,0.827946,9.274912,3.75208,1.47,-2.24,0.21,108.363579,-169.820358,122.113449
15088124,0.832732,9.231839,3.73533,0.84,-2.03,0.07,108.146011,-171.387299,120.996025
15088139,0.801624,9.17441,3.804724,0.98,-2.1,-0.07,106.941483,-170.127838,120.526421
15088159,0.758552,9.17441,3.86694,1.82,-2.17,-0.28,109.997986,-172.746811,122.284668
15088179,0.765731,9.258162,3.792759,2.17,-2.31,0.0,107.455284,-172.336716,120.411797
15088199,0.777695,9.286877,3.682686,1.89,-2.38,0.35,108.062523,-170.565521,121.983368
15088214,0.772909,9.260554,3.711401,0.91,-1.82,0.63,107.685661,-172.087204,122.276894
15088234,0.796838,9.241411,3.713793,0.07,-1.61,0.63,109.398529,-171.596313,121.37114
15088254,0.796838,9.250982,3.730544,-0.56,-1.54,0.28,109.44223,-170.266968,122.307426
15088274,0.758552,9.28209,3.764045,-0.7,-1.33,0.07,108.830704,-171.759277,121.766609
15088289,0.734623,9.222268,3.778402,-0.7,-1.75,0.21,109.193771,-174.480698,121.001396
15088309,0.703515,9.272519,3.747294,-1.19,-1.89,0.7,108.389656,-171.694565,120.939919
15088329,0.720265,9.296448,3.651578,-2.31,-1.89,1.4,107.95845,-171.347992,121.564987
15088349,0.737016,9.272519,3.771223,-3.71,-1.4,1.89,108.915939,-170.980774,121.623672
15088364,0.720265,9.167231,3.878904,-4.27,-1.05,2.38,107.415077,-170.465469,121.16433
15088384,0.801624,9.114587,3.981799,-3.22,-1.4,2.31,106.507324,-168.181961,121.855568
15088404,0.808803,9.162445,3.94112,-1.68,-1.75,1.75,106.318016,-169.74295,121.580132
15088424,0.815982,9.15048,3.850189,-0.84,-1.82,1.19,108.068558,-169.24411,121.797012
15088439,0.787267,9.188767,3.773616,-0.84,-1.75,1.05,108.310455,-171.151672,120.8965
15088459,0.725051,9.172017,3.802331,-1.47,-1.47,1.26,105.659393,-171.245178,119.636017
15088479,0.729837,9.210303,3.874118,-1.96,-1.68,1.54,107.97258,-171.345016,121.985977
15088499,0.784874,9.234232,3.82626,-2.03,-2.1,1.82,109.060226,-172.069534,121.28952
15088514,0.804017,9.291662,3.776009,-2.94,-2.03,2.31,108.059563,-168.966217,122.687447
15088534,0.770516,9.205518,3.850189,-4.69,-1.05,2.73,106.454628,-169.233414,121.809723
15088554,0.737016,9.160052,3.967442,-5.39,-0.7,3.08,108.658173,-170.676468,121.258781
15088574,0.782481,9.045193,4.051193,-4.9,-1.4,3.43,108.438072,-170.364243,122.016533
15088589,0.873411,8.956655,4.132552,-3.29,-1.47,3.22,106.974457,-170.120895,121.508736
15088609,0.861447,9.004513,4.158874,-1.26,-1.96,1.89,108.464149,-172.238449,120.84301
15088629,0.866233,9.083479,4.060765,1.26,-2.52,0.77,107.354706,-169.91861,121.682228
15088649,0.78966,9.260554,3.82626,1.96,-2.8,0.14,108.057388,-170.84639,120.671944
15088665,0.6748,9.487881,3.625256,-0.49,-2.38,0.7,106.621597,-170.876968,119.83503
15088685,0.387651,9.834852,3.433823,-5.88,-2.94,3.01,104.957611,-169.276871,119.148514
15088705,0.315864,10.131573,2.747058,-12.04,-2.87,6.65,108.572937,-171.454987,121.401726
15088725,1.194061,9.897068,2.055508,-17.57,0.49,11.9,108.544678,-171.460938,120.559738
15088740,0.579084,10.636477,1.418995,-18.969999,23.66,19.040001,107.542267,-169.957916,121.113266
15088760,-0.533619,10.100465,1.550604,-11.9,39.759998,21.77,108.21962,-172.971725,122.396896
15088780,-1.08638,9.753493,1.469246,2.87,50.82,25.48,108.200462,-168.735565,121.886284
15088800,-0.35415,10.023892,0.241684,26.67,64.68,27.23,105.044136,-167.658752,122.518867
15088815,-0.004786,10.777658,-0.952377,47.18,87.57,27.860001,106.282089,-168.150604,121.301895
15088835,0.614977,12.026756,-1.442924,50.68,124.389999,34.790001,108.349876,-169.543457,122.863556
15088855,0.344579,11.81618,-1.287385,33.110001,168.350006,48.580002,105.45343,-170.929977,120.814758
15088875,-0.294328,11.53621,0.033501,-4.62,202.300003,60.27,104.544037,-165.726746,121.883392
15088890,-1.450102,10.961912,2.297192,-53.34,212.380005,66.919998,109.376694,-170.481781,125.353874
15088910,-1.749216,9.274912,4.721208,-89.599998,198.520004,71.75,105.741646,-169.348175,124.037132
15088930,-1.61282,7.418015,6.649891,-99.82,172.759995,73.220001,104.826218,-165.466354,125.292122
15088950,-1.107916,5.302684,8.446965,-74.269997,145.529999,68.040001,104.218201,-163.758087,126.440132
15088965,-0.059823,5.594619,9.574025,-25.200001,128.589996,65.309998,104.48539,-164.060394,127.085678
15088985,-0.098109,5.525225,10.004748,15.4,118.510002,61.459999,102.385925,-161.834869,128.055008
15089005,-0.351757,5.826731,10.416329,31.780001,101.5,51.029999,101.536354,-161.978378,126.212837
15089025,-0.576691,5.905697,10.978662,20.16,73.779999,37.170002,104.091866,-163.705902,128.833389
15089040,-0.882983,5.656835,11.87361,-2.38,38.220001,24.710001,100.185341,-161.991089,127.901863
15089060,-1.67025,3.194532,12.481409,-11.55,-6.51,9.59,102.889519,-160.566269,130.379288
15089080,0.13161,4.154088,10.437865,37.170002,-40.459999,6.72,103.497978,-161.994659,130.40239
15089100,-0.215362,7.444337,9.119372,84.209999,-57.470001,-9.87,103.18882,-161.421402,129.664963
15089115,-0.835125,8.463716,8.793938,67.340004,-80.360001,-23.940001,101.392937,-160.329865,128.889191
15089135,-1.02895,7.573554,8.231604,17.290001,-114.660004,-32.900002,102.797394,-163.225937,128.366394
15089155,-0.665228,7.004042,7.980349,-18.620001,-149.309998,-42.279999,102.811096,-163.502838,127.616287
15089175,-0.454653,7.269655,7.425194,-18.83,-174.649994,-53.41,103.857216,-163.676529,127.999054
15089190,-0.251255,7.98992,6.293348,3.85,-189.350006,-67.620003,101.619835,-162.80014,125.225487
15089210,-0.306292,8.403893,5.166288,24.08,-193.970001,-78.889999,104.175346,-164.527679,127.846039
15089230,-0.882983,9.995177,3.80951,26.950001,-196.070007,-78.190002,104.251518,-167.510483,123.531761
15089250,-0.902126,11.414171,2.546054,1.54,-197.539993,-67.059998,103.22216,-164.692993,122.916611
15089265,-0.306292,10.232075,1.706143,-34.580002,-193.270004,-59.360001,104.648857,-168.904526,123.422165
15089285,-0.110074,9.095444,1.514711,-41.16,-178.5,-63.139999,104.134628,-166.975525,122.3657
15089305,-0.392437,9.626669,0.997843,-6.23,-156.380005,-66.639999,104.682289,-168.136917,121.735596
15089325,-0.236898,10.492902,0.055037,38.290001,-127.260002,-61.459999,103.775314,-169.332855,119.707253
15089340,-0.067001,10.619726,-0.837518,65.309998,-92.330002,-50.330002,106.946198,-170.126846,120.666756
15089360,0.433116,11.095915,-1.153382,73.779999,-54.18,-38.290001,107.394485,-172.069733,119.758598
15089380,0.234505,11.454851,-0.935627,68.529999,-18.9,-27.58,108.488594,-171.192963,120.046875
15089400,-0.124431,10.693906,-0.358936,54.740002,5.74,-15.89,110.422836,-170.174667,121.89666
15089416,-0.447474,11.935825,0.282363,38.360001,18.27,-9.8,107.423637,-171.023239,119.102798
15089436,-0.598227,10.918839,1.562569,5.88,15.75,2.87,109.140755,-171.292007,121.006248
15089456,0.679586,10.179431,2.045936,-22.68,7.63,12.53,107.844536,-172.412338,119.694855
15089476,0.933234,9.600348,2.787738,-37.310001,5.95,15.4,108.395683,-170.373169,120.753563
15089491,1.129453,9.11698,3.443395,-39.130001,8.33,14.35,107.852745,-169.21077,121.524002
15089511,0.99545,8.714972,4.118195,-32.549999,9.38,10.57,108.875313,-169.389404,121.205109
15089531,0.866233,8.564219,4.503453,-22.469999,6.86,6.02,107.318787,-168.326263,121.403999
15089551,0.890162,8.61447,4.486702,-10.71,3.57,1.96,108.639763,-170.400558,121.868561
15089566,0.751373,8.724543,4.316806,1.33,0.84,-0.7,107.239151,-168.063248,120.189484
15089586,0.792053,9.040407,3.926762,10.43,-1.61,-2.03,107.163231,-173.359787,119.391281
15089606,0.758552,9.294055,3.565433,15.190001,-1.96,-2.66,106.61689,-170.87796,119.694702
15089626,0.813589,9.428058,3.345285,16.24,-1.54,-2.8,108.499756,-169.590683,121.171951
15089641,0.746587,9.581204,3.120352,14.14,-1.19,-2.59,106.664879,-169.827499,119.600212
15089661,0.689158,9.724778,2.960027,8.96,-1.05,-1.75,106.233238,-169.760803,119.054184
15089681,0.677193,9.712814,2.912169,2.66,-1.4,0.49,108.212402,-170.612747,120.291763
15089701,0.741802,9.593168,3.079673,-3.64,-0.91,2.03,107.962738,-171.626877,120.534225
15089716,0.729837,9.459166,3.29982,-7.42,-0.42,2.94,106.641762,-169.552582,120.069664
15089736,0.780088,9.365842,3.436216,-9.17,-0.14,3.08,109.615654,-170.30925,121.317467
15089756,0.825553,9.303627,3.548683,-9.24,-0.07,2.87,107.129471,-169.887253,121.128555
15089776,0.832732,9.217482,3.69465,-7.84,0.0,2.24,106.014786,-172.368286,119.434547
15089791,0.815982,9.13373,3.754473,-5.25,-0.28,1.82,108.033836,-170.851349,119.970291
15089811,0.818375,9.181588,3.713793,-2.45,-0.98,0.84,107.125198,-169.608368,122.159325
15089831,0.74898,9.270126,3.625256,0.35,-1.4,0.28,108.959221,-169.931305,121.388863
15089851,0.758552,9.298841,3.591755,1.89,-1.82,0.21,106.49144,-169.785233,120.590172
15089866,0.746587,9.382592,3.515182,2.1,-2.24,0.35,107.574806,-170.23085,120.924477
15089886,0.698729,9.404129,3.476896,1.19,-2.17,0.77,108.038544,-170.850357,120.110626
15089906,0.765731,9.349092,3.508003,0.0,-1.89,1.26,107.804321,-170.541092,120.447388
15089926,0.799231,9.258162,3.551076,-0.84,-1.47,1.33,109.740211,-172.442505,121.919777
