Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
15122680,0.61737,9.19116,3.988978,0.84,-2.1,2.1,110.361938,-174.427689,120.021667
15122700,0.662836,9.160052,4.0153,0.63,-2.17,2.17,110.562309,-175.784424,120.200378
15122720,0.631728,9.054764,4.058372,0.98,-2.59,1.68,110.911774,-173.708939,121.407066
15122740,0.667621,9.109801,4.003335,1.54,-2.52,1.33,106.368103,-170.851547,118.439377
15122755,0.670014,9.17441,3.972227,1.75,-2.31,1.33,110.582031,-174.739914,119.263916
15122775,0.653264,9.160052,3.933941,1.54,-1.89,1.19,111.633286,-174.632736,120.958099
15122795,0.638906,9.162445,3.972227,1.33,-1.47,1.05,109.227623,-173.433228,120.485924
15122815,0.665228,9.172017,3.97462,1.19,-1.4,0.49,108.672302,-170.673492,121.679779
15122831,0.591048,9.172017,3.991371,1.05,-1.47,0.35,111.118164,-173.744263,121.399422
15122851,0.591048,9.188767,3.996156,0.84,-1.68,0.63,110.245911,-173.332977,121.1978
15122871,0.581477,9.200731,3.914798,0.35,-1.61,0.84,110.570076,-172.862717,120.858429
15122891,0.61737,9.181588,3.981799,-0.28,-1.54,1.19,109.70977,-174.328629,119.062294
15122906,0.619763,9.138516,3.998549,-0.42,-1.26,1.33,111.816566,-174.393158,121.419899
15122926,0.607799,9.186374,4.020086,-0.49,-1.12,1.4,108.948372,-175.773712,120.213089
15122946,0.65805,9.114587,4.079908,0.0,-0.84,1.4,110.84758,-172.122498,120.28685
15122966,0.653264,9.093051,4.096659,0.77,-1.12,1.19,111.881638,-174.939026,121.042328
15122981,0.629335,9.088264,4.091873,1.89,-0.98,0.77,111.176888,-171.371384,121.258911
15123001,0.672407,9.124159,4.022479,2.73,-1.19,0.63,110.555946,-172.865677,120.437439
15123021,0.650871,9.169623,4.000942,2.8,-1.26,0.49,109.658829,-173.7798,119.860855
15123041,0.605406,9.212696,3.991371,2.59,-1.33,0.56,110.017715,-171.702301,121.348206
15123056,0.636514,9.148088,3.988978,2.24,-1.61,0.56,108.812759,-170.722702,119.707512
15123076,0.660443,9.088264,4.075122,2.17,-1.33,0.14,109.587395,-170.315186,120.475487
15123096,0.622156,9.054764,4.132552,3.43,-1.54,-0.63,110.992294,-172.931396,121.123795
15123116,0.631728,9.088264,4.07273,5.32,-2.45,-1.82,110.522095,-173.913193,120.952911
15123131,0.638906,9.212696,3.955477,6.65,-2.94,-2.73,108.979271,-173.126938,120.401695
15123151,0.557548,9.217482,3.859761,6.44,-2.59,-2.87,110.318771,-170.957138,121.478279
15123171,0.480975,9.200731,3.876511,5.25,-2.24,-2.03,109.861839,-172.495682,119.386192
15123191,0.58387,9.337128,3.967442,4.27,-1.75,-0.42,109.890099,-172.489746,120.228172
15123206,0.502511,8.999727,4.058372,5.04,-1.89,-0.07,109.514114,-172.970886,119.023911
15123226,0.464224,9.05955,4.084694,7.07,-2.31,-0.35,107.831718,-171.094879,118.947174
15123246,0.58387,9.145695,3.895654,9.38,-3.15,-0.77,110.795311,-172.894089,121.412102
15123266,0.547976,9.315591,3.720972,10.08,-3.99,-1.19,109.484642,-169.777252,119.730415
15123281,0.492939,9.272519,3.570219,8.61,-4.06,-0.98,110.605576,-174.734955,119.965561
15123301,0.459438,9.480701,3.508003,6.16,-3.64,0.21,110.027916,-175.179779,118.909279
15123321,0.524047,9.514202,3.534325,2.59,-2.66,1.75,109.512794,-174.291306,119.350601
15123341,0.540797,9.449594,3.572612,-1.26,-1.33,2.73,109.669563,-172.457367,119.814827
15123356,0.571905,9.310805,3.689864,-3.99,-0.84,3.01,111.035568,-171.881927,120.888985
15123376,0.536011,9.212696,3.876511,-4.83,-0.77,2.94,110.26564,-172.288452,120.261337
15123396,0.60062,9.052371,4.079908,-3.57,-1.19,2.66,109.444328,-172.42601,119.261154
15123416,0.698729,8.868117,4.422094,-0.07,-2.1,1.54,109.738136,-169.802673,121.126076
15123431,1.005021,8.463716,5.080144,7.98,-4.27,-0.84,113.334091,-176.784637,120.425064
15123451,1.983721,8.068886,6.58289,13.16,-5.25,-3.36,112.827606,-172.414719,123.866623
15123471,3.302213,11.562531,7.729093,13.51,-5.25,-7.56,109.407516,-171.874207,120.480705
15123491,-0.35415,6.513496,9.691278,-5.95,-22.75,-10.08,109.655006,-172.740219,118.22274
15123506,0.150753,6.087558,10.011928,-15.33,-74.129997,-24.710001,108.942917,-171.814438,118.952362
15123526,0.480975,6.298134,8.992549,-1.89,-119.629997,-45.009998,110.179092,-174.387405,120.730965
15123546,0.18904,6.539818,6.984899,31.360001,-143.289993,-67.550003,112.524384,-175.040054,121.721046
15123566,-0.813589,7.690806,4.826496,71.470001,-148.820007,-83.720001,110.468536,-175.524368,118.564873
15123581,-2.675271,9.564454,2.737487,102.550003,-152.320007,-84.910004,112.118073,-172.887299,118.881096
15123601,-3.862154,12.084186,0.614977,96.32,-167.089996,-70.0,112.438744,-175.61763,116.852905
15123621,-2.311549,11.919075,-0.923663,53.41,-174.369995,-50.68,112.756126,-172.50853,115.579506
15123641,-1.033736,11.014556,-1.74443,14.98,-153.160004,-37.73,113.354309,-174.498657,112.979744
15123656,-0.693943,10.973877,-1.907148,6.58,-110.529999,-26.460001,116.407845,-175.518341,115.442062
15123676,-0.93802,10.693906,-1.72768,13.65,-67.480003,-14.28,118.89064,-174.620895,115.163956
15123696,-1.304135,10.789622,-1.208419,15.61,-39.48,-7.49,119.919662,-173.198257,115.829811
15123716,-0.763338,10.593404,-0.904519,11.48,-24.15,-3.92,118.407196,-174.565109,113.074303
15123731,-0.258434,10.983448,-0.875804,5.39,-9.73,1.4,119.048622,-175.986572,114.079697
15123751,-0.086145,11.194024,-0.677193,-13.02,7.28,8.33,119.627602,-174.221313,114.809296
15123771,-0.004786,10.287112,-0.105288,-33.529999,21.07,13.23,120.887787,-176.028656,114.620667
15123791,-0.071787,10.057393,0.265613,-42.77,34.299999,13.93,120.228821,-173.77153,116.56723
15123806,-0.603013,10.124394,0.624549,-40.459999,47.459999,15.75,121.064606,-177.39035,114.097725
15123826,-0.713087,9.777423,0.641299,-28.98,59.290001,18.969999,119.989342,-178.263153,114.370766
15123846,-0.52644,10.035856,0.54319,-16.030001,73.43,23.1,118.172516,-175.016525,116.079941
15123866,-0.782481,9.810924,0.765731,-8.68,89.040001,25.83,117.115234,-176.445129,114.572105
15123881,-1.124667,10.349327,1.308921,-5.6,101.220001,28.0,118.005432,-177.89299,116.832832
15123901,-0.935627,10.021499,1.488389,-7.07,108.43,33.040001,115.926903,-177.822525,115.317207
15123921,-0.564726,10.050214,1.931077,-11.06,116.830002,37.799999,114.10833,-176.176193,116.181969
15123941,-0.476189,9.796566,2.572376,-14.07,125.300003,44.939999,113.752052,-176.093643,117.881218
15123957,-0.435509,9.923389,3.256748,-18.34,130.059998,53.130001,113.795326,-175.044174,117.646408
15123977,-0.48576,9.853995,3.936334,-28.77,126.770004,59.779999,114.162315,-174.285141,119.741104
15123997,0.01675,9.648206,4.883925,-49.490002,116.410004,66.150002,109.584785,-172.47522,117.288887
15124017,0.26322,9.181588,5.939198,-77.139999,104.230003,73.220001,112.035019,-171.785645,121.039543
15124032,0.464224,8.013849,6.965755,-102.269997,88.550003,75.25,109.636597,-172.46431,118.83252
15124052,0.471403,7.341442,8.205282,-117.879997,64.120003,70.0,109.233658,-172.111801,120.299568
15124072,1.100738,6.128238,8.717364,-119.419998,36.610001,59.779999,112.462379,-171.573471,122.616341
15124092,1.380708,5.443866,8.918368,-106.540001,16.24,40.810001,108.454735,-172.240433,120.562347
15124107,1.392673,4.627884,8.509181,-71.330002,-2.45,17.92,108.342102,-172.465149,122.205498
15124127,1.079202,6.432137,7.788916,-24.85,-8.26,1.19,109.69825,-172.171555,121.827904
15124147,1.100738,7.501767,6.513496,11.55,-8.54,-5.95,108.29718,-170.594894,122.817703
15124167,0.825553,8.111959,5.599405,29.120001,-6.16,-8.47,108.296326,-171.154648,120.47551
15124182,0.825553,8.695828,4.965284,33.599998,-4.83,-8.33,107.418037,-172.064774,120.460251
15124202,0.909305,9.02605,4.64942,33.040001,-3.01,-6.79,109.018272,-171.798584,121.197647
15124222,0.890162,9.169623,4.568061,29.75,-0.56,-5.04,109.869156,-170.334656,122.71312
15124242,0.911698,9.064336,4.546525,23.59,1.54,-3.71,108.860291,-170.432922,122.281906
15124257,0.804017,9.016478,4.601563,16.73,2.24,-3.08,108.929642,-171.257675,120.873566
15124277,0.672407,8.975799,4.623098,10.57,0.42,-2.38,108.979698,-172.847046,121.572784
15124297,0.698729,9.00212,4.635063,5.46,-1.82,-1.4,108.867416,-176.831116,119.325256
15124317,0.722658,8.956655,4.709243,0.84,-1.75,0.07,109.206261,-171.557999,121.799774
15124332,0.775302,8.753258,4.852818,-2.17,-1.05,1.4,108.024849,-170.573456,120.860733
15124352,0.854268,8.650363,4.998785,-2.66,-0.63,1.82,108.973351,-169.928329,121.809853
15124372,0.849482,8.616862,5.037072,-1.12,-0.7,1.47,107.517403,-171.283279,120.738304
15124392,0.887769,8.612076,5.041857,0.42,-0.7,0.49,108.063416,-169.524979,120.485588
15124407,0.811196,8.659934,4.941355,1.89,-0.35,-0.28,106.896027,-173.05748,118.745735
15124427,0.815982,8.667113,4.97007,3.29,-0.63,-0.56,108.602509,-170.128616,121.917015
15124447,0.765731,8.683864,4.922212,3.99,-0.7,-0.7,108.670547,-172.273788,120.835365
15124467,0.73223,8.664721,4.888711,4.2,-0.49,-0.49,109.067894,-173.667847,120.725769
15124482,0.734623,8.772401,4.919819,4.34,-0.84,-0.21,107.442474,-171.019272,119.664116
15124502,0.741802,8.798723,4.83846,4.06,-1.54,0.0,107.030891,-174.148224,118.13092
