Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
349829,1.395065,-3.912405,9.296448,2.59,-3.99,-0.49,129.659332,-158.327148,103.400818
349849,1.375922,-3.898047,9.286877,2.52,-4.2,-0.49,127.207008,-156.857681,102.696434
349869,1.411816,-3.905226,9.296448,2.45,-4.13,-0.49,131.184189,-158.557632,105.73291
349884,1.395065,-3.845403,9.289269,2.03,-3.85,-0.7,129.64859,-159.649551,103.446846
349904,1.409423,-3.90044,9.205518,2.03,-3.78,-0.56,127.263985,-156.085114,101.711517
349924,1.375922,-3.90044,9.267733,1.96,-3.85,-0.77,127.726402,-158.02504,101.22435
349944,1.395065,-3.912405,9.243804,2.17,-4.13,-0.84,128.029633,-155.399704,103.369926
349959,1.385494,-3.871725,9.298841,1.4,-4.62,-1.05,131.403854,-159.149719,103.804062
349979,1.418995,-3.979406,9.260554,2.17,-5.74,-1.54,126.540726,-156.761597,101.316071
349999,1.392673,-3.953084,9.363449,2.87,-6.58,-1.96,128.577728,-156.281235,103.910927
350019,1.459674,-3.857368,9.325163,3.5,-7.35,-2.59,130.758575,-157.16951,105.000526
350035,1.52189,-3.926762,9.289269,3.64,-8.26,-3.64,130.746094,-160.092194,104.202148
350055,1.53864,-3.859761,9.26534,4.41,-8.47,-3.64,127.985931,-156.72905,102.433647
350075,1.55539,-3.874118,9.298841,4.48,-8.82,-4.13,128.647079,-157.105988,102.502586
350095,1.562569,-3.898047,9.253376,4.76,-9.52,-4.69,127.735825,-158.023056,101.505013
350110,1.639142,-3.792759,9.26534,5.39,-10.01,-5.11,128.582001,-156.56012,102.880157
350130,1.61282,-3.86694,9.373021,6.09,-10.15,-5.39,128.611588,-155.233765,103.395447
350150,1.639142,-3.783188,9.313198,6.93,-10.99,-6.37,128.172165,-158.08876,102.191368
350170,1.660678,-3.718579,9.272519,7.07,-11.62,-6.93,128.73613,-157.367035,103.997765
350185,1.627177,-3.821474,9.329948,7.42,-12.67,-7.49,128.754105,-157.922806,102.216888
350205,1.742037,-3.718579,9.317985,7.35,-15.05,-8.68,130.469482,-159.79187,103.27594
350225,1.763573,-3.785581,9.516596,7.07,-17.290001,-9.17,129.696686,-154.079102,104.574165
350245,1.888005,-3.63722,9.420879,8.12,-19.25,-9.66,128.996979,-154.750641,104.880371
350260,1.921505,-3.737722,9.428058,10.08,-21.0,-10.22,129.331345,-157.757858,102.102074
350280,2.048329,-3.649185,9.461558,12.25,-22.540001,-11.34,129.50563,-157.240372,103.454315
350300,2.120116,-3.665935,9.440022,14.49,-24.219999,-12.81,130.252457,-156.558929,104.551407
350320,2.163189,-3.814296,9.504631,19.6,-25.9,-14.35,128.468506,-157.344589,102.181114
350335,2.232583,-3.776009,9.643419,29.33,-28.559999,-16.870001,129.929596,-155.708771,104.564087
350355,2.428802,-3.862154,9.765458,39.970001,-32.689999,-20.02,128.751144,-156.323517,102.920967
350375,2.368979,-3.393144,9.830067,51.170002,-35.139999,-20.719999,128.990524,-156.351898,103.89563
350395,2.517339,-3.194532,10.308648,62.299999,-38.57,-21.139999,130.556458,-157.413071,103.977409
350410,2.658521,-2.960027,10.914054,73.709999,-43.610001,-19.530001,131.678818,-156.53035,105.107666
350430,3.263927,-2.28762,11.653462,67.340004,-46.060001,-16.1,130.300446,-155.508484,104.456924
350450,4.302449,-2.491017,13.299783,47.040001,-42.84,-14.42,130.706879,-152.660431,104.678696
350470,5.199789,-2.290013,15.02507,26.74,-32.34,-11.62,131.057098,-154.545197,107.005775
350485,5.187825,-0.380472,15.448615,-1.19,-16.450001,-7.0,130.820694,-156.116089,105.327034
350505,4.670957,0.461831,13.778365,-42.139999,2.1,-4.2,131.030167,-153.230713,105.837112
350525,4.333557,-0.607799,11.978898,-82.529999,15.4,4.41,133.465836,-152.82399,107.995682
