Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
270880,1.459674,-4.424487,9.061943,0.91,-1.75,0.49,126.716652,-159.163849,102.290916
270895,1.476424,-4.362271,9.061943,0.77,-1.54,0.42,128.303177,-158.620758,103.778419
270915,1.399851,-4.395772,9.045193,0.77,-1.68,0.35,128.957092,-157.119522,105.582207
270935,1.399851,-4.453202,9.088264,0.91,-1.96,0.35,125.11731,-158.389481,100.05574
270955,1.478817,-4.417308,9.066729,1.26,-2.1,0.28,127.24765,-158.449051,103.114998
270970,1.454888,-4.345521,9.011692,1.4,-1.96,0.21,127.918221,-158.82402,103.464592
270990,1.476424,-4.357486,9.021263,1.12,-1.82,0.35,126.953056,-157.592941,103.969658
271010,1.452495,-4.379022,9.047585,0.77,-1.82,0.49,125.968086,-161.445557,100.349411
271030,1.438138,-4.424487,9.047585,0.7,-2.03,0.42,128.554504,-160.526337,103.158569
271045,1.447709,-4.41013,9.061943,1.12,-2.31,0.42,128.099747,-160.184723,103.081985
271065,1.450102,-4.362271,9.040407,1.26,-2.45,0.49,126.872986,-157.609787,101.584045
271085,1.462067,-4.362271,9.009299,1.05,-2.31,0.28,127.82827,-159.603516,103.467201
271105,1.474031,-4.367057,9.071514,1.05,-2.17,0.28,127.087486,-158.963547,102.183754
271120,1.478817,-4.355093,9.064336,1.05,-2.17,0.35,125.730904,-159.537018,101.390251
271140,1.507532,-4.355093,9.035621,0.84,-1.75,0.35,126.041374,-158.789871,101.800987
271160,1.430959,-4.412522,9.054764,0.7,-1.89,0.35,128.555817,-159.205902,102.831879
271180,1.485996,-4.402951,8.98537,0.77,-1.96,0.35,127.969162,-159.372849,102.666039
271195,1.447709,-4.41013,9.064336,0.91,-2.03,0.28,128.052643,-160.194626,101.67868
271215,1.42378,-4.355093,9.0428,0.77,-2.17,0.21,126.148399,-159.606674,101.515289
271235,1.421387,-4.419701,9.021263,0.63,-2.59,-0.14,129.319717,-160.120804,103.645889
271255,1.445316,-4.383808,9.035621,0.7,-2.94,-0.07,128.816666,-156.589508,103.714493
271270,1.430959,-4.374236,9.095444,0.7,-3.5,-0.07,126.927757,-159.198181,102.423607
271290,1.404637,-4.3862,9.052371,0.21,-4.27,-0.21,128.899246,-158.451828,104.22493
271310,1.385494,-4.395772,9.109801,0.49,-5.6,-0.07,126.694847,-157.568497,102.433678
271330,1.395065,-4.374236,9.126552,1.05,-7.35,0.28,127.542664,-159.025299,103.431427
271345,1.452495,-4.383808,9.236626,0.7,-9.38,0.7,128.75322,-158.963364,103.714676
271365,1.42378,-4.101444,9.468738,-8.4,-12.25,1.68,125.580162,-160.04953,100.73967
271385,1.746823,-3.474503,9.968855,-35.139999,-16.030001,5.81,127.345261,-159.267853,102.548637
271405,2.043544,-3.491253,11.014556,-84.139999,-20.93,18.9,127.877579,-157.232635,103.046036
271420,2.27087,-3.228033,12.050685,-142.029999,-22.82,39.549999,125.384071,-158.97168,99.53019
271440,3.038993,-2.615448,11.55296,-226.660004,-8.4,52.43,127.146538,-160.830826,101.992538
271460,3.445788,-3.965049,12.744629,-293.440002,21.210001,62.650002,126.412102,-163.109589,100.472023
271480,3.117959,-3.445788,10.512045,-352.589996,57.68,71.610001,126.158577,-163.564972,102.916344
271495,1.153382,-4.077516,6.709714,-406.420013,85.889999,74.620003,127.95742,-166.255798,102.988045
271515,-0.210576,-9.368236,3.455359,-453.25,106.75,89.809998,128.877106,-170.897308,104.542259
271535,-0.303899,-14.326341,2.43598,-431.269989,117.110001,102.620003,126.651649,-172.378906,104.014153
271555,-0.576691,-14.72117,1.768359,-359.940002,119.980003,107.029999,123.975586,-178.798584,104.99688
271570,-1.325671,-13.381142,0.507297,-297.079987,119.07,118.510002,122.526848,-182.512512,106.030464
271590,-1.993292,-11.969326,-1.380708,-256.480011,111.790001,126.559998,121.144165,-181.692566,110.250465
271610,-2.835596,-13.029385,-3.187354,-228.970001,95.970001,139.580002,119.371361,-181.356735,112.845215
271630,-2.876276,-14.338305,-4.582419,-190.889999,74.900002,156.029999,118.856995,-184.428513,114.406929
271645,-2.225405,-13.558217,-4.412522,-146.160004,55.860001,172.199997,117.054619,-185.419052,116.486382
271665,-1.651107,-12.392871,-5.675978,-122.290001,39.41,189.210007,116.299248,-185.54274,117.450821
271685,-0.717872,-11.572104,-7.023185,-128.940002,17.01,208.809998,114.415489,-187.87056,117.471352
271705,0.404401,-11.119843,-7.839167,-148.889999,-15.12,230.509995,110.880226,-185.675583,117.60376
271720,-0.282363,-9.504631,-7.597483,-158.759995,-59.990002,247.800003,110.058022,-186.853668,118.101364
271740,-0.698729,-7.815238,-7.413229,-146.580002,-113.190002,252.350006,108.506508,-190.510468,122.229851
271760,-0.760945,-6.269419,-6.652285,-106.330002,-163.380005,244.089996,106.799675,-189.679977,122.949249
271780,-0.162718,-4.926998,-3.811903,-38.990002,-201.740005,226.309998,103.756416,-188.098557,123.109779
271795,0.768124,-3.876511,-0.610192,32.970001,-214.619995,205.589996,102.990761,-188.783966,121.451363
271815,1.072023,-2.3618,3.685078,86.099998,-188.720001,183.470001,100.836952,-184.69014,122.752228
271835,-1.320885,-0.595834,4.460381,102.550003,-148.190002,159.669998,97.3004,-183.334808,119.371346
271855,-5.75973,-1.811431,5.072965,85.330002,-115.220001,155.960007,100.494835,-184.123825,121.032494
271871,-10.40915,-1.80186,5.242862,98.139999,-83.370003,127.050003,96.264168,-182.398468,116.600365
271891,-14.611096,-0.792053,4.553704,82.529999,-63.630001,110.599998,97.229324,-183.629547,116.095299
271911,-13.01742,1.720501,0.483367,-6.02,-90.300003,107.730003,95.526344,-183.357803,114.612831
271931,-8.59054,-0.067001,1.170132,-72.169998,-143.990005,147.699997,97.013077,-183.876068,114.651192
271946,-5.386436,-3.342893,5.329006,-15.75,-109.690002,111.720001,96.710709,-185.941666,114.847801
271966,-1.880826,1.447709,6.759965,94.849998,-20.299999,-7.84,92.282288,-180.699524,113.423561
271986,-9.049978,6.786287,4.407737,199.919998,101.360001,-80.150002,94.789063,-179.517258,115.018196
272006,-13.701792,9.207911,-0.122038,198.380005,142.449997,-91.629997,93.765633,-179.898376,112.994896
272021,-12.969562,6.606819,-2.364193,78.610001,110.040001,-71.470001,97.133919,-180.449799,114.837189
272041,-12.103329,1.239526,-5.032286,-32.549999,89.529999,-57.049999,96.340012,-181.141144,112.336792
272061,-14.477094,-5.407972,-5.807588,-41.16,72.870003,-63.490002,95.702408,-180.759247,112.969505
272081,-14.709206,-8.245961,-7.185903,-7.0,15.12,-64.540001,96.401672,-180.848389,115.332176
272096,-11.636712,-8.200496,-7.080615,-20.09,-33.110001,-54.389999,95.606873,-182.580276,114.329567
272116,-7.7267,-4.498667,0.212969,-59.290001,-63.209999,-31.57,98.219032,-179.295135,116.0159
272136,2.275656,-0.981092,11.165309,-115.290001,-38.43,-40.25,97.309418,-183.131897,114.64093
272156,0.473796,-9.320377,-0.112467,-146.720001,16.52,-35.139999,95.814583,-181.295197,113.995232
272171,-2.878669,-10.96909,-5.331399,-110.529999,6.16,12.81,96.358391,-181.897842,115.566986
272191,-6.176096,-7.382122,-6.235919,-31.360001,-21.49,21.0,96.998497,-184.639725,116.899078
272211,-7.683628,-4.972463,-0.421152,-0.63,-53.200001,18.690001,97.277634,-186.819229,115.950111
272231,-6.192846,-6.874825,1.430959,7.49,-58.869999,16.52,96.141251,-183.184906,115.620659
272246,-8.284247,-5.55394,0.251255,21.559999,-53.130001,10.29,97.740593,-183.959274,117.855843
272266,-12.744629,-2.239762,-0.488153,2.94,-65.239998,11.27,95.174339,-183.554123,115.281319
272286,-12.244511,-1.804253,0.758552,-49.560001,-103.529999,9.87,97.736778,-182.919708,116.217728
272306,-9.822887,-0.873411,0.339793,-108.360001,-140.350006,6.3,95.801208,-185.258438,114.694633
272321,-4.3527,-6.52546,1.911934,-98.980003,-156.520004,0.91,98.322105,-184.073181,116.710266
272341,0.416366,-4.965284,7.29837,33.740002,-104.860001,-53.27,97.666557,-182.654709,115.283875
272361,-3.201711,-0.538404,7.365371,162.190002,33.459999,-135.869995,98.683098,-184.154755,115.151344
272381,-9.978427,3.031815,4.364665,202.300003,119.279999,-179.970001,99.39608,-184.039993,112.923935
272396,-11.646284,1.588891,2.426409,148.610001,122.290001,-181.089996,102.629074,-183.780548,114.209946
272416,-11.074379,-2.620234,2.641771,73.010002,91.629997,-174.020004,103.358261,-186.302673,113.197227
272436,-9.595561,-7.339049,1.756395,53.34,65.590004,-169.889999,102.754089,-185.153152,112.143372
272456,-8.399107,-11.509888,0.559941,98.769997,55.93,-166.25,103.527412,-186.066055,113.238037
272471,-9.066729,-11.943005,-0.854268,182.490005,54.459999,-164.149994,104.372406,-180.922729,112.321701
272491,-9.684099,-10.760908,-1.864075,261.869995,43.400002,-158.899994,106.220459,-185.762695,110.750427
272511,-10.390007,-8.245961,-2.306763,311.079987,17.01,-152.389999,108.916534,-183.01944,112.620514
272531,-9.645813,-5.905697,-1.725287,327.459991,-23.17,-148.050003,108.114983,-181.631699,106.843887
272546,-8.391929,-4.836067,-0.926055,318.570007,-58.799999,-147.279999,109.981544,-182.22757,105.884644
272566,-7.523303,-4.503453,0.184254,289.23999,-85.75,-143.360001,109.03186,-179.192307,102.644035
272586,-6.446495,-4.498667,1.117488,250.740005,-113.190002,-132.160004,112.937637,-176.946854,102.45517
272606,-4.874354,-5.116037,2.81406,221.199997,-138.669998,-118.440002,111.35199,-176.449402,99.469879
272622,-3.766437,-5.472581,3.86694,212.800003,-156.029999,-111.440002,115.400841,-172.093124,100.495354
272642,-2.782952,-4.697278,5.55394,211.680008,-167.369995,-106.959999,115.343002,-173.425446,99.138077
272662,-1.399851,-4.228269,7.714736,192.5,-175.350006,-101.779999,117.309044,-168.719818,99.67868
272682,0.107681,-3.785581,8.561825,158.270004,-172.270004,-92.68,119.946075,-164.109299,101.739983
272697,0.928448,-4.139731,9.631455,114.379997,-161.350006,-81.480003,123.083984,-164.910202,101.717171
272717,1.550604,-4.958106,9.992785,85.75,-148.050003,-69.090004,123.008743,-160.406067,100.693695
272737,1.921505,-5.04425,10.507259,88.059998,-135.729996,-62.860001,124.359299,-161.154007,101.673546
272757,2.40248,-3.80951,11.158131,98.769997,-123.480003,-59.43,124.500183,-160.92334,100.872375
272772,2.792524,-2.412051,10.973877,89.949997,-108.43,-55.439999,126.372322,-160.958466,102.395653
272792,3.314178,-2.048329,10.698692,67.970001,-93.590004,-50.049999,126.544106,-158.081024,101.783089
272812,3.6779,-2.316335,10.631691,43.959999,-79.099998,-43.82,125.63504,-157.117935,102.801018
272832,3.622863,-2.388122,10.294291,26.530001,-67.690002,-37.310001,125.982758,-156.642731,103.1633
272847,3.369215,-2.433588,9.765458,19.460001,-60.41,-35.349998,127.019447,-156.81839,103.265404
272867,3.316571,-2.000471,9.820495,24.219999,-58.450001,-36.400002,127.540596,-156.385452,102.637726
272887,3.062922,-0.646085,11.167702,39.27,-52.150002,-41.16,127.306374,-156.076187,102.974487
272907,7.642949,-11.880789,29.609844,-80.989998,-16.870001,-47.25,127.323143,-153.432388,102.742104
272922,6.893968,-6.905933,7.812845,15.75,-2.1,-17.85,129.925323,-155.429901,105.594856
