Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
319870,2.914562,-9.083479,13.960226,-57.889999,-92.120003,-44.59,128.99205,-163.791626,102.29644
319890,2.940884,-8.102386,14.053549,-28.49,-84.139999,-39.48,128.250381,-164.192215,102.510773
319910,3.20889,-7.286405,14.003298,-11.13,-75.32,-33.670002,127.019341,-161.338394,102.043602
319925,3.29982,-6.465638,14.089443,-2.24,-64.68,-27.51,129.477692,-161.48645,102.56163
319945,3.24239,-5.979877,13.713757,4.76,-53.27,-22.75,129.839111,-161.288147,102.173805
319965,3.500824,-5.771694,13.259104,16.450001,-42.630001,-20.02,129.620773,-159.375626,103.775963
319985,3.69465,-5.295506,12.529266,33.110001,-32.060001,-19.110001,132.076172,-157.924393,104.99807
320000,3.926762,-5.190217,12.402443,61.32,-19.18,-22.610001,132.583511,-161.734558,103.898697
320020,4.268948,-4.288091,13.656326,85.120003,-2.87,-22.610001,132.251236,-160.886383,103.630722
320040,3.644399,-2.634592,12.907347,58.66,7.7,-14.98,132.258575,-158.244568,103.117676
320060,2.87149,-2.957634,11.368707,16.66,18.059999,-9.59,134.053574,-160.376633,105.391243
320076,2.512553,-4.156481,10.011928,2.66,22.26,-4.06,131.922043,-157.117493,103.880463
320096,2.21344,-3.615684,9.107409,4.97,21.84,-3.99,128.938278,-156.642685,101.180908
320116,2.500589,-2.057901,9.490273,5.11,17.780001,-2.1,132.17215,-155.823486,104.809105
320136,2.349836,-4.802567,10.684335,-16.309999,26.040001,0.91,130.379211,-156.331253,103.329254
320151,1.581712,-4.888711,9.851603,-9.94,32.549999,2.45,130.970032,-160.963196,101.242531
320171,1.083987,-3.692257,9.425665,-7.77,32.830002,0.21,130.213013,-158.16716,102.584358
320191,0.928448,-4.390986,9.428058,-8.68,28.84,-2.1,130.519211,-157.141129,104.025864
320211,1.091166,-4.345521,9.712814,-0.49,23.66,-3.5,129.584412,-158.063141,102.326637
320226,0.942806,-3.627649,9.753493,6.65,18.76,-3.85,131.339661,-157.563324,102.683853
320246,0.871019,-3.366822,9.806137,5.39,13.58,-1.54,129.452515,-158.571701,102.237373
320266,0.904519,-3.194532,9.626669,1.33,8.26,2.45,127.755554,-156.978546,100.56855
