Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
528785,-1.107916,-2.818846,7.367764,-78.330002,-179.759995,-64.470001,-16.810911,-115.815308,-143.500748
528805,-0.318257,-3.424252,8.777187,-51.73,-193.970001,-69.090004,-15.212002,-116.86953,-142.436661
528820,0.842304,-2.077044,9.097836,-32.619999,-202.580002,-76.230003,-12.988299,-116.988213,-142.752975
528840,1.754002,-1.722894,9.363449,-44.73,-208.039993,-81.059998,-8.124712,-118.615662,-142.933853
528860,2.983956,-3.108388,10.418722,-58.59,-210.139999,-80.5,-5.28435,-116.961174,-141.397919
528880,4.197161,-4.218697,12.033935,-57.82,-204.889999,-73.779999,-3.319742,-118.09597,-141.752426
528895,5.029893,-4.623098,13.266282,-50.330002,-192.430008,-66.290001,-2.700551,-118.201958,-141.775375
528915,5.922448,-4.85521,14.249767,-31.99,-173.180008,-59.010002,1.289461,-120.738548,-141.831192
528935,6.061236,-4.039229,14.142087,-9.87,-150.990005,-52.080002,4.34475,-120.157936,-138.52446
528955,5.661621,-3.127531,13.429,3.43,-131.320007,-46.41,5.070115,-121.640503,-141.175293
528970,5.336185,-3.022243,13.098779,7.35,-117.459999,-39.34,8.829831,-120.387367,-138.034439
528990,5.848268,-3.074887,12.780522,5.74,-107.239998,-29.68,12.087698,-118.802551,-136.373459
529010,6.422565,-2.993528,12.54841,4.48,-95.129997,-17.99,11.623096,-118.74279,-137.90181
529030,6.362742,-2.483839,11.722857,1.89,-81.129997,-6.65,12.165153,-120.945724,-137.174454
529045,5.740586,-2.462302,10.691513,-0.84,-69.230003,1.12,10.977287,-121.562454,-139.098236
529065,5.369686,-2.558019,9.779816,1.47,-61.529999,3.99,14.549016,-120.549911,-136.559509
529085,5.75973,-2.383337,9.947319,6.72,-54.880001,2.73,13.287084,-120.34288,-137.215286
529105,6.944219,-3.783188,13.031777,27.23,-36.119999,1.89,14.802511,-120.575333,-135.163864
529121,6.192846,-1.926291,12.191867,30.73,-11.69,2.24,14.179497,-119.429787,-136.779037
529141,5.575476,-1.08638,9.638634,1.96,-0.91,-6.23,14.45907,-121.329414,-136.5569
529161,5.084929,-2.163189,7.839167,-15.61,0.84,-7.07,12.908145,-119.224739,-137.715469
529181,5.209361,-2.526911,7.245726,-15.89,-2.59,-3.08,13.398505,-116.918579,-137.309952
529196,5.697514,-2.615448,7.276834,-12.46,-8.12,0.35,14.65648,-121.086853,-135.674118
529216,5.946377,-2.952849,7.511339,-9.87,-8.4,4.76,16.064444,-120.782356,-134.508087
529236,6.300527,-2.974385,7.78413,-4.62,-7.21,4.9,14.092514,-121.808586,-137.480499
529256,6.243097,-2.72313,7.93249,1.89,-4.27,2.17,14.156809,-118.875,-135.138489
529271,5.987056,-2.505375,7.867882,1.54,-0.77,1.19,13.996648,-119.389496,-136.069733
529291,5.807588,-2.684843,7.882239,-0.14,0.91,1.19,14.501028,-121.600365,-136.465027
