Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
588237,5.47976,-2.19669,7.717129,17.360001,-3.15,-6.3,14.040814,-117.299492,-137.802338
588257,5.740586,-1.878433,7.750629,18.48,-3.99,-5.04,13.852827,-117.54007,-138.404465
588277,6.003807,-1.61282,8.138281,16.030001,-3.57,-1.4,14.226623,-118.939079,-139.215714
588292,6.185668,-1.232348,8.320142,10.36,-2.45,0.91,16.69265,-120.685448,-139.261429
588312,6.166524,-1.368743,8.320142,3.08,-1.61,2.52,13.95647,-117.03746,-139.157181
588332,6.070808,-1.517104,8.0306,-1.89,-1.47,2.59,14.747771,-118.506142,-139.843384
588352,5.94877,-1.713322,7.851131,-4.06,-1.61,3.08,14.662537,-119.284653,-139.700455
588368,5.821945,-1.928684,7.867882,-4.62,-1.54,3.5,14.096042,-118.127213,-139.631668
588388,5.778873,-2.0244,8.140674,-3.5,-1.47,3.08,14.191125,-117.066849,-138.322845
588408,5.659228,-2.117724,8.126316,-3.01,-1.12,2.1,14.479689,-119.24437,-138.99115
588428,5.568297,-2.206261,8.109566,-1.96,-0.91,1.47,15.123747,-118.024986,-138.63913
588443,5.532403,-2.160796,8.135887,0.49,-1.12,0.84,14.354676,-117.871765,-136.924576
588463,5.608976,-2.029186,8.131102,2.52,-1.68,0.21,14.340117,-118.154617,-138.516663
588483,5.731015,-1.938256,8.095208,2.8,-2.1,0.14,14.495137,-117.920975,-138.896851
588503,5.769301,-1.923898,8.090423,1.54,-2.24,0.63,14.908361,-117.711769,-137.741043
588518,5.75973,-1.986114,8.080851,0.7,-2.24,1.4,16.37023,-119.555405,-138.077652
588538,5.728622,-1.976542,8.109566,1.47,-2.73,1.82,14.976828,-119.577057,-137.651596
588558,5.726229,-1.880826,8.040172,2.38,-3.29,1.89,12.793472,-116.328819,-140.706009
588578,5.778873,-1.849718,8.073672,2.73,-3.85,1.75,13.709327,-119.930763,-140.789902
588593,5.807588,-1.842539,8.083243,2.31,-4.13,1.26,12.119834,-118.874557,-141.573318
588613,5.790838,-1.866468,8.044957,1.61,-4.2,1.26,14.384173,-120.58461,-141.471069
588633,5.848268,-1.971756,8.183745,1.4,-4.41,1.82,15.784898,-118.401932,-138.57019
588653,5.783659,-1.852111,8.255533,1.47,-5.18,2.87,13.903342,-118.368782,-140.37413
588668,5.735801,-1.87604,8.559432,0.91,-6.09,4.76,13.251615,-117.989853,-140.162399
588688,5.862625,-1.76118,8.942298,0.98,-6.79,6.16,13.742402,-115.403824,-138.585785
588708,6.030128,-1.797074,9.667349,2.52,-5.18,7.7,13.710186,-119.371017,-138.447708
588728,6.104309,-2.378551,10.275147,8.47,3.08,9.59,15.10612,-121.228539,-140.748932
588743,6.283777,-2.112938,11.158131,21.35,13.79,12.74,17.891685,-118.466446,-136.21257
588763,6.726465,-1.507532,12.569946,26.880001,24.57,11.2,13.386476,-119.080597,-140.777222
588783,7.085401,-0.227326,13.563004,8.26,40.529999,9.31,12.826441,-116.321877,-139.723694
588803,7.291191,1.167739,13.192102,-34.720001,63.349998,5.46,13.879014,-114.894279,-138.356186
588818,7.367764,0.643692,12.53166,-94.150002,90.440002,10.29,13.234524,-116.393532,-139.879318
588838,7.870275,-2.581948,12.010006,-129.220001,115.709999,26.530001,10.521784,-117.26059,-140.295212
588858,7.76738,-6.472816,13.438572,-105.489998,147.210007,44.59,10.956807,-118.646713,-139.282166
588878,7.042328,-7.391693,14.747493,-31.15,177.380005,52.360001,11.782826,-118.508163,-138.141647
588893,6.269419,-6.051664,14.469915,39.48,203.490005,49.490002,5.942801,-121.771912,-139.802567
588913,5.96552,-5.721443,13.816651,80.43,225.960007,48.369999,6.734963,-122.680847,-138.146576
588933,5.733408,-4.984427,12.962383,92.82,248.360001,54.810001,3.656234,-118.746399,-140.933167
588953,4.589598,-4.584812,12.199045,90.720001,270.829987,63.77,0.33504,-118.185066,-141.372147
588968,3.661149,-4.553704,11.892754,94.43,291.200012,71.540001,-1.733641,-117.832748,-141.43602
588988,2.718343,-3.950691,11.344777,104.580002,302.75,74.620003,-6.102699,-118.698021,-143.102188
589008,2.378551,-2.833203,9.844424,104.300003,312.970001,78.959999,-10.345023,-119.816406,-142.150528
589028,1.194061,-2.902597,8.255533,98.559998,317.380005,84.629997,-13.027297,-118.316566,-143.54892
589043,-0.196218,-2.34505,6.80543,102.129997,316.470001,88.199997,-17.395815,-114.381958,-142.822189
589063,-0.971521,-2.909776,6.635534,107.029999,312.480011,90.650002,-24.164505,-112.726318,-145.146881
589083,-1.072023,-2.13926,6.063629,113.470001,308.839996,90.580002,-25.67482,-112.693802,-142.046906
589103,-1.627177,-1.667857,4.388594,117.879997,304.429993,87.220001,-30.32687,-110.820816,-140.562241
589119,-2.806881,-0.612584,2.450338,115.709999,293.369995,85.120003,-34.903103,-108.17131,-139.501175
589139,-3.665935,0.315864,1.366351,108.150002,274.679993,85.400002,-37.8055,-106.840019,-136.301834
589159,-4.087087,1.27542,0.567119,96.459999,251.369995,85.82,-38.805298,-103.176971,-132.561722
589179,-4.728386,2.15601,-0.399616,80.43,224.419998,85.540001,-40.275837,-105.295563,-131.385376
589194,-5.161503,2.572376,-0.856661,66.360001,192.5,83.580002,-42.323929,-103.338989,-130.043518
589214,-5.525225,2.859525,-1.361565,58.380001,160.160004,75.669998,-43.727211,-104.123299,-127.22924
589234,-6.042093,3.630042,-1.871254,55.02,127.050003,64.959999,-45.876308,-100.028503,-125.788048
589254,-6.721679,4.450809,-2.452731,52.360001,92.610001,51.240002,-48.154343,-98.04155,-125.140198
589269,-7.054293,5.003571,-2.804488,46.130001,56.0,35.630001,-47.627625,-97.047882,-123.285355
589289,-7.154795,4.943748,-2.613056,36.75,18.34,19.879999,-48.01009,-99.611115,-121.634377
589309,-6.989685,4.539347,-2.577162,23.17,-21.210001,5.18,-45.96278,-98.088226,-120.256645
589329,-6.800645,4.718815,-2.258905,9.94,-62.580002,-8.89,-44.719257,-98.019348,-118.991096
589344,-6.781502,5.053822,-1.897576,-6.93,-101.360001,-20.719999,-45.064442,-100.373726,-121.228554
589364,-6.609212,4.635063,-1.170132,-24.92,-136.919998,-28.42,-45.572216,-96.84343,-121.300278
589384,-6.43453,3.799938,-0.011965,-40.389999,-166.880005,-30.17,-46.268513,-98.353584,-124.367027
589404,-6.233526,3.084459,1.330457,-56.77,-191.940002,-24.639999,-45.511818,-96.909492,-125.65815
589419,-6.755179,2.641771,2.677664,-70.419998,-211.190002,-16.799999,-41.894825,-101.52652,-127.622314
589439,-7.386907,2.428802,4.587205,-80.43,-228.059998,-9.31,-38.426712,-100.535789,-128.170853
589459,-7.185903,2.242155,7.78413,-85.610001,-240.240005,-2.87,-39.281849,-101.240028,-132.495544
589479,-7.85831,1.206026,9.813316,-89.040001,-229.809998,-0.42,-40.758709,-99.959106,-134.922104
589494,-11.375885,2.309156,8.212461,-90.790001,-214.130005,-13.23,-38.099525,-100.703239,-136.894257
589514,-9.121766,1.904755,5.57069,-94.849998,-246.610001,8.12,-35.877144,-102.142342,-136.883881
589534,-2.421623,-4.541739,8.449359,-56.209999,-247.729996,42.420002,-33.005966,-101.880264,-140.221115
589554,1.107916,-2.768595,11.411778,12.74,-220.290009,59.5,-32.003208,-107.142609,-144.665314
589569,2.883454,0.186647,15.601761,45.009998,-170.520004,59.920002,-29.494547,-99.359261,-144.844437
589589,1.294563,3.223247,18.092777,36.330002,-89.739998,48.369999,-28.450613,-101.413109,-146.477188
589609,-0.672407,5.245255,18.815435,11.2,-6.93,38.080002,-26.41194,-103.371666,-148.099701
589629,-2.09858,4.156481,17.762556,-10.08,59.5,25.549999,-23.897388,-99.2677,-145.847
589644,-2.072258,2.809274,15.125572,-14.28,110.110001,20.299999,-24.878426,-99.639885,-146.607346
589664,-1.897576,0.949984,12.385693,3.36,152.180008,23.870001,-30.102112,-96.890335,-146.365311
589684,-2.294799,0.464224,9.777423,33.459999,184.449997,25.549999,-29.354977,-100.449013,-145.318924
589704,-3.390751,1.055272,7.231368,62.439999,209.440002,24.780001,-32.17432,-100.219383,-144.27803
