Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
351051,1.533854,-2.864311,9.590775,2.24,-4.62,1.47,132.403809,-150.399094,34.835056
351066,1.545819,-2.919348,9.631455,2.94,-4.27,1.4,132.944656,-149.402451,37.110897
351086,1.457281,-2.897812,9.629062,3.43,-3.85,1.47,133.812195,-149.814728,37.172184
351106,1.478817,-2.782952,9.609919,3.85,-3.78,1.4,133.116318,-151.045013,35.276527
351126,1.509925,-2.703986,9.655384,3.15,-3.57,1.4,134.018585,-149.850052,37.164539
351141,1.533854,-2.737487,9.607526,1.82,-3.29,1.19,132.465027,-150.3862,36.659348
351161,1.533854,-2.79731,9.638634,0.56,-2.59,0.84,131.883972,-149.511612,35.136044
351181,1.507532,-2.854739,9.641026,0.49,-2.31,0.56,133.867844,-150.362579,36.513954
351201,1.512318,-2.852346,9.641026,0.84,-2.31,0.28,133.784363,-149.540802,37.501301
351216,1.591284,-2.809274,9.617098,1.05,-2.17,0.21,132.659042,-148.824219,37.075123
351236,1.557783,-2.818846,9.662563,1.12,-2.31,0.42,132.475754,-149.063812,36.613319
351256,1.562569,-2.811667,9.652991,1.26,-2.31,0.56,133.538971,-150.833817,36.712994
351276,1.529068,-2.744666,9.648206,0.98,-2.38,0.49,135.452621,-151.419769,37.157047
351291,1.502746,-2.780559,9.588383,-0.07,-2.59,0.42,132.253494,-150.631744,35.355568
351311,1.536247,-2.861918,9.607526,-0.28,-2.66,0.49,133.638336,-150.052322,36.991043
351331,1.524282,-2.902597,9.576418,0.63,-2.52,0.7,133.031525,-151.543655,36.590565
351351,1.529068,-2.861918,9.66017,1.47,-2.59,0.77,133.355682,-151.073395,36.251194
351366,1.493175,-2.737487,9.631455,1.47,-2.66,0.84,133.559555,-149.229553,38.118721
351386,1.543426,-2.861918,9.66017,0.98,-2.94,0.91,134.922058,-151.854706,37.504063
351406,1.52189,-2.847561,9.624276,1.05,-2.94,0.98,132.989563,-151.272705,36.498688
351426,1.529068,-2.840382,9.657777,1.05,-2.73,0.98,134.406525,-151.246094,36.774284
351441,1.560176,-2.81406,9.617098,1.05,-2.73,1.12,132.460327,-150.387192,36.51902
351461,1.517104,-2.768595,9.645813,0.84,-2.94,1.05,134.161118,-152.539124,35.985977
351481,1.562569,-2.861918,9.612311,0.49,-3.01,1.12,132.677032,-149.380005,35.294247
351501,1.52189,-2.794917,9.643419,0.77,-3.22,1.19,130.121475,-148.13327,36.513672
351516,1.531461,-2.711165,9.669742,1.33,-3.85,1.61,131.583344,-149.976898,36.177063
351536,1.545819,-2.28762,10.050214,-0.35,-5.32,2.17,132.944656,-149.402451,37.110897
351556,1.665464,-1.856897,10.571868,-4.48,-7.07,2.1,131.809906,-148.687851,36.404053
351576,2.084223,-0.760945,11.990863,-9.03,-8.68,1.54,133.854141,-150.085678,37.264057
351591,3.292642,-0.433116,13.022206,-13.72,-14.42,-4.97,131.975998,-151.371964,35.927143
351611,3.890869,1.148596,12.847524,-14.63,-11.55,-24.219999,134.173935,-153.856552,36.733658
351631,4.871961,-0.136396,12.318691,-33.529999,4.69,-69.650002,134.763657,-150.768906,37.417229
351651,4.067944,3.491253,12.701556,-13.58,38.57,-115.220001,135.584961,-150.631348,38.417408
351666,4.379022,6.499138,12.328262,15.75,78.050003,-153.930008,133.043686,-144.380844,37.439648
351686,3.649185,5.92484,13.122708,-6.79,114.449997,-177.309998,134.137787,-143.504074,37.727928
351706,2.464695,2.983956,13.350035,-47.459999,134.960007,-193.479996,133.351654,-141.273727,35.885586
351726,1.646321,1.273027,13.146637,-82.739998,140.210007,-212.100006,133.402725,-137.302567,36.308826
351741,1.593677,-0.832732,12.155973,-112.559998,138.740005,-229.809998,133.319214,-136.480789,37.296173
351761,2.191904,-3.642006,10.440258,-122.849998,142.100006,-238.279999,131.482239,-134.558563,38.770714
351781,2.715951,-8.111959,10.272755,-107.099998,153.509995,-236.880005,129.744186,-132.134705,39.352207
351801,4.132552,-12.641733,11.263418,-77.279999,160.229996,-224.699997,127.627632,-128.312836,40.604618
351816,5.896125,-14.268911,10.650834,-68.669998,163.100006,-196.839996,126.408974,-127.056351,39.714027
351836,6.470424,-14.754671,8.877689,-100.169998,170.100006,-140.070007,124.055122,-125.845932,40.78548
351856,4.113409,-16.534994,6.901147,-138.180008,182.630005,-58.099998,120.552399,-123.923897,40.729099
351876,1.572141,-17.788879,5.860232,-136.850006,187.880005,23.309999,122.208611,-128.445679,40.757561
351891,0.043072,-16.716856,4.266555,-98.910004,180.110001,85.120003,117.312378,-131.065292,39.90543
351911,-0.95477,-14.352663,3.639613,-60.900002,167.509995,129.149994,115.980659,-130.313385,39.486897
351931,-0.686765,-12.469444,3.543897,-48.299999,147.490005,162.610001,113.22168,-130.630615,40.009888
351951,-0.169896,-11.275383,3.089244,-53.200001,119.770004,194.320007,110.890846,-134.215118,39.390087
351966,-0.459438,-9.755886,2.067473,-55.93,89.529999,223.649994,111.405495,-135.864258,41.617649
351986,-0.957163,-8.463716,1.689393,-50.259998,60.130001,248.080002,106.0336,-135.506393,39.333916
352006,-1.115095,-7.027971,1.823396,-36.540001,31.780001,267.540009,105.459328,-137.270645,38.744648
352026,-0.990664,-4.95332,2.002864,-21.35,3.64,280.279999,104.104034,-137.004501,41.464436
352041,-1.122274,-3.07728,2.182332,-11.13,-21.07,285.040009,103.566582,-139.320572,39.655617
352061,-1.210811,-1.600855,2.68245,-6.16,-42.630001,281.049988,102.62529,-142.324646,40.81163
352081,-1.072023,-0.349365,2.969599,-5.6,-62.860001,268.940002,100.918022,-141.774033,40.359932
352101,-0.959556,0.847089,2.653735,-14.28,-81.480003,252.350006,97.905235,-137.825729,39.537971
352117,-0.993057,1.39028,2.912169,-31.290001,-100.169998,233.589996,100.911995,-143.095444,40.546288
352137,-0.638906,1.442924,4.03205,-45.360001,-122.010002,214.270004,97.773651,-142.574402,39.398003
352157,-0.07418,1.667857,4.520204,-50.189999,-145.740005,192.639999,95.043495,-137.605011,39.315895
352177,0.224933,2.199083,4.503453,-51.029999,-164.360001,171.919998,96.640663,-140.259521,39.535572
352192,0.588655,2.689629,5.448652,-53.200001,-179.339996,153.580002,99.585419,-142.062668,41.439178
352212,1.136631,2.708772,6.776716,-48.93,-195.160004,135.940002,98.157295,-143.691544,40.038513
352232,1.739644,3.0366,7.889418,-39.130001,-207.899994,114.870003,100.190369,-146.69165,39.773453
352252,2.115331,3.785581,7.70995,-42.07,-212.660004,88.129997,97.815498,-147.365356,38.268078
352267,2.409658,5.039464,9.566847,-56.98,-210.490005,57.330002,102.614868,-147.887192,40.806953
352287,2.974385,5.594619,12.043507,-67.760002,-211.399994,21.91,101.453194,-145.858124,38.931446
352307,3.141888,5.802802,12.806844,-74.059998,-206.710007,-17.780001,103.652458,-147.022308,39.41127
352327,3.065315,5.451045,13.038957,-82.739998,-188.720001,-61.25,108.84446,-148.939194,41.700226
352342,3.692257,4.740351,14.127729,-91.769997,-161.839996,-104.300003,109.144653,-148.753784,39.488106
352362,4.178018,2.933705,15.482116,-91.139999,-123.340004,-139.580002,111.209053,-148.827209,40.582745
352382,3.670721,0.268006,16.058805,-81.690002,-79.309998,-164.5,116.011383,-150.948349,42.417545
352402,2.692022,-2.41923,16.372276,-72.309998,-38.360001,-179.059998,116.996269,-151.134918,40.976017
352417,2.414444,-5.137574,15.917624,-64.68,-9.31,-183.119995,116.963303,-151.141861,39.993706
352437,2.000471,-7.217011,14.879103,-50.259998,12.25,-177.240005,119.840912,-149.759308,41.481182
352457,1.363958,-8.650363,13.852545,-34.16,25.549999,-160.089996,123.596703,-151.986633,41.762123
352477,1.002628,-9.016478,12.495766,-25.549999,30.52,-133.839996,125.981453,-150.550262,40.879276
352492,0.586262,-8.971012,11.103093,-22.82,31.08,-100.660004,126.247787,-151.412338,39.182632
352512,0.093323,-8.322535,9.674527,-22.540001,29.190001,-65.590004,128.190598,-150.951797,38.970886
352532,-0.301506,-7.214618,8.638398,-21.42,24.99,-33.670002,129.369492,-149.57637,37.945129
352552,-0.402009,-5.972699,7.872668,-18.83,16.52,-9.66,129.118195,-147.670792,38.56498
352567,-0.41158,-4.946141,7.571161,-16.870001,6.09,4.13,129.148087,-150.584564,39.029564
352587,-0.449867,-3.938727,7.427587,-16.030001,-5.39,9.66,126.718552,-145.149872,37.906441
352607,-0.313471,-3.273498,7.25769,-15.190001,-17.15,10.15,128.244171,-148.859802,37.518951
352627,-0.361329,-3.184961,7.511339,-9.73,-28.559999,8.4,128.079727,-149.095413,37.618469
352642,0.105288,-2.75663,8.013849,-2.03,-40.810001,5.74,131.702744,-152.871841,39.307922
352662,0.696336,-2.124902,8.451752,1.96,-49.139999,2.66,129.193115,-147.934799,39.639164
352682,1.253884,-1.969363,8.770008,-0.91,-51.170002,-0.56,129.666275,-148.552322,39.105968
352702,1.505139,-2.620234,9.375414,-5.53,-49.77,-4.62,131.913513,-148.666046,39.491314
352717,1.567355,-2.751844,10.043036,-4.76,-49.279999,-7.91,132.362244,-150.329071,39.754257
352737,6.09713,-8.372786,15.671155,36.049999,-13.37,-27.51,131.698929,-151.832306,37.669811
352757,2.23019,-2.811667,15.345719,43.119999,33.18,5.39,132.212387,-149.801041,37.605885
352777,-1.825789,-0.567119,10.445044,2.52,23.24,6.51,134.366623,-153.61499,37.476112
352792,0.897341,-2.806881,8.257926,-14.0,-6.51,-2.73,135.628571,-153.822021,38.131893
352812,2.481446,-4.776245,9.296448,1.33,-11.76,2.17,131.347366,-151.267944,35.669418
352832,1.737251,-3.481681,9.67692,20.09,-8.12,7.63,133.988556,-151.937103,39.318127
352852,1.543426,-2.08183,9.743921,17.710001,-7.63,5.81,130.92691,-149.598969,36.248459
352868,1.832968,-2.278049,9.617098,4.34,-6.37,3.99,133.526596,-149.236496,37.13641
352888,1.914326,-3.084459,9.341913,-4.69,-3.64,3.64,134.841644,-148.112213,39.009132
352908,1.821003,-3.658756,9.212696,-3.5,0.07,2.8,132.033401,-150.319504,36.113319
352928,1.576926,-3.649185,9.368236,2.66,3.78,1.89,133.554306,-154.030441,35.585495
352943,1.452495,-3.24239,9.535739,7.49,5.95,0.77,131.651398,-152.122086,35.095413
352963,1.368743,-2.938491,9.629062,8.19,6.58,-0.42,132.229599,-146.877365,38.544598
352983,1.459674,-2.890633,9.669742,5.25,6.37,-1.61,133.771454,-152.743378,35.531822
353003,1.466853,-3.082066,9.691278,4.34,5.74,-1.33,132.064728,-147.392853,37.473022
353018,1.426173,-2.950456,9.789387,6.02,4.27,-0.84,132.334457,-149.574341,36.243393
353038,1.442924,-2.749451,9.715207,7.49,1.96,0.42,134.102493,-150.391953,37.348286
353058,1.447709,-2.577162,9.688885,5.81,0.07,1.75,131.826996,-150.28418,36.120968
353078,1.442924,-2.658521,9.67692,1.47,-1.26,2.31,134.128159,-152.546066,35.003666
353093,1.40703,-2.873883,9.657777,-0.98,-2.45,2.66,130.010956,-150.517029,35.110554
353113,1.416602,-2.993528,9.614705,-1.12,-3.64,2.94,135.752365,-151.995041,37.613811
353133,1.447709,-3.041386,9.621883,-0.21,-4.55,3.01,132.388779,-151.442627,35.91185
353153,1.430959,-3.005492,9.614705,0.56,-4.9,2.87,133.141632,-149.439758,36.822586
353168,1.483603,-3.050958,9.538132,0.98,-4.83,2.31,131.645462,-148.923477,36.503571
353188,1.600855,-3.062922,9.581204,1.96,-4.41,1.89,130.96077,-148.551483,35.732983
353208,1.512318,-2.967206,9.540524,2.38,-3.5,1.61,131.594086,-148.65451,36.131039
353228,1.526675,-2.811667,9.590775,1.75,-3.01,1.19,131.591019,-151.575226,35.613319
353243,1.488389,-2.969599,9.636241,0.42,-2.52,1.12,131.123886,-149.636276,35.960152
353263,1.476424,-3.079673,9.588383,0.49,-2.38,0.91,132.848236,-151.783249,36.128761
353283,1.469246,-2.96242,9.650599,1.33,-2.31,0.84,132.348587,-149.571365,36.664387
353303,1.507532,-2.969599,9.597955,2.24,-2.66,0.91,132.404648,-149.83934,37.17725
353318,1.474031,-2.88824,9.590775,2.24,-2.73,0.84,134.37912,-150.692291,38.274498
353338,1.457281,-2.897812,9.607526,1.68,-2.87,0.77,132.812744,-149.910995,37.021626
353358,1.495568,-2.861918,9.650599,0.7,-3.08,0.98,132.630783,-148.83017,36.233139
353378,1.524282,-2.969599,9.629062,0.42,-3.36,1.12,130.713623,-151.444809,34.100269
353393,1.478817,-2.979171,9.612311,0.63,-3.57,1.26,132.978821,-152.595108,36.544716
353413,1.46446,-2.981564,9.58599,1.12,-3.64,1.4,132.61972,-145.912445,36.329872
