Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
276868,1.76118,-2.584341,9.621883,0.91,0.49,0.07,130.725098,-154.563461,39.014606
276883,1.782717,-2.696807,9.681706,0.07,0.0,0.28,129.398087,-153.810562,38.736404
276903,1.72768,-2.737487,9.614705,0.07,-0.91,0.56,128.963486,-152.144562,38.894455
276923,1.739644,-2.696807,9.633848,0.77,-1.61,0.77,130.131653,-152.091553,37.914726
276943,1.756395,-2.660914,9.688885,0.98,-1.96,0.98,129.81691,-152.559814,38.534756
276958,1.782717,-2.663307,9.648206,0.63,-2.03,1.33,129.737595,-156.536926,37.269535
276978,1.785109,-2.730308,9.638634,0.63,-2.38,1.68,132.64093,-153.269241,41.474171
276998,1.756395,-2.747058,9.609919,0.98,-2.94,1.54,129.503464,-151.707672,38.828098
277018,1.785109,-2.799702,9.650599,1.33,-3.22,1.4,130.726395,-153.243042,38.68792
277033,1.809039,-2.713558,9.574025,1.89,-3.08,1.05,131.379883,-152.021683,39.320606
277053,1.852111,-2.675271,9.600348,2.1,-2.45,0.98,131.9823,-154.771469,39.530052
277073,1.756395,-2.572376,9.624276,1.4,-1.96,0.98,129.470825,-155.954727,37.795082
277093,1.816217,-2.672878,9.643419,0.14,-1.82,0.91,132.059875,-152.394653,39.950867
277108,1.763573,-2.768595,9.595561,-0.35,-1.61,0.7,129.938065,-153.373657,38.670052
277128,1.732466,-2.826025,9.619491,0.0,-1.61,0.42,131.611465,-154.971771,39.637222
277148,1.706143,-2.806881,9.626669,1.26,-1.89,0.49,128.716446,-150.517868,38.483536
277168,1.754002,-2.694415,9.631455,1.96,-2.1,0.56,130.397522,-153.714279,38.886963
277183,1.763573,-2.675271,9.648206,1.82,-2.24,0.77,131.965225,-153.175156,39.813141
277203,1.785109,-2.672878,9.636241,1.47,-2.73,1.19,131.152008,-154.631149,39.420307
277223,1.789895,-2.660914,9.66017,0.49,-2.87,1.19,130.27298,-151.581024,38.284649
277243,1.787502,-2.711165,9.624276,-0.42,-3.01,1.05,129.169464,-152.459778,37.71571
277258,1.72768,-2.782952,9.583597,-0.7,-3.22,0.98,130.779099,-152.191605,38.733768
