Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
5474098,-4.804959,-12.584304,14.735528,10.92,133.490005,76.650002,46.787548,-234.076172,-47.274498
5474113,-4.431666,-10.899696,13.658719,31.99,119.770004,46.200001,45.057945,-236.730087,-49.976337
5474133,-3.539111,-5.819552,12.177509,11.69,108.709999,25.27,45.63308,-234.406097,-47.044876
5474153,-3.127531,-3.548683,12.976741,-41.650002,92.540001,11.69,43.877827,-234.90593,-47.402092
5474173,-1.124667,-3.48886,12.976741,-99.400002,73.57,7.0,46.484291,-237.182297,-45.580105
5474188,0.421152,-4.460381,12.273226,-136.220001,58.240002,10.92,45.014748,-233.740356,-44.679749
5474208,1.208419,-5.61137,11.225132,-138.039993,44.450001,17.639999,44.936756,-236.397049,-46.271652
5474228,1.454888,-5.838696,10.296683,-114.169998,35.560001,22.82,43.711182,-237.502487,-45.4781
5474248,1.177311,-5.687943,9.696064,-78.610001,28.84,27.370001,44.494812,-237.372864,-45.600563
5474263,0.519261,-6.094737,9.262947,-35.490002,21.98,29.469999,45.133709,-236.915161,-42.719982
5474283,0.0,-5.771694,8.372786,11.69,17.92,32.130001,43.944523,-238.852295,-44.317078
5474303,-0.143574,-4.546525,7.508945,49.91,16.799999,37.099998,43.926216,-234.056396,-42.485504
5474323,-0.174682,-3.275891,6.724072,62.580002,19.18,43.259998,43.477066,-232.673248,-43.91954
5474338,-0.626942,-2.715951,6.652285,53.830002,23.799999,50.610001,42.10635,-233.24968,-45.134026
5474358,-0.978699,-2.768595,6.523067,33.459999,28.84,57.119999,45.107197,-235.320816,-42.717556
5474378,-1.330457,-2.383337,6.183275,10.22,35.77,65.590004,44.201084,-235.957016,-42.403706
5474398,-1.562569,-2.010043,5.429509,-18.41,46.200001,75.809998,41.723568,-231.572784,-43.432346
5474414,-1.964578,-1.852111,4.934176,-50.889999,58.099998,87.290001,41.947052,-233.204437,-43.72308
5474434,-2.694415,-3.084459,5.898519,-75.949997,68.110001,96.669998,42.33202,-233.001175,-43.409256
5474454,-3.984192,-4.044014,5.599405,-88.760002,77.419998,105.419998,42.071716,-230.817688,-41.898972
5474474,-4.55849,-3.517575,5.092108,-79.730003,85.959999,119.0,40.958775,-231.698456,-42.748569
5474489,-4.898283,-3.149067,5.321827,-72.870003,94.43,132.369995,42.14193,-231.082687,-40.965115
5474509,-6.429744,-4.769066,6.893968,-67.830002,98.769997,140.699997,41.50433,-230.700806,-40.332401
5474529,-8.358428,-5.862625,7.130866,-54.25,98.910004,146.020004,41.271423,-229.071136,-40.322327
5474549,-8.600112,-4.149302,5.807588,-33.110001,95.690002,152.110001,40.454826,-229.207687,-41.182182
5474564,-7.877453,-3.000707,5.049036,-35.279999,95.970001,154.139999,40.789272,-228.17572,-38.898697
5474584,-8.781973,-4.218697,5.750158,-55.790001,101.220001,152.880005,37.92329,-227.195343,-41.929989
5474604,-10.516831,-5.190217,6.408208,-73.080002,101.57,149.729996,41.281277,-228.789276,-38.870571
5474624,-11.222739,-4.230661,5.597012,-79.940002,97.580002,145.180008,40.081455,-227.528824,-39.199841
5474639,-10.866196,-4.173232,5.116037,-92.540001,91.07,137.059998,40.107647,-224.883041,-39.151569
5474659,-10.916447,-4.625491,5.238076,-103.669998,87.709999,130.970001,41.408146,-224.041595,-38.870934
5474679,-11.476387,-5.242862,5.565904,-101.290001,81.410004,125.440002,40.264412,-223.049118,-38.687336
5474699,-11.462029,-5.285934,5.235683,-87.989998,70.769997,119.07,43.284988,-224.075729,-37.207329
5474714,-11.095915,-5.015535,4.733172,-66.709999,58.59,109.690002,41.707985,-220.096848,-37.192368
5474734,-10.770479,-5.022714,4.357486,-46.060001,49.84,97.790001,40.748314,-222.344223,-39.266556
5474754,-10.349327,-4.888711,3.890869,-30.59,42.98,82.809998,42.542992,-220.236191,-36.942291
5474774,-10.007142,-4.474738,4.319199,-20.65,33.459999,69.090004,40.955143,-222.099686,-38.103104
5474789,-9.966462,-4.115802,4.527382,-19.879999,24.99,53.48,42.671936,-218.128342,-36.148945
5474809,-9.696064,-3.773616,4.405344,-30.17,15.89,40.740002,43.606197,-222.006195,-36.842617
5474829,-9.325163,-3.524754,3.80951,-38.57,9.66,30.1,45.585472,-218.338135,-34.38324
5474849,-9.24859,-3.790366,3.608505,-34.369999,5.67,20.860001,43.579685,-220.411835,-36.840187
5474864,-9.200731,-4.168446,3.424252,-17.360001,4.34,12.81,42.671936,-218.128342,-36.148945
5474884,-9.227054,-4.266555,3.359643,5.67,2.87,5.53,41.882732,-218.818695,-38.50901
5474904,-9.109801,-3.634827,3.170603,25.549999,1.82,0.56,44.334282,-216.808685,-35.085041
5474924,-9.085872,-2.6992,2.995921,33.25,0.63,-2.66,46.041973,-217.079453,-33.462246
5474939,-9.069121,-2.354622,2.933705,28.49,-2.03,-6.44,44.959824,-219.833435,-35.345039
5474959,-9.0428,-2.225405,2.907383,20.299999,-4.34,-8.96,43.269646,-220.87912,-36.079826
5474979,-9.121766,-2.084223,2.921741,13.93,-6.79,-10.15,43.613979,-219.084488,-36.184563
5474999,-9.145695,-1.81861,2.893026,7.28,-8.05,-9.87,44.813793,-220.34494,-35.855297
5475014,-9.169623,-1.74443,2.931312,-0.56,-9.24,-9.66,44.813793,-220.34494,-35.855297
5475034,-9.066729,-1.895183,2.964813,-7.42,-10.43,-9.24,44.454124,-218.942978,-34.623062
5475054,-8.999727,-2.00765,2.924134,-11.13,-10.57,-9.03,44.084499,-222.34285,-36.064384
5475074,-9.0428,-2.055508,2.92892,-12.53,-10.15,-8.54,44.120106,-219.695084,-35.735447
5475089,-9.203125,-2.225405,2.936098,-12.18,-9.31,-8.47,43.172813,-223.539764,-38.233055
5475109,-9.262947,-2.325907,2.849954,-8.47,-8.54,-8.47,44.240837,-220.788788,-36.771252
5475129,-9.114587,-2.246941,2.864311,-1.33,-7.35,-7.49,45.404266,-221.21756,-34.051334
5475149,-9.076301,-2.036365,2.821239,5.11,-5.6,-5.74,44.301632,-221.055786,-36.118057
5475165,-9.112194,-1.794681,2.854739,8.96,-3.64,-4.41,42.936947,-220.310806,-37.518902
5475185,-9.13373,-1.775538,2.866704,9.59,-2.87,-3.92,43.812706,-217.5215,-35.62846
5475205,-9.19116,-1.754002,2.92892,9.45,-1.82,-2.45,42.889393,-221.08139,-36.253326
5475225,-9.329948,-1.715715,2.957634,7.91,-1.19,-0.7,42.870983,-220.805481,-35.643547
5475240,-9.284483,-1.780324,3.000707,4.9,-1.61,0.49,42.149925,-219.121002,-37.863461
5475260,-9.205518,-1.794681,2.907383,2.66,-1.47,1.82,44.467716,-223.739868,-36.594971
5475280,-9.26534,-1.844932,2.890633,2.17,-1.05,2.73,43.488426,-222.511765,-36.510891
5475300,-9.33952,-1.976542,2.936098,0.63,-1.12,2.17,44.48666,-219.215912,-34.811844
5475315,-9.382592,-2.160796,2.998314,0.28,-1.61,2.03,44.573536,-221.357101,-35.33218
5475335,-9.332341,-2.21344,2.981564,1.82,-2.17,1.75,42.985363,-218.980484,-36.442287
5475355,-9.255769,-2.189511,2.938491,2.87,-2.24,0.77,43.536842,-221.181442,-35.43428
5475375,-9.241411,-2.189511,2.883454,3.57,-2.31,-0.14,44.123497,-221.014496,-35.268429
5475390,-9.128944,-2.060294,2.792524,4.48,-1.75,0.14,42.477486,-219.970184,-37.735817
5475410,-9.15766,-2.057901,2.878669,4.2,-1.4,0.0,42.800873,-216.020477,-35.355598
5475430,-9.19116,-2.208654,2.938491,2.45,-1.4,0.21,44.292213,-221.057755,-36.398716
5475450,-9.138516,-2.158403,2.916955,2.03,-1.4,1.19,45.012409,-223.301971,-36.520992
5475465,-9.088264,-2.175153,2.90499,1.82,-0.98,1.47,44.105087,-220.738586,-34.658657
5475485,-9.13373,-2.311549,2.960027,1.47,-0.49,1.47,44.663479,-220.577606,-35.334785
5475505,-9.140909,-2.28762,2.986349,3.15,-0.42,1.4,43.387421,-220.37355,-36.411552
5475525,-9.131337,-2.237369,3.015064,4.13,-0.63,0.84,45.0112,-220.102402,-34.972507
5475540,-9.205518,-2.218226,3.105995,4.34,-1.12,0.35,44.182114,-223.161652,-36.630741
5475560,-9.128944,-2.151224,3.046172,4.48,-1.82,-0.07,44.425434,-219.22879,-36.636135
5475580,-9.121766,-2.053115,3.053351,4.34,-2.1,-0.42,45.98325,-219.452316,-33.321735
5475600,-9.179195,-2.079437,3.046172,3.99,-2.1,-0.28,41.742271,-218.769485,-36.536743
5475615,-9.219875,-2.110545,3.065315,3.85,-2.03,0.0,43.409222,-221.968872,-36.554314
5475635,-9.229446,-2.031579,2.933705,3.64,-2.24,0.56,43.74884,-220.175232,-36.799377
5475655,-9.229446,-2.017221,2.900205,3.43,-2.24,0.98,45.065109,-222.250519,-36.475147
5475675,-9.200731,-2.167975,2.924134,3.43,-2.1,0.56,44.089207,-222.341858,-35.924053
5475690,-9.260554,-2.115331,2.924134,4.55,-2.1,0.56,42.827274,-222.134827,-36.57983
