Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
284676,2.06508,1.660678,15.084892,249.059998,-161.0,45.849998,123.299904,-153.49147,44.441254
284691,2.246941,1.225169,17.72427,202.580002,-151.830002,53.970001,122.042709,-152.802658,40.085835
284711,2.677664,1.445316,15.836266,156.169998,-139.860001,46.689999,123.902031,-151.520355,40.861427
284731,2.151224,2.19669,13.385928,98.209999,-104.860001,28.0,125.005127,-150.921463,40.259274
284751,1.809039,1.67025,12.203832,32.060001,-68.18,15.47,126.369377,-151.946304,40.489025
284766,1.426173,-2.091402,11.378278,-3.08,-46.130001,12.6,128.363129,-152.034622,39.47871
284786,1.306528,-4.584812,12.282797,16.030001,-47.529999,11.97,127.736168,-154.850311,38.843597
284806,1.751609,-3.749687,13.141851,62.720001,-64.75,11.83,129.823685,-155.198669,39.468792
284826,3.713793,-1.251491,13.929118,88.129997,-74.410004,-4.41,127.585098,-151.122696,38.243717
284841,4.529775,-1.80186,16.680962,37.240002,-37.029999,-8.68,129.158279,-154.062042,36.590641
284861,2.591519,1.517104,10.997806,1.19,10.71,10.43,130.219955,-148.392334,38.289509
284881,0.382865,-0.820767,8.882475,-41.16,15.4,0.21,130.536667,-155.083908,37.241383
284901,0.488153,-3.452966,7.686021,-48.509998,-4.13,-6.09,129.128815,-150.868408,37.29715
284916,1.440531,-3.316571,8.097601,-44.099998,-20.860001,-14.28,130.038315,-151.551636,37.450317
284936,2.6992,-8.657541,9.499846,-16.030001,-21.280001,-6.44,133.467834,-152.090164,41.116898
284956,2.022007,-4.16366,9.497452,40.740002,-5.95,12.81,130.581696,-152.434158,37.850979
284976,1.141417,-2.093795,9.648206,46.060001,-2.66,1.33,130.600098,-152.710068,37.241203
284992,1.995685,-2.354622,9.851603,42.0,-4.27,-0.49,130.861267,-154.333786,38.073109
285012,1.687,-1.643928,10.095679,33.18,-1.68,1.61,130.82666,-151.421021,37.468189
285032,1.471638,-1.581712,10.011928,19.18,-1.68,2.03,131.219711,-152.536194,38.389362
285052,1.536247,-1.378315,9.942533,4.27,-3.57,1.47,132.956131,-152.040329,38.185257
285067,1.586498,-2.153617,9.80853,-9.31,-4.69,1.82,130.452438,-150.30188,37.108337
285087,1.754002,-2.854739,9.650599,-13.3,-4.48,2.45,133.424591,-152.658829,37.511734
285107,1.663071,-3.278284,9.590775,-8.96,-3.64,2.17,131.726746,-152.106232,37.340694
285127,1.608034,-3.103602,9.633848,-0.56,-3.43,2.03,134.016388,-152.211029,38.98901
285142,1.579319,-2.785345,9.715207,4.62,-3.71,1.96,130.128159,-155.29213,36.22591
285162,1.636749,-2.421623,9.722385,5.46,-4.69,2.24,131.036438,-152.775772,37.927563
285182,1.698965,-2.41923,9.705635,3.01,-5.32,2.45,132.124512,-153.220398,38.402199
285202,1.708536,-2.581948,9.755886,0.42,-5.32,2.59,132.288956,-152.984787,38.302681
285217,1.72768,-2.694415,9.669742,-0.56,-4.83,2.66,130.71524,-154.845322,37.562855
285237,1.730072,-2.737487,9.614705,-0.35,-3.85,2.24,131.883942,-149.992416,38.976021
285257,1.718108,-2.6992,9.607526,0.49,-3.43,1.54,129.996368,-151.280685,37.358444
285277,1.787502,-2.684843,9.576418,0.84,-2.38,0.91,130.811203,-152.744415,37.37389
285292,1.708536,-2.60827,9.648206,0.77,-1.26,0.49,131.849655,-151.319778,38.3204
