Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
2217883,-9.286877,-1.899969,1.739644,-24.92,-0.21,19.950001,45.892445,-220.791565,-35.66132
2217903,-9.310805,-1.943041,1.773145,-22.190001,-0.84,20.370001,48.735767,-220.736374,-34.829468
2217923,-9.30602,-1.89279,1.696572,-20.65,-2.1,20.51,46.834484,-221.747726,-35.696941
2217938,-9.253376,-1.782717,1.631963,-21.629999,-3.71,19.809999,48.092598,-220.915207,-36.679276
2217958,-9.298841,-1.754002,1.509925,-25.200001,-4.83,18.48,47.225483,-220.223053,-35.569469
2217978,-9.578811,-1.904755,1.411816,-29.190001,-5.74,15.96,48.107159,-220.632355,-35.087193
2217998,-9.451987,-2.060294,1.351993,-30.450001,-7.21,12.67,46.826817,-220.149414,-35.13319
2218013,-9.358664,-2.21344,1.430959,-27.02,-7.0,10.29,45.972107,-220.573792,-38.286781
2218033,-9.772636,-2.28762,1.55539,-21.07,-5.25,9.73,47.874249,-219.002686,-35.077114
2218053,-10.373257,-2.357014,1.466853,-12.95,-4.97,10.29,48.279266,-221.995041,-35.750462
2218073,-10.220111,-2.151224,1.354386,-5.46,-7.28,10.78,47.020405,-218.86731,-35.888512
2218088,-9.944926,-2.019614,1.320885,-1.68,-7.63,10.57,47.634888,-218.974304,-36.051781
2218108,-10.093287,-2.144046,1.256277,0.21,-5.25,9.59,49.578445,-222.474014,-35.143139
2218128,-10.452223,-2.050722,1.320885,4.06,-4.27,8.54,47.685829,-219.523148,-36.850342
2218148,-10.131573,-1.655892,1.249098,6.93,-3.99,6.37,47.723507,-219.515213,-35.727703
2218163,-9.679314,-1.526675,1.198847,6.58,-2.38,4.55,47.532131,-218.436356,-36.796852
2218183,-9.487881,-1.564962,1.208419,7.28,0.21,4.06,48.851791,-221.831085,-36.0056
2218203,-9.67692,-1.368743,1.268241,10.43,2.87,4.41,48.874908,-222.106003,-36.475048
2218223,-9.858782,-1.294563,1.244312,13.72,2.8,4.83,46.4538,-222.229874,-37.041531
2218238,-9.583597,-1.29217,1.256277,16.309999,0.98,4.62,47.341072,-221.597641,-37.916702
2218258,-9.542917,-1.153382,1.16056,19.67,-0.14,6.23,48.881367,-220.504715,-35.490307
2218278,-9.696064,-0.885376,1.083987,21.280001,-1.4,8.26,48.751217,-219.412979,-34.735165
2218298,-9.657777,-0.684372,1.055272,18.48,-3.92,8.47,49.417076,-219.78894,-34.525898
2218313,-9.490273,-0.643692,1.081594,12.46,-5.46,8.75,47.601917,-218.981247,-37.034092
2218333,-9.66017,-0.799231,1.081594,5.74,-5.88,9.45,48.358147,-218.297806,-35.656334
2218353,-9.873138,-1.055272,1.150989,2.38,-5.95,10.99,48.67672,-218.86908,-34.638252
2218373,-9.746315,-1.20124,1.110309,3.29,-6.79,12.67,47.518433,-218.159454,-36.046745
2218388,-9.667349,-1.129453,1.172525,5.39,-6.58,14.07,46.155388,-220.334213,-37.824982
2218408,-9.731957,-1.06963,0.997843,5.95,-5.74,14.91,47.957737,-219.824463,-36.064461
2218428,-9.657777,-0.815982,0.95477,5.18,-6.09,14.28,47.676842,-219.245255,-35.959908
2218448,-9.466345,-0.720265,1.016986,2.24,-5.74,13.51,49.051834,-218.947678,-35.776184
2218463,-9.636241,-0.820767,1.048094,-2.17,-4.41,13.16,50.486309,-220.237534,-34.612579
2218483,-9.820495,-0.990664,1.134238,-4.97,-4.2,13.65,48.969563,-221.3255,-36.337322
2218503,-9.688885,-1.060058,1.306528,-5.46,-5.39,14.42,48.985443,-219.722244,-35.071926
2218523,-9.789387,-0.930841,1.368743,-6.23,-5.95,15.61,47.433197,-218.937973,-35.903805
2218539,-10.033463,-0.787267,1.294563,-10.29,-7.84,16.030001,48.694698,-219.424881,-36.419125
2218559,-9.892282,-0.768124,1.131845,-17.85,-10.29,14.98,50.632339,-219.725998,-34.102325
2218579,-9.782208,-0.780088,1.320885,-25.549999,-11.06,14.28,47.717049,-221.116486,-36.71244
2218599,-9.681706,-0.959556,1.684607,-30.59,-10.71,12.67,48.316193,-218.026855,-35.748211
2218614,-9.495059,-1.284992,1.995685,-29.4,-9.38,9.59,47.878529,-219.28157,-36.107883
2218634,-9.136123,-1.49796,2.158403,-21.0,-7.42,5.6,47.957737,-219.824463,-36.064461
2218654,-9.11698,-1.418995,2.129688,-8.33,-4.62,3.36,49.281784,-218.978058,-35.08218
2218674,-9.507024,-1.103131,2.002864,1.68,-2.87,2.87,48.651962,-215.674454,-33.791416
2218689,-9.813316,-0.804017,1.856897,5.74,-3.08,2.8,48.45533,-219.396484,-37.393791
2218709,-9.748708,-0.770516,1.770752,3.5,-4.69,3.29,48.693378,-220.7453,-36.092438
2218729,-9.724778,-0.820767,1.792288,-0.42,-4.97,4.2,50.809589,-220.807816,-33.454166
2218749,-9.60274,-0.729837,1.928684,-2.38,-5.18,4.55,47.647266,-220.571609,-36.475201
2218764,-9.456773,-0.689158,1.962185,-3.01,-4.97,3.5,46.517235,-219.856033,-37.04171
2218784,-9.39695,-0.715479,1.916719,-2.66,-4.27,2.59,47.06839,-217.816849,-35.982998
2218804,-9.442415,-0.672407,1.85929,-2.66,-3.5,2.38,48.809834,-221.560135,-36.097477
