Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
4074265,-8.348856,0.150753,5.474974,-2.310000,-12.530000,4.550000,46.276577,-220.667252,-41.529663
4074285,-8.439787,0.095716,5.520439,-4.130000,-13.300000,4.970000,46.933014,-221.045197,-41.601055
4074305,-8.351250,-0.069394,5.616155,-4.270000,-13.440001,4.270000,45.966537,-221.134521,-40.769302
4074325,-8.171782,0.358936,5.431901,-2.660000,-12.810000,3.570000,46.277786,-223.866837,-43.078152
4074340,-8.394321,0.782481,5.494117,-4.340000,-10.360000,3.920000,47.026783,-221.305237,-39.965553
4074360,-8.767615,0.399616,5.489331,-6.790000,-7.980000,2.030000,47.664383,-221.687134,-40.598263
4074380,-8.516360,0.086145,5.431901,-4.690000,-6.440000,0.070000,47.316666,-222.162338,-40.960545
4074400,-8.403893,0.320650,5.422330,-2.170000,-5.250000,-0.140000,47.369358,-221.110901,-40.914696
4074416,-8.358428,0.177075,5.510867,-4.900000,-6.160000,-1.610000,45.074123,-222.047623,-41.205555
4074436,-8.109566,-0.344579,5.723836,-8.260000,-8.540000,-3.710000,46.564358,-219.365311,-39.478386
4074456,-7.800880,-0.684372,6.022950,-7.490000,-10.430000,-6.300000,45.048931,-219.132874,-41.529816
4074476,-7.654913,-0.681979,6.113880,-2.100000,-11.690000,-8.540000,47.645973,-221.411224,-39.988487
4074491,-7.638163,-0.323043,6.164131,2.660000,-12.600000,-11.270000,48.288280,-221.792145,-40.480869
4074511,-7.805666,-0.215362,6.161738,2.450000,-12.670000,-14.070000,45.685215,-220.835190,-41.835842
4074531,-7.894204,0.107681,5.812374,-0.070000,-11.550000,-15.330000,44.643810,-220.660507,-42.078274
4074551,-8.049743,0.217755,5.958341,-6.510000,-9.030000,-15.890000,44.878036,-220.969772,-42.415035
4074566,-8.353642,-0.624549,5.601798,-9.940000,-5.670000,-17.360001,45.224434,-221.814972,-41.726070
4074586,-8.128709,-0.763338,5.776480,-7.350000,-4.410000,-17.990000,45.796959,-221.651016,-41.981213
4074606,-7.836774,-0.591048,5.886554,-5.180000,-4.060000,-18.200001,45.641941,-221.884644,-41.601032
4074626,-7.851131,-0.892555,6.061236,-6.300000,-5.040000,-18.200001,45.565693,-222.941055,-42.348526
4074641,-7.642949,-1.301742,6.286170,-7.770000,-8.400000,-19.670000,44.516186,-221.447952,-43.198307
4074661,-7.382122,-1.541033,6.377100,-6.230000,-11.200000,-20.510000,43.377167,-220.454468,-42.874378
4074681,-7.434765,-1.409423,6.228740,-1.820000,-12.740000,-20.090000,46.639633,-223.388657,-42.294880
4074701,-7.676449,-1.481210,6.312491,0.280000,-14.840000,-21.280001,44.747776,-224.398026,-42.881695
4074716,-7.487410,-1.275420,6.298134,0.910000,-17.570000,-22.750000,45.969929,-222.453949,-40.302288
4074736,-7.465873,-1.105524,6.379493,1.610000,-18.690001,-23.309999,45.499298,-223.715591,-41.644272
4074756,-7.496981,-1.196454,6.357957,0.350000,-19.600000,-24.570000,44.977718,-224.428406,-42.187691
4074776,-7.425194,-1.407030,6.410601,-1.260000,-21.139999,-25.830000,44.774715,-225.712494,-41.713028
4074791,-6.925076,-1.794681,6.695357,0.560000,-23.240000,-28.210001,44.683128,-223.572281,-41.333027
4074811,-6.877218,-1.962185,6.987292,5.670000,-22.889999,-29.469999,44.835190,-221.739349,-41.009129
4074831,-7.152402,-1.222776,6.810216,4.970000,-23.870001,-27.790001,44.367519,-224.600296,-43.055187
4074851,-7.154795,-1.536247,6.633141,-3.920000,-28.490000,-29.330000,46.765831,-228.441635,-42.069962
4074866,-6.834146,-2.278049,6.853289,-9.030000,-30.799999,-32.410000,45.531403,-224.268402,-43.004150
4074886,-6.807824,-2.483839,6.800645,-3.290000,-28.770000,-32.340000,43.175373,-224.938141,-43.948208
4074906,-7.123687,-2.335478,6.721679,3.080000,-25.620001,-31.360001,44.552006,-227.560303,-44.141872
4074926,-6.982506,-1.945434,7.006435,2.940000,-25.059999,-32.340000,44.310112,-225.652740,-43.241367
4074941,-6.640320,-1.799467,6.968148,-1.470000,-24.570000,-33.250000,43.904663,-222.940262,-43.739117
4074961,-6.870039,-2.232583,6.975327,-3.430000,-21.840000,-33.250000,46.407051,-225.999115,-42.335514
4074981,-6.898754,-2.522125,7.066257,-0.980000,-20.790001,-33.670002,42.770676,-226.185913,-43.325569
4075001,-6.625963,-2.196690,6.920290,0.770000,-20.020000,-34.020000,44.010380,-225.077484,-43.698128
4075016,-6.676214,-2.182332,6.630748,-0.700000,-17.990000,-32.970001,44.865868,-228.132568,-43.264122
4075036,-5.922448,-5.489331,8.370393,-2.730000,-28.000000,-46.410000,44.908714,-227.362991,-44.670033
4075056,-1.751609,-8.492431,9.114587,-19.040001,-49.209999,-84.139999,45.017498,-226.579514,-44.111320
4075076,-0.868626,-3.546290,9.387379,53.340000,-41.439999,-72.029999,43.267849,-226.037811,-45.825989
