Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
2564882,3.613291,-0.564726,7.91574,-94.220001,186.270004,90.090004,61.817398,-231.863388,-46.562374
2564897,2.775773,-1.541033,8.834617,-91.840004,182.139999,98.349998,60.642452,-229.277573,-46.516682
2564917,2.821239,-1.916719,8.274676,-103.879997,174.930008,101.919998,60.186813,-229.976486,-45.095478
2564937,3.053351,-2.828417,8.87051,-122.43,175.770004,98.910004,60.758015,-231.132935,-45.023937
2564957,2.354622,-4.230661,11.390243,-113.260002,179.130005,92.75,58.804146,-228.675751,-44.71545
2564972,1.318492,-4.95332,12.287583,-87.639999,170.869995,98.209999,57.138409,-228.675934,-46.246376
2564992,0.579084,-4.335949,11.033699,-73.5,158.059998,102.550003,55.407139,-228.890945,-44.730846
2565012,0.80641,-4.742744,11.670213,-84.139999,148.259995,94.150002,56.683201,-229.095001,-43.654079
2565032,1.119881,-6.051664,14.359841,-76.93,143.080002,73.010002,52.683769,-226.56041,-43.878918
2565047,0.287149,-5.400794,15.529974,-46.759998,132.229996,67.760002,53.163708,-229.816772,-43.478077
2565067,-0.461831,-3.661149,13.720935,-37.73,111.440002,71.190002,54.984142,-225.342819,-42.27663
2565087,-0.552762,-3.491253,11.777894,-59.290001,91.629997,67.900002,53.467403,-226.430771,-44.001377
2565107,-0.088538,-6.075593,12.720699,-67.269997,78.050003,54.950001,52.109924,-228.044785,-43.297085
2565122,-0.165111,-5.984663,15.084892,-49.279999,72.449997,47.740002,52.983501,-227.135651,-43.422153
2565142,-0.224933,-3.26632,14.431629,-36.68,56.490002,51.380001,50.09483,-225.600479,-44.812897
2565162,0.047858,-2.873883,12.591482,-55.02,35.560001,53.48,50.023617,-230.896011,-45.470768
2565182,0.713087,-4.515418,11.555353,-64.540001,25.34,48.16,52.547588,-226.79007,-42.937416
2565197,1.253884,-4.702065,11.414171,-50.610001,27.23,40.529999,50.257065,-227.725815,-43.087948
2565217,0.662836,-4.020086,12.849916,-32.48,31.219999,35.0,50.860485,-224.91507,-43.154484
2565237,0.098109,-3.534325,12.163152,-22.68,24.780001,34.23,49.941452,-228.75383,-44.810112
2565257,0.126824,-3.649185,10.978662,-15.75,16.870001,35.349998,48.425243,-225.041916,-44.141956
2565272,-0.373294,-3.584576,10.150716,-6.44,13.16,39.41,46.90258,-222.93129,-44.458542
2565292,-0.191433,-3.816688,10.55751,0.77,6.3,38.779999,49.527447,-225.483582,-43.24633
2565312,0.330221,-4.044014,12.134437,12.04,-0.28,39.689999,51.30022,-226.300186,-42.001106
2565332,-0.662836,-2.481446,12.522088,7.35,-0.14,48.720001,50.874184,-225.191971,-43.904587
2565347,-0.26322,-4.077516,12.155973,-26.530001,-14.28,47.32,49.908134,-225.001434,-41.901737
2565367,-1.330457,-5.778873,10.330184,-49.209999,-6.65,24.5,51.490734,-227.938782,-43.274151
2565387,-0.86384,-4.647027,9.990392,-42.84,-4.13,6.93,50.655403,-223.559326,-43.473522
2565407,-0.318257,-5.326613,8.925548,-39.27,3.36,-1.12,50.72858,-225.423615,-43.243748
2565422,-0.835125,-5.867411,8.382357,-18.690001,10.71,-4.13,49.969391,-224.507751,-43.917427
2565442,-0.705908,-4.137338,7.681235,2.66,15.54,-1.19,50.388962,-227.217255,-42.99868
2565462,-1.112702,-3.929155,8.171782,6.65,19.25,3.92,48.841106,-222.191879,-43.639526
2565482,-1.536247,-4.800174,9.418487,7.42,20.93,8.4,50.028435,-226.375031,-44.108639
2565498,-2.424016,-5.362507,10.782444,6.23,19.389999,10.64,50.609058,-227.529495,-43.756432
2565518,-2.610663,-4.522596,9.966462,1.05,10.36,7.42,48.665932,-223.749893,-43.49398
2565538,-2.127295,-3.785581,8.559432,-0.42,1.61,4.48,49.530518,-222.562881,-42.728607
2565558,-2.175153,-4.256983,8.686256,-2.03,-0.77,3.29,50.647625,-226.481018,-44.131573
2565573,-1.931077,-4.218697,9.028442,-3.71,-5.95,2.52,49.151901,-225.68486,-43.279495
2565593,-1.718108,-4.424487,9.148088,-4.97,-9.24,2.24,50.579914,-228.575974,-43.100628
2565613,-1.46446,-4.505846,9.014085,-4.48,-9.8,2.31,50.169754,-225.864487,-43.738716
2565633,-1.40703,-4.613527,8.990156,-3.01,-8.82,2.45,48.209427,-225.008575,-44.41497
2565648,-1.395065,-4.460381,8.978191,-1.68,-6.65,2.94,49.739872,-224.19751,-43.440331
2565668,-1.416602,-4.460381,9.014085,-1.89,-4.48,2.59,49.043118,-226.468323,-43.838207
2565688,-1.450102,-4.498667,9.073908,-0.28,-2.94,2.52,49.974529,-224.226883,-42.605995
2565708,-1.526675,-4.474738,8.935119,0.84,-1.96,2.31,49.7621,-225.512955,-42.411995
2565723,-1.569748,-4.541739,8.889653,1.47,-1.05,2.17,48.709206,-222.700439,-43.72879
2565743,-1.603248,-4.434059,8.966227,2.52,-0.7,2.03,49.238777,-227.82605,-43.799828
2565763,-1.624785,-4.400558,8.963834,3.5,-1.54,1.89,49.434113,-224.943665,-43.710739
2565783,-1.576926,-4.481917,8.978191,3.5,-2.1,1.54,48.656509,-223.751877,-43.774639
2565798,-1.514711,-4.383808,8.896832,3.43,-1.96,1.96,49.536869,-225.481598,-42.965672
2565818,-1.562569,-4.414916,9.047585,2.87,-1.68,2.45,51.169636,-225.488327,-42.417061
2565838,-1.622392,-4.44363,9.040407,3.29,-1.89,2.45,50.083313,-223.44342,-42.047287
2565858,-1.572141,-4.472345,8.997334,4.83,-1.96,2.8,50.644665,-224.881714,-43.427494
2565873,-1.560176,-4.211518,9.011692,5.46,-1.82,3.57,50.726833,-227.023911,-44.088158
2565893,-1.59607,-4.31202,9.100229,4.41,-1.12,3.15,48.946819,-224.329117,-43.598537
2565913,-1.715715,-4.455595,8.88726,3.64,-1.47,2.31,49.44014,-223.622253,-43.897095
2565933,-1.591284,-4.3862,8.963834,4.83,-2.1,1.96,50.541023,-225.384323,-42.674782
2565948,-1.610427,-4.213911,9.01887,4.69,-2.24,2.03,46.256878,-221.230957,-44.433178
2565968,-1.567355,-4.130159,9.095444,2.17,-2.52,1.61,49.317657,-224.12883,-43.7057
2565988,-1.536247,-4.316806,9.00212,-0.28,-2.1,0.7,49.399822,-226.271011,-44.36636
2566008,-1.543426,-4.381415,8.994942,-0.21,-1.54,1.05,47.843304,-225.20787,-44.167473
2566023,-1.61282,-4.31202,9.0428,0.28,-0.77,1.75,50.123516,-225.314651,-42.79982
2566043,-1.706143,-4.321592,9.064336,0.98,-1.12,1.82,50.130871,-222.672836,-43.312866
2566063,-1.663071,-4.390986,9.01887,2.17,-1.96,2.03,49.46019,-226.817871,-44.884262
2566083,-1.490782,-4.441237,8.920761,3.36,-2.1,3.85,52.032902,-225.621719,-41.325001
2566098,-1.770752,-4.254591,9.014085,4.34,-2.52,2.45,50.765396,-225.975433,-44.463303
2566118,-1.552997,-4.16366,9.045193,3.43,-3.15,2.24,50.153095,-223.988297,-42.284527
2566138,-1.653499,-4.268948,9.076301,1.54,-3.01,2.52,49.483849,-222.292923,-42.960815
2566158,-1.636749,-4.374236,8.987762,1.33,-3.29,2.24,49.954372,-225.55127,-42.84063
2566173,-1.593677,-4.280912,9.066729,2.59,-3.43,2.1,48.449684,-223.996429,-44.938087
2566193,-1.600855,-4.22109,9.049978,2.52,-2.66,2.03,49.969391,-224.507751,-43.917427
2566213,-1.67025,-4.249805,8.990156,2.17,-2.59,1.4,49.293221,-225.174316,-42.909569
2566233,-1.62957,-4.197161,9.014085,1.89,-3.15,1.05,49.807911,-226.342667,-44.521984
2566249,-1.603248,-4.199553,9.033228,0.77,-3.22,0.91,49.262005,-223.580978,-43.04747
2566269,-1.550604,-4.261769,9.038013,-0.7,-2.87,0.63,49.825104,-223.418991,-43.583271
2566289,-1.584105,-4.321592,9.102622,-0.7,-2.45,0.7,50.358173,-225.34404,-41.965488
2566309,-1.598463,-4.316806,9.0428,0.56,-1.96,0.84,47.209549,-225.38472,-45.736626
2566324,-1.687,-4.417308,8.987762,1.75,-1.26,1.19,50.666462,-226.477051,-43.570255
2566344,-1.627177,-4.259377,9.016478,2.87,-1.82,1.12,50.779957,-225.692581,-42.871212
2566364,-1.713322,-4.14691,9.05955,2.38,-1.96,1.4,49.105232,-225.414902,-43.511696
2566384,-1.703751,-4.233055,9.009299,1.26,-2.52,1.12,50.565891,-224.058945,-42.29982
2566399,-1.646321,-4.266555,9.052371,0.84,-3.08,0.91,48.230019,-223.404312,-43.009239
2566419,-1.574534,-4.14691,9.061943,-0.21,-3.08,0.91,49.468399,-223.616302,-43.055115
2566439,-1.624785,-4.185196,9.081086,-1.54,-3.15,0.84,46.366875,-223.647079,-45.422951
2566459,-1.62957,-4.3862,9.006907,-2.1,-3.29,0.7,48.836288,-226.712875,-45.001656
2566474,-1.643928,-4.326378,9.040407,-1.61,-2.94,0.91,52.323212,-226.198959,-41.148899
2566494,-1.617606,-4.402951,9.061943,0.0,-2.8,0.84,48.628143,-228.277832,-45.838421
2566514,-1.617606,-4.434059,8.975799,1.61,-2.59,0.84,49.312946,-224.129822,-43.846031
2566534,-1.619999,-4.254591,9.014085,2.52,-2.38,0.77,50.193306,-225.859528,-43.037064
2566549,-1.639142,-4.223483,9.035621,2.17,-2.45,0.77,49.718075,-222.602173,-43.297573
2566569,-1.600855,-4.280912,9.023657,1.4,-2.31,0.7,48.862907,-223.787216,-43.782284
2566589,-1.641535,-4.245019,9.033228,1.26,-2.1,0.84,49.720146,-225.242004,-42.503872
2566609,-1.610427,-4.261769,9.033228,0.91,-2.1,0.91,50.099968,-225.319611,-43.501472
2566624,-1.631963,-4.31202,9.011692,0.49,-2.24,0.84,49.065025,-223.543655,-42.759163
2566644,-1.641535,-4.331164,8.963834,0.49,-2.31,0.7,49.704266,-226.845276,-43.769268
2566664,-1.605641,-4.242626,9.0428,0.49,-2.38,0.91,47.546638,-221.711914,-44.106514
2566684,-1.655892,-4.314413,9.016478,0.49,-2.52,0.98,50.584301,-224.334854,-42.909592
2566699,-1.636749,-4.359879,8.947083,0.56,-2.73,0.84,48.993057,-224.878952,-44.537426
2566719,-1.608034,-4.273734,8.978191,0.98,-2.52,0.91,48.395344,-222.128159,-44.606544
2566739,-1.636749,-4.304842,9.052371,0.98,-2.8,0.77,50.365524,-222.702209,-42.478531
2566759,-1.608034,-4.285698,9.014085,0.77,-2.73,0.77,47.580818,-224.904556,-44.672695
2566774,-1.603248,-4.29527,8.978191,0.7,-2.66,0.84,49.491409,-228.411224,-44.746361
2566794,-1.658285,-4.29527,9.030835,0.63,-2.59,0.91,48.273293,-222.354858,-43.244053
2566814,-1.643928,-4.283306,9.038013,1.05,-2.66,0.7,47.274738,-221.410599,-44.892395
2566834,-1.622392,-4.383808,8.959048,1.61,-2.59,0.7,48.835079,-223.51329,-43.453167
2566849,-1.605641,-4.273734,9.014085,2.45,-2.38,0.91,49.338249,-222.524567,-42.299973
2566869,-1.639142,-4.271341,9.035621,2.38,-1.96,1.05,50.048592,-225.050644,-43.874004
2566889,-1.655892,-4.185196,9.052371,1.68,-2.03,0.98,49.773727,-223.150024,-43.955807
2566909,-1.641535,-4.259377,8.987762,1.05,-2.03,1.12,49.628128,-223.381683,-43.294964
2566924,-1.653499,-4.304842,9.021263,0.7,-1.96,1.12,49.983952,-224.224899,-42.325336
2566944,-1.624785,-4.309628,9.097836,1.19,-2.38,0.98,50.343613,-225.626892,-43.557571
2566964,-1.624785,-4.276127,8.966227,0.77,-2.52,0.63,49.351944,-222.801468,-43.050076
2566984,-1.627177,-4.3527,9.01887,0.98,-2.73,0.49,48.428204,-226.64122,-44.846035
