Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
3178335,2.282834,-3.780795,9.873138,23.450001,-2.45,18.059999,60.876865,-238.827759,-44.285973
3178350,2.041151,-3.424252,9.284483,22.75,-4.83,19.879999,60.136078,-238.18779,-45.569424
3178370,1.868861,-3.101209,8.777187,20.93,-6.86,24.08,60.630581,-241.161301,-43.576496
3178390,1.787502,-2.711165,8.463716,15.75,-7.84,31.15,60.62719,-239.841888,-44.043514
3178410,1.562569,-2.742273,8.17896,10.57,-7.21,39.34,61.258869,-237.025192,-43.268066
3178425,1.438138,-2.943277,8.16221,9.66,-6.3,48.299999,60.589512,-239.849823,-45.166153
3178445,1.404637,-2.890633,8.267497,15.61,-5.11,57.82,60.642639,-238.518494,-43.949211
3178465,1.411816,-2.55084,8.293819,22.889999,-4.13,68.809998,59.543503,-235.156143,-44.327114
3178485,1.371136,-2.395301,8.143066,28.0,-2.94,81.340004,60.681202,-237.470032,-44.324356
3178500,1.155775,-2.605877,8.274676,34.720001,-1.33,93.940002,61.581608,-242.395355,-44.502552
3178520,0.892555,-3.082066,8.609683,45.920002,0.84,105.419998,57.580105,-237.220917,-45.521095
3178540,0.763338,-2.971992,8.915976,61.459999,2.24,115.360001,61.229721,-238.071686,-42.612267
3178560,0.973914,-2.347443,8.832224,77.980003,3.78,126.419998,58.361988,-238.691589,-46.487961
3178576,1.33285,-2.598698,8.57379,86.029999,7.14,136.080002,56.080559,-235.385208,-46.307129
3178596,1.342421,-3.529539,8.198103,87.010002,14.84,140.0,57.366928,-234.546753,-46.447483
3178616,1.091166,-3.519968,8.116744,88.900002,25.34,147.0,56.663391,-234.178726,-47.779392
3178636,0.799231,-2.505375,8.16221,88.129997,33.040001,156.449997,57.143761,-237.155212,-46.207455
3178651,0.528833,-1.62957,8.399107,81.480003,39.41,164.570007,57.526657,-234.312119,-46.687336
3178671,-0.088538,-2.742273,8.748472,71.610001,43.82,167.649994,54.753551,-234.632309,-46.585331
3178691,-0.593441,-3.464931,9.483095,67.199997,43.82,166.740005,54.730865,-234.07753,-44.94479
3178711,-0.368508,-2.957634,9.710421,56.700001,45.639999,164.710007,51.872231,-230.455307,-48.48912
3178726,-0.433116,-3.206497,10.521617,36.889999,46.34,159.529999,55.155605,-236.025375,-46.554596
3178746,-1.170132,-4.14691,10.768086,14.56,41.860001,149.869995,54.714664,-231.440643,-46.159481
3178766,-1.083987,-5.051429,10.550332,1.12,35.07,137.059998,53.029202,-232.485352,-46.753941
3178786,-0.557548,-4.907855,10.478544,-8.68,29.82,124.32,53.690025,-228.622177,-46.634304
3178801,-0.327828,-5.640084,10.401972,-21.139999,25.9,110.669998,53.401787,-230.684769,-46.016701
3178821,-0.801624,-5.929626,10.098072,-34.93,21.98,94.849998,53.965321,-230.24292,-45.381405
3178841,-0.60062,-4.230661,8.671899,-44.939999,18.549999,79.239998,53.579922,-230.726059,-46.866325
3178861,0.404401,-5.29072,11.473994,-83.580002,2.59,53.619999,51.457336,-228.225601,-45.427559
3178876,4.077516,-4.434059,11.801823,-149.940002,-36.540001,43.82,50.879673,-228.670425,-46.483841
3178896,4.766673,-9.973641,13.570182,-119.559998,-17.01,44.240002,51.846901,-232.541351,-46.195206
3178916,-2.347443,-8.793938,13.632398,-86.800003,16.24,27.51,53.350838,-230.135925,-45.218136
3178936,-0.787267,-6.082772,8.200496,-27.16,-3.01,10.08,54.9515,-229.589874,-43.309643
3178951,0.325435,-2.512553,5.795623,11.9,7.14,6.65,55.586029,-232.892471,-44.460075
3178971,-1.543426,-3.364429,9.016478,15.4,19.879999,13.3,51.40036,-228.998169,-44.442638
3178991,-3.103602,-4.991606,11.414171,11.34,18.48,17.92,52.393349,-230.503174,-45.276821
3179011,-3.632434,-3.670721,10.344542,4.62,9.87,16.24,52.377899,-231.826553,-45.371124
3179026,-2.885847,-2.167975,8.784366,-0.56,-0.56,10.43,52.717518,-230.032913,-45.616192
3179046,-2.60827,-3.508003,9.600348,-7.21,-8.12,6.02,50.460419,-230.20105,-47.453293
3179066,-2.057901,-3.481681,9.054764,-13.37,-13.23,3.64,50.91264,-228.663498,-45.50153
3179086,-1.46446,-3.366822,9.181588,-19.25,-16.17,3.15,54.133148,-231.326721,-45.013905
3179101,-1.241919,-4.350307,9.416093,-19.530001,-16.030001,2.24,52.045628,-230.978378,-45.639099
3179121,-1.050487,-4.36945,9.234232,-14.7,-12.67,2.59,50.985817,-230.527802,-45.271755
3179141,-1.002628,-4.288091,9.207911,-9.38,-8.47,2.8,52.787304,-230.577789,-45.853436
3179161,-1.098345,-4.173232,9.291662,-5.25,-4.41,3.01,51.755318,-230.401138,-45.815205
3179176,-1.256277,-4.096659,9.205518,-2.52,-1.68,3.43,52.255417,-232.33313,-45.179726
3179196,-1.366351,-4.060765,9.195946,-1.4,-0.63,3.78,50.957989,-230.253876,-44.942642
3179216,-1.541033,-4.017693,9.155267,-0.91,-0.98,3.78,51.577179,-230.359863,-44.96558
3179236,-1.557783,-4.118195,9.138516,0.7,-2.45,3.22,51.964676,-232.035751,-46.526928
3179251,-1.462067,-4.168446,9.145695,2.73,-3.29,1.96,52.750484,-230.025986,-44.633881
3179271,-1.330457,-4.012907,9.155267,3.99,-2.73,1.47,53.489521,-232.266235,-44.194836
3179291,-1.344814,-3.953084,9.234232,3.78,-1.89,1.19,53.616714,-231.758667,-44.245899
3179311,-1.308921,-3.850189,9.236626,2.87,-1.47,1.33,52.01955,-229.104156,-44.465576
3179327,-1.387887,-3.82626,9.205518,0.14,-0.77,1.75,53.703697,-229.379868,-43.54443
3179347,-1.466853,-3.864547,9.24859,-2.38,-0.77,2.17,53.326401,-231.181442,-44.422001
3179367,-1.49796,-3.972227,9.17441,-3.15,-1.26,2.17,53.319939,-232.782715,-45.406746
3179387,-1.428566,-4.197161,9.169623,-2.31,-1.54,1.89,54.41272,-233.226364,-44.791779
3179402,-1.433352,-4.087087,9.13373,0.14,-1.54,1.68,55.217377,-231.212601,-42.337406
3179422,-1.42378,-4.036836,9.198339,2.03,-1.61,1.47,52.625046,-228.933258,-43.738407
3179442,-1.507532,-4.012907,9.164838,2.73,-2.03,1.68,52.069176,-230.973419,-44.937447
3179462,-1.459674,-3.924369,9.193553,2.94,-2.87,1.89,52.503769,-232.639404,-45.095501
3179477,-1.385494,-3.977013,9.179195,2.17,-2.8,1.89,52.660545,-230.805481,-44.631271
3179497,-1.383101,-3.86694,9.212696,1.26,-2.38,1.89,50.057472,-229.848541,-45.986244
3179517,-1.476424,-3.910012,9.176803,-0.42,-2.45,2.24,52.932018,-231.386688,-45.016491
3179537,-1.533854,-4.053586,9.210303,-0.91,-2.73,1.54,51.428188,-229.272095,-44.771755
3179552,-1.426173,-4.070337,9.145695,-0.21,-3.01,1.33,52.99588,-228.732971,-43.845573
3179572,-1.469246,-4.041622,9.176803,0.7,-2.66,1.12,51.792999,-230.393204,-44.692566
3179592,-1.421387,-4.017693,9.215089,1.26,-2.24,0.98,53.641151,-230.713165,-45.042034
3179612,-1.447709,-4.022479,9.136123,1.26,-1.89,1.05,51.758278,-232.000427,-46.519283
