Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
44682055,-1.557783,-1.239526,9.925783,2.66,-2.45,-1.4,102.64003,-103.556763,26.796078
44682070,-1.450102,-1.361565,9.88271,-0.63,-3.85,-2.31,104.211105,-104.337059,28.189276
44682090,-1.402244,-1.505139,9.889889,-2.66,-4.76,-3.15,101.337456,-101.758362,25.721739
44682110,-1.40703,-1.631963,9.904246,-3.15,-4.9,-3.64,103.42662,-105.026436,25.969543
44682130,-1.342421,-1.715715,9.937747,-2.38,-4.76,-3.5,102.875893,-106.785728,26.081924
44682145,-1.299349,-1.710929,9.906639,-1.4,-4.2,-2.66,104.335342,-102.230194,28.842291
44682165,-1.273027,-1.722894,9.904246,-0.35,-3.43,-1.47,102.537697,-102.738953,27.222105
44682185,-1.294563,-1.725287,9.947319,0.7,-2.73,-0.56,102.736313,-105.695976,26.556406
44682205,-1.270634,-1.701358,9.932961,1.75,-1.96,0.42,102.887054,-105.183456,27.206995
44682220,-1.328064,-1.677429,9.961677,2.45,-1.26,1.19,104.397346,-105.69677,27.946997
44682240,-1.402244,-1.584105,9.942533,2.45,-1.12,1.75,103.389801,-104.474617,27.189093
44682260,-1.351993,-1.579319,9.911426,1.82,-1.68,2.17,104.370834,-104.102432,27.949427
44682280,-1.320885,-1.622392,9.925783,1.4,-1.68,2.38,103.807304,-104.544289,27.314133
44682295,-1.395065,-1.624785,9.920997,1.61,-1.75,2.52,103.891212,-105.086189,27.497881
44682315,-1.340029,-1.677429,9.952105,1.89,-1.89,2.73,103.370964,-104.478584,26.627773
44682335,-1.313707,-1.636749,9.942533,2.8,-1.75,2.87,100.740494,-102.967834,26.773016
44682355,-1.404637,-1.600855,9.947319,3.57,-1.19,3.01,101.902626,-104.236221,25.979641
44682370,-1.414209,-1.584105,9.937747,4.27,-0.91,2.87,103.394081,-104.753502,26.158329
44682390,-1.387887,-1.519497,9.961677,4.48,-1.33,2.8,101.289467,-102.808823,25.816221
44682410,-1.435745,-1.416602,10.004748,3.92,-1.96,2.87,103.78286,-105.58979,28.110266
44682430,-1.418995,-1.3496,9.95689,2.8,-3.15,2.8,103.245514,-103.385857,27.523249
44682445,-1.363958,-1.416602,9.930569,1.47,-3.01,2.38,102.901184,-105.180489,27.627985
44682465,-1.517104,-1.428566,9.822887,-0.7,-2.38,2.73,102.28978,-102.152802,28.308973
44682485,-1.488389,-1.569748,9.923389,-1.89,-3.99,2.8,100.822227,-105.389893,24.941257
44682505,-1.42378,-1.505139,9.753493,-3.36,-4.48,3.29,103.006584,-103.077591,27.719679
44682520,-1.509925,-1.861683,10.114822,-2.03,-3.64,3.43,103.269066,-103.380905,28.224897
44682540,-1.804253,-1.62957,10.289505,5.25,-4.97,3.01,104.196548,-104.619911,26.597191
44682560,-2.141653,-1.457281,10.698692,8.75,-8.05,0.98,103.686142,-103.730446,27.178839
44682580,-2.703986,-2.610663,11.763536,17.85,-12.6,-4.13,103.784187,-104.269371,27.783577
44682595,-3.539111,-3.577398,13.012634,53.549999,-13.65,-1.47,104.338295,-103.829498,28.138212
44682615,-4.491488,-2.09858,14.103801,100.519997,-41.93,-1.12,106.105042,-105.967529,29.569796
44682635,-4.139731,-0.325435,14.601525,112.279999,-74.410004,-5.53,105.471291,-106.144379,28.000645
44682655,-3.754473,0.940413,14.61349,80.360001,-106.330002,-11.97,104.556328,-101.501884,26.586756
44682670,-2.703986,0.593441,14.376592,28.07,-138.389999,-20.440001,108.253929,-101.302193,29.401104
44682690,-1.624785,-0.325435,13.687434,-14.91,-161.139999,-27.719999,108.924171,-97.437027,29.801405
44682710,-0.899733,-1.871254,13.385928,-26.74,-176.259995,-31.360001,110.851097,-98.579758,28.324257
44682730,-0.698729,-2.737487,13.060493,-6.16,-184.729996,-31.639999,110.754807,-96.440529,28.563927
44682745,-0.552762,-2.43598,12.158366,26.530001,-194.740005,-28.700001,116.033798,-95.978615,31.55435
