Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
44834556,-0.007179,-7.741058,6.295741,2.45,-3.36,-0.14,111.352745,-140.474121,32.670052
44834571,-0.043072,-7.678842,6.334028,1.96,-3.15,0.63,111.873901,-140.041183,32.042374
44834591,0.043072,-7.870275,6.312491,-0.14,-2.8,1.05,112.72435,-138.857147,32.386757
44834611,0.028715,-7.939669,6.31967,-0.49,-2.38,1.05,110.962326,-136.718109,31.095505
44834631,-0.014357,-7.89899,6.353171,2.1,-2.38,0.7,113.710533,-138.204086,34.458519
44834646,0.07418,-7.714736,6.343599,3.71,-2.66,0.63,111.658073,-140.007843,31.769361
44834666,0.093323,-7.695592,6.389065,1.82,-2.45,1.05,111.889771,-138.437927,33.307774
44834686,0.023929,-7.772165,6.343599,-0.28,-2.24,1.82,111.091591,-138.850403,31.838148
44834706,-0.011965,-7.942062,6.295741,0.35,-2.1,1.4,110.992226,-139.631882,31.560095
44834721,-0.021536,-7.918133,6.307706,1.19,-2.17,0.84,112.343208,-140.099945,33.711044
44834741,-0.004786,-7.891811,6.353171,2.87,-2.31,0.56,115.082458,-140.82724,34.124516
44834761,0.01675,-7.6932,6.345992,3.57,-2.24,0.21,110.799522,-139.873459,30.817633
44834781,0.040679,-7.707557,6.322063,2.59,-1.82,0.56,112.679756,-141.22702,32.948257
44834796,-0.028715,-7.714736,6.415387,1.26,-1.61,0.98,112.601868,-139.363708,32.578152
44834816,0.01675,-7.855917,6.381886,0.42,-1.54,1.05,112.741867,-140.173584,33.274765
44834836,-0.069394,-7.85831,6.384279,1.05,-1.75,1.26,109.857475,-138.917297,30.853254
44834856,-0.002393,-7.863096,6.362742,0.98,-1.82,1.33,109.943146,-137.858902,31.881409
44834872,-0.026322,-7.743451,6.345992,1.26,-2.1,1.47,112.180977,-137.974625,31.986095
44834892,-0.023929,-7.860703,6.379493,0.56,-1.82,1.26,112.285484,-136.912262,33.575573
44834912,-0.117252,-7.922919,6.350778,2.24,-2.17,0.7,112.363365,-138.775574,33.945679
44834932,-0.064609,-7.891811,6.401029,3.92,-2.38,0.07,111.114708,-139.12532,31.3687
44834947,-0.004786,-7.690806,6.365136,4.48,-2.59,0.28,109.787697,-138.372421,31.090498
44834967,0.045465,-7.65252,6.410601,2.59,-2.52,0.84,111.920135,-140.591019,31.103481
44834987,-0.076573,-7.922919,6.398636,1.19,-2.31,0.91,110.902382,-135.891388,32.784504
44835007,-0.124431,-7.98992,6.444101,2.8,-3.08,0.07,112.015221,-139.530655,32.4123
44835022,-0.05743,-7.930098,6.49196,4.69,-4.41,-0.49,110.571762,-137.962921,32.139133
44835042,-0.081359,-8.061707,6.49196,6.37,-6.09,-1.4,111.470085,-140.248413,31.167231
44835062,-0.050251,-8.159817,6.757573,11.55,-8.33,-3.64,110.839844,-137.224701,31.2869
44835082,-0.251255,-8.602505,7.233761,16.66,-12.53,-9.17,110.266777,-142.188522,29.149143
44835097,-0.715479,-9.416093,7.362978,13.23,-16.66,-19.18,112.508537,-138.823792,32.113743
44835117,-0.866233,-10.509652,8.468502,7.28,-24.85,-29.540001,110.719109,-136.130966,32.322701
44835137,-1.038522,-12.703949,11.155738,16.379999,-37.939999,-50.610001,112.283302,-138.792419,31.56007
44835157,-1.825789,-14.642204,11.335206,72.239998,-57.68,-86.870003,113.892952,-138.524246,32.578121
44835172,-2.3283,-13.46968,10.794409,142.660004,-82.809998,-110.529999,114.742973,-137.620071,31.751408
44835192,-1.265848,-9.641026,9.743921,167.649994,-105.489998,-133.979996,117.748665,-134.689407,31.690035
44835212,-0.325435,-7.556804,9.619491,123.690002,-121.309998,-154.350006,119.508621,-134.188583,32.187584
44835232,0.464224,-9.030835,9.518989,74.480003,-129.360001,-165.199997,123.044891,-130.823013,31.779198
44835247,0.701122,-11.399815,9.406522,66.150002,-141.75,-180.180008,123.877388,-128.602402,30.064474
44835267,0.380472,-11.397421,8.937511,119.209999,-159.110001,-197.119995,128.924789,-125.190376,32.738285
44835287,1.61282,-5.575476,6.604426,156.660004,-170.449997,-202.160004,132.256729,-124.429306,33.131245
44835307,3.402715,-2.084223,5.305077,102.199997,-170.100006,-193.059998,134.832962,-119.551788,34.539352
44835322,3.75208,-3.388358,5.778873,21.139999,-163.309998,-186.899994,136.990372,-115.925026,36.149105
44835342,3.292642,-4.276127,6.183275,-5.39,-163.309998,-192.639999,140.774536,-113.626396,38.493824
44835362,4.189982,-3.108388,5.051429,-1.12,-162.75,-199.5,139.938202,-114.807472,38.570438
44835382,4.479524,-2.254119,4.642241,-2.24,-159.460007,-200.130005,142.611176,-111.789299,40.909966
44835397,4.154088,-1.737251,4.663778,-3.22,-154.559998,-197.190002,145.880646,-108.322327,44.867104
44835417,4.565669,-0.827946,4.379022,3.5,-147.770004,-194.110001,145.244354,-106.620018,45.173126
44835437,4.785816,-0.363722,4.017693,17.710001,-140.490005,-191.449997,146.473755,-106.554115,46.017693
44835457,5.001178,-0.193826,3.206497,47.529999,-134.399994,-189.770004,147.683533,-103.012718,49.020515
44835472,5.711872,1.919112,2.730308,78.190002,-128.869995,-182.559998,147.054138,-99.429245,51.482372
44835492,6.513496,4.247412,1.971756,85.82,-120.75,-169.330002,147.144501,-98.369865,52.650871
44835512,7.004042,6.221561,1.256277,78.75,-113.959999,-153.930008,146.590927,-94.009865,54.689133
44835532,7.272048,6.97772,0.918877,60.27,-106.050003,-133.979996,146.468872,-94.236565,56.051617
44835547,7.370157,7.370157,0.260827,43.959999,-97.090004,-113.75,144.838821,-87.549782,59.911411
44835567,7.903775,8.91119,-1.694179,21.84,-84.559998,-89.389999,147.913742,-90.444672,61.059875
44835587,8.597719,12.313905,-3.996156,-56.91,-59.779999,-64.260002,142.127838,-86.816551,60.339916
44835607,9.004513,15.266753,-8.368,-231.139999,-22.33,-40.18,143.186874,-83.787682,62.692158
44835623,6.542211,9.932961,-11.464422,-533.960022,-10.15,-8.68,142.774857,-87.196472,59.987869
44835643,10.090894,1.813824,-11.555353,-806.190002,-33.32,6.93,141.240173,-87.247864,56.204018
44835663,13.038957,-4.321592,-9.66017,-1029.420044,-26.110001,14.84,152.372772,-159.038834,40.179047
44835683,10.698692,-12.433551,-2.069865,-1152.199951,44.240002,8.82,141.696396,-98.587601,45.779655
44835698,5.17586,-16.685749,8.523539,-1079.469971,59.220001,-27.16,141.456818,-107.599213,42.361389
44835718,3.979406,-15.333755,15.855409,-757.679993,24.08,-37.099998,141.182465,-119.179649,44.796352
44835738,7.808059,-8.750865,15.742943,-265.790009,-37.73,-20.16,140.322327,-129.88649,45.567688
44835758,9.0428,-0.126824,10.165073,162.539993,-82.25,-8.4,138.104523,-133.447189,48.315815
44835773,9.294055,-5.896125,5.099287,450.309998,-95.129997,2.94,141.564392,-136.138824,49.778103
44835793,9.291662,-9.626669,1.172525,668.570007,-70.419998,25.059999,139.584045,-131.606476,46.249035
44835813,7.609448,-10.205753,-0.303899,853.369995,-62.02,36.959999,140.459076,-124.376137,43.179111
44835833,9.473523,-5.740586,-2.761416,916.440002,-60.34,7.98,143.515259,-122.75499,44.988052
44835848,11.359135,-1.777931,-2.998314,831.109985,-36.470001,-32.27,145.477905,-116.72995,45.061646
44835868,11.148559,-3.436216,-2.763809,691.25,-16.309999,-52.5,143.520859,-103.913322,47.346714
44835888,10.457008,-4.060765,-4.247412,625.030029,-1.05,-59.220001,143.524353,-100.712738,49.035526
44835908,9.82528,1.0122,-6.444101,579.950012,23.870001,-58.869999,142.493454,-90.93634,53.859554
44835923,8.47568,8.35125,-5.283541,438.76001,47.18,-38.290001,143.386276,-90.224167,59.306877
44835943,8.131102,11.823359,-3.29982,222.600006,41.439999,-9.45,145.835709,-86.055138,65.777115
44835963,8.128709,10.856624,-1.586498,16.309999,28.49,13.93,141.698349,-85.350494,65.649376
44835983,8.205282,7.803273,0.392437,-106.120003,20.16,27.93,142.19342,-83.04335,66.195229
44835998,8.79633,5.798016,0.770516,-163.029999,29.469999,34.580002,143.900589,-88.113968,65.425117
44836018,9.17441,6.877218,-1.512318,-232.75,41.720001,40.740002,142.333878,-83.09256,64.222954
44836038,8.904011,7.733879,-7.138045,-409.149994,56.490002,51.73,145.415619,-88.145493,62.465481
44836058,8.061707,1.457281,-10.418722,-704.76001,36.400002,58.66,147.822052,-92.824471,60.218079
44836073,10.552725,-5.922448,-12.249296,-994.419983,9.31,57.330002,145.459152,-94.894569,53.278214
44836093,11.51228,-15.051392,-8.865725,-1185.099976,36.189999,47.950001,142.473541,-100.540047,48.512436
44836113,7.647734,-21.579245,0.6748,-1157.589966,64.540001,2.38,145.685623,-115.444855,44.72731
44836133,6.082772,-20.813515,8.564219,-888.160034,44.73,-32.060001,143.273819,-120.086754,43.219685
44836148,6.034914,-14.254554,12.155973,-501.200012,10.71,-23.450001,143.296677,-130.363281,47.986588
44836168,6.623569,-8.746079,11.926254,-138.880005,-27.299999,4.06,141.288651,-135.278732,51.194084
44836188,7.762594,-5.668799,9.160052,137.830002,-61.670002,16.030001,142.740646,-137.88504,53.245697
44836208,8.959048,-6.688178,6.02295,346.850006,-83.650002,24.639999,142.669098,-138.940445,52.638527
44836223,9.217482,-6.259848,2.433588,516.950012,-91.139999,30.870001,141.289078,-134.998871,52.365181
44836243,9.023657,-5.501296,-0.677193,628.530029,-88.830002,35.139999,142.857224,-133.699066,50.622486
44836263,9.463951,-3.90044,-2.663307,672.48999,-74.410004,29.889999,145.910477,-129.997833,49.295536
44836283,9.739136,-1.454888,-3.326142,653.030029,-46.830002,28.210001,145.315857,-123.845535,45.90416
44836298,10.035856,1.351993,-2.883454,571.900024,-13.79,39.060001,146.792084,-116.646202,48.432144
44836318,9.58599,2.388122,-1.732466,452.339996,9.94,54.18,145.133255,-114.284447,45.217091
44836338,9.58599,3.053351,-1.237134,329.700012,27.719999,69.510002,147.948746,-113.955322,46.378056
44836358,8.992549,3.441002,-0.782481,213.080002,46.619999,87.010002,145.988525,-108.579399,46.923595
44836374,8.444572,4.266555,0.13161,103.040001,61.040001,105.980003,147.14212,-109.290031,48.191757
44836394,7.853524,4.407737,0.916484,-0.7,75.389999,122.989998,145.53685,-105.317085,47.364738
44836414,6.982506,3.555861,1.574534,-84.279999,88.269997,141.680008,143.361496,-107.90728,43.695877
44836434,5.927233,1.691786,2.969599,-127.610001,93.660004,160.160004,144.800247,-109.476006,43.828712
44836449,5.068179,-0.859054,3.926762,-121.660004,93.590004,175.699997,144.162521,-113.614105,43.239628
