Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
44570435,-1.289778,-0.435509,10.038249,0.56,-2.03,1.05,105.511711,-98.975616,29.69171
44570455,-1.311314,-0.504904,10.031071,0.14,-2.38,0.91,104.275864,-100.642799,27.862411
44570475,-1.263456,-0.497725,10.095679,0.7,-2.45,0.98,102.500557,-97.947006,28.492361
44570490,-1.280206,-0.437902,10.07175,0.91,-2.31,0.84,104.135078,-96.353462,29.885382
44570510,-1.313707,-0.442688,10.054999,0.77,-2.24,0.84,103.481598,-97.574821,29.252695
44570530,-1.265848,-0.409187,10.045428,0.21,-2.1,0.91,104.220207,-100.094948,28.520643
44570550,-1.296956,-0.480975,10.054999,-0.77,-2.17,1.05,103.953438,-99.512756,29.04619
44570565,-1.301742,-0.502511,10.040643,-0.49,-2.17,1.05,104.5401,-99.345818,29.21204
44570585,-1.306528,-0.512082,10.043036,0.56,-2.31,0.91,104.615021,-99.609833,30.286222
44570605,-1.268241,-0.430723,10.031071,0.91,-1.96,0.98,104.278931,-97.722099,28.380133
44570625,-1.320885,-0.495332,10.095679,0.7,-1.96,0.98,106.273865,-101.490784,29.661308
44570640,-1.313707,-0.471403,10.088501,0.56,-2.59,0.77,106.143723,-100.399048,30.416454
44570660,-1.256277,-0.552762,10.07175,0.84,-2.66,0.7,104.217247,-98.495651,29.22472
44570680,-1.261063,-0.595834,10.054999,1.61,-2.45,0.91,103.675079,-100.812714,27.27557
44570700,-1.280206,-0.46901,10.081322,2.59,-2.24,1.12,103.807411,-100.024284,28.535934
44570715,-1.306528,-0.399616,10.100465,2.59,-2.03,1.05,105.140877,-99.175903,29.798876
44570735,-1.256277,-0.409187,10.01432,1.75,-2.03,1.05,103.65799,-99.216393,27.558661
44570755,-1.325671,-0.502511,10.078929,1.12,-1.82,1.05,103.920471,-99.519699,28.063879
44570775,-1.342421,-0.528833,10.035856,1.4,-2.24,0.91,105.347275,-99.211235,29.791233
44570791,-1.270634,-0.454653,10.086107,1.96,-2.52,0.84,103.067055,-99.104446,28.423578
44570811,-1.301742,-0.476189,10.083714,2.17,-2.03,1.05,103.287155,-99.416679,27.665827
44570831,-1.3496,-0.476189,10.062179,2.38,-2.24,1.12,104.533638,-100.947098,28.227299
44570851,-1.387887,-0.449867,10.205753,3.78,-2.52,1.19,103.175407,-98.600853,27.811193
44570866,-1.605641,-0.272792,10.382828,4.69,-2.73,1.33,104.379936,-99.860321,28.28079
44570886,-1.923898,-0.169896,10.68912,4.06,-5.25,1.4,105.028709,-98.639954,28.773148
44570906,-2.249334,-0.741802,11.418958,9.03,-11.2,-0.63,104.122589,-99.276146,29.087
44570926,-2.866704,-0.887769,13.424214,23.799999,-17.99,-1.54,101.872841,-96.802452,26.736855
