Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
5081038,-1.368743,9.822887,8.808294,29.540001,127.889999,13.65,58.048431,-227.636917,-56.442039
5081058,-1.663071,11.378278,10.31822,14.0,119.840004,39.689999,58.228638,-230.318024,-56.497963
5081078,-2.09858,11.493137,10.59819,-29.4,110.040001,65.590004,57.988495,-226.810181,-54.753044
5081093,-2.278049,10.949947,10.617333,-71.68,95.059998,94.150002,58.202557,-228.443817,-55.324436
5081113,-2.718343,9.389771,10.267968,-106.540001,76.440002,126.279999,57.439518,-226.969177,-53.796249
5081133,-2.488624,7.664485,10.550332,-137.550003,58.380001,156.940002,54.919044,-227.874557,-54.640785
5081153,-2.861918,4.917426,10.368471,-164.710007,38.990002,182.770004,55.94796,-230.971909,-55.196735
5081168,-3.515182,2.0244,9.944926,-182.210007,16.799999,199.009995,55.611847,-229.564972,-53.262848
5081188,-3.936334,0.239291,9.461558,-203.559998,-5.11,206.850006,54.90435,-233.158188,-53.614697
5081208,-3.469717,-2.189511,7.748236,-224.350006,-28.0,199.220001,54.229931,-232.224472,-51.762436
5081228,-2.907383,-5.419937,7.075829,-219.869995,-39.830002,181.229996,52.917835,-234.948074,-54.33923
5081244,-3.189746,-6.913112,6.944219,-194.039993,-35.279999,167.300003,52.561665,-230.345505,-51.418179
5081264,-3.16821,-5.214147,5.802802,-177.940002,-25.969999,151.619995,53.583233,-236.084686,-51.461082
5081284,-1.995685,-3.90044,4.070337,-201.320007,-15.05,124.32,51.399849,-233.317261,-50.67551
5081304,-0.949984,-4.508239,3.249569,-246.399994,3.15,99.260002,53.260815,-234.954666,-50.277306
5081319,-1.823396,-6.439316,4.034443,-259.839996,32.830002,85.120003,52.319096,-238.238617,-50.292389
5081339,-2.907383,-7.738665,4.812138,-222.600006,61.18,80.150002,52.606876,-236.936676,-48.241112
5081359,-2.294799,-7.611841,5.324221,-174.580002,84.279999,74.340004,52.905399,-234.312363,-46.235859
5081379,-1.74443,-6.326849,5.539582,-140.559998,112.629997,74.269997,53.99807,-239.276001,-46.842697
5081394,-3.141888,-5.556333,5.934412,-123.199997,143.779999,82.389999,54.404488,-236.908722,-42.780952
5081414,-4.553704,-5.360114,6.441709,-105.209999,165.059998,90.090004,50.863979,-239.514618,-45.18177
5081434,-4.302449,-5.518046,6.542211,-90.860001,174.580002,92.260002,50.148922,-236.989548,-43.74807
5081454,-4.249805,-6.408208,6.592462,-90.720001,186.339996,95.059998,50.650772,-237.321243,-42.268185
5081469,-6.089951,-6.848503,6.424958,-85.400002,203.490005,106.050003,49.813126,-239.822723,-41.864887
5081489,-7.724308,-6.135417,7.394086,-72.940002,212.169998,116.270004,48.858276,-237.549133,-42.576946
5081509,-8.289034,-6.15456,7.808059,-61.25,210.770004,124.669998,47.244347,-237.538437,-42.564236
5081529,-9.43763,-6.49196,7.867882,-65.730003,209.020004,130.690002,46.225166,-238.679214,-41.778332
5081544,-11.026521,-5.240469,8.552254,-67.830002,202.509995,139.509995,47.630169,-236.775421,-39.908218
5081564,-11.835323,-4.560883,9.136123,-53.34,181.720001,148.610001,45.497627,-239.076813,-41.143009
5081584,-11.598426,-6.355564,8.389536,-43.610001,157.360001,153.440002,45.415459,-236.934616,-40.482349
5081604,-11.995648,-6.759965,6.755179,-33.810001,146.789993,160.860001,48.658737,-236.113449,-36.573486
5081619,-12.952811,-4.661385,6.43453,-28.700001,142.309998,167.930008,45.761078,-234.300385,-37.073799
