Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
3852618,6.362742,-1.29217,7.93249,-69.510002,-28.559999,30.870001,64.447411,-234.134811,-44.038734
3852633,6.025342,-1.124667,6.238311,-76.510002,-27.440001,45.920002,63.597378,-235.038986,-43.212021
3852653,6.338813,-1.641535,6.367528,-75.040001,-19.74,55.580002,60.929665,-233.256302,-43.018326
3852673,6.484781,-2.560412,5.869803,-70.349998,-6.51,61.110001,63.11348,-235.743881,-42.632801
3852693,5.74298,-3.180175,5.463009,-64.470001,7.35,68.459999,62.031872,-233.697952,-42.122696
3852708,5.171074,-2.782952,5.530011,-53.48,19.879999,78.68,62.905876,-232.508942,-41.076668
3852728,5.132788,-2.385729,6.946612,-36.68,28.280001,87.639999,61.51368,-235.730194,-42.1991
3852748,5.151931,-2.742273,7.22419,-15.47,31.360001,96.459999,62.05706,-236.612717,-41.798439
3852768,4.7236,-2.809274,5.675978,-11.34,34.650002,111.300003,62.077217,-235.28833,-41.563805
3852784,3.854975,-2.644163,4.874354,-31.57,41.439999,124.739998,60.683384,-235.589859,-42.308849
3852804,3.804724,-3.508003,4.934176,-47.950001,53.48,127.68,60.247471,-235.244278,-41.824112
3852824,4.245019,-5.826731,8.013849,-31.219999,65.379997,124.599998,59.820549,-235.17659,-42.229809
3852844,4.063158,-7.743451,10.251218,20.65,71.75,120.68,60.73476,-235.858826,-41.936314
3852859,3.35725,-8.813081,10.727407,53.830002,68.879997,120.75,58.431854,-235.197266,-41.663425
3852879,2.392908,-8.554646,10.921232,63.560001,67.059998,113.889999,59.910496,-234.397079,-42.232422
3852899,3.259141,-6.80543,10.279933,64.190002,64.540001,92.959999,58.007568,-232.488724,-42.722496
3852919,4.022479,-4.508239,9.672134,59.220001,70.559998,73.57,57.117226,-236.041672,-42.365051
3852934,2.680057,-5.120823,10.870981,38.639999,71.610001,59.709999,56.914787,-232.045074,-43.337467
3852954,1.3496,-6.259848,11.167702,9.66,62.09,52.080002,56.883999,-230.171875,-42.304272
3852974,1.150989,-6.037307,10.579046,-5.81,50.330002,48.299999,54.727901,-232.478226,-44.240711
3852994,1.409423,-4.548918,9.279697,-13.72,41.93,48.09,56.156345,-235.089478,-42.890747
3853009,1.316099,-3.766437,8.681471,-35.84,35.349998,49.07,55.019966,-231.45517,-43.220196
3853029,0.964342,-4.321592,10.382828,-63.279999,26.040001,48.16,53.901886,-232.61676,-45.381222
3853049,0.521654,-6.305313,10.825516,-71.540001,17.780001,51.939999,55.708942,-232.106033,-43.480377
3853069,0.047858,-8.255533,11.007378,-48.09,13.37,53.34,56.222744,-234.314941,-43.595009
3853084,-0.105288,-8.401501,10.674763,-11.62,10.57,46.34,53.68047,-233.624969,-44.296787
3853104,0.143574,-7.212225,10.023892,24.01,11.76,36.259998,53.907455,-232.05603,-42.898705
3853124,0.437902,-5.185432,9.250982,42.07,13.65,26.950001,53.874489,-232.062973,-43.881012
3853144,0.385258,-3.943512,8.549861,28.139999,16.17,21.280001,53.1945,-231.689987,-44.511269
3853159,0.24647,-3.97462,7.853524,-5.95,18.9,19.67,51.809654,-232.269409,-46.146748
3853179,0.480975,-4.563276,7.542446,-32.970001,21.91,19.950001,53.169632,-233.015366,-44.886234
3853199,0.102895,-3.754473,7.683628,-78.470001,31.639999,22.120001,53.668091,-232.027634,-43.873367
3853219,-0.177075,-7.049507,8.664721,-90.720001,35.77,28.84,54.598961,-234.58609,-45.034058
3853234,-2.275656,-10.40915,10.473759,-55.16,53.41,43.540001,53.571686,-234.408432,-44.855499
3853254,-2.842775,-11.897539,9.67692,-34.439999,32.200001,23.73,52.958527,-232.981018,-45.018917
3853274,-1.454888,-7.188296,6.164131,-2.03,21.35,-3.15,51.842625,-232.262466,-45.164436
3853294,-1.46446,-5.568297,7.047114,21.629999,17.780001,-2.8,52.842072,-232.166183,-45.013878
3853309,-2.029186,-5.451045,8.279462,24.92,14.56,3.22,52.06358,-232.014938,-43.579998
3853329,-2.074651,-5.580262,8.382357,23.24,7.7,6.16,52.841183,-233.206726,-43.516098
3853349,-1.67025,-6.322063,8.186138,23.799999,0.14,4.27,53.31609,-232.223953,-43.20488
3853369,-1.445316,-6.515889,8.066493,27.16,-2.87,1.47,52.113209,-233.884216,-44.051872
3853384,-1.469246,-6.247883,8.152637,31.5,-4.2,-1.68,52.886211,-230.556976,-42.906502
3853404,-1.337636,-5.680764,8.245961,32.689999,-5.25,-3.78,52.53717,-232.352585,-42.942093
3853424,-1.189275,-5.087323,8.336892,30.030001,-5.32,-3.15,52.232296,-232.058212,-44.710281
3853444,-1.14381,-4.991606,8.427822,24.5,-4.27,-1.26,50.780628,-233.692062,-46.812599
3853459,-1.067237,-5.111252,8.468502,17.92,-2.38,0.7,52.376583,-233.146973,-45.044437
3853479,-1.189275,-5.23329,8.561825,12.32,-0.21,2.1,51.43158,-230.591507,-44.304737
3853499,-1.294563,-5.568297,8.391929,7.07,0.98,1.68,53.064346,-230.598251,-43.756126
3853519,-1.296956,-5.228504,8.391929,4.62,0.7,1.12,51.09581,-232.943909,-46.261536
3853535,-1.318492,-5.312256,8.38475,2.24,0.35,1.75,49.927753,-228.476929,-44.060001
3853555,-1.284992,-5.412758,8.418251,0.7,0.0,2.52,52.38818,-231.264816,-42.748272
3853575,-1.380708,-5.728622,8.372786,0.84,-0.56,2.8,53.547356,-230.933914,-42.837563
3853595,-1.318492,-5.654442,8.320142,2.73,-0.91,2.8,52.602249,-232.898453,-43.319664
3853610,-1.337636,-5.537189,8.470895,3.43,-1.33,2.31,52.401878,-231.541718,-43.498375
3853630,-1.493175,-5.592226,8.408679,3.99,-1.68,0.91,52.387749,-231.544693,-43.919365
3853650,-1.301742,-5.42233,8.365606,5.11,-2.17,-0.42,54.49828,-236.687988,-44.98542
3853670,-1.246705,-5.391222,8.45893,5.88,-1.4,0.07,52.651554,-230.527588,-43.740837
3853685,-1.294563,-5.396008,8.408679,6.3,-0.35,0.84,50.594822,-232.05246,-45.399223
3853705,-1.306528,-5.561119,8.451752,6.93,0.35,1.47,52.991062,-233.253952,-45.207703
3853725,-1.308921,-5.580262,8.463716,8.26,0.91,1.54,52.465317,-229.167877,-43.498558
3853745,-1.342421,-5.293113,8.437394,9.45,0.7,1.33,51.453056,-227.946716,-44.39679
3853760,-1.383101,-5.350543,8.571397,8.96,0.28,1.61,52.095257,-232.847626,-46.110973
3853780,-1.478817,-5.319435,8.470895,10.01,-0.07,2.03,50.701859,-232.869278,-45.684925
3853800,-1.428566,-5.345757,8.49961,9.87,-1.26,1.82,51.307346,-232.69838,-44.957752
3853820,-1.462067,-5.204575,8.595325,8.96,-2.24,1.61,52.780384,-232.939743,-44.169289
3853835,-1.359172,-5.056215,8.547467,7.98,-2.17,1.96,50.60556,-230.730072,-45.445248
3853855,-1.445316,-5.154324,8.621648,5.67,-2.45,2.03,53.721996,-234.175797,-45.376007
3853875,-1.514711,-5.202182,8.547467,3.99,-2.8,1.26,49.740543,-232.19696,-47.381718
3853895,-1.337636,-5.087323,8.612076,2.52,-3.29,0.77,55.418198,-231.80867,-44.827576
3853910,-1.347207,-5.135181,8.537896,1.26,-3.08,1.19,53.202171,-233.2883,-45.07502
