Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
604396,6.551782,0.447474,3.630042,64.120003,55.02,-95.129997,-146.95929,295.81839,-46.24905
604416,6.838932,0.923663,2.108152,43.540001,62.369999,-88.970001,-146.656921,297.883972,-46.445663
604436,6.645106,1.088773,1.485996,11.83,81.620003,-80.220001,-146.481842,294.922028,-47.813007
604456,5.563511,0.667621,4.524989,9.52,100.379997,-70.349998,-144.561722,295.937317,-46.384216
604471,4.977249,0.598227,5.81716,31.99,102.269997,-60.48,-144.950073,297.053467,-47.165062
604491,5.577869,1.55539,4.910247,39.900002,97.790001,-49.630001,-144.655487,296.197357,-48.019722
604511,6.417779,3.369215,2.72313,9.1,106.959999,-37.869999,-143.870224,293.407288,-48.519573
604531,5.807588,3.816688,5.905697,-32.970001,124.110001,-26.040001,-146.518631,295.95459,-50.433437
604546,5.319435,2.452731,7.449123,-40.950001,124.110001,-11.9,-145.217697,297.075928,-48.981705
604566,5.195004,1.072023,6.889183,-33.459999,115.290001,5.32,-146.504074,296.237457,-48.841347
604586,5.465402,2.957634,4.74753,-41.02,116.340004,27.51,-147.92955,297.24942,-50.89539
604606,5.534796,5.080144,4.16366,-88.129997,129.919998,48.509998,-149.329849,295.346619,-52.625168
604621,4.441237,2.864311,9.102622,-103.110001,134.330002,61.110001,-148.710114,300.040466,-50.255207
604641,3.464931,-0.495332,10.378042,-85.82,123.550003,70.980003,-149.504593,294.068451,-51.308525
604661,3.517575,-1.811431,8.793938,-60.41,111.160004,87.290001,-150.398651,296.075073,-51.36739
604681,4.139731,-0.873411,7.288798,-50.470001,114.449997,104.790001,-150.708679,295.607819,-50.607029
604696,3.754473,-0.471403,8.289034,-51.029999,128.869995,109.830002,-151.911896,298.187714,-51.403316
604716,2.749451,-1.660678,12.067435,-13.93,131.880005,105.769997,-153.695404,297.681915,-52.602512
604736,1.959792,-3.314178,12.148794,22.33,122.43,102.690002,-152.21077,299.322693,-49.517887
604756,2.153617,-2.943277,11.25624,44.52,111.020004,106.050003,-153.86412,297.725159,-51.472225
604771,2.124902,-1.844932,10.406757,40.529999,113.610001,108.010002,-153.818787,296.134796,-50.913334
604791,1.241919,-2.029186,11.284955,32.130001,118.510002,96.040001,-158.23996,299.498749,-54.072418
604811,0.423545,-1.899969,12.799665,24.290001,119.209999,79.730003,-157.047394,300.116455,-52.008305
604831,0.035894,-1.710929,13.419429,9.87,106.260002,67.900002,-155.356903,296.922028,-51.324223
604846,-0.13161,-2.309156,13.194495,-23.1,89.32,58.73,-157.326538,302.295959,-51.059341
604866,-0.327828,-3.407501,12.057864,-46.130001,77.699997,53.48,-158.552963,300.630768,-52.607983
604886,-0.13161,-3.56304,12.163152,-38.080002,71.120003,49.420002,-157.950867,302.121094,-52.347828
604906,0.026322,-2.263691,12.012399,-20.440001,63.490002,44.450001,-157.958206,299.479279,-51.834785
604921,0.172289,-1.691786,12.167937,-21.139999,51.380001,42.91,-159.010773,298.051666,-53.202286
604941,-0.308685,-2.6657,11.983684,-31.57,38.009998,40.040001,-159.60379,300.803436,-53.131073
604961,-0.256041,-3.158639,11.55296,-27.93,26.530001,39.900002,-157.468735,300.744904,-49.93148
604981,0.701122,-3.132317,11.509888,-16.379999,21.91,33.880001,-159.027008,300.207733,-50.577007
604997,1.993292,-2.660914,11.607997,-1.68,24.710001,20.719999,-162.301086,301.259796,-53.452671
605017,1.430959,-2.00765,11.237097,6.65,36.119999,11.83,-158.123856,302.443237,-50.186775
605037,-0.430723,-1.21799,11.761144,-11.62,35.139999,6.3,-157.811737,300.27066,-50.153431
605057,-1.005021,-2.031579,11.773108,-41.16,20.719999,0.56,-158.007416,301.628387,-50.191814
605072,-0.906912,-2.883454,10.287112,-52.990002,8.96,3.5,-157.239227,300.434662,-50.408577
605092,-0.708301,-3.144281,9.272519,-48.369999,5.11,12.95,-159.709961,302.179993,-50.503185
605112,-1.005021,-3.0366,8.877689,-41.439999,3.64,13.440001,-158.932785,300.708374,-51.610382
605132,-0.705908,-1.708536,9.047585,-53.41,0.63,17.710001,-158.856537,301.764771,-50.862881
605147,-0.973914,-4.082301,9.614705,-63.98,6.37,19.530001,-160.160431,302.242767,-51.610535
605167,-1.574534,-5.561119,9.904246,-53.619999,5.67,14.42,-158.824005,301.491821,-51.05167
605187,-1.414209,-5.015535,10.356506,-30.59,6.3,9.38,-158.83342,301.489838,-51.332329
605207,-1.316099,-4.168446,10.516831,-16.73,7.07,4.27,-158.436081,300.095795,-51.441925
605222,-1.404637,-3.615684,9.80853,-16.379999,6.72,0.21,-159.280075,300.513031,-50.801563
605242,-1.354386,-3.409894,9.317985,-19.809999,4.13,-1.68,-159.379868,299.45166,-52.250713
605262,-1.249098,-3.352464,9.028442,-25.41,3.22,-0.77,-158.918655,300.711365,-51.189392
605282,-1.170132,-3.3405,9.016478,-33.950001,3.64,2.45,-161.755966,301.97757,-52.207603
605297,-1.344814,-3.658756,9.250982,-41.720001,3.71,5.6,-158.755539,299.626556,-50.962223
605317,-1.49796,-4.249805,9.236626,-45.009998,2.45,7.91,-159.062943,301.80011,-50.855236
605337,-1.548212,-4.773852,9.179195,-46.200001,1.54,7.84,-159.039383,301.805054,-50.153587
605357,-1.517104,-4.984427,8.968619,-44.73,1.26,6.37,-160.382278,300.954681,-51.697189
605372,-1.426173,-5.070572,8.980584,-38.779999,0.42,5.25,-158.572266,299.866119,-50.500423
605392,-1.524282,-5.486938,9.011692,-28.700001,-0.14,3.5,-159.560959,301.092224,-50.697006
605412,-1.387887,-5.752551,8.868117,-15.54,-1.33,2.17,-158.576981,299.865143,-50.640755
605432,-1.301742,-5.551547,8.781973,-2.59,-1.4,0.56,-158.250626,302.215546,-48.964615
605447,-1.249098,-5.321827,8.827438,7.98,-1.33,-0.42,-159.115204,301.028534,-49.729984
605467,-1.301742,-5.049036,8.896832,14.63,-0.98,-1.05,-157.92778,301.365356,-48.977299
605487,-1.215597,-4.515418,8.825045,16.799999,-0.91,-1.05,-160.507721,302.047394,-50.801716
605507,-1.208419,-4.245019,8.925548,13.02,-0.7,-0.42,-157.541489,302.889069,-48.990162
