Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
44863990,2.292406,-5.223718,4.144517,-100.379997,43.540001,237.649994,140.574677,-125.750717,40.831882
44864005,1.655892,-10.105251,3.998549,-107.520004,36.959999,231.910004,138.833557,-126.247574,40.895653
44864025,1.61282,-12.368942,4.046408,-69.160004,33.040001,225.259995,139.553619,-133.492599,43.391548
44864045,2.146439,-12.388085,4.3527,-34.09,31.15,216.720001,135.542587,-132.840149,40.870544
44864065,2.869097,-11.445279,4.273734,-15.96,32.970001,204.399994,134.825211,-137.196014,42.906921
44864081,2.957634,-11.237097,3.967442,-4.69,39.48,189.910004,131.104797,-141.360931,40.511314
44864101,1.643928,-11.545781,4.008121,1.54,46.130001,177.660004,127.364365,-142.330215,39.102879
44864121,0.914091,-12.835559,5.235683,2.52,45.150002,168.279999,128.287994,-143.010468,39.677032
44864141,1.007414,-13.742471,5.963127,19.460001,39.970001,157.5,124.533844,-143.70285,39.018703
44864156,1.186882,-13.28064,6.042093,44.869999,36.540001,146.229996,121.319695,-143.958328,38.294014
44864176,0.557548,-12.79488,5.630513,55.09,35.84,136.080002,120.306549,-143.77771,38.893562
44864196,0.641299,-11.457244,5.7023,53.689999,32.689999,122.639999,115.533356,-140.610092,36.402966
44864216,0.351757,-11.418958,5.762123,24.780001,28.35,105.07,113.858521,-144.852386,34.540676
44864231,-0.236898,-16.051628,7.3893,33.040001,29.120001,87.919998,114.909782,-144.745224,36.234859
44864251,-2.112938,-14.673312,7.013614,90.650002,19.32,85.330002,112.238564,-146.163101,34.739742
44864271,-0.428331,-6.152167,6.587676,52.360001,-5.11,44.869999,111.321388,-143.881561,35.150326
44864291,-0.256041,-8.712579,5.987056,-39.689999,-19.25,-20.440001,110.009407,-142.085159,33.795326
44864306,-0.181861,-5.841089,4.601563,21.0,-7.77,1.4,111.323921,-145.760727,33.27515
44864326,0.519261,-4.233055,4.42688,37.099998,-1.05,18.059999,110.919342,-142.48851,35.119587
44864346,-0.540797,-9.356271,7.671663,-6.02,5.11,13.86,111.033615,-145.183487,33.099045
44864366,-1.416602,-10.892518,7.197867,-22.049999,-5.25,5.25,111.114563,-144.126114,33.986874
44864381,0.827946,-7.44673,4.668564,-9.45,-9.45,0.0,106.425293,-141.500397,31.680023
44864401,0.203397,-7.733879,4.950927,-9.31,-3.5,0.77,110.973679,-144.356766,34.788044
44864421,0.002393,-8.719757,5.750158,0.0,-1.4,2.03,109.358887,-144.905823,32.458561
44864441,-0.021536,-8.262712,5.731015,1.96,-1.68,2.73,111.414299,-144.701355,34.443638
44864456,-0.07418,-8.382357,5.494117,-4.76,-2.31,1.68,110.416595,-143.197342,35.137489
44864476,-0.047858,-8.379964,5.314649,-4.62,-2.87,1.26,110.217873,-144.76033,34.581387
44864496,-0.086145,-8.387143,5.429509,0.14,-3.22,1.68,109.10154,-144.32164,33.264771
44864516,-0.047858,-8.356035,5.618548,1.61,-3.15,1.33,110.22686,-145.038223,33.690948
44864531,-0.201004,-8.461323,5.57069,0.98,-2.8,0.35,111.034477,-144.623749,35.441238
44864551,-0.021536,-8.305784,5.539582,1.82,-3.01,0.14,111.499962,-143.642975,35.471798
44864571,-0.112467,-8.305784,5.541975,1.96,-2.45,0.21,110.116867,-142.622101,34.680725
44864591,-0.045465,-8.265104,5.7023,0.0,-2.59,-0.07,108.218658,-140.712753,34.330975
44864606,-0.023929,-8.399107,5.544368,-0.84,-2.24,0.21,111.03875,-144.902634,34.410473
44864626,-0.088538,-8.47568,5.47976,-0.63,-2.31,0.21,110.130562,-142.899002,33.930618
44864646,-0.05743,-8.576182,5.486938,1.33,-2.03,-0.21,108.115364,-144.974686,31.19301
44864666,-0.136396,-8.513967,5.568297,5.32,-2.31,-0.49,111.880219,-143.440704,35.64529
44864681,-0.038287,-8.042564,5.604191,6.44,-3.29,-0.42,111.566788,-142.588547,35.938633
44864701,0.035894,-8.329713,5.640084,2.73,-2.87,0.63,109.801689,-143.370239,34.129658
44864721,-0.064609,-8.485252,5.549154,2.94,-2.66,1.05,109.319107,-142.7547,34.382191
44864741,-0.055037,-8.427822,5.597012,4.55,-2.8,0.49,111.265305,-143.613586,34.637459
44864756,-0.045465,-8.159817,5.620941,5.95,-2.87,0.49,109.976868,-141.812225,33.984112
44864776,0.004786,-8.054528,5.656835,3.22,-2.59,0.98,110.149406,-142.895035,34.49194
44864796,-0.059823,-8.308177,5.709479,-1.47,-2.03,1.33,111.068329,-143.576279,34.925766
44864816,-0.043072,-8.413465,5.606584,-2.31,-2.24,1.19,109.793587,-142.051819,33.522312
44864832,-0.023929,-8.466109,5.690335,-2.31,-2.52,0.98,111.054199,-143.579254,34.504776
44864852,-0.021536,-8.470895,5.510867,-0.91,-2.52,1.05,111.478058,-146.567642,34.39275
44864872,-0.064609,-8.411072,5.589833,0.84,-2.59,1.05,111.535454,-145.515198,34.57893
44864892,-0.031108,-8.31057,5.508474,2.03,-2.24,1.26,111.195953,-142.788834,36.045795
44864907,-0.100502,-8.372786,5.630513,2.1,-2.17,1.12,108.981697,-142.187393,32.802792
44864927,-0.071787,-8.23639,5.675978,1.68,-2.31,0.7,111.101295,-143.569336,35.908077
44864947,0.047858,-8.243568,5.618548,-0.07,-2.24,1.12,111.33213,-142.559174,35.104298
44864967,-0.102895,-8.456537,5.601798,-2.17,-2.03,1.61,110.493622,-145.620407,33.165401
44864982,-0.004786,-8.487645,5.55394,-0.49,-2.24,1.54,109.844078,-143.361313,35.392628
44865002,-0.13161,-8.401501,5.58744,1.4,-2.1,1.33,111.015633,-144.627716,34.879921
44865022,-0.076573,-8.322535,5.573083,2.17,-2.38,0.98,111.917038,-143.992523,34.425735
44865042,-0.069394,-8.269891,5.664013,1.12,-2.24,1.05,110.858429,-146.741516,33.244595
44865057,-0.069394,-8.358428,5.623334,0.07,-2.1,1.26,110.920547,-145.688095,33.571102
44865077,-0.11486,-8.478073,5.563511,0.42,-2.17,0.84,109.764549,-138.578293,35.399918
44865097,-0.062216,-8.490038,5.549154,3.15,-2.45,0.28,112.244598,-144.84169,34.553387
44865117,-0.067001,-8.454144,5.630513,5.67,-2.8,-0.28,111.636147,-143.4133,34.530296
44865132,-0.086145,-8.322535,5.640084,6.86,-2.8,-0.28,109.980362,-138.611649,35.672932
44865152,-0.119645,-8.346463,5.616155,7.21,-3.08,-0.7,108.65107,-144.258911,32.157417
44865172,-0.059823,-8.427822,5.630513,7.84,-3.43,-1.96,112.089149,-145.355194,33.762466
44865192,-0.059823,-8.387143,5.745372,9.31,-4.13,-4.48,112.675797,-145.188248,33.928318
44865207,-0.342186,-8.997334,5.867411,10.5,-5.25,-9.03,109.832581,-140.723465,34.318264
44865227,-0.382865,-9.215089,6.034914,15.05,-7.07,-14.84,110.756218,-141.403717,34.892422
44865247,-0.593441,-9.332341,6.46803,18.9,-10.29,-19.6,111.988571,-142.937103,35.032906
44865267,-0.705908,-9.904246,6.661856,20.299999,-13.440001,-29.610001,111.240112,-140.698822,34.313202
44865282,-1.0122,-10.56469,6.980113,26.18,-17.85,-45.220001,110.052681,-141.035675,33.560513
44865302,-0.763338,-11.505102,7.623805,31.57,-23.799999,-68.739998,111.82206,-140.532883,34.338722
44865322,-0.571905,-11.933433,7.492195,29.4,-29.33,-95.830002,113.025726,-142.352097,32.466129
44865342,-0.157932,-11.734821,7.295977,11.9,-35.98,-116.270004,112.443459,-138.277924,32.491314
44865357,0.677193,-12.170331,7.733879,-7.56,-43.259998,-133.910004,113.034393,-138.389862,31.626396
44865377,1.33285,-12.727879,7.528089,-7.91,-49.420002,-153.300003,116.70887,-137.915237,34.910191
44865397,1.466853,-13.57736,7.339049,14.91,-56.279999,-174.580002,119.088806,-140.999893,32.665215
44865417,1.763573,-12.818809,7.377336,57.959999,-64.889999,-190.050003,122.318848,-139.141144,34.6553
44865432,2.206261,-10.646049,6.477602,90.300003,-72.870003,-202.229996,126.259338,-135.288452,36.293156
44865452,1.890397,-9.801352,6.479995,96.529999,-81.269997,-211.190002,128.92836,-135.750732,35.77277
44865472,2.0244,-9.377807,6.398636,103.669998,-90.580002,-218.680008,133.187012,-132.749207,37.25761
44865492,1.706143,-8.473288,6.535032,133.910004,-101.57,-227.990005,130.451294,-128.340561,34.692982
44865507,1.890397,-5.841089,5.64487,169.330002,-111.790001,-232.119995,134.830322,-122.192627,35.192726
44865527,2.227798,-2.948063,4.642241,175.839996,-121.309998,-227.710007,135.260635,-123.579742,36.065441
44865547,2.952849,-0.971521,3.910012,150.990005,-124.809998,-217.630005,138.991348,-118.372307,37.243923
44865567,3.792759,0.631728,3.575005,108.989998,-121.870003,-204.75,141.689178,-114.028755,39.95842
44865582,4.326378,0.20579,3.86694,71.610001,-113.400002,-192.430008,140.713852,-108.839409,39.062428
44865602,4.515418,-0.866233,4.737958,64.610001,-104.230003,-183.680008,141.649078,-107.637512,41.932751
44865622,5.29072,-0.112467,4.570455,84.910004,-101.010002,-178.080002,142.347153,-104.04628,42.003937
44865642,6.43453,2.112938,3.73533,94.360001,-94.010002,-170.309998,143.392914,-100.460625,46.277386
44865657,6.92029,3.007885,3.376393,77.980003,-87.150002,-157.149994,144.48877,-97.983566,47.410072
44865677,7.176332,3.187354,3.16821,63.560001,-82.669998,-146.160004,143.511658,-94.875298,49.509647
